Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,54.1,55.36,54.1,55.0,34.4,963100
2000-01-03,55.0,55.77,53.87,54.04,33.81,2203400
2000-01-04,53.75,53.81,51.54,53.09,33.21,2800800
2000-01-05,53.15,53.63,52.14,52.38,32.76,3121100
2000-01-06,52.91,53.51,51.96,53.39,33.4,2504700
2000-01-07,54.1,56.61,53.81,56.25,35.19,4136200
2000-01-10,56.67,57.08,55.59,56.55,35.37,1539100
2000-01-11,57.14,57.38,56.01,56.13,35.11,2770000
2000-01-12,56.61,56.96,56.31,56.67,35.45,2146200
2000-01-13,57.14,57.2,56.73,57.08,35.71,1619300
2000-01-14,57.2,57.68,56.49,57.08,35.71,2673400
2000-01-18,56.96,57.56,54.94,56.25,35.19,3339900
2000-01-19,56.25,56.25,50.05,51.72,32.35,11968600
2000-01-20,51.96,52.67,50.11,50.41,31.53,5447100
2000-01-21,50.53,50.65,47.61,48.92,30.6,5312900
2000-01-24,49.04,49.04,44.81,45.52,28.48,7284100
2000-01-25,44.09,45.7,42.9,45.34,28.37,5290700
2000-01-26,45.7,46.24,43.97,45.4,28.4,5003700
2000-01-27,44.93,45.94,42.54,44.09,27.58,4920200
2000-01-28,43.02,44.45,42.72,43.08,26.95,3293600
2000-01-31,43.08,45.76,43.08,45.76,28.63,3558500
2000-02-01,45.76,46.12,44.93,45.29,28.33,2989900
2000-02-02,45.76,46.72,45.52,46.0,28.78,2725900
2000-02-03,46.0,46.72,44.57,45.29,28.33,2564600
2000-02-04,45.29,45.46,44.09,45.17,28.25,3830400
2000-02-07,44.81,44.81,42.42,42.9,26.84,2786400
2000-02-08,43.85,44.75,42.84,43.14,26.99,4716900
2000-02-09,42.42,42.84,40.52,41.71,26.09,3887700
2000-02-10,41.23,42.37,40.4,41.23,25.79,3323000
2000-02-11,40.52,42.37,40.28,40.28,25.2,3398300
2000-02-14,41.23,42.78,40.64,40.64,25.42,3405300
2000-02-15,40.88,44.45,40.76,44.15,27.62,3576600
2000-02-16,43.97,43.97,42.54,42.78,26.88,2862300
2000-02-17,44.09,44.69,43.32,44.27,27.81,2501500
2000-02-18,44.03,44.21,41.89,42.25,26.54,2509500
2000-02-22,42.01,45.05,40.99,45.05,28.3,2590500
2000-02-23,45.05,45.05,41.89,43.08,27.06,2300700
2000-02-24,43.08,43.91,40.58,43.62,27.4,3674800
2000-02-25,43.62,44.57,42.31,44.39,27.89,2698200
2000-02-28,44.45,46.48,43.32,45.76,28.75,3050400
2000-02-29,46.72,47.55,45.58,45.88,28.82,2803100
2000-03-01,46.72,47.37,44.39,45.88,28.82,2389900
2000-03-02,45.88,45.88,42.9,43.74,27.48,2390800
2000-03-03,43.97,46.18,42.66,43.38,27.25,3312100
2000-03-06,43.62,43.62,41.95,42.25,26.54,2419100
2000-03-07,41.47,41.59,39.27,39.86,25.04,3324200
2000-03-08,39.74,41.11,38.43,40.7,25.57,4569300
2000-03-09,42.31,43.02,40.82,41.95,26.35,4907900
2000-03-10,43.38,43.5,41.83,43.26,27.18,3396900
2000-03-13,42.78,43.32,41.83,42.54,26.73,2238600
2000-03-14,42.6,43.85,42.19,42.9,26.95,2446500
2000-03-15,42.07,44.33,41.47,43.8,27.51,4191800
2000-03-16,45.64,47.97,44.39,47.43,29.8,4170400
2000-03-17,46.36,47.31,44.69,44.69,28.08,4578100
2000-03-20,45.52,47.55,44.09,45.29,28.45,3576700
2000-03-21,44.81,47.67,44.75,47.67,29.95,3217300
2000-03-22,47.07,47.07,44.09,44.09,27.7,3007000
2000-03-23,44.57,45.4,43.74,44.09,27.7,3422900
2000-03-24,44.15,47.37,43.85,47.31,29.72,3155800
2000-03-27,46.48,47.01,44.81,45.76,28.75,3039000
2000-03-28,45.17,46.36,44.45,44.63,28.04,2426100
2000-03-29,44.45,47.31,44.45,46.72,29.35,2610800
2000-03-30,46.77,49.81,46.72,49.1,30.85,5189700
2000-03-31,50.53,51.48,48.74,50.23,31.56,4237100
2000-04-03,52.44,52.44,50.83,51.84,32.57,3496000
2000-04-04,52.32,52.67,49.46,51.24,32.19,2987500
2000-04-05,51.01,52.32,50.29,50.29,31.59,1990100
2000-04-06,50.77,51.18,48.62,49.69,31.22,1841800
2000-04-07,49.34,50.65,49.1,49.22,30.92,1321400
2000-04-10,49.22,52.26,48.74,51.01,32.04,2335600
2000-04-11,51.72,54.1,51.6,53.45,33.58,2895400
2000-04-12,52.79,53.27,50.05,50.41,31.67,2072500
2000-04-13,53.15,54.34,50.77,52.85,33.2,4517100
2000-04-14,50.53,53.45,50.11,51.6,32.42,3362500
2000-04-17,50.29,52.67,50.29,52.44,32.94,2304200
2000-04-18,51.72,52.38,50.89,51.24,32.19,2335600
2000-04-19,52.38,52.97,51.42,51.78,32.53,2327400
2000-04-20,51.78,54.34,51.54,54.34,34.14,2306100
2000-04-24,53.39,55.65,53.39,53.63,33.69,2983000
2000-04-25,54.22,55.71,53.63,55.12,34.63,2623200
2000-04-26,55.3,55.65,52.38,53.09,33.35,2341500
2000-04-27,51.72,53.81,51.54,52.73,33.13,2230800
2000-04-28,53.15,54.28,51.78,53.39,33.54,1911600
2000-05-01,52.55,53.57,51.9,52.91,33.24,1341700
2000-05-02,52.2,52.61,51.12,51.48,32.34,2019200
2000-05-03,52.2,52.32,51.06,51.66,32.46,1385200
2000-05-04,51.3,51.9,50.41,50.77,31.89,2842200
2000-05-05,50.05,52.61,49.93,51.78,32.53,1608100
2000-05-08,51.01,52.32,50.89,51.78,32.53,837400
2000-05-09,50.83,52.08,50.83,51.48,32.34,1215300
2000-05-10,51.54,51.84,50.29,51.3,32.23,1211500
2000-05-11,51.96,52.14,50.95,51.12,32.12,1575900
2000-05-12,50.77,51.96,50.53,50.74,31.87,1181200
2000-05-15,51.24,53.81,51.24,52.97,33.28,2298400
2000-05-16,53.63,54.34,53.21,53.51,33.62,1911100
2000-05-17,51.6,52.32,51.48,51.6,32.53,1953100
2000-05-18,51.6,53.03,51.6,52.42,33.05,1029100
2000-05-19,52.44,52.85,51.6,51.72,32.61,2215300
2000-05-22,51.96,51.96,50.05,50.77,32.01,985700
2000-05-23,51.48,52.2,50.65,50.89,32.08,2921400
2000-05-24,51.48,51.9,50.95,51.48,32.46,2368500
2000-05-25,51.48,51.6,50.05,50.95,32.12,2161700
2000-05-26,51.01,51.84,50.29,51.06,32.19,1616300
2000-05-30,51.36,52.85,51.24,52.61,33.17,1990500
2000-05-31,52.79,53.21,51.42,52.14,32.87,1711900
2000-06-01,51.9,54.46,51.9,53.92,34.0,2229300
2000-06-02,55.3,56.37,51.96,53.98,34.03,3459900
2000-06-05,54.58,54.76,53.15,54.1,34.11,1677800
2000-06-06,53.63,54.16,52.44,53.87,33.96,1619700
2000-06-07,53.87,53.92,51.01,51.3,32.34,2619900
2000-06-08,51.3,51.42,47.61,49.1,30.95,5205800
2000-06-09,49.58,50.65,49.58,49.63,31.29,1955900
2000-06-12,49.75,49.75,48.86,48.86,30.8,1435400
2000-06-13,48.38,48.44,47.73,47.85,30.17,1920500
2000-06-14,49.1,49.81,48.86,48.92,30.84,2505300
2000-06-15,48.98,49.28,48.32,48.5,30.58,1906700
2000-06-16,48.5,48.56,46.24,46.24,29.15,3006300
2000-06-19,46.36,46.48,36.23,38.37,24.19,21705700
2000-06-20,35.39,35.99,33.49,34.92,22.01,26062400
2000-06-21,34.56,35.27,33.61,35.27,22.24,13739200
2000-06-22,35.27,35.75,32.89,33.37,21.04,16582700
2000-06-23,33.49,33.79,32.65,33.07,20.85,8643800
