Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.17,26.2,25.83,25.83,14.18,3027300
2000-01-03,25.83,26.98,25.72,26.67,14.64,18368600
2000-01-04,26.23,26.23,24.48,24.65,13.54,16251200
2000-01-05,24.65,25.09,23.67,24.49,13.45,22393400
2000-01-06,24.48,24.48,22.93,22.93,12.59,15940700
2000-01-07,22.95,24.07,22.95,23.59,12.95,16284600
2000-01-10,24.37,25.37,24.37,25.22,13.85,15248400
2000-01-11,25.22,25.37,24.44,24.65,13.54,10448900
2000-01-12,24.65,25.69,24.11,25.52,14.01,14583400
2000-01-13,25.52,25.72,24.92,25.6,14.06,11693500
2000-01-14,25.6,26.1,25.2,25.54,14.03,12600200
2000-01-18,25.54,26.45,25.19,25.79,14.16,14202000
2000-01-19,25.79,26.42,25.29,26.34,14.46,15326300
2000-01-20,26.34,26.77,25.63,26.37,14.48,13534800
2000-01-21,26.37,26.45,25.64,25.69,14.1,12901500
2000-01-24,25.69,26.04,25.36,25.66,14.09,12540800
2000-01-25,25.66,25.72,24.49,25.57,14.04,15976300
2000-01-26,25.26,25.26,24.3,24.69,13.56,16310200
2000-01-27,24.69,25.87,24.3,24.64,13.53,19903400
2000-01-28,24.64,25.4,24.35,24.69,13.56,12998800
2000-01-31,24.69,24.93,23.59,24.58,13.5,12228500
2000-02-01,24.58,24.84,23.61,24.03,13.19,14429700
2000-02-02,24.17,25.59,24.17,25.11,13.79,15050600
2000-02-03,25.2,26.45,25.2,25.77,14.15,17469300
2000-02-04,25.97,27.16,25.97,26.79,14.71,20306800
2000-02-07,26.79,29.29,26.61,29.18,16.02,27691400
2000-02-08,28.95,28.95,27.82,28.2,15.48,20792100
2000-02-09,28.2,28.84,27.77,28.16,15.46,18187600
2000-02-10,28.16,28.72,27.96,28.61,15.71,11129700
2000-02-11,28.61,28.61,27.22,27.56,15.13,12276100
2000-02-14,27.56,28.21,27.36,27.93,15.34,14437100
2000-02-15,27.93,28.68,27.69,28.33,15.55,18184500
2000-02-16,28.51,29.97,28.51,29.75,16.33,22269200
2000-02-17,29.18,29.18,28.07,29.06,15.96,23257500
2000-02-18,29.06,29.6,28.97,29.29,16.08,24678200
2000-02-22,29.29,29.35,28.4,29.06,15.96,16840400
2000-02-23,29.06,29.75,28.47,29.69,16.3,15263800
2000-02-24,29.62,29.62,28.84,29.41,16.15,16607000
2000-02-25,29.41,29.41,28.28,28.3,15.54,16840800
2000-02-28,28.3,29.35,27.8,29.26,16.07,21842500
2000-02-29,29.26,31.39,28.99,30.54,16.77,23754200
2000-03-01,30.54,31.28,30.02,30.34,16.66,16775200
2000-03-02,30.34,30.65,30.03,30.43,16.71,10815700
2000-03-03,30.44,31.76,30.44,31.48,17.28,19562500
2000-03-06,31.48,34.53,31.07,33.27,18.27,26832200
2000-03-07,33.27,34.32,32.24,32.47,17.83,26580700
2000-03-08,32.47,32.74,31.72,31.99,17.56,17671900
2000-03-09,32.1,34.93,32.1,34.49,18.94,20174700
2000-03-10,34.49,35.31,33.15,33.36,18.32,14528700
2000-03-13,33.36,33.92,32.19,33.27,18.27,14372000
2000-03-14,33.27,34.06,31.73,31.73,17.42,14464000
2000-03-15,31.73,31.99,29.48,29.97,16.46,23327100
2000-03-16,29.97,30.2,28.16,30.2,16.58,33787400
2000-03-17,30.2,32.5,30.2,31.56,17.33,30602900
2000-03-20,31.56,33.34,31.41,32.7,17.97,16248100
2000-03-21,32.63,32.63,31.52,32.22,17.71,16150300
2000-03-22,32.22,33.34,32.19,33.19,18.25,11737500
2000-03-23,33.19,33.95,32.39,33.44,18.38,11842700
2000-03-24,33.44,33.97,31.8,32.33,17.77,12897900
2000-03-27,32.61,33.8,32.61,33.19,18.25,10163100
2000-03-28,33.19,33.34,31.79,31.95,17.56,11655100
2000-03-29,31.95,31.96,30.4,30.65,16.85,16902900
2000-03-30,30.65,30.65,29.55,29.69,16.32,14748900
2000-03-31,29.69,31.22,29.52,30.1,16.55,17148200
2000-04-03,30.1,30.99,29.58,30.1,16.55,15744700
2000-04-04,30.1,31.75,29.29,31.36,17.24,21477800
2000-04-05,31.36,33.65,31.11,32.24,17.73,23565300
2000-04-06,32.47,33.73,32.47,33.63,18.49,15488400
2000-04-07,33.63,35.42,33.29,35.42,19.47,14294900
2000-04-10,34.83,34.83,33.12,33.44,18.38,16972100
2000-04-11,33.44,34.05,31.99,33.11,18.2,14995600
2000-04-12,33.11,33.46,30.26,30.65,16.85,20567500
2000-04-13,30.65,31.48,29.89,29.96,16.47,20445100
