Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,23.72,23.75,23.5,23.72,13.82,456200
2000-01-03,23.5,23.75,23.03,23.19,13.51,906400
2000-01-04,22.88,23.0,22.22,22.31,13.0,1060000
2000-01-05,22.38,23.25,22.19,22.41,13.06,1087400
2000-01-06,22.53,23.66,22.44,23.0,13.4,1002400
2000-01-07,23.03,23.47,22.62,23.06,13.44,805800
2000-01-10,23.0,23.41,22.84,23.12,13.48,659200
2000-01-11,23.12,23.25,22.38,22.66,13.2,813200
2000-01-12,22.78,23.28,22.34,22.5,13.11,684000
2000-01-13,22.5,22.72,22.28,22.34,13.02,500600
2000-01-14,22.44,22.44,20.0,21.28,12.4,9517000
2000-01-18,21.28,21.5,20.81,21.5,12.53,1003400
2000-01-19,21.25,21.69,21.06,21.56,12.57,1031400
2000-01-20,21.53,21.56,21.0,21.09,12.29,1087400
2000-01-21,21.09,21.22,20.38,20.62,12.02,960200
2000-01-24,20.81,20.81,20.06,20.06,11.69,665800
2000-01-25,20.19,20.59,19.66,19.91,11.6,641600
2000-01-26,20.0,20.22,19.62,20.09,11.71,998200
2000-01-27,20.06,20.06,19.5,19.72,11.49,623600
2000-01-28,19.62,19.62,18.88,18.88,11.0,1407600
2000-01-31,19.25,21.41,19.22,21.25,12.38,1982400
2000-02-01,21.12,21.25,20.12,20.28,11.82,1198400
2000-02-02,20.25,20.75,20.19,20.34,11.86,1300000
2000-02-03,20.47,20.91,20.47,20.69,12.06,975200
2000-02-04,20.81,20.94,20.5,20.75,12.09,786800
2000-02-07,20.56,20.75,20.44,20.5,11.95,627800
2000-02-08,20.5,21.09,20.5,21.09,12.29,887600
2000-02-09,20.94,21.16,20.78,20.88,12.17,911200
2000-02-10,20.75,21.06,20.59,21.0,12.24,1077600
2000-02-11,21.0,22.72,20.94,21.38,12.46,2209200
2000-02-14,21.38,21.5,20.78,21.22,12.37,885200
2000-02-15,21.12,22.06,21.12,21.91,12.77,1211400
2000-02-16,22.12,22.59,21.62,22.09,12.88,1650000
2000-02-17,22.03,22.53,22.0,22.28,12.99,838400
2000-02-18,22.25,22.69,22.25,22.56,13.15,1215400
2000-02-22,22.47,23.62,22.19,23.34,13.61,1636000
2000-02-23,23.06,23.69,22.75,23.06,13.59,1850200
2000-02-24,22.66,22.66,21.84,22.38,13.19,2772800
2000-02-25,22.41,22.66,22.09,22.56,13.3,1627400
2000-02-28,22.5,22.53,21.97,22.06,13.0,1047200
2000-02-29,21.5,21.97,20.94,21.97,12.95,2147800
2000-03-01,21.97,22.5,21.5,22.41,13.21,1485800
2000-03-02,22.28,22.31,21.47,21.84,12.87,850200
2000-03-03,21.72,21.72,21.44,21.56,12.71,828000
2000-03-06,21.25,21.38,20.78,21.09,12.43,889200
2000-03-07,20.59,20.62,19.81,20.0,11.79,1308200
2000-03-08,20.0,21.56,19.88,20.91,12.32,1841600
2000-03-09,20.22,20.81,20.16,20.56,12.12,1652600
2000-03-10,20.34,20.5,19.88,20.0,11.79,1022000
2000-03-13,19.69,20.0,19.59,20.0,11.79,825800
2000-03-14,20.0,20.56,20.0,20.47,12.06,1069800
2000-03-15,20.5,21.94,20.31,21.88,12.89,1606600
2000-03-16,22.0,24.16,22.0,23.84,14.05,1892200
2000-03-17,23.25,23.5,23.06,23.06,13.59,1529400
2000-03-20,23.06,24.0,23.06,23.5,13.85,1459200
2000-03-21,23.62,23.62,23.0,23.47,13.83,707800
2000-03-22,23.12,23.25,22.12,22.53,13.28,1051600
2000-03-23,22.31,22.72,21.91,22.66,13.35,746600
2000-03-24,22.41,22.5,21.88,22.0,12.97,974000
2000-03-27,21.56,21.97,21.5,21.59,12.73,736400
2000-03-28,21.5,21.78,20.91,21.0,12.38,2338600
2000-03-29,21.09,23.5,21.09,23.41,13.8,2919000
2000-03-30,23.41,24.91,23.38,24.5,14.44,1623000
2000-03-31,24.81,25.34,24.38,24.38,14.37,1573200
2000-04-03,24.25,24.44,23.5,23.5,13.85,1619400
2000-04-04,23.62,25.03,23.62,24.34,14.35,1582200
2000-04-05,24.0,24.81,23.72,24.0,14.15,627200
2000-04-06,23.75,23.81,23.38,23.78,14.02,746200
2000-04-07,23.62,23.72,22.97,23.09,13.61,744400
2000-04-10,23.09,23.28,22.91,23.22,13.68,672000
2000-04-11,23.31,24.19,23.19,23.97,14.13,1034800
2000-04-12,23.97,25.19,23.94,24.56,14.48,1346400
2000-04-13,24.69,24.69,24.0,24.16,14.24,985600
2000-04-14,24.16,24.62,23.22,23.53,13.87,1104800
2000-04-17,23.59,23.97,22.94,23.41,13.8,1290600
2000-04-18,23.44,23.59,23.06,23.28,13.72,503200
2000-04-19,23.38,24.25,23.22,23.78,14.02,1016000
2000-04-20,23.75,24.19,23.62,23.84,14.05,539800
2000-04-24,23.5,25.22,23.5,24.56,14.48,1721400
2000-04-25,24.0,24.97,23.78,24.56,14.48,861400
2000-04-26,24.44,24.44,23.56,23.81,14.03,1187800
2000-04-27,23.69,23.84,23.31,23.53,13.87,924800
2000-04-28,23.38,23.38,22.5,22.75,13.41,1145800
2000-05-01,22.69,22.94,22.5,22.66,13.35,646400
2000-05-02,22.66,23.16,22.5,22.94,13.52,753600
2000-05-03,23.62,24.38,23.44,23.53,13.87,1131200
2000-05-04,23.66,24.06,23.27,23.62,13.92,658800
2000-05-05,23.53,23.94,23.06,23.19,13.67,475800
2000-05-08,23.09,24.31,23.03,24.12,14.22,744200
2000-05-09,24.03,24.5,24.0,24.34,14.35,530400
2000-05-10,24.22,25.12,24.22,25.0,14.73,1012200
2000-05-11,24.75,25.28,24.72,25.0,14.73,659400
2000-05-12,24.91,25.16,24.53,24.69,14.55,891600
2000-05-15,24.88,25.97,24.84,25.78,15.19,1414200
