Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,41.91,41.94,40.97,41.16,26.83,11572000
2000-01-03,41.63,43.69,41.62,43.5,28.36,57710200
2000-01-04,42.72,43.94,41.12,41.47,27.03,51019600
2000-01-05,41.5,42.94,40.25,41.81,27.26,52389000
2000-01-06,40.88,41.69,39.09,39.38,25.67,55171200
2000-01-07,38.75,41.0,38.69,41.0,26.73,41096400
2000-01-10,42.88,43.62,42.06,42.88,27.95,53619800
2000-01-11,44.28,46.19,44.14,44.84,29.23,105481800
2000-01-12,45.44,47.38,44.62,45.62,29.74,97326600
2000-01-13,46.34,46.5,44.66,45.53,29.68,76104200
2000-01-14,49.25,53.31,49.12,51.53,33.59,184405200
2000-01-18,50.15,52.88,50.12,51.06,33.29,102100600
2000-01-19,50.5,51.06,49.94,50.03,32.62,45568000
2000-01-20,49.88,50.41,47.72,47.81,31.17,70002000
2000-01-21,48.0,49.12,47.81,48.97,31.92,55558200
2000-01-24,51.12,52.44,49.12,49.41,32.21,74832600
2000-01-25,49.69,50.91,48.72,50.78,33.1,51382600
2000-01-26,50.38,50.59,48.19,48.25,31.45,49306200
2000-01-27,49.69,50.56,47.75,49.06,31.98,61482000
2000-01-28,48.62,49.38,46.53,47.0,30.64,53922800
2000-01-31,46.81,49.53,46.44,49.47,32.25,68453200
2000-02-01,49.19,50.75,48.31,50.72,33.06,48051400
2000-02-02,50.5,51.47,49.84,50.03,32.62,52080600
2000-02-03,50.84,52.31,50.38,52.09,33.97,56126000
2000-02-04,52.19,54.12,52.12,52.38,34.15,55953800
2000-02-07,52.47,54.06,52.06,53.97,35.19,42810000
2000-02-08,54.41,55.03,54.0,54.41,35.48,38026000
2000-02-09,54.06,54.44,52.25,52.31,34.11,38615200
2000-02-10,52.19,54.06,51.59,53.81,35.09,43539200
2000-02-11,53.62,54.38,52.62,52.94,34.52,37756000
2000-02-14,53.16,54.97,52.82,54.94,35.82,34374200
2000-02-15,54.97,56.44,52.62,56.0,36.52,62771400
2000-02-16,55.69,56.44,53.5,53.59,34.95,46050000
2000-02-17,54.44,56.19,53.94,55.0,35.87,48669600
2000-02-18,55.0,55.25,52.59,52.69,34.36,50370000
2000-02-22,52.44,53.41,50.78,53.38,34.81,45793600
2000-02-23,52.66,55.56,52.16,54.53,35.56,40842000
2000-02-24,56.22,58.25,55.12,57.12,37.25,85347800
2000-02-25,56.94,57.69,56.41,56.62,36.93,46299000
2000-02-28,55.81,57.28,54.12,56.19,36.64,47422200
2000-02-29,56.59,57.81,55.66,56.5,36.84,44414200
2000-03-01,56.44,58.44,56.25,57.94,37.78,40813000
2000-03-02,57.69,58.53,57.06,57.88,37.74,36469800
2000-03-03,58.5,59.88,57.81,59.62,38.88,34285000
2000-03-06,59.0,59.44,58.34,58.69,38.27,28032000
2000-03-07,58.91,60.0,57.59,57.88,37.74,39924200
2000-03-08,58.06,58.22,56.12,57.47,37.48,46391200
2000-03-09,56.84,59.25,56.0,59.19,38.6,38375800
2000-03-10,58.94,60.31,58.69,60.09,39.19,43497600
2000-03-13,59.41,62.75,59.38,61.06,39.82,67439200
2000-03-14,62.12,62.81,58.91,58.94,38.43,56785000
2000-03-15,59.53,61.56,59.34,60.09,39.19,48895600
2000-03-16,61.62,62.69,59.81,62.53,40.78,54972800
2000-03-17,62.16,65.0,62.0,64.94,42.35,60851000
2000-03-20,64.97,68.69,64.97,67.5,44.02,65163600
2000-03-21,67.5,69.44,67.06,69.22,45.14,51231000
2000-03-22,70.19,72.69,69.75,72.03,46.97,53693200
2000-03-23,71.19,71.84,69.72,71.31,46.5,45593800
2000-03-24,70.06,72.25,68.81,69.53,45.34,46898000
2000-03-27,69.81,71.88,69.53,71.34,46.52,35766200
2000-03-28,70.31,71.28,67.56,67.84,44.24,44857800
2000-03-29,68.25,68.84,65.75,65.94,43.0,61325400
2000-03-30,64.88,66.69,61.53,63.5,41.41,71646800
2000-03-31,64.81,67.44,64.12,65.97,43.02,58442200
2000-04-03,65.69,66.5,62.88,65.31,42.59,50071600
2000-04-04,65.75,67.0,59.5,66.38,43.28,87341800
2000-04-05,64.94,67.0,63.88,64.94,42.35,62101800
2000-04-06,64.62,65.81,63.5,64.91,42.33,55134000
2000-04-07,65.69,68.5,65.66,68.41,44.61,51357200
2000-04-10,68.75,69.53,65.44,65.56,42.75,44849000
2000-04-11,65.0,67.12,63.74,65.38,42.63,53071200
2000-04-12,64.97,65.94,60.88,60.94,39.74,60169600
2000-04-13,61.69,64.62,60.38,60.56,39.49,69414600
2000-04-14,59.59,60.38,54.19,55.25,36.03,92800400
2000-04-17,55.0,61.62,54.78,61.5,40.1,88873400
2000-04-18,63.31,65.5,62.62,64.5,42.06,98558000
2000-04-19,62.8,62.88,59.47,59.53,38.82,87377800
2000-04-20,58.97,59.69,57.5,57.69,37.62,45799000
2000-04-24,55.5,58.25,55.19,58.06,37.86,58320200
2000-04-25,59.87,62.62,59.75,62.5,40.76,51342400
2000-04-26,62.12,62.5,60.31,60.41,39.39,47572000
2000-04-27,58.78,63.28,58.5,62.66,40.86,61088400
2000-04-28,64.0,64.53,62.94,63.41,41.35,44336400
2000-05-01,63.97,65.5,63.12,63.56,41.45,42389800
2000-05-02,62.94,63.81,60.44,60.59,39.51,43871400
2000-05-03,60.06,60.31,57.94,59.53,38.83,58988600
2000-05-04,59.38,60.31,58.53,59.78,38.99,40984800
2000-05-05,59.5,61.94,59.5,61.69,40.24,34217400
2000-05-08,61.12,61.34,58.75,58.81,38.36,40937800
2000-05-09,59.19,59.62,57.5,58.47,38.14,43054000
2000-05-10,57.25,58.25,52.56,53.03,34.59,97225600
2000-05-11,53.56,58.0,53.19,57.78,37.69,70267600
2000-05-12,58.31,59.75,57.38,57.5,37.51,38429400
2000-05-15,57.28,59.12,56.38,59.06,38.52,41105400
2000-05-16,59.88,61.44,59.34,60.94,39.75,44468400
2000-05-17,61.19,62.72,60.19,61.59,40.18,65543200
2000-05-18,61.94,63.25,61.56,61.97,40.42,50141400
2000-05-19,60.94,61.81,58.16,58.94,38.44,71968000
2000-05-22,58.75,59.28,55.69,59.19,38.61,59249600
2000-05-23,58.88,59.94,54.91,54.94,35.83,50385800
2000-05-24,54.81,59.09,54.75,58.69,38.28,75482200
2000-05-25,59.34,61.12,56.78,57.59,37.57,50488800
2000-05-26,57.5,59.94,57.19,58.78,38.34,30851000
2000-05-30,59.62,62.94,59.56,62.88,41.01,41768000
2000-05-31,63.12,63.97,62.25,62.34,40.66,54089600
2000-06-01,63.09,65.0,63.06,64.84,42.3,45978400
2000-06-02,66.41,67.28,66.0,67.09,43.76,42657400
2000-06-05,66.31,67.5,65.59,66.28,43.23,39176000
2000-06-06,65.66,67.53,64.75,64.78,42.25,47425200
2000-06-07,64.62,64.69,62.84,64.47,42.05,39753400
2000-06-08,64.81,65.75,63.0,63.09,41.15,34394000
2000-06-09,63.97,64.0,62.75,63.53,41.44,27519200
2000-06-12,63.91,64.0,62.31,62.53,40.79,25947000
2000-06-13,62.25,65.93,62.06,65.75,42.89,39126600
2000-06-14,65.44,65.66,63.0,63.22,41.24,37008800
2000-06-15,63.37,65.03,63.25,64.12,41.83,33411000
2000-06-16,64.62,64.84,62.94,63.03,41.11,44086200
