Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,55.12,58.0,55.12,57.69,44.3,397400
2000-01-03,57.69,57.69,53.56,54.31,41.71,948700
2000-01-04,54.0,54.0,49.75,50.0,38.4,1250200
2000-01-05,49.94,49.94,48.12,48.88,37.54,1522800
2000-01-06,49.0,50.06,47.88,49.0,37.63,984800
2000-01-07,49.5,50.88,48.88,50.75,38.98,1341700
2000-01-10,49.75,52.5,49.69,52.31,40.18,1541100
2000-01-11,52.0,52.44,51.38,52.06,39.98,1126900
2000-01-12,52.0,52.38,51.62,51.88,39.84,1129800
2000-01-13,51.88,53.0,51.75,52.25,40.13,992700
2000-01-14,52.5,53.62,52.12,53.25,40.9,1451400
2000-01-18,52.62,54.44,52.38,54.0,41.47,805500
2000-01-19,54.0,55.94,53.5,55.56,42.67,1375700
2000-01-20,55.56,55.56,53.19,53.31,40.94,645500
2000-01-21,52.31,53.12,51.56,52.75,40.51,1050900
2000-01-24,52.75,52.75,50.56,50.88,39.07,465700
2000-01-25,50.69,51.5,50.44,50.94,39.12,916900
2000-01-26,50.94,51.56,49.75,50.69,38.93,609400
2000-01-27,50.94,51.19,47.5,48.38,37.15,1005500
2000-01-28,48.75,48.75,46.31,47.0,36.1,753300
2000-01-31,47.0,47.0,45.25,46.0,35.33,850900
2000-02-01,46.12,48.38,45.75,48.19,37.01,941500
2000-02-02,48.0,49.31,47.88,48.31,37.1,682400
2000-02-03,48.25,49.88,48.25,49.0,37.63,772000
2000-02-04,49.31,50.31,49.19,50.06,38.45,661900
2000-02-07,49.88,50.0,49.25,49.5,38.02,750400
2000-02-08,49.94,50.75,49.94,50.38,38.69,734200
2000-02-09,49.75,49.81,47.38,47.75,36.67,1043400
2000-02-10,48.0,48.25,46.69,46.94,36.05,923600
2000-02-11,46.25,46.75,45.81,46.06,35.38,1173400
2000-02-14,46.0,46.12,45.75,45.88,35.23,545900
2000-02-15,45.94,46.12,45.44,45.94,35.28,735400
2000-02-16,46.0,46.0,45.5,45.69,35.09,846100
2000-02-17,45.94,45.94,44.5,44.56,34.22,803000
2000-02-18,44.69,45.75,44.5,44.88,34.46,1430100
2000-02-22,45.5,45.88,44.62,45.0,34.56,1046100
2000-02-23,44.75,45.38,42.88,43.0,33.02,1360800
2000-02-24,42.0,42.62,39.94,42.12,32.42,2390900
2000-02-25,41.88,41.94,36.0,38.31,29.48,5279000
2000-02-28,38.0,39.31,37.0,39.19,30.16,1546800
2000-02-29,39.88,41.0,39.5,40.19,30.92,1960300
2000-03-01,40.19,41.5,39.69,41.5,31.93,1644400
2000-03-02,41.0,41.38,40.5,41.38,31.84,1151700
2000-03-03,40.88,42.44,40.75,42.19,32.46,838200
2000-03-06,42.19,42.19,40.88,41.31,31.79,893200
2000-03-07,41.06,41.12,40.06,40.12,30.88,1555500
2000-03-08,40.06,40.19,38.69,39.5,30.4,938300
2000-03-09,39.25,39.25,36.62,37.62,28.95,1907600
2000-03-10,37.44,37.94,36.5,37.0,28.47,1581100
2000-03-13,37.0,37.44,36.38,37.06,28.52,1133900
2000-03-14,37.5,38.5,37.12,38.0,29.24,1351300
2000-03-15,38.12,38.75,37.88,38.0,29.24,1539800
2000-03-16,38.62,40.81,38.31,40.81,31.41,1311800
2000-03-17,40.81,42.44,40.81,42.12,32.42,1454200
2000-03-20,42.38,43.5,41.0,41.56,31.98,1171200
2000-03-21,41.56,41.75,40.75,41.31,31.79,977500
2000-03-22,40.94,42.62,40.88,42.44,32.66,685900
2000-03-23,42.5,43.75,42.19,43.38,33.38,1278300
