Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.61,1.65,1.57,1.64,0.67,51073900
2000-01-03,1.64,1.64,1.48,1.49,0.61,243235200
2000-01-04,1.49,1.52,1.4,1.44,0.59,129485300
2000-01-05,1.43,1.44,1.4,1.4,0.57,244568800
2000-01-06,1.41,1.41,1.37,1.38,0.56,242035000
2000-01-07,1.39,1.4,1.37,1.38,0.56,228699800
2000-01-10,1.38,1.46,1.38,1.45,0.59,594486500
2000-01-11,1.45,1.48,1.45,1.46,0.6,89079400
2000-01-12,1.46,1.46,1.39,1.41,0.57,116950100
2000-01-13,1.42,1.42,1.37,1.42,0.58,169357800
2000-01-14,1.42,1.43,1.41,1.42,0.58,57341300
2000-01-18,1.41,1.41,1.36,1.36,0.55,160823100
2000-01-19,1.37,1.38,1.36,1.36,0.55,42939300
2000-01-20,1.36,1.4,1.36,1.4,0.57,75877500
2000-01-21,1.4,1.46,1.39,1.44,0.59,273639700
2000-01-24,1.44,1.49,1.44,1.45,0.59,552747000
2000-01-25,1.45,1.45,1.4,1.4,0.57,161089900
2000-01-26,1.4,1.46,1.4,1.4,0.57,172158200
2000-01-27,1.4,1.43,1.4,1.4,0.57,333915100
2000-01-28,1.4,1.43,1.38,1.42,0.58,134286000
2000-01-31,1.43,1.45,1.37,1.38,0.56,170558100
2000-02-01,1.37,1.37,1.34,1.36,0.55,183893300
2000-02-02,1.35,1.42,1.33,1.39,0.57,103748300
2000-02-03,1.38,1.43,1.38,1.4,0.57,145754400
2000-02-04,1.39,1.45,1.39,1.45,0.59,59208400
2000-02-07,1.44,1.44,1.37,1.38,0.56,217364800
2000-02-08,1.39,1.43,1.38,1.42,0.58,190027400
2000-02-09,1.42,1.42,1.34,1.34,0.55,109082200
2000-02-10,1.34,1.34,1.28,1.31,0.53,195094900
2000-02-11,1.31,1.36,1.29,1.31,0.53,240034800
2000-02-14,1.31,1.31,1.21,1.25,0.51,434329800
2000-02-15,1.26,1.31,1.26,1.3,0.53,258704200
2000-02-16,1.29,1.3,1.29,1.3,0.53,102014700
2000-02-17,1.3,1.42,1.3,1.4,0.57,162823600
2000-02-18,1.4,1.4,1.35,1.37,0.56,99747700
2000-02-22,1.35,1.35,1.34,1.34,0.54,34271300
2000-02-23,1.34,1.34,1.21,1.31,0.53,280440700
2000-02-24,1.31,1.31,1.26,1.27,0.52,125084700
2000-02-25,1.27,1.27,1.16,1.22,0.5,378188300
2000-02-28,1.21,1.24,1.17,1.22,0.5,218431500
2000-02-29,1.22,1.31,1.21,1.27,0.52,509140700
2000-03-01,1.25,1.29,1.25,1.27,0.52,191094200
2000-03-02,1.28,1.29,1.26,1.28,0.52,108415500
2000-03-03,1.29,1.31,1.29,1.31,0.53,79344600
2000-03-06,1.3,1.39,1.3,1.39,0.56,282707700
2000-03-07,1.39,1.39,1.34,1.34,0.54,324447200
2000-03-08,1.34,1.35,1.31,1.33,0.54,137353100
2000-03-09,1.32,1.36,1.31,1.34,0.55,69343300
2000-03-10,1.32,1.32,1.31,1.31,0.53,102548000
2000-03-13,1.3,1.37,1.3,1.35,0.55,258970800
2000-03-14,1.35,1.41,1.32,1.35,0.55,365786500
2000-03-15,1.34,1.4,1.32,1.37,0.56,187760400
2000-03-16,1.37,1.4,1.36,1.38,0.56,418727600
2000-03-17,1.36,1.38,1.35,1.35,0.55,176292300
2000-03-20,1.35,1.35,1.29,1.34,0.54,295776200
2000-03-21,1.32,1.36,1.31,1.36,0.55,162556800
2000-03-22,1.36,1.45,1.36,1.41,0.57,210430400
2000-03-23,1.4,1.43,1.39,1.41,0.57,131618900
2000-03-24,1.4,1.44,1.4,1.4,0.57,262171400
2000-03-27,1.4,1.4,1.4,1.4,0.57,82278400
2000-03-28,1.4,1.42,1.39,1.4,0.57,210563800
2000-03-29,1.4,1.42,1.4,1.41,0.57,183759900
2000-03-30,1.42,1.45,1.39,1.41,0.57,199629000
2000-03-31,1.4,1.45,1.4,1.42,0.58,221632100
2000-04-03,1.42,1.43,1.41,1.41,0.57,119083700
2000-04-04,1.41,1.43,1.37,1.39,0.57,158556100
2000-04-05,1.37,1.42,1.37,1.42,0.58,186160300
2000-04-06,1.41,1.42,1.39,1.4,0.57,143887300
2000-04-07,1.4,1.4,1.34,1.35,0.55,92546700
2000-04-10,1.3,1.33,1.28,1.28,0.52,146287800
2000-04-11,1.3,1.3,1.24,1.25,0.51,118150200
2000-04-12,1.26,1.35,1.26,1.35,0.55,170157900
2000-04-13,1.35,1.39,1.35,1.38,0.56,182559600
2000-04-14,1.37,1.43,1.32,1.32,0.54,398324500
2000-04-17,1.31,1.33,1.24,1.29,0.53,148154900
2000-04-18,1.32,1.37,1.3,1.37,0.56,248702700
2000-04-19,1.37,1.39,1.36,1.38,0.56,102814700
2000-04-20,1.38,1.42,1.37,1.41,0.57,100547700
2000-04-24,1.4,1.43,1.39,1.43,0.58,131618900
2000-04-25,1.43,1.46,1.41,1.44,0.59,301777100
2000-04-26,1.44,1.44,1.42,1.43,0.58,49340400
2000-04-27,1.42,1.46,1.42,1.45,0.59,256170400
2000-04-28,1.44,1.48,1.44,1.46,0.6,124417900
2000-05-01,1.45,1.48,1.45,1.48,0.6,118417100
2000-05-02,1.47,1.53,1.45,1.49,0.6,276040100
2000-05-03,1.48,1.49,1.44,1.47,0.6,235234100
2000-05-04,1.47,1.5,1.46,1.46,0.6,128952000
2000-05-05,1.46,1.49,1.46,1.48,0.6,85345700
2000-05-08,1.47,1.5,1.45,1.49,0.6,115349900
2000-05-09,1.49,1.49,1.45,1.45,0.59,446998200
2000-05-10,1.45,1.45,1.4,1.41,0.57,207229900
2000-05-11,1.42,1.49,1.42,1.48,0.6,139620100
2000-05-12,1.48,1.48,1.44,1.44,0.59,89612900
2000-05-15,1.44,1.44,1.41,1.41,0.57,30271000
2000-05-16,1.42,1.49,1.42,1.45,0.59,112149600
2000-05-17,1.45,1.45,1.41,1.41,0.57,40272400
2000-05-18,1.4,1.46,1.4,1.45,0.59,140287000
2000-05-19,1.45,1.45,1.42,1.42,0.58,30804300
2000-05-22,1.43,1.44,1.39,1.43,0.58,98014000
2000-05-23,1.44,1.47,1.44,1.47,0.6,205229700
2000-05-24,1.47,1.49,1.46,1.48,0.6,234300600
2000-05-25,1.48,1.5,1.47,1.47,0.6,117216900
2000-05-26,1.48,1.48,1.47,1.48,0.6,48673500
2000-05-30,1.48,1.5,1.48,1.49,0.61,113082900
2000-05-31,1.49,1.53,1.49,1.52,0.62,169624300
2000-06-01,1.52,1.53,1.5,1.53,0.62,132285800
2000-06-02,1.53,1.54,1.52,1.52,0.62,100948000
2000-06-05,1.52,1.53,1.43,1.43,0.58,98680900
2000-06-06,1.44,1.46,1.43,1.44,0.59,74810600
2000-06-07,1.44,1.44,1.39,1.42,0.58,203229500
2000-06-08,1.42,1.45,1.42,1.45,0.59,110016000
2000-06-09,1.45,1.5,1.45,1.49,0.61,76677600
2000-06-12,1.49,1.5,1.49,1.49,0.61,97213900
2000-06-13,1.49,1.49,1.41,1.42,0.58,34671600
2000-06-14,1.42,1.46,1.42,1.44,0.59,102948100
2000-06-15,1.43,1.44,1.41,1.43,0.58,127084900
2000-06-16,1.43,1.44,1.37,1.38,0.56,192961300
2000-06-19,1.39,1.39,1.34,1.36,0.55,229233100
2000-06-20,1.37,1.38,1.35,1.36,0.55,268572200
2000-06-21,1.37,1.37,1.31,1.32,0.54,140820300
2000-06-22,1.32,1.35,1.32,1.34,0.54,242168400
2000-06-23,1.32,1.33,1.3,1.33,0.54,153755600
2000-06-26,1.33,1.35,1.29,1.35,0.55,218031500
2000-06-27,1.34,1.36,1.31,1.32,0.54,300443500
2000-06-28,1.32,1.38,1.32,1.38,0.56,176958900
2000-06-29,1.38,1.38,1.31,1.32,0.54,469668200
2000-06-30,1.32,1.42,1.32,1.41,0.58,747042000
2000-07-03,1.4,1.43,1.39,1.43,0.58,152155300
2000-07-05,1.43,1.47,1.41,1.41,0.57,110549300
2000-07-06,1.4,1.4,1.34,1.38,0.56,144954100
2000-07-07,1.38,1.43,1.38,1.41,0.57,111349200
2000-07-10,1.38,1.38,1.37,1.37,0.56,20402700
2000-07-11,1.37,1.37,1.34,1.37,0.56,118150200
2000-07-12,1.38,1.4,1.37,1.4,0.57,84945500
2000-07-13,1.42,1.42,1.4,1.41,0.57,101081000
2000-07-14,1.4,1.43,1.4,1.41,0.57,85879000
2000-07-17,1.42,1.42,1.38,1.39,0.56,106148500
2000-07-18,1.4,1.45,1.4,1.43,0.58,275906700
2000-07-19,1.43,1.44,1.43,1.43,0.58,85078900
2000-07-20,1.44,1.44,1.41,1.43,0.58,58008200
2000-07-21,1.43,1.43,1.38,1.38,0.56,69343300
2000-07-24,1.39,1.43,1.39,1.43,0.58,105215100
2000-07-25,1.42,1.44,1.4,1.4,0.57,76277700
2000-07-26,1.4,1.41,1.34,1.39,0.56,144020800
2000-07-27,1.39,1.44,1.39,1.41,0.57,275906700
2000-07-28,1.41,1.42,1.4,1.4,0.57,146954600
2000-07-31,1.41,1.46,1.41,1.46,0.59,376588000
2000-08-01,1.46,1.46,1.41,1.42,0.58,246969300
2000-08-02,1.42,1.42,1.42,1.42,0.58,82411800
2000-08-03,1.42,1.43,1.4,1.4,0.57,46673200
2000-08-04,1.41,1.43,1.41,1.41,0.57,95480200
2000-08-07,1.41,1.43,1.4,1.42,0.58,228833200
2000-08-08,1.41,1.44,1.41,1.42,0.58,163623700
2000-08-09,1.42,1.43,1.42,1.42,0.58,74810600
2000-08-10,1.42,1.42,1.41,1.42,0.58,47473300
2000-08-11,1.42,1.43,1.41,1.43,0.58,92679900
2000-08-14,1.43,1.43,1.41,1.41,0.57,52007400
2000-08-15,1.41,1.41,1.39,1.4,0.57,119350500
2000-08-16,1.39,1.39,1.37,1.37,0.56,75477300
2000-08-17,1.37,1.38,1.37,1.38,0.56,90679700
2000-08-18,1.38,1.4,1.38,1.4,0.57,172825100
2000-08-21,1.4,1.41,1.38,1.38,0.56,114016300
2000-08-22,1.38,1.38,1.38,1.38,0.56,30937600
2000-08-23,1.38,1.39,1.37,1.37,0.56,85345700
2000-08-24,1.37,1.39,1.37,1.38,0.56,183893300
2000-08-25,1.38,1.4,1.38,1.39,0.56,145887800
2000-08-28,1.39,1.41,1.39,1.41,0.57,30004100
2000-08-29,1.41,1.45,1.41,1.42,0.58,258570800
2000-08-30,1.42,1.42,1.4,1.41,0.57,27070300
2000-08-31,1.41,1.43,1.41,1.42,0.58,105215100
2000-09-01,1.42,1.43,1.42,1.42,0.58,63342400
2000-09-05,1.42,1.44,1.42,1.42,0.58,35471600
2000-09-06,1.42,1.44,1.42,1.43,0.58,58008200
2000-09-07,1.43,1.43,1.4,1.42,0.58,127751800
2000-09-08,1.43,1.44,1.41,1.44,0.58,118817200
2000-09-11,1.44,1.44,1.41,1.41,0.57,100814500
2000-09-12,1.41,1.41,1.38,1.4,0.57,232833700
2000-09-13,1.41,1.45,1.41,1.44,0.59,136419700
2000-09-14,1.44,1.46,1.44,1.46,0.59,146554400
2000-09-15,1.46,1.46,1.42,1.42,0.58,220831900
2000-09-18,1.41,1.41,1.37,1.38,0.56,87079100
2000-09-19,1.38,1.38,1.36,1.36,0.55,82945300
2000-09-20,1.36,1.37,1.35,1.35,0.55,63475600
2000-09-21,1.35,1.35,1.33,1.33,0.54,131752300
2000-09-22,1.32,1.33,1.3,1.31,0.53,209496900
2000-09-25,1.31,1.34,1.3,1.3,0.53,128285100
2000-09-26,1.3,1.37,1.29,1.36,0.55,120550700
2000-09-27,1.36,1.43,1.36,1.43,0.58,167224200
2000-09-28,1.46,1.51,1.44,1.48,0.6,841055900
2000-09-29,1.48,1.54,1.46,1.54,0.63,282307600
2000-10-02,1.52,1.52,1.47,1.48,0.6,208830400
2000-10-03,1.47,1.49,1.43,1.48,0.6,64675900
2000-10-04,1.49,1.5,1.45,1.48,0.6,138686700
2000-10-05,1.48,1.53,1.48,1.51,0.62,179359300
2000-10-06,1.51,1.52,1.47,1.48,0.6,132285800
2000-10-09,1.47,1.48,1.46,1.46,0.6,79211200
2000-10-10,1.46,1.51,1.46,1.5,0.61,181226200
2000-10-11,1.49,1.5,1.47,1.47,0.6,154689100
2000-10-12,1.46,1.47,1.41,1.46,0.59,246302300
2000-10-13,1.46,1.5,1.46,1.49,0.61,90412800
2000-10-16,1.48,1.49,1.45,1.45,0.59,74944000
2000-10-17,1.46,1.46,1.45,1.46,0.59,22403200
2000-10-18,1.45,1.45,1.4,1.41,0.57,80011400
2000-10-19,1.4,1.46,1.4,1.46,0.59,108948800
2000-10-20,1.45,1.47,1.45,1.46,0.6,245769000
2000-10-23,1.46,1.46,1.41,1.42,0.58,170424700
2000-10-24,1.42,1.45,1.41,1.44,0.59,168157700
2000-10-25,1.43,1.44,1.41,1.43,0.58,114549700
2000-10-26,1.43,1.45,1.41,1.42,0.58,200562300
2000-10-27,1.43,1.46,1.41,1.45,0.59,85345700
2000-10-30,1.46,1.46,1.44,1.46,0.59,245635600
2000-10-31,1.46,1.46,1.39,1.41,0.57,773445900
2000-11-01,1.42,1.43,1.36,1.37,0.56,267238900
2000-11-02,1.38,1.42,1.38,1.38,0.56,293909300
2000-11-03,1.38,1.39,1.35,1.37,0.56,71610300
