Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,13.12,13.42,12.86,13.42,10.71,302800
2000-01-03,13.25,13.44,13.0,13.44,10.72,248400
2000-01-04,13.06,13.38,12.28,12.34,9.85,563200
2000-01-05,12.38,12.69,12.06,12.59,10.05,860000
2000-01-06,12.8,13.06,12.25,12.47,9.95,819200
2000-01-07,12.42,12.53,12.25,12.47,9.95,335600
2000-01-10,12.41,13.0,12.23,12.93,10.32,966400
2000-01-11,12.53,13.08,12.53,12.98,10.36,310800
2000-01-12,12.97,13.06,12.84,12.92,10.31,385600
2000-01-13,12.89,13.0,12.5,13.0,10.37,370400
2000-01-14,12.58,13.27,12.58,13.19,10.52,247200
2000-01-18,13.12,13.97,13.02,13.81,11.02,522400
2000-01-19,13.75,14.48,13.72,14.08,11.23,437600
2000-01-20,13.94,14.25,13.75,14.22,11.34,222400
2000-01-21,14.28,14.56,14.12,14.53,11.59,429600
2000-01-24,14.5,14.59,14.31,14.56,11.62,739200
2000-01-25,14.5,14.59,14.44,14.52,11.58,342400
2000-01-26,14.47,14.75,14.44,14.5,11.57,364000
2000-01-27,14.72,14.75,14.38,14.53,11.59,384400
2000-01-28,14.5,14.72,14.44,14.59,11.64,590000
2000-01-31,14.5,15.19,14.0,14.31,11.42,831200
2000-02-01,14.31,14.53,13.31,13.75,10.97,540400
2000-02-02,13.59,13.94,13.48,13.75,10.97,424800
2000-02-03,13.7,13.99,13.7,13.81,11.02,303600
2000-02-04,13.86,14.69,13.78,14.69,11.72,455200
2000-02-07,14.25,14.84,14.25,14.81,11.82,315200
2000-02-08,14.8,15.12,14.75,15.08,12.03,511600
2000-02-09,15.06,15.28,15.06,15.16,12.09,538400
2000-02-10,15.17,15.28,14.84,14.93,11.91,396000
2000-02-11,14.99,15.44,14.86,15.25,12.17,480800
2000-02-14,15.2,16.19,14.91,15.03,12.01,1492000
2000-02-15,15.25,15.25,14.77,14.86,11.88,163600
2000-02-16,14.75,15.06,14.75,15.02,12.0,743600
2000-02-17,15.08,15.08,14.62,15.0,11.99,328400
2000-02-18,14.97,15.03,14.88,14.98,11.98,511200
2000-02-22,14.98,15.0,14.75,14.88,11.89,234800
2000-02-23,14.81,15.44,14.81,15.41,12.32,699200
2000-02-24,15.44,15.75,15.25,15.62,12.49,739200
2000-02-25,15.42,16.12,15.41,15.94,12.74,417600
2000-02-28,15.94,16.25,15.73,16.16,12.92,517600
2000-02-29,15.94,17.5,15.88,17.47,13.96,504400
2000-03-01,17.39,17.69,17.22,17.62,14.09,635200
2000-03-02,17.52,17.62,17.41,17.52,14.0,460000
2000-03-03,17.52,17.88,17.38,17.55,14.02,538400
2000-03-06,17.69,17.81,17.41,17.59,14.06,306400
2000-03-07,17.62,17.62,16.0,17.19,13.74,441000
2000-03-08,17.19,17.68,17.0,17.53,14.01,350000
2000-03-09,17.62,18.69,17.38,18.53,14.81,463400
2000-03-10,18.5,20.0,18.39,19.56,15.63,702200
2000-03-13,18.75,19.06,18.25,18.53,14.81,326800
2000-03-14,18.56,19.62,18.28,19.12,15.28,435000
2000-03-15,19.25,19.41,18.09,18.59,14.86,615000
2000-03-16,18.62,19.03,17.88,18.0,14.39,284400
2000-03-17,18.03,19.25,18.0,18.05,14.42,223000
2000-03-20,18.14,18.25,16.5,17.0,13.59,186000
2000-03-21,16.69,17.12,16.0,17.03,13.61,174800
2000-03-22,17.0,18.12,16.62,17.97,14.36,146000
2000-03-23,18.31,19.06,18.0,18.53,14.81,190400
2000-03-24,18.72,18.97,16.97,18.53,14.81,360200
2000-03-27,18.5,18.69,18.0,18.0,14.39,233600
2000-03-28,18.12,18.34,16.94,17.16,13.71,153800
2000-03-29,17.16,17.62,16.5,17.19,13.74,128400
2000-03-30,17.0,17.0,16.5,16.59,13.26,161800
2000-03-31,16.75,18.5,16.56,18.44,14.73,479000
2000-04-03,18.31,18.5,17.44,17.56,14.04,421200
2000-04-04,17.56,17.94,15.0,16.88,13.49,420000
2000-04-05,16.88,18.0,16.88,17.47,13.96,341800
2000-04-06,17.34,18.22,17.16,18.12,14.49,509200
2000-04-07,18.38,19.5,18.19,19.5,15.58,664800
2000-04-10,19.5,19.5,17.0,17.31,13.84,313400
2000-04-11,17.25,18.5,17.0,17.92,14.32,277400
2000-04-12,17.62,18.5,17.25,17.91,14.31,182800
2000-04-13,17.88,18.19,16.81,16.88,13.49,163000
2000-04-14,16.5,16.5,15.81,15.97,12.76,288000
2000-04-17,15.91,17.75,15.91,17.75,14.19,326400
2000-04-18,17.75,18.94,17.16,18.94,15.13,143800
2000-04-19,19.22,20.28,18.38,20.19,16.13,496000
2000-04-20,20.16,20.25,19.25,19.28,15.41,176000
2000-04-24,19.28,19.78,18.0,19.78,15.81,286200
2000-04-25,20.19,20.5,19.62,19.62,15.68,657600
2000-04-26,19.94,20.66,18.0,18.0,14.39,478400
2000-04-27,18.16,20.12,17.91,20.12,16.08,453200
2000-04-28,20.16,20.44,19.41,19.75,15.78,375400
2000-05-01,19.77,20.19,19.5,20.0,15.98,201400
2000-05-02,20.0,20.16,18.69,18.69,14.95,502400
2000-05-03,19.38,19.5,18.25,19.0,15.2,189000
2000-05-04,19.0,20.22,18.62,19.75,15.8,411200
2000-05-05,19.53,20.19,19.44,19.94,15.95,249800
2000-05-08,20.0,20.0,18.25,18.31,14.65,205000
2000-05-09,18.75,19.0,18.0,18.41,14.73,158400
2000-05-10,18.27,18.38,18.06,18.16,14.53,110800
2000-05-11,18.06,19.5,18.06,19.5,15.6,218200
2000-05-12,19.28,19.47,18.31,18.31,14.65,309000
2000-05-15,18.5,18.59,17.62,18.25,14.6,336800
2000-05-16,18.22,19.19,18.19,19.19,15.35,159000
2000-05-17,18.94,19.94,18.88,19.91,15.93,308800
2000-05-18,19.75,19.88,18.62,18.62,14.9,255400
2000-05-19,18.64,19.25,18.25,18.62,14.9,152200
2000-05-22,18.75,18.75,18.0,18.62,14.9,225200
2000-05-23,18.56,18.62,18.12,18.22,14.58,220000
2000-05-24,18.22,19.28,18.16,18.98,15.19,318200
2000-05-25,18.88,20.0,18.88,19.0,15.2,1312000
2000-05-26,19.0,19.59,18.78,19.56,15.65,550600
2000-05-30,19.56,20.12,19.31,20.06,16.05,688800
2000-05-31,19.41,22.03,19.41,21.74,17.4,1105600
2000-06-01,22.47,23.5,22.0,23.34,18.68,1051600
2000-06-02,23.31,24.88,22.88,24.28,19.43,1123800
2000-06-05,23.97,23.97,23.44,23.53,18.83,341400
2000-06-06,23.47,23.83,23.25,23.83,19.07,528400
2000-06-07,23.66,24.5,23.5,24.5,19.6,452000
2000-06-08,24.34,24.56,23.69,24.0,19.2,487400
2000-06-09,24.28,24.5,23.81,24.22,19.38,164600
2000-06-12,24.34,24.41,23.75,24.19,19.35,387600
2000-06-13,23.56,24.44,23.44,24.44,19.55,424400
2000-06-14,24.0,24.38,23.88,24.03,19.23,146800
2000-06-15,24.14,25.19,23.75,25.16,20.13,904800
2000-06-16,25.5,26.5,25.12,25.97,20.78,1603000
2000-06-19,26.0,26.06,24.94,25.5,20.4,416000
2000-06-20,25.81,26.06,24.88,25.41,20.33,659800
2000-06-21,25.62,25.62,24.25,24.75,19.8,282000
2000-06-22,24.84,25.75,24.84,25.12,20.1,458600
2000-06-23,25.0,25.28,22.59,22.97,18.38,394800
2000-06-26,23.16,25.56,22.88,25.44,20.35,363400
2000-06-27,24.81,24.94,23.5,24.22,19.38,345400
2000-06-28,24.3,24.94,24.3,24.94,19.95,507400
2000-06-29,24.12,24.46,23.31,24.28,19.43,480600
2000-06-30,24.47,25.5,23.5,25.06,20.05,1570200
2000-07-03,25.0,25.0,24.25,24.41,19.53,50600
2000-07-05,24.12,25.06,23.31,23.53,18.83,260400
2000-07-06,23.66,24.0,22.94,23.81,19.05,326600
2000-07-07,24.0,24.75,23.88,24.69,19.75,485800
2000-07-10,24.52,25.0,23.66,24.88,19.9,289600
2000-07-11,24.94,25.56,24.81,24.91,19.93,863800
2000-07-12,25.0,25.09,23.69,24.44,19.55,295200
2000-07-13,24.33,24.53,23.25,24.44,19.55,500200
2000-07-14,23.83,24.88,23.03,24.81,19.85,471600
2000-07-17,24.94,25.31,24.44,25.31,20.25,250400
2000-07-18,24.81,27.25,24.09,25.81,20.65,483800
2000-07-19,25.31,26.06,25.31,25.69,20.55,254800
2000-07-20,25.5,27.0,25.5,27.0,21.6,502000
2000-07-21,26.88,26.97,24.22,24.56,19.65,391200
2000-07-24,24.64,25.03,23.28,23.5,18.8,207600
2000-07-25,23.62,24.38,23.5,23.88,19.1,170600
2000-07-26,23.75,24.12,23.34,24.0,19.2,151000
2000-07-27,23.47,23.84,23.44,23.5,18.8,376000
