Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,46.75,47.19,46.56,46.62,27.85,1371200
2000-01-03,46.56,46.88,45.78,46.09,27.53,4642400
2000-01-04,45.56,45.78,44.38,44.41,26.52,7822200
2000-01-05,44.41,45.41,44.22,44.88,26.8,8229600
2000-01-06,45.16,46.97,45.06,46.28,27.64,5356400
2000-01-07,47.06,48.47,46.81,48.25,28.82,9863800
2000-01-10,48.34,48.47,47.03,47.03,28.09,4928600
2000-01-11,46.5,47.47,46.47,47.19,28.18,6153000
2000-01-12,46.94,47.53,46.59,46.75,27.92,5163200
2000-01-13,46.97,48.0,46.53,46.69,27.88,4659200
2000-01-14,46.97,47.19,46.41,46.84,27.98,5404800
2000-01-18,46.0,46.53,45.53,45.66,27.27,4870000
2000-01-19,45.5,46.03,45.31,45.81,27.36,5507400
2000-01-20,46.12,46.16,45.03,45.97,27.46,4823400
2000-01-21,45.88,45.88,44.81,44.94,26.84,8538000
2000-01-24,45.06,45.09,41.78,41.84,24.99,11304200
2000-01-25,41.94,43.47,41.78,42.62,25.46,12956800
2000-01-26,43.12,43.44,41.53,41.75,24.94,9491400
2000-01-27,41.88,41.97,40.25,40.25,24.04,12406600
2000-01-28,40.44,42.59,40.44,42.25,25.23,12340000
2000-01-31,42.59,43.38,41.41,43.03,25.7,9055200
2000-02-01,42.72,42.75,42.19,42.41,25.33,6079200
2000-02-02,42.75,43.16,42.47,42.69,25.5,5791600
2000-02-03,42.5,42.5,40.94,41.66,24.88,10237200
2000-02-04,41.56,41.81,40.91,41.06,24.53,6906000
2000-02-07,40.78,41.0,40.5,40.72,24.32,5822000
2000-02-08,41.22,41.5,40.62,41.03,24.51,6125400
2000-02-09,41.03,41.06,39.84,40.0,23.89,12422600
2000-02-10,39.91,40.19,38.75,39.0,23.29,11344800
2000-02-11,38.88,39.22,37.97,38.72,23.29,10233200
2000-02-14,38.47,39.12,38.34,38.81,23.35,7373000
2000-02-15,38.84,40.12,38.75,39.84,23.97,9863400
2000-02-16,40.12,40.31,39.47,39.91,24.01,9247200
2000-02-17,40.47,40.56,39.38,39.59,23.82,5774400
2000-02-18,39.25,39.47,38.44,38.72,23.29,8246200
2000-02-22,39.0,39.53,38.38,39.31,23.65,7307400
2000-02-23,39.06,39.16,38.06,38.06,22.9,8293200
2000-02-24,37.5,37.62,36.0,36.88,22.18,18512800
2000-02-25,36.28,36.31,35.16,36.0,21.66,13221400
2000-02-28,36.0,36.47,35.03,36.38,21.88,13537800
2000-02-29,36.62,36.72,35.62,36.0,21.66,10183200
2000-03-01,36.12,36.69,35.53,36.69,22.07,9397200
2000-03-02,36.5,37.47,36.31,36.84,22.16,6793000
2000-03-03,37.12,37.12,36.12,36.75,22.11,5794600
2000-03-06,36.47,36.47,35.12,35.25,21.21,7631400
2000-03-07,35.25,35.25,33.06,34.25,20.6,16526400
2000-03-08,33.84,35.88,33.62,35.5,21.36,12836800
2000-03-09,35.5,36.5,34.97,36.34,21.86,9665400
2000-03-10,36.34,36.88,34.94,35.44,21.32,8722200
2000-03-13,34.81,35.78,34.66,35.0,21.06,5762600
2000-03-14,35.91,37.31,35.88,36.38,21.88,10342200
2000-03-15,36.12,39.09,35.91,38.47,23.14,12020200
2000-03-16,39.94,40.25,39.47,39.91,24.01,15359000
2000-03-17,39.66,39.97,39.09,39.78,23.93,11004200
2000-03-20,39.84,39.97,39.28,39.66,23.86,6755200
2000-03-21,39.06,40.5,39.06,40.12,24.14,8027600
2000-03-22,40.44,41.12,39.84,41.12,24.74,9983000
2000-03-23,40.62,40.97,39.97,40.0,24.06,10390000
2000-03-24,36.5,37.0,35.09,36.12,21.73,38763600
2000-03-27,35.5,35.62,34.31,34.88,20.98,22607600
2000-03-28,34.72,36.0,34.69,36.0,21.66,18375600
2000-03-29,35.03,36.06,35.03,35.53,21.38,14696000
2000-03-30,35.28,35.81,35.16,35.38,21.28,10338200
2000-03-31,35.5,35.56,35.03,35.12,21.13,8013400
2000-04-03,35.31,36.38,35.0,36.12,21.73,11106800
2000-04-04,36.59,38.38,36.53,38.38,23.09,22024200
2000-04-05,38.0,38.75,37.38,38.75,23.31,14044800
2000-04-06,38.62,38.66,37.16,37.44,22.52,8297000
