Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.88,13.25,12.75,13.16,8.13,422400
2000-01-03,13.09,13.19,12.75,12.88,7.96,882200
2000-01-04,12.62,12.75,12.34,12.38,7.65,696800
2000-01-05,12.34,12.47,12.09,12.16,7.52,556200
2000-01-06,12.31,12.97,12.16,12.75,7.88,1264800
2000-01-07,13.12,13.19,12.62,12.75,7.88,869800
2000-01-10,12.69,12.72,12.5,12.62,7.8,444600
2000-01-11,12.56,12.62,12.34,12.47,7.71,1162800
2000-01-12,12.44,12.47,11.91,11.97,7.4,762800
2000-01-13,11.88,11.88,11.28,11.44,7.07,1588200
2000-01-14,11.56,11.84,11.47,11.59,7.17,954600
2000-01-18,11.34,11.5,11.12,11.25,6.95,989800
2000-01-19,11.25,11.78,11.16,11.62,7.19,943000
2000-01-20,11.62,11.69,11.31,11.34,7.01,785800
2000-01-21,11.5,11.62,11.12,11.16,6.9,748600
2000-01-24,11.25,11.31,10.94,10.94,6.76,828600
2000-01-25,10.88,11.16,10.84,10.97,6.78,800000
2000-01-26,11.03,11.53,10.94,11.44,7.07,860400
2000-01-27,11.44,11.56,11.12,11.25,6.95,1138400
2000-01-28,11.12,11.19,10.81,10.91,6.74,892200
2000-01-31,10.91,11.0,10.66,11.0,6.8,898200
2000-02-01,10.97,11.16,10.69,11.03,6.82,852000
2000-02-02,11.0,11.25,10.94,11.06,6.84,578000
2000-02-03,11.09,11.69,11.09,11.25,6.95,1094000
2000-02-04,11.31,11.5,11.19,11.5,7.11,1251000
2000-02-07,11.47,11.62,11.28,11.31,6.99,1569800
2000-02-08,11.31,12.12,11.31,11.88,7.34,1053000
2000-02-09,11.75,11.84,11.44,11.44,7.07,1945400
2000-02-10,11.44,11.66,11.44,11.47,7.09,1234000
2000-02-11,11.47,11.47,11.0,11.0,6.8,1961600
2000-02-14,10.62,10.69,9.5,10.5,6.49,4257000
2000-02-15,10.25,10.28,10.12,10.22,6.32,993200
2000-02-16,10.28,10.28,9.62,9.78,6.05,1363200
2000-02-17,9.75,9.94,9.12,9.94,6.14,2174200
2000-02-18,10.34,10.72,10.03,10.5,6.49,2130000
2000-02-22,10.53,10.88,10.5,10.62,6.57,1613000
2000-02-23,10.5,10.62,10.5,10.5,6.49,865000
2000-02-24,10.5,10.5,9.94,10.0,6.18,1776000
2000-02-25,10.03,10.62,10.0,10.19,6.32,1099400
2000-02-28,10.25,10.5,10.12,10.22,6.34,960800
2000-02-29,10.12,10.88,10.06,10.66,6.61,1988200
2000-03-01,10.66,10.78,10.5,10.66,6.61,464800
2000-03-02,10.78,11.22,10.56,10.69,6.63,1357200
2000-03-03,11.12,12.0,11.0,11.25,6.98,1637200
2000-03-06,11.25,11.25,10.81,11.0,6.83,1032600
2000-03-07,10.78,10.84,10.56,10.62,6.59,790600
2000-03-08,10.53,11.06,10.44,10.91,6.77,798800
2000-03-09,10.94,11.47,10.91,11.16,6.92,837600
2000-03-10,11.31,11.31,11.0,11.06,6.87,648600
2000-03-13,10.97,10.97,10.66,10.78,6.69,678600
2000-03-14,10.88,10.94,10.53,10.62,6.59,1002000
2000-03-15,10.59,11.62,10.59,11.62,7.22,1186600
2000-03-16,11.69,12.75,11.69,12.44,7.72,2197000
2000-03-17,12.44,12.44,11.81,11.97,7.43,1402400
2000-03-20,12.31,12.44,11.75,12.06,7.49,1047200
2000-03-21,12.06,12.56,11.94,12.47,7.74,1177000
2000-03-22,12.22,12.38,11.94,12.31,7.64,584600
2000-03-23,12.38,13.88,12.22,13.78,8.55,2851800
2000-03-24,13.81,15.12,13.75,14.0,8.69,2583200
2000-03-27,14.12,14.75,14.06,14.41,8.94,1282200
2000-03-28,14.28,14.47,14.03,14.03,8.71,933400
2000-03-29,14.0,14.34,13.59,13.81,8.57,1146400
2000-03-30,13.69,14.19,13.28,14.09,8.75,1573600
2000-03-31,14.41,14.97,14.09,14.75,9.16,2177600
2000-04-03,14.97,15.44,14.59,15.16,9.41,1941600
2000-04-04,15.38,16.44,14.72,15.47,9.6,3195200
2000-04-05,15.25,16.5,15.19,16.28,10.11,1828400
2000-04-06,16.25,16.38,15.81,15.97,9.91,1606400
2000-04-07,15.88,16.0,15.53,15.84,9.83,947400
2000-04-10,15.78,16.34,15.72,16.0,9.93,673200
2000-04-11,16.0,16.16,15.84,16.09,9.99,921000
2000-04-12,16.25,17.25,16.19,16.88,10.47,1698200
2000-04-13,17.06,17.19,16.66,16.78,10.42,971200
2000-04-14,15.5,16.12,14.5,14.75,9.16,2118000
2000-04-17,14.62,14.75,13.75,13.97,8.67,1409800
2000-04-18,14.09,15.22,14.06,14.94,9.27,932000
2000-04-19,14.84,15.38,14.84,15.25,9.47,539400
2000-04-20,15.0,15.06,14.66,14.81,9.19,750800
2000-04-24,14.94,15.56,14.91,15.5,9.62,2033000
2000-04-25,15.53,16.38,15.5,16.28,10.11,1715000
2000-04-26,16.34,16.34,15.41,15.44,9.58,2027000
2000-04-27,15.12,15.12,14.0,14.19,8.81,1638000
2000-04-28,14.19,14.25,13.75,13.91,8.63,1235000
2000-05-01,13.91,15.0,13.91,14.88,9.23,996400
2000-05-02,14.75,14.81,14.44,14.62,9.08,988600
2000-05-03,13.75,13.88,13.12,13.41,8.32,1235200
2000-05-04,13.5,13.84,13.22,13.44,8.34,1208000
2000-05-05,13.38,13.88,13.31,13.81,8.57,770600
2000-05-08,13.62,14.0,13.44,13.88,8.61,568600
2000-05-09,13.75,14.09,13.69,14.0,8.69,617000
2000-05-10,13.91,13.94,13.44,13.59,8.44,407800
2000-05-11,13.69,13.88,13.28,13.31,8.26,1051600
2000-05-12,12.75,12.97,12.53,12.66,7.86,1606600
2000-05-15,12.62,12.88,12.38,12.69,7.87,1484200
2000-05-16,12.94,13.22,12.91,12.94,8.03,1763400
2000-05-17,12.62,12.81,12.5,12.5,7.76,2426600
2000-05-18,12.62,12.91,12.56,12.81,7.95,981600
2000-05-19,12.69,12.75,12.28,12.28,7.62,1204200
2000-05-22,12.5,12.75,12.41,12.47,7.74,633000
2000-05-23,12.34,12.72,12.25,12.5,7.76,372600
2000-05-24,12.41,12.41,11.81,11.97,7.43,823000
2000-05-25,12.09,12.28,11.88,12.0,7.45,1081600
2000-05-26,12.06,12.06,11.66,11.72,7.3,575600
2000-05-30,11.75,12.22,11.72,12.09,7.53,438000
2000-05-31,12.0,12.62,12.0,12.56,7.83,436600
2000-06-01,12.5,12.56,11.75,11.97,7.46,1140200
2000-06-02,12.0,12.38,11.94,12.25,7.63,1162400
2000-06-05,12.12,12.22,11.91,11.97,7.46,634200
2000-06-06,11.66,11.78,11.06,11.22,6.99,1861200
2000-06-07,11.81,13.16,11.75,12.84,8.0,3165600
2000-06-08,12.5,12.62,12.0,12.16,7.57,776400
2000-06-09,12.28,12.62,12.03,12.03,7.5,891600
2000-06-12,12.06,12.34,11.95,11.95,7.45,427800
2000-06-13,11.91,12.12,11.81,11.97,7.46,644400
2000-06-14,12.19,12.75,12.19,12.59,7.85,1193200
2000-06-15,12.69,12.84,12.59,12.66,7.89,616400
2000-06-16,12.66,12.75,12.0,12.12,7.55,797600
2000-06-19,12.19,12.38,12.0,12.22,7.61,380800
2000-06-20,12.16,12.16,11.88,11.94,7.44,452200
2000-06-21,11.97,11.97,11.56,11.69,7.28,779200
2000-06-22,11.56,11.94,11.44,11.81,7.36,986000
2000-06-23,11.88,12.19,11.81,12.19,7.59,458400
2000-06-26,12.19,12.5,12.0,12.12,7.55,809200
2000-06-27,12.25,12.81,12.03,12.62,7.87,1070400
2000-06-28,12.69,12.88,12.31,12.57,7.83,544800
2000-06-29,12.5,12.5,11.81,12.03,7.5,1277200
2000-06-30,12.0,12.34,12.0,12.06,7.52,770800
2000-07-03,12.0,12.19,11.78,11.78,7.34,453600
2000-07-05,11.94,11.97,11.69,11.88,7.4,1406800
2000-07-06,11.38,11.38,10.94,11.25,7.01,3642800
2000-07-07,11.25,11.62,11.12,11.62,7.24,1744200
2000-07-10,11.62,12.69,11.5,12.59,7.85,1443800
2000-07-11,12.47,12.56,12.16,12.5,7.79,534000
2000-07-12,12.38,12.56,12.22,12.25,7.63,495400
2000-07-13,12.25,12.31,11.69,11.72,7.3,1025200
2000-07-14,11.72,12.09,11.72,12.06,7.52,354800
2000-07-17,12.0,12.12,11.75,11.97,7.46,357600
2000-07-18,11.84,12.09,11.78,12.03,7.5,602000
2000-07-19,12.0,12.03,11.47,11.53,7.18,726800
2000-07-20,11.56,11.72,11.34,11.41,7.11,667800
2000-07-21,11.28,11.38,11.0,11.12,6.93,909200
2000-07-24,11.06,11.12,10.72,10.72,6.68,700800
2000-07-25,10.81,10.97,10.62,10.84,6.76,1003400
2000-07-26,10.97,11.44,10.91,11.12,6.93,866200
2000-07-27,11.19,11.34,10.94,11.09,6.91,1196600
2000-07-28,8.75,9.06,8.28,9.06,5.65,7752600
2000-07-31,8.94,8.94,8.56,8.75,5.45,2731200
2000-08-01,8.94,9.06,8.72,9.03,5.63,1698400
2000-08-02,9.06,9.5,9.03,9.38,5.84,1699800
2000-08-03,9.19,9.22,8.88,9.06,5.65,1692000
2000-08-04,9.03,9.22,9.0,9.16,5.7,685600
2000-08-07,9.16,9.31,9.06,9.25,5.76,1133600
2000-08-08,9.25,9.31,9.03,9.22,5.74,743200
2000-08-09,9.19,9.25,9.0,9.19,5.72,1047400
2000-08-10,9.22,9.22,8.88,8.88,5.53,682800
2000-08-11,9.06,9.19,9.0,9.12,5.69,486800
2000-08-14,9.12,9.19,9.03,9.09,5.67,818400
2000-08-15,9.03,9.09,8.88,8.94,5.57,779800
2000-08-16,8.94,9.06,8.75,8.97,5.59,1339200
2000-08-17,8.84,8.97,8.66,8.75,5.45,1052400
2000-08-18,8.69,9.31,8.62,9.12,5.69,1367000
2000-08-21,9.28,9.41,9.12,9.38,5.84,1309400
2000-08-22,9.38,9.56,9.31,9.47,5.9,716800
2000-08-23,9.53,9.75,9.31,9.62,6.0,525000
2000-08-24,9.62,9.69,9.41,9.47,5.9,597600
2000-08-25,9.59,9.69,9.47,9.62,6.0,471200
2000-08-28,9.56,9.69,9.41,9.5,5.92,554600
2000-08-29,9.44,9.47,9.12,9.34,5.85,1100400
2000-08-30,9.22,9.25,9.0,9.19,5.75,844800
2000-08-31,9.0,9.16,8.62,9.0,5.63,3086000
2000-09-01,8.38,9.5,8.38,9.47,5.93,3928400
2000-09-05,9.59,9.62,8.75,9.06,5.67,1527800
2000-09-06,9.0,9.41,9.0,9.34,5.85,889200
2000-09-07,9.47,9.47,9.12,9.19,5.75,713800
2000-09-08,9.12,9.5,9.06,9.31,5.83,871200
2000-09-11,9.41,9.59,9.16,9.25,5.79,636000
2000-09-12,9.22,9.28,8.97,9.12,5.71,1200000
2000-09-13,9.0,9.03,8.97,9.0,5.63,1239400
2000-09-14,9.0,9.06,8.84,8.88,5.56,946400
2000-09-15,8.62,9.19,8.62,8.84,5.54,1456000
2000-09-18,8.88,8.88,8.56,8.56,5.36,893200
2000-09-19,8.5,8.56,8.41,8.47,5.3,669400
2000-09-20,8.5,8.56,8.19,8.19,5.13,786600
2000-09-21,8.31,8.47,8.16,8.25,5.16,1078600
2000-09-22,8.06,8.22,7.91,8.06,5.05,905800
2000-09-25,8.09,8.12,7.81,7.81,4.89,993000
2000-09-26,7.75,7.75,7.38,7.5,4.69,1375400
2000-09-27,7.44,7.59,7.31,7.44,4.66,1072400
2000-09-28,7.44,7.72,7.44,7.56,4.73,928400
2000-09-29,7.5,8.0,7.5,7.78,4.87,1558200
2000-10-02,7.75,7.75,7.44,7.44,4.66,978800
2000-10-03,7.31,7.62,7.31,7.47,4.68,833600
2000-10-04,7.41,7.91,7.28,7.59,4.75,931400
2000-10-05,7.78,8.53,7.78,8.19,5.13,2841000
2000-10-06,8.12,8.16,7.34,7.41,4.64,1807000
2000-10-09,7.56,8.03,7.53,7.84,4.91,844200
2000-10-10,7.78,8.0,7.5,7.84,4.91,1166400
2000-10-11,7.5,7.84,7.25,7.31,4.58,2108000
2000-10-12,7.31,7.41,7.12,7.16,4.48,930000
2000-10-13,7.09,7.56,7.06,7.44,4.66,1475600
2000-10-16,7.47,7.88,7.44,7.81,4.89,1066800
2000-10-17,7.72,7.75,7.47,7.56,4.73,868600
2000-10-18,7.5,7.53,7.25,7.44,4.66,854000
2000-10-19,7.28,7.94,7.28,7.81,4.89,1390600
2000-10-20,7.78,7.88,7.44,7.56,4.73,623200
2000-10-23,7.5,7.78,7.44,7.5,4.69,520600
2000-10-24,7.53,7.84,7.47,7.62,4.77,709600
2000-10-25,7.72,7.75,7.38,7.47,4.68,571400
2000-10-26,7.41,7.56,7.28,7.34,4.6,457800
2000-10-27,7.38,7.62,7.38,7.5,4.69,497800
2000-10-30,7.56,8.0,7.53,7.91,4.95,697800
2000-10-31,7.78,8.31,7.78,8.22,5.14,1472600
2000-11-01,8.09,8.16,7.94,8.06,5.05,437400
2000-11-02,8.09,8.75,8.0,8.59,5.38,2027200
2000-11-03,8.66,8.69,8.25,8.44,5.28,887200
2000-11-06,8.62,9.03,8.41,8.91,5.58,1946000
2000-11-07,9.03,9.19,8.97,9.16,5.73,1757400
2000-11-08,9.09,9.56,9.0,9.5,5.95,1924600
2000-11-09,9.25,9.28,8.75,9.22,5.77,1246400
2000-11-10,9.22,9.22,8.56,8.81,5.52,970600
2000-11-13,8.69,9.09,8.66,8.94,5.59,713000
2000-11-14,8.97,9.41,8.94,9.16,5.73,738000
2000-11-15,9.03,9.12,8.69,9.06,5.67,752200
2000-11-16,8.75,8.75,8.38,8.62,5.4,1783800
2000-11-17,8.62,8.78,8.5,8.69,5.44,651200
2000-11-20,8.69,8.69,8.25,8.44,5.28,603000
2000-11-21,8.44,8.47,7.94,8.03,5.03,1106800
2000-11-22,8.03,8.06,7.75,7.78,4.87,1051800
2000-11-24,7.91,7.94,7.84,7.88,4.93,304000
2000-11-27,8.0,8.62,8.0,8.25,5.16,978400
2000-11-28,8.22,8.22,8.0,8.19,5.15,1086200
2000-11-29,8.12,8.19,7.94,8.12,5.11,943800
2000-11-30,8.09,8.12,7.75,8.03,5.06,1356800
2000-12-01,8.12,8.16,7.91,8.0,5.04,476200
2000-12-04,7.91,8.59,7.91,8.56,5.39,1757000
2000-12-05,8.38,8.81,8.31,8.47,5.33,1296000
2000-12-06,8.34,8.78,8.28,8.38,5.27,778600
2000-12-07,8.28,8.28,8.0,8.22,5.17,616000
2000-12-08,8.25,8.41,8.19,8.34,5.25,782800
2000-12-11,8.38,8.41,8.0,8.12,5.11,647600
2000-12-12,8.12,8.38,7.97,8.28,5.21,1462200
2000-12-13,8.31,8.31,7.91,8.09,5.09,491800
2000-12-14,7.94,8.03,7.75,7.81,4.92,523400
2000-12-15,7.69,8.06,7.62,7.81,4.92,1325000
2000-12-18,8.0,8.19,7.91,8.09,5.09,1004800
2000-12-19,8.12,8.16,7.69,7.72,4.86,755400
2000-12-20,7.53,7.94,7.5,7.91,4.98,806800
2000-12-21,7.44,8.19,7.44,7.94,5.0,998400
2000-12-22,7.84,8.41,7.81,8.34,5.25,859600
2000-12-26,8.25,8.31,7.97,8.16,5.13,569600
2000-12-27,8.06,9.19,8.03,9.16,5.76,1709200
2000-12-28,9.22,9.69,8.94,9.38,5.9,1197800
2000-12-29,9.28,9.34,9.03,9.09,5.72,644600
2001-01-02,9.09,9.53,9.06,9.16,5.76,1002600
2001-01-03,9.19,9.88,9.06,9.88,6.22,1621400
2001-01-04,9.69,10.44,9.44,10.19,6.41,1472200
2001-01-05,9.75,9.75,9.28,9.44,5.94,1822000
2001-01-08,9.38,9.38,9.0,9.28,5.84,1469600
2001-01-09,9.41,9.41,9.25,9.31,5.86,492800
2001-01-10,9.31,9.41,9.06,9.25,5.82,381400
2001-01-11,9.25,9.44,9.09,9.19,5.78,692600
2001-01-12,9.31,9.44,9.09,9.44,5.94,393200
2001-01-16,9.34,9.44,9.09,9.38,5.9,961800
2001-01-17,9.41,9.44,9.22,9.41,5.92,427200
