Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,54.69,56.56,54.44,55.69,31.81,755800
2000-01-03,56.12,56.12,51.69,54.25,30.99,3769400
2000-01-04,53.28,55.22,51.81,51.94,29.66,3129800
2000-01-05,50.94,51.0,48.31,49.34,28.18,5478600
2000-01-06,48.59,50.75,48.5,49.72,28.4,8351000
2000-01-07,49.91,52.75,48.75,52.66,30.07,6038200
2000-01-10,54.06,59.12,53.97,58.28,33.29,5177000
2000-01-11,56.75,60.0,56.62,57.78,33.0,4988200
2000-01-12,57.94,60.69,55.81,59.59,34.04,6113000
2000-01-13,58.75,61.0,56.91,59.88,34.2,7030000
2000-01-14,62.53,69.88,62.44,69.0,39.41,10145600
2000-01-18,68.12,68.62,64.56,65.31,37.3,6755400
2000-01-19,64.56,67.12,62.5,64.31,36.73,2796600
2000-01-20,65.06,66.12,59.5,63.25,36.13,4974600
2000-01-21,63.62,65.12,61.88,64.25,36.7,3352900
2000-01-24,65.0,66.0,59.0,59.81,34.16,3038100
2000-01-25,60.69,62.12,56.75,61.94,35.38,2354200
2000-01-26,62.25,62.5,58.38,58.38,33.34,2487700
2000-01-27,59.31,62.0,54.38,56.94,32.52,3446300
2000-01-28,55.0,57.88,54.5,56.31,32.16,3466400
2000-01-31,55.38,60.31,54.88,58.62,33.48,4471300
2000-02-01,58.44,62.25,57.25,60.62,34.63,3138800
2000-02-02,59.25,65.12,59.25,64.56,36.88,5396500
2000-02-03,64.94,66.5,63.5,66.19,37.8,3979900
2000-02-04,67.25,67.88,65.81,65.94,37.66,5089400
2000-02-07,65.62,69.0,65.0,68.19,38.95,2810400
2000-02-08,68.88,70.0,67.5,69.75,39.84,3813800
2000-02-09,68.25,71.69,66.19,67.81,38.73,4037400
2000-02-10,67.69,71.0,66.69,70.44,40.23,1995400
2000-02-11,70.62,70.75,67.75,68.5,39.12,1689800
2000-02-14,68.0,69.12,65.88,67.62,38.62,2027100
2000-02-15,67.0,70.5,65.0,69.69,39.8,2724100
2000-02-16,71.0,73.38,70.38,71.75,40.98,3866200
2000-02-17,72.38,74.12,70.38,74.0,42.27,2928900
2000-02-18,72.88,73.44,67.88,68.0,38.84,2433800
2000-02-22,67.94,73.0,65.12,71.62,40.91,2742100
2000-02-23,71.38,73.69,70.19,72.31,41.3,2477200
2000-02-24,73.75,74.38,70.31,72.81,41.59,3568500
2000-02-25,72.94,74.75,68.62,68.62,39.2,2569800
2000-02-28,67.88,70.53,64.34,69.81,39.87,3464600
2000-02-29,71.62,78.81,71.62,77.94,44.51,5754100
2000-03-01,78.88,80.0,75.19,75.31,43.02,2647500
2000-03-02,77.12,78.25,72.12,72.12,41.19,2101700
2000-03-03,76.25,83.25,76.12,83.25,47.55,3855900
2000-03-06,85.0,86.25,83.0,83.94,47.94,4428700
2000-03-07,84.88,85.38,80.12,84.0,47.98,3361900
2000-03-08,83.88,84.0,77.12,79.0,45.12,4588300
2000-03-09,79.06,85.25,78.06,85.0,48.55,2837500
2000-03-10,84.62,91.5,83.5,91.12,52.05,3701800
2000-03-13,86.25,87.5,82.5,83.94,47.94,3553300
2000-03-14,86.25,86.25,76.25,76.38,43.62,3356100
2000-03-15,77.19,80.06,74.06,75.12,42.91,3840700
2000-03-16,76.88,79.25,70.38,75.12,42.91,7237100
2000-03-17,74.12,80.25,72.88,80.0,45.69,4847400
2000-03-20,79.88,81.62,77.0,77.06,44.01,2706700
2000-03-21,77.88,80.69,74.0,80.69,46.09,3892000
2000-03-22,80.5,85.0,80.44,83.56,47.73,3256500
2000-03-23,84.88,90.25,84.62,86.75,49.55,5604100
2000-03-24,87.44,91.69,87.38,89.31,51.01,3079600
2000-03-27,89.44,91.0,87.5,89.44,51.08,1950500
2000-03-28,88.62,89.25,84.56,85.0,48.55,2301700
2000-03-29,85.62,85.62,76.88,77.81,44.44,3600700
2000-03-30,76.75,82.5,75.94,79.25,45.26,3505300
2000-03-31,80.44,85.75,76.25,84.25,48.12,2928600
2000-04-03,84.12,84.25,75.5,77.06,44.01,3344200
2000-04-04,78.5,82.5,66.56,79.62,45.48,6737100
2000-04-05,77.88,86.94,77.12,81.38,46.48,6091700
2000-04-06,83.31,89.69,82.0,89.12,50.9,4445900
2000-04-07,89.69,97.75,88.38,97.44,55.65,5924000
2000-04-10,97.31,97.62,83.5,83.81,47.87,5175100
2000-04-11,81.0,90.69,79.0,86.38,49.33,6761700
2000-04-12,88.75,90.56,77.89,78.0,44.55,5835500
2000-04-13,82.12,82.75,63.88,64.75,36.98,12102500
2000-04-14,63.5,65.62,54.62,57.62,32.91,12581400
2000-04-17,57.0,69.5,56.0,68.0,38.84,8585900
2000-04-18,67.75,72.19,64.25,72.0,41.12,6424900
2000-04-19,71.44,71.69,64.0,64.56,36.88,4023000
2000-04-20,65.12,67.88,62.5,65.12,37.2,3461100
2000-04-24,63.12,67.25,59.12,63.88,36.48,4079100
2000-04-25,65.0,67.62,63.06,66.12,37.77,4382600
2000-04-26,67.19,70.0,63.5,63.69,36.38,4716500
2000-04-27,61.38,72.0,60.62,70.94,40.52,5710300
2000-04-28,72.44,75.5,70.94,74.88,42.77,4720700
2000-05-01,76.28,77.25,70.25,71.56,40.87,5387700
2000-05-02,71.0,75.75,68.5,68.69,39.23,6656800
2000-05-03,67.5,68.0,60.06,62.44,35.66,6786300
2000-05-04,64.0,65.12,61.12,63.0,35.98,4324000
2000-05-05,62.92,66.44,61.62,63.62,36.34,4684500
2000-05-08,63.31,63.5,59.62,59.94,34.23,4834900
2000-05-09,60.88,61.56,54.25,55.0,31.41,6424400
2000-05-10,54.0,55.06,47.25,49.0,27.99,10733600
2000-05-11,49.75,51.31,45.88,50.06,28.59,12884500
2000-05-12,51.88,54.38,50.56,51.81,29.59,5307200
2000-05-15,52.56,55.5,50.25,55.0,31.41,3519300
2000-05-16,57.0,58.81,55.06,57.0,32.56,6211200
2000-05-17,55.56,59.12,55.5,57.62,32.91,4532300
2000-05-18,58.25,58.75,56.38,56.62,32.34,2900500
2000-05-19,55.94,56.75,51.56,52.38,29.91,5972400
2000-05-22,52.56,52.62,45.12,52.06,29.74,6891600
2000-05-23,51.0,53.5,46.38,46.5,26.56,4992600
2000-05-24,46.0,48.75,40.0,48.0,27.42,11724700
2000-05-25,47.0,51.25,43.56,44.12,25.2,5709600
2000-05-26,44.81,46.25,43.0,45.44,25.95,2241100
2000-05-30,47.0,53.0,46.75,52.75,30.13,3845100
2000-05-31,52.38,54.0,49.12,49.56,28.31,5247800
2000-06-01,51.62,55.5,50.44,54.88,31.34,6829700
2000-06-02,59.12,62.25,56.38,61.5,35.13,6892600
2000-06-05,59.62,61.69,57.25,58.69,33.52,5308500
2000-06-06,58.94,59.75,54.44,54.56,31.16,4500700
2000-06-07,55.62,57.5,54.88,57.38,32.77,5235900
2000-06-08,58.19,59.25,57.19,58.25,33.27,3953300
2000-06-09,59.25,60.38,57.38,57.94,33.09,4148000
2000-06-12,58.88,58.88,54.12,54.38,31.06,3325500
2000-06-13,54.38,55.75,51.44,55.75,31.84,6233400
2000-06-14,56.25,57.12,51.0,53.12,30.34,4740000
2000-06-15,52.56,54.56,51.56,54.0,30.84,4236500
2000-06-16,55.81,56.69,53.31,54.88,31.34,5196500
2000-06-19,54.25,62.62,53.81,61.5,35.13,5010200
2000-06-20,62.5,66.12,62.12,63.44,36.23,7632200
2000-06-21,61.69,64.88,60.25,62.94,35.95,5047700
2000-06-22,64.19,64.69,61.12,61.62,35.2,4374300
2000-06-23,61.5,62.62,57.62,59.19,33.81,3039800
2000-06-26,59.81,63.12,59.81,63.06,36.02,3953900
2000-06-27,62.81,66.12,60.75,60.88,34.77,7853100
2000-06-28,61.5,64.31,60.5,61.88,35.34,4486600
2000-06-29,62.25,62.62,57.12,57.62,32.91,4542300
2000-06-30,58.56,61.38,57.5,58.56,33.45,4362000
2000-07-03,58.12,59.88,57.31,58.31,33.31,2536700
2000-07-05,56.25,56.31,49.75,50.06,28.59,8037500
2000-07-06,51.5,51.75,48.88,51.0,29.13,12600100
2000-07-07,52.94,55.23,52.75,53.75,30.7,6341000
2000-07-10,54.06,55.75,52.56,52.88,30.2,5363500
2000-07-11,54.12,56.75,53.0,56.12,32.06,8283700
2000-07-12,57.25,60.94,55.5,60.0,34.27,5803700
2000-07-13,61.62,63.12,58.06,58.94,33.66,5058000
2000-07-14,60.88,62.25,59.19,62.0,35.41,3351800
2000-07-17,63.69,64.75,62.19,63.69,36.38,3489100
2000-07-18,62.23,62.88,59.0,60.06,34.3,5009000
2000-07-19,59.44,59.69,54.62,54.75,31.27,5238800
2000-07-20,55.88,58.44,53.94,56.06,32.02,6373400
2000-07-21,54.06,55.19,50.25,50.44,28.81,5309000
2000-07-24,51.12,54.62,50.81,52.38,29.91,4151100
2000-07-25,54.06,55.81,52.12,55.19,31.52,4206500
2000-07-26,54.25,55.0,51.0,54.81,31.31,6479600
2000-07-27,51.31,52.75,48.0,50.5,28.84,8847100
2000-07-28,52.0,52.56,47.56,50.94,29.09,7929100
2000-07-31,51.44,54.5,50.5,53.25,30.41,6807900
2000-08-01,53.34,53.94,49.88,49.94,28.52,4503900
2000-08-02,50.5,52.62,49.25,50.75,28.99,5723700
2000-08-03,45.38,45.5,41.0,44.69,25.52,15703500
2000-08-04,46.44,47.0,43.06,45.0,25.7,7995300
2000-08-07,46.25,47.81,45.0,47.44,27.09,5843200
2000-08-08,47.5,48.44,45.06,45.75,26.13,4577000
2000-08-09,47.06,48.0,45.75,46.25,26.42,4499400
2000-08-10,45.38,46.12,41.94,42.38,24.2,6401800
2000-08-11,42.25,45.56,41.5,44.69,25.52,4593200
2000-08-14,45.62,51.5,44.81,51.0,29.13,7412400
2000-08-15,52.0,54.25,51.81,52.75,30.13,6338800
2000-08-16,53.62,54.62,52.62,53.25,30.41,4258000
2000-08-17,52.19,55.31,52.06,54.81,31.31,4716400
2000-08-18,55.25,58.0,54.88,55.06,31.45,6028700
2000-08-21,56.12,56.19,52.12,52.75,30.13,4108000
2000-08-22,53.09,57.0,52.0,55.62,31.77,4319600
2000-08-23,55.44,60.88,54.94,60.31,34.45,7399600
2000-08-24,60.44,61.12,57.62,58.81,33.59,6024900
2000-08-25,59.19,59.88,58.12,59.31,33.88,2757100
2000-08-28,59.31,61.94,59.25,61.19,34.95,4323600
2000-08-29,60.98,63.06,60.56,62.62,35.77,3642300
2000-08-30,62.5,65.5,61.69,65.19,37.23,5242100
2000-08-31,65.44,66.94,64.38,65.62,37.48,3689900
2000-09-01,65.88,67.38,64.31,66.81,38.16,2757100
2000-09-05,65.81,66.88,64.56,64.88,37.05,3905500
2000-09-06,62.88,63.44,59.0,59.17,33.8,6373900
2000-09-07,59.81,62.06,57.62,61.12,34.91,4483700
2000-09-08,59.69,59.75,55.69,55.75,31.84,3990000
2000-09-11,55.25,57.62,53.5,54.19,30.95,4257600
2000-09-12,54.14,56.0,49.5,50.19,28.66,5211500
2000-09-13,49.44,52.5,48.62,51.5,29.41,6697300
2000-09-14,52.88,54.25,50.38,51.0,29.13,3791200
2000-09-15,49.81,50.25,48.0,49.88,28.49,4650500
2000-09-18,50.25,54.0,48.38,49.19,28.09,5760900
2000-09-19,50.56,53.5,49.12,53.38,30.49,4317500
2000-09-20,53.25,54.31,50.5,53.31,30.45,4810300
2000-09-21,53.09,53.25,48.5,49.31,28.17,7962300
2000-09-22,45.12,45.12,41.5,43.38,24.77,19536500
2000-09-25,44.88,45.0,41.06,42.25,24.13,10010600
2000-09-26,42.5,42.73,39.75,39.81,22.74,7621200
2000-09-27,40.69,43.38,40.25,40.88,23.35,6360600
2000-09-28,40.56,46.25,40.38,45.31,25.88,6884400
2000-09-29,44.0,44.0,40.56,41.19,23.52,7163800
2000-10-02,41.5,41.75,37.5,38.0,21.7,6957500
2000-10-03,38.44,40.25,37.56,37.69,21.53,6505700
2000-10-04,37.31,41.88,37.31,40.69,23.24,6319000
2000-10-05,40.19,40.56,37.31,38.19,21.81,6307500
2000-10-06,37.62,38.75,34.5,35.31,20.17,6968100
2000-10-09,35.31,37.75,32.94,36.06,20.6,4136900
2000-10-10,35.06,35.12,32.0,34.25,19.56,8943700
2000-10-11,32.94,37.69,32.12,35.62,20.35,9617900
2000-10-12,37.62,39.38,31.5,34.69,19.81,14728600
2000-10-13,34.5,36.5,34.0,34.56,19.74,10782800
2000-10-16,34.12,34.94,31.12,31.44,17.96,8487100
2000-10-17,31.81,33.0,26.75,28.06,16.03,15010600
2000-10-18,27.0,31.38,25.5,28.44,16.24,11945800
2000-10-19,31.44,35.25,31.12,35.0,19.99,7708700
2000-10-20,33.44,35.94,33.06,34.44,19.67,6397200
2000-10-23,34.25,37.12,34.12,36.31,20.74,4660600
2000-10-24,35.5,35.5,32.81,33.31,19.03,5634200
2000-10-25,32.06,33.38,30.31,32.06,18.31,8116100
2000-10-26,32.31,33.25,30.19,32.81,18.74,6370800
2000-10-27,34.0,34.88,30.25,31.12,17.78,7432800
2000-10-30,31.0,32.75,29.88,31.0,17.71,5731400
2000-10-31,32.12,34.62,32.12,33.81,19.31,6763600
2000-11-01,31.0,33.62,30.88,32.81,18.74,4487400
2000-11-02,33.12,34.62,33.06,33.5,19.13,7927500
2000-11-03,32.81,33.0,31.5,32.19,18.38,6491300
