Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,29.22,29.44,29.03,29.12,12.71,2829800.0
2000-01-03,29.0,29.0,27.62,28.19,12.3,10997000.0
2000-01-04,28.19,28.41,27.81,28.22,12.31,7308000.0
2000-01-05,28.22,28.72,28.03,28.47,12.42,9457400.0
2000-01-06,28.47,28.84,28.28,28.5,12.44,7129200.0
2000-01-07,28.94,30.38,28.94,30.38,13.26,11474000.0
2000-01-10,30.38,30.47,29.38,29.41,12.83,8723800.0
2000-01-11,30.06,30.62,30.06,30.41,13.27,9398000.0
2000-01-12,30.41,30.91,30.22,30.75,13.42,8389800.0
2000-01-13,30.72,30.72,30.22,30.28,13.21,6106000.0
2000-01-14,30.34,30.97,30.34,30.53,13.32,7513200.0
2000-01-18,30.53,32.5,30.53,32.5,14.18,18350800.0
2000-01-19,32.5,32.62,32.03,32.62,14.24,12813400.0
2000-01-20,32.62,32.97,32.56,32.94,14.37,11539800.0
2000-01-21,32.94,33.44,32.88,33.44,14.59,11385800.0
2000-01-24,33.38,33.38,31.78,32.44,14.16,11306000.0
2000-01-25,32.44,33.03,31.44,32.94,14.37,9718600.0
2000-01-26,32.75,32.75,31.38,31.53,13.76,23723800.0
2000-01-27,31.34,31.34,29.22,29.75,12.98,17550800.0
2000-01-28,29.75,29.78,28.47,28.47,12.42,10875200.0
2000-01-31,28.47,29.38,28.28,28.72,12.53,10734600.0
2000-02-01,28.72,29.19,28.16,29.06,12.68,8114600.0
2000-02-02,28.94,28.94,28.03,28.19,12.3,7164000.0
2000-02-03,28.19,28.38,27.53,27.62,12.06,9464400.0
2000-02-04,27.62,28.88,27.53,28.12,12.27,11501800.0
2000-02-07,28.12,28.81,27.78,28.44,12.41,7742800.0
2000-02-08,28.44,28.94,28.38,28.59,12.48,8261200.0
2000-02-09,28.59,28.88,28.38,28.5,12.44,7948600.0
2000-02-10,28.5,28.69,28.12,28.34,12.37,8031000.0
2000-02-11,27.97,27.97,27.44,27.78,12.12,7688600.0
2000-02-14,27.62,27.62,26.91,27.06,11.81,7134000.0
2000-02-15,27.06,27.88,26.62,27.84,12.15,7850800.0
2000-02-16,27.72,27.72,26.62,26.78,11.69,6869200.0
2000-02-17,26.78,26.78,25.59,26.16,11.41,11661000.0
2000-02-18,26.16,26.16,25.38,25.69,11.21,11443400.0
2000-02-22,25.69,26.31,25.25,25.88,11.29,10543000.0
2000-02-23,25.72,25.72,25.0,25.62,11.18,11021600.0
2000-02-24,25.25,25.25,24.16,24.91,10.87,15451600.0
2000-02-25,24.91,25.34,24.03,24.34,10.62,10905200.0
2000-02-28,24.34,24.84,23.78,24.66,10.76,10790800.0
2000-02-29,24.41,24.41,23.81,24.31,10.61,10346200.0
2000-03-01,24.59,25.69,24.59,25.5,11.13,15612200.0
2000-03-02,25.5,25.91,24.69,24.81,10.83,11358600.0
2000-03-03,24.81,25.19,24.53,25.06,10.94,9010600.0
2000-03-06,24.75,24.75,24.16,24.5,10.69,7866000.0
2000-03-07,24.5,24.5,22.41,23.56,10.28,23440200.0
2000-03-08,23.56,24.03,22.94,23.75,10.36,14441600.0
2000-03-09,23.75,23.78,22.94,23.38,10.2,12389400.0
2000-03-10,23.31,23.31,22.03,22.75,9.93,14059200.0
2000-03-13,22.16,22.16,21.56,21.88,9.62,15646400.0
2000-03-14,21.88,22.16,21.44,21.66,9.52,11162000.0
2000-03-15,21.75,23.91,21.75,23.78,10.46,22138200.0
2000-03-16,24.28,24.94,24.28,24.88,10.94,17610200.0
2000-03-17,24.88,24.97,24.38,24.56,10.8,14530800.0
2000-03-20,24.5,24.5,24.03,24.28,10.68,6755200.0
2000-03-21,24.28,24.84,23.69,24.72,10.87,8575800.0
2000-03-22,24.5,24.5,23.09,23.53,10.35,11884200.0
2000-03-23,23.53,24.19,23.22,23.5,10.33,10333800.0
2000-03-24,23.5,23.59,23.19,23.5,10.33,8769200.0
2000-03-27,23.5,23.56,22.62,22.62,9.95,10535400.0
2000-03-28,22.62,23.25,22.44,22.44,9.87,13673000.0
2000-03-29,22.66,23.53,22.66,23.44,10.3,16292600.0
2000-03-30,23.56,24.97,23.56,24.28,10.68,18795200.0
2000-03-31,24.28,24.34,23.47,23.47,10.32,8857000.0
2000-04-03,23.62,24.97,23.62,24.66,10.84,14186800.0
2000-04-04,24.66,26.19,24.09,26.19,11.51,27390200.0
2000-04-05,25.47,25.47,23.69,23.81,10.47,20256600.0
2000-04-06,23.81,23.97,22.38,22.88,10.06,20675000.0
2000-04-07,22.88,23.22,22.38,23.09,10.15,12374000.0
2000-04-10,23.09,23.59,22.44,22.5,9.89,12903000.0
2000-04-11,22.84,23.88,22.84,23.59,10.37,12096400.0
2000-04-12,23.84,24.97,23.84,24.25,10.66,15586400.0
2000-04-13,24.25,24.31,23.56,23.62,10.39,8892800.0
2000-04-14,23.62,23.78,23.03,23.5,10.33,9488200.0
2000-04-17,23.5,24.31,23.12,24.25,10.66,10710200.0
2000-04-18,24.25,24.56,23.19,24.31,10.69,13001000.0
2000-04-19,24.31,24.84,23.97,24.59,10.81,10073200.0
2000-04-20,24.59,24.72,24.0,24.72,10.87,8278600.0
2000-04-24,24.72,25.22,24.5,24.81,10.91,9377600.0
2000-04-25,24.81,25.25,24.09,25.25,11.1,8711600.0
2000-04-26,25.06,25.06,24.44,24.72,10.87,9536200.0
2000-04-27,24.56,24.56,23.72,24.12,10.61,9023200.0
2000-04-28,24.12,24.19,23.38,23.62,10.39,7568800.0
2000-05-01,23.5,23.5,23.12,23.12,10.17,7754000.0
2000-05-02,23.12,23.78,22.97,23.12,10.17,9209400.0
2000-05-03,23.12,24.41,23.06,24.25,10.66,14397400.0
2000-05-04,24.25,24.59,23.66,24.25,10.66,6842400.0
2000-05-05,24.0,24.0,23.38,23.53,10.35,5999200.0
2000-05-08,23.81,24.25,23.81,24.25,10.66,6013000.0
2000-05-09,24.97,25.62,24.97,25.25,11.1,22386000.0
2000-05-10,25.25,26.5,25.25,26.41,11.61,21062000.0
2000-05-11,26.5,26.91,26.5,26.78,11.77,15919400.0
2000-05-12,26.5,26.5,25.75,26.12,11.49,7498200.0
2000-05-15,26.12,26.38,25.5,25.88,11.38,8056600.0
2000-05-16,25.38,25.38,24.31,24.47,10.76,16476600.0
2000-05-17,24.47,24.59,24.0,24.12,10.61,8448600.0
2000-05-18,24.12,24.94,24.09,24.72,10.87,8098600.0
2000-05-19,24.72,25.16,24.53,25.03,11.01,10053600.0
2000-05-22,25.03,25.34,24.72,25.34,11.14,9716400.0
2000-05-23,25.09,25.09,24.84,25.0,10.99,7210000.0
2000-05-24,25.09,26.53,25.09,26.34,11.58,10788000.0
