Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.38,21.5,21.06,21.44,10.81,124800
2000-01-03,21.25,21.38,20.06,20.56,10.37,361300
2000-01-04,20.31,20.31,19.44,19.5,9.84,560900
2000-01-05,19.62,19.75,19.0,19.5,9.84,870300
2000-01-06,19.31,19.62,19.06,19.44,9.8,776400
2000-01-07,19.5,19.75,19.06,19.75,9.96,485400
2000-01-10,19.88,19.94,19.06,19.69,9.93,435400
2000-01-11,19.5,20.19,19.5,19.81,9.99,402200
2000-01-12,19.81,19.88,19.19,19.19,9.68,421100
2000-01-13,19.19,19.25,18.69,19.19,9.68,472200
2000-01-14,19.25,19.44,18.88,19.31,9.74,341500
2000-01-18,19.12,19.31,18.94,19.31,9.74,368600
2000-01-19,19.25,19.31,18.94,19.0,9.58,332300
2000-01-20,18.94,19.06,18.38,18.5,9.33,494300
2000-01-21,19.0,19.12,18.5,19.06,9.62,661100
2000-01-24,19.12,19.31,18.5,18.69,9.43,293400
2000-01-25,18.56,18.69,17.81,18.06,9.11,467600
2000-01-26,18.25,18.44,17.62,18.19,9.17,528700
2000-01-27,18.0,18.56,17.75,18.12,9.14,358100
2000-01-28,18.12,18.25,17.75,17.94,9.05,355600
2000-01-31,17.81,18.0,17.56,18.0,9.08,498000
2000-02-01,17.88,18.5,17.38,18.25,9.21,699600
2000-02-02,18.0,18.0,17.56,17.69,8.92,467900
2000-02-03,17.75,18.5,17.69,18.19,9.17,595600
2000-02-04,17.94,18.38,17.56,17.62,8.89,582900
2000-02-07,17.56,17.62,17.0,17.31,8.73,520400
2000-02-08,17.56,17.75,17.25,17.5,8.83,304400
2000-02-09,17.25,18.0,17.06,17.31,8.73,548700
2000-02-10,17.44,17.44,16.94,17.06,8.61,431800
2000-02-11,16.94,17.25,16.69,16.75,8.45,384500
2000-02-14,17.0,17.31,16.69,16.75,8.45,461900
2000-02-15,16.75,16.81,16.31,16.5,8.32,907300
2000-02-16,16.56,17.0,16.56,16.81,8.48,443400
2000-02-17,16.88,17.06,16.62,16.81,8.48,312400
2000-02-18,16.56,16.81,16.06,16.25,8.2,551900
2000-02-22,16.5,16.69,16.19,16.31,8.23,335200
2000-02-23,16.19,16.44,16.0,16.31,8.28,388700
2000-02-24,16.31,16.56,16.06,16.06,8.15,906800
2000-02-25,16.12,16.44,15.94,16.06,8.15,694800
2000-02-28,16.31,16.31,15.88,16.06,8.15,620400
2000-02-29,16.12,16.94,15.94,16.81,8.53,716600
2000-03-01,16.75,16.75,16.19,16.31,8.28,1226700
2000-03-02,16.38,16.81,16.0,16.19,8.22,1154700
2000-03-03,16.19,16.5,15.88,16.0,8.12,489000
2000-03-06,16.0,16.06,15.38,15.56,7.9,514400
2000-03-07,15.56,15.81,15.25,15.44,7.84,324900
2000-03-08,15.31,15.88,15.31,15.81,8.03,418000
2000-03-09,15.75,16.94,15.44,16.88,8.56,871300
2000-03-10,17.0,17.38,16.94,17.0,8.63,629600
2000-03-13,17.06,17.06,16.5,16.81,8.53,306600
2000-03-14,16.81,17.75,16.31,16.69,8.47,640100
2000-03-15,16.75,18.31,16.25,18.25,9.26,802100
2000-03-16,18.19,19.81,18.06,19.81,10.06,837100
2000-03-17,21.69,21.81,19.62,20.0,10.15,1116900
2000-03-20,20.0,20.12,19.12,19.12,9.71,364500
2000-03-21,20.12,20.12,19.44,20.0,10.15,286300
2000-03-22,19.75,19.75,18.88,19.31,9.8,349200
2000-03-23,19.12,19.69,18.62,19.69,9.99,485000
2000-03-24,19.62,20.12,19.19,19.31,9.8,385700
2000-03-27,19.56,19.75,19.19,19.31,9.8,216100
2000-03-28,19.31,19.31,18.75,19.12,9.71,589000
2000-03-29,19.31,20.25,19.06,20.12,10.21,656700
2000-03-30,20.31,20.62,19.88,19.88,10.09,706100
2000-03-31,19.94,21.56,19.94,21.5,10.91,814200
2000-04-03,21.5,21.69,20.69,20.94,10.63,358700
2000-04-04,21.12,21.94,20.06,21.06,10.69,449700
2000-04-05,20.81,20.94,20.31,20.81,10.56,561700
2000-04-06,21.0,21.75,21.0,21.38,10.85,433300
2000-04-07,21.25,21.69,21.0,21.25,10.79,488700
2000-04-10,21.25,21.75,21.19,21.56,10.94,414100
2000-04-11,21.38,21.94,21.38,21.75,11.04,281700
2000-04-12,21.88,22.19,21.75,22.0,11.17,557100
2000-04-13,22.5,22.56,21.75,22.0,11.17,789400
2000-04-14,22.12,22.12,21.06,21.06,10.69,684700
2000-04-17,21.19,21.44,20.5,21.25,10.79,544300
2000-04-18,21.25,22.0,20.94,21.44,10.88,578500
2000-04-19,21.56,21.56,20.94,21.25,10.79,209400
2000-04-20,21.0,21.94,20.88,21.5,10.91,382500
2000-04-24,21.69,21.94,21.12,21.69,11.01,408100
2000-04-25,21.75,22.38,21.69,22.25,11.29,611200
2000-04-26,22.38,22.38,21.69,21.75,11.04,540100
2000-04-27,21.75,21.75,21.06,21.38,10.85,549100
2000-04-28,21.31,21.44,20.69,21.38,10.85,423500
2000-05-01,21.12,22.0,20.94,21.75,11.04,344800
2000-05-02,21.88,21.88,20.75,20.94,10.63,264800
2000-05-03,21.0,21.0,20.44,20.81,10.56,303200
2000-05-04,20.81,21.19,20.19,20.94,10.63,307500
2000-05-05,20.88,20.88,20.06,20.5,10.4,281900
