Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,12.71,12.72,12.53,12.56,11.96,1627900
2010-01-04,12.6,12.8,12.44,12.79,12.19,4570100
2010-01-05,12.73,13.37,12.51,13.32,12.69,6310500
2010-01-06,13.28,13.52,13.03,13.47,12.83,6471100
2010-01-07,14.68,15.73,14.38,15.2,14.48,29197400
2010-01-08,15.14,15.8,14.94,15.68,14.94,8788400
2010-01-11,15.8,16.08,15.71,15.99,15.23,6513400
2010-01-12,15.88,16.25,15.68,15.86,15.11,7508000
2010-01-13,16.02,16.17,15.59,15.98,15.22,5270700
2010-01-14,16.24,16.56,16.01,16.08,15.31,5075600
2010-01-15,16.0,16.11,15.59,15.69,14.95,5731500
2010-01-19,15.5,16.07,15.5,15.94,15.18,4880400
2010-01-20,15.79,15.87,15.45,15.48,14.74,5628700
2010-01-21,15.51,15.61,15.02,15.05,14.34,4638300
2010-01-22,15.05,15.31,14.46,14.53,13.88,6465500
2010-01-25,14.8,14.85,14.18,14.45,13.81,5067100
2010-01-26,14.38,14.7,14.27,14.32,13.67,4183000
2010-01-27,14.31,14.91,14.06,14.86,14.19,6378900
2010-01-28,15.07,15.6,14.77,15.13,14.45,8421000
2010-01-29,15.23,15.69,15.01,15.1,14.43,7185100
2010-02-01,15.21,15.23,14.81,15.06,14.39,4719900
2010-02-02,15.38,16.35,15.38,16.27,15.54,10596600
2010-02-03,16.1,16.24,15.64,15.99,15.27,4385100
2010-02-04,15.62,15.72,14.99,15.08,14.41,5912600
2010-02-05,15.04,15.19,13.98,14.46,13.81,8785600
2010-02-08,14.5,15.59,14.28,15.13,14.45,9143700
2010-02-09,15.14,15.41,14.78,15.34,14.65,5415400
2010-02-10,15.41,15.44,14.93,15.35,14.66,4095700
2010-02-11,15.69,16.72,15.54,16.71,15.96,12930100
2010-02-12,16.5,16.9,16.27,16.68,15.93,10665300
2010-02-16,16.89,17.08,16.86,17.05,16.28,5540600
2010-02-17,17.23,17.58,16.8,17.05,16.28,5846500
2010-02-18,16.94,17.0,16.47,16.76,16.0,5372500
2010-02-19,16.64,17.15,16.64,17.02,16.26,6255900
2010-02-22,17.14,17.25,16.69,16.88,16.13,5887600
2010-02-23,16.79,16.96,15.82,16.01,15.29,8482600
2010-02-24,16.18,16.28,15.0,16.0,15.28,13348300
2010-02-25,15.64,16.05,15.33,16.0,15.28,7294300
2010-02-26,15.94,16.19,15.53,16.14,15.41,5888900
2010-03-01,16.2,16.42,16.14,16.36,15.63,3961800
2010-03-02,16.52,16.67,16.22,16.32,15.59,3460300
2010-03-03,16.36,16.69,16.28,16.51,15.77,3945500
