Date,Open,High,Low,Close,Adj Close,Volume
2006-12-08,32.0,32.0,32.0,32.0,32.0,0
2006-12-11,36.0,45.8,36.0,40.0,40.0,649
2006-12-12,43.4,47.0,41.0,44.2,44.2,2322
2006-12-13,45.0,50.0,43.0,50.0,50.0,428
2006-12-14,52.0,52.0,48.0,48.0,48.0,180
2006-12-15,46.0,46.0,46.0,46.0,46.0,0
2006-12-18,42.0,48.0,42.0,48.0,48.0,20
2006-12-19,40.0,40.0,40.0,40.0,40.0,0
2006-12-20,40.0,40.0,40.0,40.0,40.0,0
2006-12-21,40.0,40.0,40.0,40.0,40.0,26
2006-12-22,40.0,40.0,40.0,40.0,40.0,26
2006-12-27,48.0,48.0,48.0,48.0,48.0,12
2006-12-28,40.0,40.0,40.0,40.0,40.0,0
2006-12-29,40.0,40.0,40.0,40.0,40.0,12
2007-01-03,44.0,44.0,44.0,44.0,44.0,0
2007-01-04,38.0,38.0,38.0,38.0,38.0,0
2007-01-05,40.0,40.0,40.0,40.0,40.0,0
2007-01-08,38.0,38.0,38.0,38.0,38.0,26
2007-01-09,38.0,38.0,38.0,38.0,38.0,24
2007-01-10,36.0,36.0,36.0,36.0,36.0,0
2007-01-11,38.0,38.0,38.0,38.0,38.0,0
2007-01-12,40.0,40.0,40.0,40.0,40.0,0
2007-01-16,38.0,40.4,38.0,40.4,40.4,28
2007-01-17,40.0,40.0,40.0,40.0,40.0,0
2007-01-18,38.0,38.0,38.0,38.0,38.0,0
2007-01-19,40.0,40.0,40.0,40.0,40.0,36
2007-01-22,40.0,40.0,40.0,40.0,40.0,0
2007-01-23,36.0,36.0,36.0,36.0,36.0,0
2007-01-24,39.0,39.0,39.0,39.0,39.0,0
2007-01-25,38.0,38.0,38.0,38.0,38.0,0
2007-01-26,38.0,38.0,38.0,38.0,38.0,0
2007-01-29,38.0,38.0,38.0,38.0,38.0,0
2007-01-30,30.0,40.0,30.0,40.0,40.0,30
2007-01-31,38.0,38.0,38.0,38.0,38.0,0
2007-02-01,38.0,38.0,38.0,38.0,38.0,0
2007-02-02,38.0,38.0,38.0,38.0,38.0,0
2007-02-05,38.0,38.0,38.0,38.0,38.0,0
2007-02-06,36.0,38.0,36.0,38.0,38.0,58
2007-02-07,32.0,32.0,32.0,32.0,32.0,0
2007-02-08,34.0,34.0,34.0,34.0,34.0,0
2007-02-09,32.0,32.0,32.0,32.0,32.0,0
2007-02-12,32.0,32.0,32.0,32.0,32.0,0
2007-02-13,36.0,36.0,36.0,36.0,36.0,0
2007-02-14,32.0,32.0,32.0,32.0,32.0,0
2007-02-15,32.0,32.0,32.0,32.0,32.0,0
2007-02-16,32.0,32.0,32.0,32.0,32.0,0
2007-02-20,26.0,26.0,26.0,26.0,26.0,0
2007-02-21,32.0,36.0,32.0,36.0,36.0,50
2007-02-22,30.0,36.0,30.0,36.0,36.0,50
2007-02-23,30.0,30.0,30.0,30.0,30.0,0
2007-02-26,30.0,30.0,30.0,30.0,30.0,0
2007-02-27,28.0,28.0,28.0,28.0,28.0,0
2007-02-28,26.0,26.0,26.0,26.0,26.0,0
2007-03-01,28.0,28.0,28.0,28.0,28.0,0
2007-03-02,28.0,28.0,28.0,28.0,28.0,0
2007-03-05,29.0,29.0,29.0,29.0,29.0,0
2007-03-06,29.0,29.0,29.0,29.0,29.0,0
2007-03-07,29.0,29.0,29.0,29.0,29.0,0
2007-03-08,24.0,24.0,24.0,24.0,24.0,0
2007-03-09,24.0,24.0,24.0,24.0,24.0,0
2007-03-12,26.0,26.0,26.0,26.0,26.0,0
2007-03-13,26.0,26.0,26.0,26.0,26.0,0
2007-03-14,26.0,26.0,26.0,26.0,26.0,0
2007-03-15,26.0,26.0,26.0,26.0,26.0,0
2007-03-16,24.0,24.0,24.0,24.0,24.0,0
2007-03-19,24.0,24.0,24.0,24.0,24.0,0
2007-03-20,24.0,24.0,24.0,24.0,24.0,0
2007-03-21,28.0,28.0,28.0,28.0,28.0,0
2007-03-22,24.0,24.0,24.0,24.0,24.0,0
2007-03-23,24.0,24.0,24.0,24.0,24.0,0
2007-03-26,24.0,24.0,24.0,24.0,24.0,0
2007-03-27,28.0,28.0,28.0,28.0,28.0,0
2007-03-28,26.0,26.0,26.0,26.0,26.0,0
2007-03-29,28.0,28.0,28.0,28.0,28.0,0
2007-03-30,26.0,26.0,26.0,26.0,26.0,0
2007-04-02,24.0,24.0,24.0,24.0,24.0,0
2007-04-03,24.0,24.0,24.0,24.0,24.0,0
2007-04-04,22.0,22.0,22.0,22.0,22.0,0
2007-04-05,22.0,22.0,22.0,22.0,22.0,50
2007-04-10,22.0,22.0,22.0,22.0,22.0,0
2007-04-11,24.0,24.0,24.0,24.0,24.0,0
2007-04-12,28.0,28.0,28.0,28.0,28.0,0
2007-04-13,26.0,26.0,26.0,26.0,26.0,0
2007-04-16,26.0,26.0,26.0,26.0,26.0,0
2007-04-17,26.0,26.0,26.0,26.0,26.0,0
2007-04-18,24.0,24.0,24.0,24.0,24.0,0
2007-04-19,26.0,26.0,26.0,26.0,26.0,0
2007-04-20,24.0,24.0,24.0,24.0,24.0,0
2007-04-23,26.0,26.0,26.0,26.0,26.0,0
2007-04-24,24.0,24.0,24.0,24.0,24.0,0
2007-04-25,26.0,26.0,26.0,26.0,26.0,0
2007-04-26,24.0,24.0,24.0,24.0,24.0,0
2007-04-27,24.0,24.0,24.0,24.0,24.0,0
2007-04-30,24.0,24.0,24.0,24.0,24.0,50
2007-05-02,24.0,24.0,24.0,24.0,24.0,0
2007-05-03,26.0,26.0,26.0,26.0,26.0,0
2007-05-04,24.0,24.0,24.0,24.0,24.0,0
2007-05-07,24.0,24.0,24.0,24.0,24.0,0
2007-05-08,22.0,22.0,22.0,22.0,22.0,0
2007-05-09,22.0,34.0,22.0,34.0,34.0,10
2007-05-10,24.0,24.0,24.0,24.0,24.0,0
2007-05-11,26.0,26.0,26.0,26.0,26.0,0
2007-05-14,24.0,24.0,24.0,24.0,24.0,0
2007-05-15,24.0,24.0,24.0,24.0,24.0,0
2007-05-16,24.0,24.0,24.0,24.0,24.0,0
2007-05-17,24.0,24.0,24.0,24.0,24.0,0
2007-05-18,24.0,24.0,24.0,24.0,24.0,0
2007-05-21,24.0,24.0,24.0,24.0,24.0,0
2007-05-22,26.0,26.0,26.0,26.0,26.0,0
2007-05-23,24.0,25.0,24.0,25.0,25.0,10
2007-05-24,24.0,24.0,24.0,24.0,24.0,0
2007-05-25,24.0,24.0,24.0,24.0,24.0,10
2007-05-29,24.0,24.0,24.0,24.0,24.0,0
2007-05-30,24.0,24.0,24.0,24.0,24.0,0
2007-05-31,24.0,24.0,24.0,24.0,24.0,0
2007-06-01,24.0,24.0,24.0,24.0,24.0,0
2007-06-04,24.0,24.0,24.0,24.0,24.0,0
2007-06-05,22.0,22.0,22.0,22.0,22.0,0
2007-06-06,22.0,22.0,22.0,22.0,22.0,0
2007-06-07,22.0,22.0,22.0,22.0,22.0,0
2007-06-08,20.0,20.0,20.0,20.0,20.0,0
2007-06-11,22.0,22.0,22.0,22.0,22.0,0
2007-06-12,22.0,22.0,22.0,22.0,22.0,0
2007-06-13,22.0,22.0,22.0,22.0,22.0,0
2007-06-14,20.0,20.0,20.0,20.0,20.0,0
2007-06-15,22.0,22.0,22.0,22.0,22.0,0
2007-06-18,22.0,22.0,22.0,22.0,22.0,0
2007-06-19,30.0,30.0,30.0,30.0,30.0,0
2007-06-20,22.0,22.0,22.0,22.0,22.0,0
2007-06-21,22.0,22.0,22.0,22.0,22.0,0
2007-06-22,22.0,22.0,22.0,22.0,22.0,0
2007-06-25,22.0,22.0,22.0,22.0,22.0,0
2007-06-26,22.0,22.0,22.0,22.0,22.0,0
2007-06-27,22.0,22.0,22.0,22.0,22.0,0
2007-06-28,20.0,20.0,20.0,20.0,20.0,0
2007-06-29,20.0,20.0,20.0,20.0,20.0,0
2007-07-02,20.0,20.0,20.0,20.0,20.0,0
2007-07-03,20.0,20.0,20.0,20.0,20.0,0
2007-07-05,16.0,16.0,16.0,16.0,16.0,0
2007-07-06,20.0,20.0,20.0,20.0,20.0,0
2007-07-09,20.0,20.0,20.0,20.0,20.0,0
2007-07-10,20.0,20.0,20.0,20.0,20.0,0
2007-07-11,18.0,18.0,18.0,18.0,18.0,0
2007-07-12,20.0,20.0,20.0,20.0,20.0,0
2007-07-13,20.0,20.0,20.0,20.0,20.0,0
2007-07-16,18.0,18.0,18.0,18.0,18.0,0
2007-07-17,18.0,18.0,18.0,18.0,18.0,0
2007-07-18,18.0,18.0,18.0,18.0,18.0,0
2007-07-19,18.0,18.0,18.0,18.0,18.0,0
2007-07-20,20.0,20.0,20.0,20.0,20.0,0
2007-07-23,20.0,20.0,20.0,20.0,20.0,0
2007-07-24,20.0,20.0,20.0,20.0,20.0,0
2007-07-25,19.2,19.2,19.2,19.2,19.2,0
2007-07-26,20.0,20.0,20.0,20.0,20.0,0
2007-07-27,20.0,20.0,20.0,20.0,20.0,0
2007-07-30,20.0,20.0,20.0,20.0,20.0,0
2007-07-31,18.0,18.0,18.0,18.0,18.0,0
2007-08-01,20.0,20.0,20.0,20.0,20.0,0
2007-08-02,20.0,20.0,20.0,20.0,20.0,0
2007-08-03,20.0,20.0,20.0,20.0,20.0,0
2007-08-06,20.0,20.0,20.0,20.0,20.0,0
2007-08-07,18.0,18.0,18.0,18.0,18.0,0
2007-08-08,18.0,18.0,18.0,18.0,18.0,0
2007-08-09,20.0,20.0,20.0,20.0,20.0,0
2007-08-10,18.0,18.0,18.0,18.0,18.0,0
2007-08-13,20.0,20.0,20.0,20.0,20.0,0
2007-08-14,20.0,20.0,20.0,20.0,20.0,10
2007-08-15,20.0,20.0,20.0,20.0,20.0,0
2007-08-16,20.0,20.0,20.0,20.0,20.0,0
2007-08-17,18.0,18.0,18.0,18.0,18.0,0
2007-08-20,18.0,18.0,18.0,18.0,18.0,0
2007-08-21,16.0,16.0,16.0,16.0,16.0,0
2007-08-22,16.0,16.0,16.0,16.0,16.0,0
2007-08-23,18.0,18.0,18.0,18.0,18.0,0
2007-08-24,12.0,12.0,12.0,12.0,12.0,0
2007-08-27,14.0,14.0,14.0,14.0,14.0,0
2007-08-28,10.0,10.0,10.0,10.0,10.0,0
2007-08-29,14.0,14.0,14.0,14.0,14.0,0
2007-08-30,16.0,16.0,16.0,16.0,16.0,0
2007-08-31,12.0,12.0,12.0,12.0,12.0,0
2007-09-04,10.6,10.6,10.6,10.6,10.6,0
2007-09-05,13.8,13.8,13.8,13.8,13.8,0
2007-09-06,14.0,14.0,14.0,14.0,14.0,0
2007-09-07,13.8,13.8,13.8,13.8,13.8,0
2007-09-10,14.2,14.2,14.2,14.2,14.2,0
2007-09-11,14.0,14.0,14.0,14.0,14.0,0
2007-09-12,13.6,13.6,13.6,13.6,13.6,0
2007-09-13,13.0,13.0,13.0,13.0,13.0,0
2007-09-14,13.0,13.0,13.0,13.0,13.0,0
2007-09-17,13.6,13.6,13.6,13.6,13.6,0
2007-09-18,13.0,13.0,13.0,13.0,13.0,0
2007-09-19,13.0,13.0,13.0,13.0,13.0,0
2007-09-20,14.0,14.0,14.0,14.0,14.0,0
2007-09-21,12.8,12.8,12.8,12.8,12.8,0
2007-09-24,12.8,12.8,12.8,12.8,12.8,0
2007-09-25,12.8,12.8,12.8,12.8,12.8,0
2007-09-26,13.4,13.4,13.4,13.4,13.4,0
2007-09-27,14.0,14.0,14.0,14.0,14.0,0
2007-09-28,13.2,13.2,13.2,13.2,13.2,0
2007-10-01,13.2,13.2,13.2,13.2,13.2,0
2007-10-02,13.2,13.2,13.2,13.2,13.2,0
2007-10-03,13.2,13.2,13.2,13.2,13.2,0
2007-10-04,13.4,13.4,13.4,13.4,13.4,0
2007-10-05,16.4,16.4,16.4,16.4,16.4,0
2007-10-08,18.0,18.0,18.0,18.0,18.0,60
2007-10-09,16.0,16.0,16.0,16.0,16.0,0
2007-10-10,17.6,17.6,17.6,17.6,17.6,0
2007-10-11,17.8,17.8,17.8,17.8,17.8,0
2007-10-12,18.0,18.0,18.0,18.0,18.0,0
2007-10-15,19.2,19.2,19.2,19.2,19.2,0
2007-10-16,19.2,19.2,19.2,19.2,19.2,0
2007-10-17,19.2,19.2,19.2,19.2,19.2,0
2007-10-18,22.6,22.6,22.6,22.6,22.6,0
2007-10-19,28.0,28.0,28.0,28.0,28.0,0
2007-10-22,31.0,31.0,31.0,31.0,31.0,0
2007-10-23,28.8,28.8,28.8,28.8,28.8,0
2007-10-24,44.2,44.2,44.2,44.2,44.2,0
2007-10-25,44.8,44.8,44.8,44.8,44.8,0
2007-10-26,41.4,41.4,41.4,41.4,41.4,0
2007-10-29,37.4,37.4,37.4,37.4,37.4,0
2007-10-30,37.4,37.4,37.4,37.4,37.4,0
2007-10-31,36.0,36.0,36.0,36.0,36.0,0
2007-11-01,29.4,29.4,29.4,29.4,29.4,0
2007-11-02,27.8,27.8,27.8,27.8,27.8,0
2007-11-05,26.4,26.4,26.4,26.4,26.4,0
2007-11-06,30.6,30.6,30.6,30.6,30.6,0
2007-11-07,27.8,27.8,27.8,27.8,27.8,0
2007-11-08,27.8,27.8,27.8,27.8,27.8,0
2007-11-09,26.0,26.0,26.0,26.0,26.0,0
2007-11-12,26.0,26.0,26.0,26.0,26.0,0
2007-11-13,26.0,26.0,26.0,26.0,26.0,0
2007-11-14,23.8,23.8,23.8,23.8,23.8,0
2007-11-15,24.2,24.2,24.2,24.2,24.2,0
2007-11-16,24.2,24.2,24.2,24.2,24.2,0
2007-11-19,24.2,24.2,24.2,24.2,24.2,0
2007-11-20,23.6,23.6,23.6,23.6,23.6,0
2007-11-21,19.0,19.0,19.0,19.0,19.0,0
2007-11-23,16.0,16.0,16.0,16.0,16.0,0
2007-11-26,16.0,16.0,16.0,16.0,16.0,0
2007-11-27,19.6,19.6,19.6,19.6,19.6,0
