Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,25.19,25.34,25.09,25.16,16.33,463000
2000-01-03,25.16,26.06,24.75,24.91,16.17,1369400
2000-01-04,24.66,24.78,24.31,24.47,15.88,983600
2000-01-05,24.47,25.34,24.47,24.91,16.17,3410600
2000-01-06,24.91,26.84,24.84,26.75,17.37,2463600
2000-01-07,26.62,26.97,26.22,26.78,17.39,2128400
2000-01-10,26.59,26.88,26.47,26.81,17.41,1391600
2000-01-11,26.69,27.47,26.69,27.25,17.69,2303600
2000-01-12,27.12,27.44,26.28,26.78,17.39,1497600
2000-01-13,26.75,27.28,26.41,26.41,17.14,1135200
2000-01-14,26.72,27.0,26.66,26.72,17.35,995200
2000-01-18,26.22,26.28,25.19,25.56,16.59,1185000
2000-01-19,25.19,25.22,24.31,24.59,15.97,1538400
2000-01-20,24.47,24.47,22.75,23.69,15.38,1869400
2000-01-21,23.81,23.88,23.34,23.44,15.22,1574400
2000-01-24,23.31,24.5,23.12,24.38,15.82,2158000
2000-01-25,23.38,23.5,21.19,21.97,14.26,3920200
2000-01-26,21.97,22.38,21.12,21.47,13.94,2475200
2000-01-27,21.12,22.0,21.06,21.88,14.2,2670800
2000-01-28,21.69,21.75,20.0,20.41,13.25,2028200
2000-01-31,20.5,20.5,19.25,20.38,13.23,2810000
2000-02-01,20.25,20.62,19.78,20.5,13.31,2200800
2000-02-02,20.5,20.5,19.0,19.5,12.66,3565200
2000-02-03,19.94,20.78,19.88,20.25,13.15,3135600
2000-02-04,20.12,20.88,20.09,20.69,13.43,2354600
2000-02-07,20.81,21.19,20.62,21.0,13.63,3286000
2000-02-08,20.56,21.0,20.31,20.34,13.21,1675600
2000-02-09,20.22,20.22,19.53,19.69,12.78,2568400
2000-02-10,19.69,19.94,18.88,19.22,12.48,2178600
2000-02-11,19.09,19.12,18.56,18.81,12.21,2328800
2000-02-14,18.69,19.5,18.5,19.41,12.6,1752400
2000-02-15,19.19,20.31,19.12,20.12,13.06,3780000
2000-02-16,20.19,20.81,19.94,20.53,13.33,2291200
2000-02-17,20.41,21.0,20.38,20.44,13.27,1514200
2000-02-18,20.25,20.38,19.69,19.81,12.86,1340400
2000-02-22,19.69,19.88,19.56,19.75,12.82,1890800
2000-02-23,19.88,20.25,19.19,19.19,12.46,2666000
2000-02-24,19.22,19.22,17.56,17.97,11.67,2292200
2000-02-25,17.91,18.12,17.56,17.75,11.52,1495200
2000-02-28,17.56,18.06,17.44,17.66,11.46,1979200
2000-02-29,17.56,17.69,16.69,16.88,10.96,2777800
2000-03-01,17.0,17.06,16.5,16.66,10.81,1595600
2000-03-02,16.69,16.94,16.19,16.34,10.61,1540400
2000-03-03,16.5,17.44,16.5,17.06,11.18,3211600
2000-03-06,16.88,17.25,16.81,16.94,11.1,2260200
2000-03-07,16.84,16.88,15.94,16.03,10.51,1034800
2000-03-08,16.12,16.5,15.94,16.06,10.53,2256400
2000-03-09,16.06,16.06,15.69,15.91,10.43,1279000
2000-03-10,15.88,17.25,15.88,16.75,10.98,2692200
2000-03-13,16.62,17.0,16.12,16.69,10.94,1626000
2000-03-14,16.81,17.19,16.69,16.81,11.02,1874600
2000-03-15,16.94,19.5,16.94,18.62,12.21,2931400
2000-03-16,18.81,20.25,18.75,20.03,13.13,3434000
2000-03-17,19.75,19.78,17.97,18.5,12.13,2063200
2000-03-20,18.75,19.88,18.75,19.0,12.45,1126600
2000-03-21,19.06,19.62,18.88,19.47,12.76,1242000
2000-03-22,19.22,19.25,18.56,18.81,12.33,1736600
2000-03-23,18.78,19.69,18.78,18.88,12.37,1291000
2000-03-24,18.5,19.56,18.5,19.41,12.72,1361400
2000-03-27,19.41,19.78,19.03,19.09,12.51,1354400
2000-03-28,19.03,20.28,19.03,19.38,12.7,1548000
2000-03-29,19.62,20.25,19.62,19.91,13.05,1575000
2000-03-30,20.0,21.59,19.81,20.72,13.58,2351400
2000-03-31,20.75,21.38,20.12,20.81,13.64,1894400
2000-04-03,20.69,21.06,20.38,20.84,13.66,1019000
2000-04-04,21.06,21.56,20.23,20.94,13.72,2181200
2000-04-05,20.81,21.25,19.81,20.5,13.44,1260000
2000-04-06,20.62,21.12,20.53,20.97,13.74,1317800
2000-04-07,20.66,20.84,20.56,20.69,13.56,929400
2000-04-10,20.81,21.06,20.62,20.75,13.6,963400
2000-04-11,20.56,22.38,20.53,22.28,14.6,2230200
2000-04-12,21.78,22.56,21.75,22.16,14.52,1629800
2000-04-13,22.25,22.25,21.31,21.44,14.05,832400
2000-04-14,21.0,21.12,19.88,19.94,13.07,1966200
2000-04-17,20.0,20.31,19.44,19.97,13.09,1165600
2000-04-18,19.84,19.88,18.75,19.03,12.47,1422200
2000-04-19,19.31,19.59,18.97,19.25,12.62,1347400
2000-04-20,19.12,21.81,19.12,21.03,13.78,2534000
2000-04-24,21.0,21.66,20.75,21.09,13.83,2424200
2000-04-25,20.75,21.5,20.75,21.38,14.01,1858200
2000-04-26,21.38,22.12,21.12,21.75,14.26,2848400
2000-04-27,21.0,21.97,21.0,21.81,14.3,1737800
2000-04-28,21.81,22.66,21.72,22.22,14.56,2131200
2000-05-01,22.0,22.53,21.69,22.5,14.75,1605400
2000-05-02,22.5,23.56,22.34,23.38,15.32,1765200
2000-05-03,23.06,23.31,22.91,22.94,15.03,1554200
2000-05-04,22.81,22.88,22.62,22.75,14.91,2043800
2000-05-05,22.62,23.25,22.62,23.06,15.12,901000
2000-05-08,22.94,23.5,22.75,22.84,14.97,816600
2000-05-09,22.81,22.94,22.31,22.62,14.83,997000
2000-05-10,22.5,22.72,22.09,22.09,14.48,1222000
2000-05-11,22.31,22.91,22.28,22.69,14.87,1380200
2000-05-12,22.59,22.69,22.06,22.47,14.73,883800
2000-05-15,22.0,23.25,21.81,23.0,15.07,1148600
2000-05-16,23.0,23.0,22.62,22.75,14.91,754000
2000-05-17,22.56,22.94,22.31,22.5,14.75,631600
2000-05-18,22.38,22.75,22.31,22.75,14.91,808400
2000-05-19,22.62,23.22,22.59,22.94,15.03,1264200
2000-05-22,23.12,23.75,22.81,23.25,15.24,1183800
2000-05-23,23.25,24.19,23.25,23.97,15.71,2124800
2000-05-24,23.69,23.69,23.19,23.59,15.46,1495800
2000-05-25,23.5,23.56,21.84,22.25,14.58,1565000
2000-05-26,21.88,21.88,20.5,21.03,13.78,3445200
2000-05-30,21.12,21.22,20.06,20.94,13.72,3105400
2000-05-31,20.81,21.44,20.69,21.0,13.76,1472200
2000-06-01,21.19,21.19,20.53,20.72,13.58,1301200
2000-06-02,20.75,20.78,20.41,20.44,13.39,1708400
2000-06-05,20.47,20.84,20.0,20.34,13.44,956000
2000-06-06,20.12,20.34,20.12,20.25,13.37,1105000
2000-06-07,20.12,20.31,19.81,19.88,13.13,1317000
2000-06-08,20.0,20.0,19.53,19.72,13.02,809400
2000-06-09,19.88,20.19,19.78,19.84,13.11,1021000
2000-06-12,19.78,20.22,19.75,19.75,13.04,786200
2000-06-13,19.62,20.0,19.0,19.12,12.63,1001200
2000-06-14,19.25,20.12,19.25,19.66,12.98,2954200
2000-06-15,19.75,19.94,19.03,19.28,12.73,1553200
2000-06-16,19.5,19.5,18.97,19.28,12.73,2050200
2000-06-19,19.28,19.38,18.78,18.78,12.4,2615800
