Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,67.44,67.44,66.19,66.5,35.72,906200
2000-01-03,65.0,67.44,65.0,65.56,35.22,2645000
2000-01-04,64.25,65.44,62.75,63.5,34.11,3701000
2000-01-05,63.12,65.31,63.0,64.31,34.55,3411000
2000-01-06,65.0,66.19,64.31,66.19,35.56,2460100
2000-01-07,68.0,71.06,67.5,71.06,38.18,5863300
2000-01-10,71.06,71.06,67.94,68.12,36.6,2830500
2000-01-11,67.0,69.38,67.0,68.5,36.8,3309700
2000-01-12,67.62,68.31,66.94,67.5,36.26,3573600
2000-01-13,65.75,68.38,65.62,66.69,35.83,3639400
2000-01-14,68.94,69.25,68.0,68.31,36.7,3750300
2000-01-18,69.38,69.38,66.5,67.31,36.16,2082900
2000-01-19,66.0,68.0,65.75,67.75,36.4,2193700
2000-01-20,67.69,68.25,65.56,66.78,35.88,2136400
2000-01-21,65.12,65.62,64.12,64.75,34.78,4051000
2000-01-24,64.62,64.81,61.56,62.12,33.37,4206900
2000-01-25,62.38,63.25,61.75,62.31,33.48,3148700
2000-01-26,62.94,63.38,62.12,62.75,33.71,2233100
2000-01-27,62.0,64.38,61.5,64.25,34.52,3052200
2000-01-28,65.0,67.38,64.88,65.31,35.09,4284500
2000-01-31,65.94,67.0,62.38,66.88,35.93,3334100
2000-02-01,65.88,66.5,64.69,65.56,35.22,2981300
2000-02-02,65.5,66.06,63.88,65.06,34.95,2066300
2000-02-03,65.31,65.81,63.62,65.25,35.05,2643600
2000-02-04,64.94,65.25,64.5,64.88,34.85,1717600
2000-02-07,65.44,65.44,62.75,63.31,34.01,1957400
2000-02-08,62.62,63.75,62.62,63.31,34.01,2536700
2000-02-09,64.38,64.38,61.69,61.75,33.17,3211000
2000-02-10,61.88,63.0,61.81,62.31,33.48,2080000
2000-02-11,62.5,62.56,61.06,61.62,33.24,3268100
2000-02-14,61.38,62.0,60.44,60.75,32.77,2758000
2000-02-15,60.88,61.69,60.62,61.19,33.01,2989400
2000-02-16,62.0,62.44,61.19,61.25,33.04,3292800
2000-02-17,61.75,61.94,60.19,60.19,32.47,3290500
2000-02-18,60.31,60.38,58.25,58.5,31.56,3684000
2000-02-22,59.75,60.38,57.62,59.5,32.1,2716500
2000-02-23,59.75,60.88,58.31,60.31,32.54,2489800
2000-02-24,59.94,60.25,57.88,58.56,31.59,2612700
2000-02-25,58.44,58.81,56.12,56.69,30.58,2554400
2000-02-28,57.0,58.44,57.0,57.5,31.02,3832900
2000-02-29,58.5,60.5,58.38,59.44,32.06,4138700
2000-03-01,59.44,60.25,58.0,58.88,31.76,4186700
2000-03-02,57.88,59.38,57.19,57.69,31.12,2095800
2000-03-03,58.62,59.0,57.56,58.0,31.29,2085200
2000-03-06,57.25,58.69,57.12,57.62,31.09,2549700
2000-03-07,57.88,57.94,54.0,54.5,29.4,3998100
2000-03-08,55.0,57.38,54.5,55.5,29.94,4282600
2000-03-09,56.44,60.06,56.44,60.06,32.4,3853500
2000-03-10,60.12,61.94,60.0,61.19,33.01,3535800
2000-03-13,61.0,61.0,57.62,59.25,31.96,2115500
2000-03-14,58.25,58.69,57.38,57.44,30.99,2133000
2000-03-15,57.44,63.5,57.38,62.75,33.85,4364700
2000-03-16,63.88,65.94,63.0,64.75,34.93,5316400
2000-03-17,63.88,63.94,61.0,61.38,33.11,4843300
2000-03-20,61.38,61.44,59.62,60.75,32.77,2271100
2000-03-21,59.75,62.0,59.69,61.69,33.28,2987000
2000-03-22,62.38,64.31,61.62,63.56,34.29,3347000
2000-03-23,64.19,64.81,63.56,64.38,34.73,3159800
2000-03-24,64.12,64.19,61.12,62.12,33.51,2061200
2000-03-27,62.0,62.31,59.94,60.5,32.64,2013000
2000-03-28,59.81,61.0,59.5,60.25,32.5,2114100
2000-03-29,60.12,61.5,60.12,61.0,32.91,2834600
2000-03-30,61.25,63.12,60.75,60.75,32.77,3098400
2000-03-31,61.25,64.5,60.12,62.62,33.78,3243800
2000-04-03,64.25,65.5,64.0,65.38,35.27,2741300
2000-04-04,65.62,69.38,65.44,69.0,37.22,6700500
2000-04-05,68.12,69.0,66.88,67.47,36.4,3470900
2000-04-06,66.0,67.0,65.06,65.88,35.54,2190400
2000-04-07,65.62,65.75,64.19,64.31,34.69,1607200
2000-04-10,64.0,66.75,63.75,64.88,35.0,2884200
2000-04-11,65.0,66.94,64.88,66.88,36.08,2373300
2000-04-12,66.25,67.0,64.75,65.12,35.13,2618200
2000-04-13,68.44,70.0,68.0,70.0,37.76,4523000
2000-04-14,68.5,69.94,66.5,67.44,36.38,4056300
2000-04-17,67.44,70.0,67.38,70.0,37.76,3876700
2000-04-18,69.81,74.0,69.5,73.25,39.52,6465300
2000-04-19,74.19,76.25,73.25,75.62,40.8,6148700
2000-04-20,76.44,76.88,75.0,75.75,40.86,4305000
2000-04-24,75.75,78.5,75.75,77.5,41.81,4803800
2000-04-25,77.06,77.31,76.19,77.0,41.54,3801900
2000-04-26,76.5,78.12,75.5,77.81,41.98,4066100
2000-04-27,77.0,78.0,76.19,77.94,42.04,2522200
2000-04-28,77.12,77.69,76.0,77.12,41.61,2653700
2000-05-01,78.0,79.44,77.0,77.38,41.74,3418600
2000-05-02,76.94,78.69,76.88,78.0,42.08,2582900
2000-05-03,78.0,79.06,77.31,79.0,42.62,2586400
2000-05-04,79.0,79.62,77.69,79.25,42.75,2963800
2000-05-05,77.5,79.94,77.5,79.75,43.02,3169400
2000-05-08,79.94,80.5,78.75,80.5,43.43,2496200
2000-05-09,80.25,80.31,79.0,79.62,42.95,2654900
2000-05-10,77.88,78.69,76.0,77.25,41.67,4571900
2000-05-11,75.25,75.94,74.25,74.88,40.53,2621800
2000-05-12,74.25,76.12,73.0,75.44,40.83,3131000
2000-05-15,75.38,76.94,75.25,76.44,41.37,3444700
2000-05-16,75.5,76.5,74.75,74.94,40.56,3343900
2000-05-17,74.62,74.75,72.88,73.88,39.99,4043400
2000-05-18,73.88,74.81,73.62,73.75,39.92,2635300
2000-05-19,73.94,76.06,73.69,75.94,41.1,2775700
