Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.12,22.0,21.0,21.88,13.36,2689600
2000-01-03,22.0,22.31,20.25,20.25,12.37,3011300
2000-01-04,20.0,21.31,20.0,20.94,12.79,3593500
2000-01-05,21.25,21.62,20.5,21.06,12.87,1721200
2000-01-06,21.0,21.75,21.0,21.38,13.06,1750700
2000-01-07,21.75,22.06,21.19,21.44,13.09,2203200
2000-01-10,21.38,21.5,20.56,20.62,12.6,1361000
2000-01-11,20.5,20.75,19.75,19.94,12.18,2236100
2000-01-12,20.0,21.25,20.0,21.19,12.94,3562400
2000-01-13,21.44,21.44,20.56,20.75,12.67,2871700
2000-01-14,20.75,20.94,20.5,20.5,12.52,1609300
2000-01-18,21.0,21.25,19.75,20.0,12.22,3763800
2000-01-19,20.06,20.75,20.0,20.69,12.64,2270500
2000-01-20,20.5,20.69,20.38,20.56,12.56,2321600
2000-01-21,20.75,21.19,20.62,21.0,12.83,2340600
2000-01-24,20.94,21.06,19.56,19.56,11.95,1917000
2000-01-25,19.56,19.94,19.12,19.25,11.76,2022500
2000-01-26,19.44,20.06,19.25,20.06,12.25,2020300
2000-01-27,19.94,20.0,19.0,19.44,11.87,2236300
2000-01-28,19.0,19.94,18.31,18.88,11.53,2213200
2000-01-31,18.31,18.88,18.19,18.5,11.3,1528600
2000-02-01,18.75,18.88,18.38,18.69,11.41,737300
2000-02-02,18.44,18.81,18.19,18.69,11.41,1633700
2000-02-03,18.62,18.94,18.5,18.62,11.38,1830200
2000-02-04,18.75,19.31,18.38,19.12,11.68,2012900
2000-02-07,19.25,19.5,18.25,18.75,11.45,1633700
2000-02-08,18.31,18.38,17.88,18.38,11.22,2110300
2000-02-09,17.88,18.5,17.88,18.38,11.22,1863800
2000-02-10,18.06,18.5,18.06,18.31,11.19,1814500
2000-02-11,18.12,18.31,17.38,17.5,10.69,1821000
2000-02-14,17.75,18.12,17.5,18.06,11.03,1839400
2000-02-15,18.0,18.19,17.81,18.12,11.07,1273200
2000-02-16,17.5,18.06,17.5,17.75,10.84,1630600
2000-02-17,17.94,18.25,17.81,18.0,10.99,4412100
2000-02-18,17.75,17.88,17.0,17.44,10.65,1651200
2000-02-22,17.06,18.0,17.06,18.0,10.99,1411100
2000-02-23,17.94,17.94,17.5,17.81,10.88,1358100
2000-02-24,17.62,17.69,17.19,17.56,10.73,1248100
2000-02-25,17.62,17.94,17.56,17.75,10.84,1691300
2000-02-28,17.56,17.62,17.12,17.5,10.69,1022400
2000-02-29,17.44,17.88,17.12,17.44,10.65,1285400
2000-03-01,17.44,17.69,17.38,17.69,10.8,1331700
2000-03-02,17.5,17.56,17.0,17.12,10.53,1398200
2000-03-03,17.06,17.19,16.88,17.0,10.45,1733200
2000-03-06,17.75,18.25,17.75,18.0,11.06,3775600
2000-03-07,18.0,18.0,17.31,17.31,10.64,1289900
2000-03-08,17.25,17.62,17.25,17.62,10.83,2051400
2000-03-09,17.5,17.5,17.0,17.12,10.53,1706700
2000-03-10,17.12,17.12,16.69,16.81,10.33,2631700
2000-03-13,16.81,17.0,16.62,16.94,10.41,1434800
2000-03-14,17.0,17.0,16.5,16.62,10.22,1853600
2000-03-15,16.62,17.19,16.5,17.12,10.53,4062700
2000-03-16,17.19,18.25,17.0,18.06,11.1,3771400
2000-03-17,18.06,18.75,17.62,18.0,11.06,6524300
2000-03-20,18.0,18.0,17.62,17.77,10.92,1103600
2000-03-21,17.25,17.62,17.06,17.31,10.64,1439200
2000-03-22,17.25,17.31,16.94,17.12,10.53,1424500
2000-03-23,17.06,17.38,16.94,17.06,10.49,918700
2000-03-24,17.06,17.75,17.06,17.5,10.76,2166100
2000-03-27,17.5,17.88,17.25,17.81,10.95,1698000
2000-03-28,18.25,19.19,18.06,18.75,11.52,3675900
2000-03-29,18.56,19.25,18.31,19.25,11.83,3296200
2000-03-30,19.75,21.25,19.5,20.88,12.83,4674400
2000-03-31,21.06,21.06,19.69,20.44,12.56,2365800
2000-04-03,20.06,20.88,20.06,20.44,12.56,1050100
2000-04-04,21.0,21.69,20.12,20.31,12.48,2551700
2000-04-05,20.31,21.62,20.31,20.94,12.87,1390500
2000-04-06,21.75,22.06,20.62,21.19,13.02,2202200
2000-04-07,21.31,21.5,20.69,21.06,12.95,1330000
2000-04-10,20.5,21.19,20.31,21.12,12.98,1263400
2000-04-11,20.94,21.19,20.88,20.88,12.83,1365200
2000-04-12,20.94,22.19,20.94,22.06,13.56,2865000
2000-04-13,21.38,22.0,21.06,21.62,13.29,3730500
2000-04-14,21.19,21.25,20.38,20.69,12.72,2415400
2000-04-17,20.62,21.31,19.81,21.31,13.1,2157200
2000-04-18,21.12,21.12,20.62,21.0,12.91,1432900
2000-04-19,20.94,21.25,20.81,20.88,12.83,1112900
2000-04-20,21.75,22.88,21.56,22.69,13.94,2877000
2000-04-24,22.38,25.94,22.31,25.88,15.9,5205300
2000-04-25,25.88,26.44,24.5,25.56,15.71,5013300
2000-04-26,24.75,24.88,23.81,24.12,14.83,3442200
2000-04-27,24.0,24.44,23.38,23.88,14.67,1761100
2000-04-28,24.0,26.06,24.0,24.88,15.29,3415700
2000-05-01,24.25,27.31,24.12,27.0,16.59,2702000
2000-05-02,26.25,26.69,26.0,26.06,16.02,2304900
2000-05-03,25.81,26.31,25.38,25.56,15.71,1438500
2000-05-04,25.56,27.12,25.5,26.31,16.17,1659000
2000-05-05,25.75,26.19,25.62,26.19,16.1,1751900
2000-05-08,26.0,26.25,25.75,26.06,16.02,1038600
2000-05-09,25.81,26.25,25.75,26.0,15.98,765900
2000-05-10,25.81,26.25,25.75,26.06,16.02,1188300
2000-05-11,26.0,26.44,25.94,26.19,16.1,846200
2000-05-12,25.62,26.12,25.56,25.81,15.87,814300
2000-05-15,25.69,25.94,25.38,25.62,15.75,682000
2000-05-16,24.75,25.38,24.69,25.19,15.48,1051600
2000-05-17,24.94,25.38,24.5,24.56,15.1,2000700
2000-05-18,24.44,25.19,24.44,24.88,15.29,2073900
2000-05-19,24.12,24.56,23.62,24.31,14.94,1286300
2000-05-22,24.38,24.69,23.25,23.56,14.48,1283800
2000-05-23,24.25,25.31,23.62,25.12,15.44,1109300
2000-05-24,25.0,25.31,24.5,25.06,15.4,2029800
2000-05-25,24.81,25.06,24.06,24.31,14.94,822600
2000-05-26,24.56,24.75,23.88,24.06,14.79,501000
2000-05-30,24.31,25.0,24.19,24.75,15.28,1195400
2000-05-31,24.88,24.94,23.81,24.69,15.24,947700
2000-06-01,24.38,25.06,24.19,25.06,15.47,876900
2000-06-02,25.31,26.06,25.31,25.94,16.02,1608900
