Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,24.86,25.12,24.82,24.88,21.28,2591000
2010-01-04,25.32,25.91,24.93,25.88,22.14,3811400
2010-01-05,25.8,26.61,25.72,26.42,22.6,4839200
2010-01-06,26.25,26.93,25.93,26.82,22.94,4520000
2010-01-07,26.82,27.59,26.47,27.45,23.49,5713900
2010-01-08,27.18,27.48,26.65,27.03,23.13,3479000
2010-01-11,27.32,27.53,26.99,27.39,23.44,3233100
2010-01-12,28.4,28.44,26.67,26.93,23.04,5980100
2010-01-13,26.9,27.53,26.32,27.31,23.37,4143500
2010-01-14,27.18,27.56,26.49,27.46,23.5,4901700
2010-01-15,27.23,27.36,26.69,26.89,23.01,3940400
2010-01-19,26.85,27.71,26.6,27.69,23.69,3802400
2010-01-20,27.46,27.46,26.89,27.07,23.16,2664100
2010-01-21,27.11,27.4,25.83,26.01,22.25,5978100
2010-01-22,25.99,26.18,24.32,24.47,20.94,7236800
2010-01-25,25.1,25.65,24.54,24.81,21.23,3253800
2010-01-26,24.56,25.58,24.45,24.67,21.11,4413700
2010-01-27,24.47,25.57,24.34,25.49,21.81,3778200
2010-01-28,25.81,25.81,24.4,24.82,21.24,4469500
2010-01-29,25.09,25.68,24.43,24.58,21.03,4325000
2010-02-01,25.0,25.27,24.71,24.93,21.33,3440500
2010-02-02,25.0,26.3,24.71,26.17,22.39,6030600
2010-02-03,26.0,26.08,25.22,25.47,21.79,4034800
2010-02-04,25.19,25.19,23.75,23.77,20.34,7142100
2010-02-05,23.81,24.28,22.52,23.72,20.3,7099800
2010-02-08,23.82,24.52,23.37,23.5,20.11,5032400
2010-02-09,24.5,25.2,23.84,24.5,20.96,10533700
2010-02-10,24.5,24.88,24.05,24.46,20.93,3340200
2010-02-11,24.44,24.88,23.71,24.82,21.24,3891200
2010-02-12,24.46,24.8,23.96,24.7,21.13,3857400
2010-02-16,24.57,24.95,24.11,24.93,21.33,3897000
2010-02-17,25.19,25.4,24.91,25.15,21.52,3309500
2010-02-18,24.88,25.76,24.88,25.72,22.01,4458600
2010-02-19,25.43,25.71,24.76,25.48,21.8,4873700
2010-02-22,25.6,25.89,25.46,25.78,22.06,3442300
2010-02-23,25.61,25.61,24.42,24.65,21.09,5113400
2010-02-24,24.77,25.36,24.64,25.34,21.68,3345300
2010-02-25,24.8,25.3,24.51,25.27,21.62,5087200
2010-02-26,25.22,25.27,24.81,25.18,21.54,3086600
2010-03-01,25.27,25.69,25.19,25.62,21.92,2629700
2010-03-02,25.72,26.55,25.69,26.11,22.34,5537300
2010-03-03,26.15,26.35,25.94,26.27,22.48,3396100
2010-03-04,26.22,26.68,26.12,26.58,22.74,3089800
2010-03-05,26.66,27.1,26.53,26.98,23.08,3131800
2010-03-08,27.06,27.43,26.87,26.94,23.05,2779200
2010-03-09,26.9,27.4,26.56,27.18,23.26,2365800
2010-03-10,27.38,27.66,27.04,27.21,23.28,3229300
2010-03-11,27.06,27.34,26.84,27.33,23.38,1861000
2010-03-12,27.55,27.75,27.18,27.36,23.41,2696000
2010-03-15,27.12,28.32,27.12,28.2,24.13,5472500
2010-03-16,28.3,28.53,27.75,28.48,24.37,3756300
2010-03-17,29.1,30.74,29.07,29.73,25.44,9950800
2010-03-18,29.53,29.81,29.08,29.24,25.02,4511500
2010-03-19,28.76,29.49,28.74,28.76,24.61,3821800
2010-03-22,28.34,28.88,27.83,28.82,24.66,3557600
2010-03-23,28.84,29.05,28.41,28.96,24.78,2709400
2010-03-24,28.72,29.51,28.72,29.09,24.89,3061500
2010-03-25,29.44,29.94,28.94,28.99,24.8,4615300
2010-03-26,29.12,30.32,29.12,29.75,25.45,4706600
2010-03-29,30.07,30.27,29.89,30.22,25.86,3721900
2010-03-30,30.23,30.34,29.82,30.08,25.74,2137900
2010-03-31,29.9,30.7,29.86,30.7,26.27,3901500
2010-04-01,31.08,31.73,30.98,31.51,26.96,3555500
2010-04-05,31.72,32.3,31.46,32.29,27.63,4093400
2010-04-06,32.1,32.54,32.03,32.22,27.57,3097700
2010-04-07,32.01,32.14,31.13,31.36,26.84,4767300
2010-04-08,31.16,32.04,30.68,31.9,27.3,3514300
2010-04-09,31.95,31.99,31.25,31.66,27.1,2765400
2010-04-12,31.79,31.9,31.41,31.75,27.17,3139100
2010-04-13,31.64,31.82,31.14,31.8,27.22,2692600
