Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.88,11.0,10.75,10.75,9.93,1666000
2000-01-03,10.79,10.92,10.46,10.58,9.78,3277800
2000-01-04,10.58,10.75,10.29,10.29,9.51,4702000
2000-01-05,10.29,10.42,10.21,10.25,9.47,3432900
2000-01-06,10.25,10.33,10.12,10.21,9.43,2809500
2000-01-07,10.25,10.67,10.21,10.58,9.78,4967100
2000-01-10,10.58,10.83,10.58,10.71,9.89,3171900
2000-01-11,11.0,11.33,10.96,11.04,10.2,5224200
2000-01-12,11.04,11.25,11.0,11.08,10.24,1955800
2000-01-13,10.92,10.96,10.71,10.71,9.89,2787700
2000-01-14,10.83,10.92,10.71,10.79,9.97,2140300
2000-01-18,10.62,10.67,10.46,10.5,9.7,3635700
2000-01-19,10.38,10.46,10.25,10.33,9.55,2875800
2000-01-20,10.25,10.29,10.04,10.08,9.32,3356500
2000-01-21,10.25,10.25,10.0,10.21,9.43,3174400
2000-01-24,10.08,10.25,10.08,10.08,9.32,3064000
2000-01-25,10.25,10.29,10.17,10.25,9.47,4117800
2000-01-26,10.33,10.5,10.33,10.38,9.58,3324300
2000-01-27,10.54,10.75,10.46,10.67,9.85,3115500
2000-01-28,10.38,10.67,10.38,10.46,9.66,2853100
2000-01-31,10.46,10.67,10.42,10.62,9.82,3591300
2000-02-01,10.58,10.71,10.38,10.46,9.66,5635600
2000-02-02,10.46,10.79,10.38,10.67,9.85,3649000
2000-02-03,10.79,10.79,10.58,10.58,9.78,2733600
2000-02-04,10.79,10.83,10.58,10.75,9.93,2754600
2000-02-07,10.83,10.88,10.71,10.79,9.97,2359800
2000-02-08,10.79,10.83,10.67,10.79,9.97,2560000
2000-02-09,10.71,10.79,10.67,10.67,9.85,3334800
2000-02-10,10.71,10.71,10.42,10.5,9.7,3782100
2000-02-11,10.5,10.54,10.08,10.29,9.51,4571400
2000-02-14,10.17,10.29,10.08,10.25,9.47,3789900
2000-02-15,10.25,10.38,10.08,10.33,9.55,4568400
2000-02-16,10.21,10.96,10.17,10.75,9.93,7750600
2000-02-17,10.75,10.96,10.67,10.92,10.08,4811800
2000-02-18,10.96,11.08,10.71,10.79,9.97,4742400
2000-02-22,10.83,11.21,10.83,10.96,10.12,4987500
2000-02-23,11.08,11.92,11.0,11.79,10.89,6440400
2000-02-24,11.96,11.96,11.33,11.62,10.74,5136000
2000-02-25,11.5,12.08,11.33,12.08,11.16,4131300
2000-02-28,11.92,12.08,11.58,11.79,10.89,2525400
2000-02-29,11.79,12.29,11.5,12.29,11.36,2841400
2000-03-01,12.17,12.17,11.88,12.17,11.24,2479300
2000-03-02,11.96,12.0,11.62,11.88,10.97,3307000
2000-03-03,12.0,12.12,11.88,12.04,11.13,3061600
2000-03-06,11.75,11.79,11.54,11.71,10.82,1802700
2000-03-07,11.42,11.54,10.62,11.0,10.17,3199900
2000-03-08,10.83,11.92,10.75,11.75,10.86,2966200
2000-03-09,11.96,12.38,11.83,12.12,11.2,4165600
2000-03-10,12.17,12.48,12.12,12.46,11.51,3063600
2000-03-13,12.17,12.62,11.92,12.62,11.67,2751100
2000-03-14,12.67,12.96,12.46,12.62,11.67,2849400
2000-03-15,12.62,13.25,12.58,13.0,12.01,4568100
2000-03-16,13.0,13.33,12.79,13.25,12.24,3268900
2000-03-17,13.25,13.33,12.67,13.33,12.32,3407500
2000-03-20,12.71,13.33,12.71,13.25,12.24,2671200
2000-03-21,13.29,13.5,13.17,13.46,12.44,2194200
2000-03-22,13.46,13.46,13.0,13.04,12.05,1931500
2000-03-23,12.92,13.58,12.88,13.54,12.51,2545200
2000-03-24,13.42,13.5,13.04,13.33,12.32,2242800
2000-03-27,13.21,13.42,13.0,13.08,12.09,2069200
2000-03-28,13.33,13.62,13.25,13.62,12.59,2548500
2000-03-29,13.67,13.92,13.25,13.42,12.4,2015100
2000-03-30,13.42,13.46,12.92,13.29,12.28,2015700
2000-03-31,13.33,13.88,13.0,13.88,12.82,3444300
2000-04-03,13.75,13.83,13.5,13.58,12.55,2561700
2000-04-04,13.83,14.0,13.33,13.58,12.55,3457900
2000-04-05,13.92,14.33,13.83,14.17,13.09,3707400
2000-04-06,14.29,14.46,14.12,14.21,13.13,3143800
2000-04-07,14.33,14.54,14.29,14.38,13.28,2088300
2000-04-10,14.46,14.62,14.42,14.58,13.48,2863200
2000-04-11,14.62,14.92,14.54,14.88,13.75,3275700
2000-04-12,14.83,14.96,14.17,14.29,13.21,3397600
2000-04-13,14.42,14.46,13.83,14.25,13.17,3216600
2000-04-14,14.0,14.08,13.12,13.88,12.82,3437200
2000-04-17,13.29,13.5,12.67,12.75,11.78,3259000
2000-04-18,13.0,13.33,12.88,13.21,12.21,2067600
2000-04-19,13.25,14.38,13.25,14.04,12.98,3430300
2000-04-20,14.21,14.5,14.08,14.21,13.13,2691900
2000-04-24,14.21,14.25,13.38,13.83,12.78,3433900
2000-04-25,14.04,14.12,13.83,13.96,12.9,2214100
2000-04-26,13.83,14.0,13.54,13.92,12.86,2572500
2000-04-27,13.62,14.17,13.62,14.0,12.94,2178300
2000-04-28,14.17,14.46,14.0,14.46,13.36,1732200
2000-05-01,14.46,14.67,14.29,14.58,13.48,2304600
2000-05-02,14.54,14.83,14.33,14.5,13.4,2376300
2000-05-03,14.33,14.42,14.25,14.38,13.28,1243900
2000-05-04,14.58,14.67,14.08,14.21,13.13,1505200
2000-05-05,14.12,14.54,14.08,14.29,13.21,1538800
2000-05-08,14.33,15.0,14.25,14.96,13.82,2431200
2000-05-09,15.04,15.17,14.67,14.67,13.55,2952700
2000-05-10,14.67,15.08,14.62,14.71,13.59,1881400
2000-05-11,14.88,14.96,14.5,14.67,13.55,1689700
2000-05-12,14.54,14.67,14.12,14.25,13.17,1757500
2000-05-15,14.42,14.5,13.96,14.04,12.98,2297100
2000-05-16,14.04,14.29,13.71,14.0,12.94,3129400
