Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.92,19.27,18.86,19.27,5.77,20000
2000-01-03,18.81,19.15,18.75,18.81,5.63,60300
2000-01-04,18.86,18.86,18.29,18.46,5.53,48000
2000-01-05,18.46,19.21,18.29,18.75,5.61,44100
2000-01-06,18.69,19.44,18.58,19.1,5.72,272200
2000-01-07,19.21,20.08,19.1,19.85,5.94,266700
2000-01-10,20.37,20.6,20.37,20.37,6.1,76500
2000-01-11,20.37,20.72,20.25,20.6,6.17,87400
2000-01-12,20.6,21.18,20.54,20.89,6.25,113500
2000-01-13,21.06,21.3,21.01,21.18,6.34,142300
2000-01-14,21.18,21.24,20.95,21.18,6.34,48400
2000-01-18,21.06,21.24,20.95,21.24,6.36,130700
2000-01-19,21.12,21.64,21.12,21.58,6.46,135500
2000-01-20,21.58,22.16,21.53,22.16,6.63,82600
2000-01-21,21.82,21.93,21.76,21.93,6.56,136200
2000-01-24,21.82,21.87,21.18,21.58,6.46,60600
2000-01-25,21.58,21.58,20.95,21.53,6.44,99600
2000-01-26,21.18,21.47,21.06,21.12,6.32,36700
2000-01-27,21.18,21.3,20.95,20.95,6.27,64000
2000-01-28,21.01,21.01,20.54,20.89,6.25,61600
2000-01-31,20.83,20.95,20.6,20.89,6.25,54300
2000-02-01,21.01,21.01,20.54,20.6,6.17,62900
2000-02-02,19.44,20.14,19.44,19.85,5.94,310100
2000-02-03,19.91,20.02,19.85,20.02,5.99,197400
2000-02-04,20.2,20.31,19.91,19.96,5.98,64900
2000-02-07,20.02,20.2,19.91,19.96,5.98,37400
2000-02-08,20.02,20.43,20.02,20.37,6.1,49600
2000-02-09,20.54,20.72,20.2,20.54,6.15,59200
2000-02-10,20.02,20.25,20.02,20.14,6.03,67400
2000-02-11,19.91,20.31,19.62,19.67,5.89,89900
2000-02-14,19.56,19.96,19.44,19.96,5.98,34100
2000-02-15,20.02,20.14,19.67,20.02,5.99,98300
2000-02-16,19.85,19.85,18.98,19.27,5.92,64800
2000-02-17,19.15,19.5,18.98,19.21,5.9,62600
2000-02-18,19.1,19.21,18.58,18.63,5.72,50500
2000-02-22,18.69,19.1,18.63,19.1,5.87,73900
2000-02-23,18.75,18.75,18.17,18.46,5.67,69400
2000-02-24,18.4,18.75,18.0,18.4,5.65,85300
2000-02-25,18.46,18.75,18.34,18.34,5.63,152600
2000-02-28,18.4,18.46,18.11,18.4,5.65,61900
2000-02-29,18.23,18.63,18.23,18.63,5.72,130600
2000-03-01,18.52,18.75,17.82,17.82,5.47,358500
2000-03-02,17.82,17.94,17.53,17.65,5.42,164500
2000-03-03,17.82,17.82,17.48,17.65,5.42,144700
2000-03-06,17.82,17.94,17.59,17.88,5.49,80300
2000-03-07,17.65,17.82,17.42,17.59,5.4,56300
2000-03-08,17.65,18.11,17.53,18.05,5.55,78700
2000-03-09,18.0,18.52,17.94,18.34,5.63,140100
2000-03-10,18.11,18.29,18.05,18.17,5.58,212600
2000-03-13,18.11,18.29,17.94,18.05,5.55,44300
2000-03-14,18.17,18.17,17.94,18.05,5.55,52800
2000-03-15,18.05,18.46,18.0,18.34,5.63,252400
2000-03-16,18.34,18.69,18.34,18.69,5.74,38600
2000-03-17,18.46,18.75,18.46,18.69,5.74,301400
2000-03-20,18.34,18.69,18.34,18.69,5.74,49000
2000-03-21,18.46,18.75,18.29,18.69,5.74,62800
2000-03-22,18.81,18.86,18.46,18.81,5.78,42500
2000-03-23,18.69,18.69,18.46,18.52,5.69,47700
2000-03-24,18.63,18.86,18.52,18.69,5.74,53800
2000-03-27,18.92,18.92,18.52,18.63,5.72,38900
2000-03-28,18.63,18.86,18.58,18.58,5.71,182900
2000-03-29,19.67,19.67,18.92,18.92,5.81,209100
2000-03-30,18.52,19.1,18.52,18.75,5.76,60100
2000-03-31,18.75,19.21,18.75,19.1,5.87,104800
2000-04-03,19.1,19.15,18.81,19.04,5.85,46900
2000-04-04,18.98,18.98,18.63,18.92,5.81,106500
2000-04-05,18.81,19.21,18.75,19.21,5.9,50700
2000-04-06,19.21,19.33,18.98,19.1,5.87,95700
2000-04-07,18.98,19.67,18.98,19.67,6.04,95900
2000-04-10,19.56,20.37,19.56,19.96,6.13,103500
2000-04-11,19.96,20.25,19.79,19.79,6.08,124500
2000-04-12,19.91,20.14,19.73,19.85,6.1,102900
2000-04-13,19.96,20.72,19.96,20.66,6.35,197500
2000-04-14,20.25,20.72,20.2,20.25,6.22,64000
2000-04-17,20.14,20.54,20.14,20.31,6.24,47700
2000-04-18,20.2,20.6,20.2,20.25,6.22,166300
2000-04-19,20.49,20.83,20.14,20.77,6.38,54600
2000-04-20,20.77,20.77,20.49,20.54,6.31,57600
2000-04-24,20.6,20.6,20.37,20.37,6.26,29400
2000-04-25,20.37,20.89,20.37,20.89,6.42,61800
2000-04-26,20.83,21.06,20.83,20.95,6.43,83900
2000-04-27,20.95,21.3,20.83,21.3,6.54,22500
2000-04-28,21.3,21.47,21.01,21.47,6.59,133200
2000-05-01,21.53,21.76,21.41,21.76,6.68,98100
2000-05-02,21.76,22.22,21.64,22.05,6.77,111600
2000-05-03,22.05,22.28,21.93,22.05,6.77,72200
2000-05-04,22.16,22.45,22.11,22.22,6.82,117300
2000-05-05,22.39,22.45,22.22,22.22,6.82,53800
2000-05-08,22.28,22.28,22.05,22.11,6.79,41300
2000-05-09,21.99,22.39,21.93,22.16,6.81,71500
2000-05-10,22.16,22.16,21.87,21.87,6.72,133800
2000-05-11,21.99,22.22,21.99,22.22,6.82,15900
2000-05-12,22.22,22.22,21.58,21.7,6.67,140400
2000-05-15,21.7,21.76,21.47,21.76,6.68,23600
2000-05-16,21.06,21.47,20.95,21.47,6.75,82300
2000-05-17,21.41,21.41,20.95,21.06,6.62,44300
2000-05-18,21.06,21.18,20.37,20.37,6.41,121100
2000-05-19,19.91,20.54,19.91,20.37,6.41,154700
2000-05-22,20.37,20.49,20.31,20.37,6.41,45500
2000-05-23,21.24,21.24,20.54,20.6,6.48,59700
2000-05-24,20.49,20.6,20.08,20.6,6.48,29600
2000-05-25,20.6,20.6,19.73,19.91,6.26,25500
2000-05-26,19.79,20.25,19.56,20.2,6.35,294700
2000-05-30,20.25,20.37,19.96,20.2,6.35,270000
2000-05-31,20.25,20.31,19.96,20.2,6.35,21800
2000-06-01,20.2,20.37,20.2,20.37,6.41,20500
2000-06-02,20.25,20.37,20.2,20.25,6.37,93900
2000-06-05,20.25,20.37,20.2,20.2,6.35,31100
2000-06-06,20.31,20.37,20.25,20.31,6.39,36800
2000-06-07,20.2,20.31,20.08,20.08,6.32,93400
2000-06-08,20.14,20.31,20.08,20.25,6.37,19500
2000-06-09,20.14,20.2,20.02,20.08,6.32,53200
2000-06-12,19.96,20.31,19.96,20.25,6.37,37300
2000-06-13,20.14,20.37,20.08,20.37,6.41,139700
2000-06-14,20.37,20.49,20.14,20.2,6.35,168600
2000-06-15,20.14,20.37,19.96,20.37,6.41,140700
2000-06-16,20.43,20.43,20.2,20.25,6.37,66500
2000-06-19,20.37,20.37,20.2,20.31,6.39,24400
2000-06-20,20.31,20.6,20.25,20.54,6.46,50800
2000-06-21,20.43,20.49,20.25,20.37,6.41,55000
2000-06-22,20.31,20.49,20.25,20.31,6.39,52700
2000-06-23,20.37,20.37,20.2,20.31,6.39,46400
2000-06-26,20.31,20.43,20.25,20.37,6.41,23600
2000-06-27,20.31,20.54,20.31,20.37,6.41,59300
2000-06-28,20.37,20.54,20.31,20.54,6.46,197100
2000-06-29,20.54,21.06,20.49,20.89,6.57,75400
2000-06-30,20.83,20.83,20.43,20.44,6.43,127600
2000-07-03,20.37,20.6,20.37,20.6,6.48,7000
2000-07-05,20.66,20.83,20.37,20.54,6.46,79000
2000-07-06,20.43,21.18,20.43,21.18,6.66,94900
2000-07-07,21.12,21.12,20.77,20.89,6.57,61900
2000-07-10,20.77,21.01,20.77,20.89,6.57,70300
2000-07-11,20.77,20.95,20.66,20.72,6.52,23800
2000-07-12,20.6,21.18,20.6,20.83,6.55,142000
2000-07-13,20.72,20.89,20.72,20.77,6.53,26300
2000-07-14,21.01,21.01,20.83,20.83,6.55,129800
2000-07-17,20.77,20.83,20.72,20.72,6.52,27200
2000-07-18,20.83,20.95,20.72,20.72,6.52,340900
2000-07-19,20.95,21.12,20.83,20.89,6.57,32100
2000-07-20,21.01,21.3,20.89,21.18,6.66,92000
2000-07-21,21.3,21.64,21.24,21.35,6.72,99400
2000-07-24,21.35,21.64,21.35,21.41,6.73,128200
2000-07-25,21.35,21.7,21.35,21.53,6.77,52200
2000-07-26,21.64,21.99,21.58,21.99,6.92,119100
2000-07-27,22.11,22.11,21.7,22.05,6.93,41000
2000-07-28,22.11,22.11,21.76,21.82,6.86,55000
2000-07-31,21.93,22.16,21.82,22.16,6.97,41000
2000-08-01,21.99,22.92,21.82,22.92,7.21,130200
2000-08-02,22.92,22.92,22.39,22.74,7.15,54700
2000-08-03,22.57,22.63,22.39,22.57,7.1,102000
2000-08-04,22.57,22.57,21.76,21.87,6.88,51400
2000-08-07,22.11,22.16,21.87,21.93,6.9,48900
2000-08-08,21.76,22.16,21.76,22.11,6.95,76600
2000-08-09,21.87,22.16,21.76,21.87,6.88,352100
2000-08-10,22.05,22.05,21.58,21.76,6.84,120400
2000-08-11,21.82,21.82,21.53,21.7,6.83,56600
2000-08-14,21.76,21.76,20.72,20.83,6.55,351200
2000-08-15,20.83,20.83,20.37,20.49,6.44,299400
2000-08-16,20.2,20.43,20.14,20.31,6.55,206200
2000-08-17,20.37,20.49,20.14,20.31,6.55,179500
2000-08-18,20.14,20.31,20.08,20.2,6.51,71500
