Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,14.36,14.89,14.36,14.71,12.13,462000
2000-01-03,14.71,14.74,14.19,14.22,11.72,2506500
2000-01-04,14.13,14.33,14.01,14.13,11.65,1036200
2000-01-05,14.13,14.54,14.13,14.36,11.84,960500
2000-01-06,14.39,14.57,14.3,14.57,12.01,889400
2000-01-07,14.57,15.06,14.57,14.97,12.35,1114500
2000-01-10,15.38,16.2,15.32,15.76,12.99,2767900
2000-01-11,15.64,15.91,15.21,15.21,12.54,1572400
2000-01-12,15.21,15.47,14.92,15.35,12.66,1020600
2000-01-13,15.35,15.61,15.32,15.38,12.68,941700
2000-01-14,15.38,15.59,15.24,15.27,12.59,798200
2000-01-18,15.15,15.35,14.97,15.06,12.42,949800
2000-01-19,14.94,15.35,14.94,15.15,12.49,933600
2000-01-20,14.97,15.18,14.92,15.0,12.37,880400
2000-01-21,15.0,15.09,14.89,14.94,12.32,1187500
2000-01-24,14.94,14.94,14.04,14.07,11.6,1540200
2000-01-25,14.04,14.89,14.04,14.42,11.89,1266500
2000-01-26,14.45,14.51,14.1,14.51,11.96,1036000
2000-01-27,14.45,14.86,14.45,14.57,12.01,1029900
2000-01-28,14.48,14.97,14.33,14.36,11.84,2047400
2000-01-31,14.45,14.54,14.19,14.48,11.94,1058900
2000-02-01,14.45,15.21,14.42,14.89,12.27,966400
2000-02-02,14.77,15.03,14.62,14.65,12.08,767600
2000-02-03,14.65,15.15,14.62,15.03,12.39,1575300
2000-02-04,14.97,15.82,14.92,15.79,13.02,1463600
2000-02-07,15.59,15.79,15.15,15.5,12.78,1331800
2000-02-08,15.5,15.82,15.32,15.61,12.87,1953000
2000-02-09,15.44,15.7,15.21,15.24,12.56,1726000
2000-02-10,15.29,15.29,14.89,14.94,12.32,1801300
2000-02-11,14.94,15.5,14.83,15.24,12.56,847200
2000-02-14,15.27,15.56,14.83,15.03,12.39,1089600
2000-02-15,15.21,15.59,14.97,15.29,12.61,733300
2000-02-16,15.38,15.59,14.62,15.24,12.56,1230000
2000-02-17,15.12,15.21,14.33,14.74,12.15,1272800
2000-02-18,14.62,14.89,14.25,14.33,11.82,707500
2000-02-22,14.33,14.33,13.81,14.13,11.65,772500
2000-02-23,14.13,14.13,13.81,13.84,11.41,997300
2000-02-24,13.87,13.87,12.5,12.76,10.52,1717700
2000-02-25,13.05,13.6,12.99,12.99,10.71,1563400
2000-02-28,12.7,13.14,12.67,13.05,10.76,2012500
2000-02-29,13.05,13.11,12.67,12.85,10.59,1932900
2000-03-01,12.79,12.91,12.7,12.82,10.57,1157100
