Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,22.08,22.52,22.02,22.3,14.0,569900
2000-01-03,22.19,22.3,21.75,22.13,13.89,1877800
2000-01-04,21.42,22.02,20.43,21.58,13.55,1856900
2000-01-05,21.47,21.64,20.43,20.6,12.99,1165000
2000-01-06,20.82,20.98,20.16,20.82,13.13,1755300
2000-01-07,21.09,22.13,20.87,21.58,13.62,1616100
2000-01-10,21.47,21.53,20.65,20.98,13.23,1236700
2000-01-11,20.76,21.25,20.54,20.54,12.96,657900
2000-01-12,20.65,20.98,20.1,20.21,12.75,1293300
2000-01-13,20.54,20.87,20.05,20.16,12.71,1549600
2000-01-14,20.05,20.43,19.22,20.32,12.82,1240100
2000-01-18,19.88,20.43,19.55,20.43,12.89,1445800
2000-01-19,21.31,21.31,20.43,20.6,12.99,1861000
2000-01-20,20.6,20.87,19.66,19.88,12.54,1052600
2000-01-21,19.88,19.88,18.78,19.83,12.51,2325700
2000-01-24,19.44,19.55,17.52,17.52,11.05,2551700
2000-01-25,18.23,18.23,17.03,17.25,10.88,2387100
2000-01-26,17.52,17.57,17.14,17.3,10.91,2528000
2000-01-27,17.79,18.18,17.46,18.07,11.4,1887900
2000-01-28,17.68,18.01,17.14,17.25,10.88,1097300
2000-01-31,17.25,17.79,17.08,17.52,11.05,884900
2000-02-01,17.46,17.85,17.25,17.79,11.23,1222600
2000-02-02,17.79,17.85,17.14,17.57,11.09,1101000
2000-02-03,17.63,18.12,16.75,16.92,10.67,1839600
2000-02-04,17.03,17.14,15.93,16.26,10.26,2302100
2000-02-07,16.26,16.53,15.82,16.48,10.39,1438400
2000-02-08,16.42,16.92,15.82,16.09,10.15,1524800
2000-02-09,15.65,15.87,15.54,15.71,9.91,2210500
2000-02-10,15.76,15.76,15.21,15.21,9.6,2190100
2000-02-11,15.38,15.43,14.99,15.16,9.56,2757900
2000-02-14,15.6,16.48,15.21,16.37,10.32,1789600
2000-02-15,16.7,17.41,16.2,17.25,10.88,1770500
2000-02-16,17.25,17.85,17.14,17.57,11.09,2024600
2000-02-17,17.36,18.51,17.25,18.18,11.47,2594100
2000-02-18,18.01,18.01,17.19,17.41,10.98,1812400
2000-02-22,16.59,17.19,16.59,16.64,10.5,2046900
2000-02-23,16.59,16.86,16.42,16.48,10.39,1903900
2000-02-24,16.64,16.64,16.04,16.42,10.36,1077900
2000-02-25,16.2,16.48,15.87,16.2,10.22,1448600
2000-02-28,16.48,16.48,15.87,15.87,10.01,1429600
2000-02-29,15.93,16.42,15.71,15.71,9.91,2835200
2000-03-01,15.6,16.37,15.6,15.98,10.08,2499100
2000-03-02,15.98,16.09,15.76,15.93,10.05,2167300
2000-03-03,15.43,15.98,15.43,15.49,9.77,1307200
2000-03-06,15.6,15.71,15.1,15.32,9.67,1139700
2000-03-07,15.6,16.15,15.43,15.93,10.05,1452600
2000-03-08,15.38,17.14,15.27,16.7,10.53,1753600
2000-03-09,16.04,16.59,15.82,16.04,10.12,1737300
2000-03-10,16.04,16.64,15.71,16.15,10.19,921600
2000-03-13,15.93,16.92,15.93,16.59,10.46,1147500
2000-03-14,16.26,16.48,15.43,16.26,10.26,1785200
2000-03-15,16.31,17.36,15.54,16.97,10.71,1557100
2000-03-16,17.41,19.44,17.3,19.0,11.99,3652100
2000-03-17,19.11,19.55,18.18,19.33,12.2,2526300
2000-03-20,19.33,19.94,19.06,19.72,12.44,1807200
2000-03-21,19.5,20.1,19.0,19.61,12.37,1565400
2000-03-22,19.61,19.83,18.78,19.11,12.06,1366500
2000-03-23,19.11,20.65,18.95,19.99,12.61,1115500
2000-03-24,20.05,20.87,19.94,20.38,12.85,1258100
2000-03-27,20.21,20.27,19.44,19.8,12.49,865900
2000-03-28,19.77,20.16,19.0,19.33,12.2,1141100
2000-03-29,19.55,19.77,19.0,19.06,12.02,1048000
2000-03-30,19.11,19.66,19.0,19.11,12.06,851700
2000-03-31,19.33,20.1,18.01,18.01,11.36,1593100
2000-04-03,18.78,20.21,18.78,19.77,12.47,1344500
2000-04-04,19.77,20.76,18.89,19.33,12.2,2553800
2000-04-05,19.22,19.94,19.17,19.66,12.47,781400
2000-04-06,19.88,19.94,18.84,19.33,12.26,1025900
2000-04-07,19.11,19.66,18.84,19.17,12.16,1288700
2000-04-10,19.17,19.61,19.0,19.0,12.05,1280500
2000-04-11,19.17,20.21,19.06,20.05,12.72,1126300
2000-04-12,21.97,22.3,21.2,21.64,13.73,2782600
2000-04-13,21.64,21.91,21.14,21.25,13.48,1333000
2000-04-14,21.14,21.2,19.94,20.6,13.06,2732500
2000-04-17,20.6,20.6,19.5,19.99,12.68,1697400
2000-04-18,19.99,19.99,19.22,19.55,12.4,921400
2000-04-19,19.99,19.99,19.17,19.83,12.58,762500
2000-04-20,19.94,20.21,19.33,19.66,12.47,834100
2000-04-24,19.44,19.83,19.11,19.72,12.51,4313200
2000-04-25,19.5,19.94,19.22,19.33,12.26,1994300
2000-04-26,19.11,19.94,19.11,19.77,12.54,3964100
2000-04-27,19.33,20.32,19.11,20.16,12.78,1783300
2000-04-28,19.94,20.49,19.61,19.72,12.51,1186800
2000-05-01,19.61,20.16,19.55,19.88,12.61,1319300
