Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,40.5,41.31,40.5,41.0,31.13,102600
2000-01-03,41.12,41.31,40.25,40.5,30.75,147600
2000-01-04,40.25,40.5,39.25,39.94,30.32,145100
2000-01-05,39.94,42.5,39.94,42.0,31.89,429900
2000-01-06,42.06,45.38,41.62,45.12,34.26,481300
2000-01-07,44.88,48.38,44.44,47.0,35.68,464500
2000-01-10,47.5,48.06,46.19,46.31,35.16,238800
2000-01-11,46.56,47.38,45.25,45.88,34.83,188100
2000-01-12,45.88,47.75,45.88,47.44,36.02,337100
2000-01-13,47.75,49.62,47.75,49.38,37.49,363300
2000-01-14,49.44,50.0,46.5,47.19,35.83,172100
2000-01-18,47.06,47.94,45.75,46.69,35.45,194200
2000-01-19,46.94,47.19,45.81,46.38,35.21,117800
2000-01-20,46.38,46.38,44.06,44.25,33.6,174600
2000-01-21,44.62,44.94,43.62,43.88,33.31,74500
2000-01-24,44.25,44.94,43.25,44.88,34.07,125700
2000-01-25,43.75,44.31,42.62,42.94,32.6,128600
2000-01-26,43.19,44.56,42.38,43.25,32.84,265600
2000-01-27,43.31,44.06,42.31,43.75,33.22,189100
2000-01-28,43.81,44.69,42.75,44.0,33.41,261000
2000-01-31,43.88,43.88,41.69,42.0,31.89,153800
2000-02-01,42.12,42.62,41.81,42.12,31.98,190500
2000-02-02,42.31,43.5,42.31,43.38,32.93,191600
2000-02-03,43.38,44.5,43.12,44.38,33.69,191100
2000-02-04,44.19,44.75,43.0,43.81,33.26,168800
2000-02-07,43.56,43.75,43.0,43.38,32.93,70900
2000-02-08,43.56,43.75,42.0,42.0,31.89,134900
2000-02-09,42.5,42.5,40.88,41.0,31.13,120000
2000-02-10,41.0,41.0,39.5,40.0,30.37,159300
2000-02-11,40.12,40.38,39.38,39.62,30.08,97000
2000-02-14,39.38,39.56,38.31,39.0,29.61,141400
2000-02-15,39.12,40.25,38.69,39.5,29.99,175400
2000-02-16,39.75,40.62,39.31,39.5,29.99,121200
2000-02-17,39.38,40.0,39.12,39.81,30.23,138700
2000-02-18,39.56,39.75,38.38,38.62,29.32,102800
2000-02-22,38.69,38.69,38.0,38.56,29.28,184300
2000-02-23,38.44,38.44,37.5,38.0,28.85,222000
2000-02-24,37.94,37.94,35.88,36.56,27.76,590900
2000-02-25,36.56,37.75,36.19,36.69,27.85,157200
2000-02-28,36.25,36.88,35.81,36.75,28.0,122800
2000-02-29,36.62,37.75,35.5,35.5,27.05,273200
2000-03-01,35.56,37.0,35.56,36.62,27.91,160200
2000-03-02,37.5,38.44,36.69,36.81,28.05,257200
2000-03-03,37.0,37.69,36.88,37.44,28.52,363200
2000-03-06,37.44,37.5,37.06,37.06,28.24,84100
2000-03-07,37.12,37.31,36.5,37.12,28.29,107400
2000-03-08,37.12,39.12,37.12,38.56,29.38,156400
2000-03-09,38.56,39.06,38.12,38.69,29.48,128000
2000-03-10,38.56,40.25,38.56,39.75,30.29,70900
2000-03-13,39.5,40.12,38.94,39.31,29.95,87800
2000-03-14,38.88,39.19,37.0,37.69,28.71,153400
2000-03-15,37.69,43.5,37.69,42.69,32.52,246200
2000-03-16,42.94,49.12,42.94,47.56,36.24,463800
2000-03-17,47.0,47.38,44.94,45.69,34.81,200700
2000-03-20,45.81,48.5,45.81,47.0,35.81,216700
2000-03-21,47.25,47.62,46.0,46.0,35.05,179500
2000-03-22,46.38,46.5,45.0,45.25,34.48,193200
2000-03-23,45.75,47.44,45.62,46.62,35.52,298900
2000-03-24,46.56,47.12,44.81,45.56,34.71,206400
2000-03-27,45.31,46.62,44.94,45.5,34.67,137800
2000-03-28,45.62,46.44,44.88,45.38,34.57,135300
2000-03-29,44.88,45.5,43.88,45.06,34.33,235300
2000-03-30,45.19,46.81,44.62,45.0,34.29,202200
2000-03-31,45.38,47.5,45.38,47.5,36.19,240300
2000-04-03,47.5,48.0,46.44,46.75,35.62,203600
2000-04-04,47.0,47.12,44.25,45.0,34.29,157800
2000-04-05,44.38,46.75,44.38,46.06,35.1,145300
2000-04-06,45.88,46.06,44.38,45.69,34.81,199400
2000-04-07,45.44,45.75,45.06,45.38,34.57,136300
2000-04-10,45.38,47.44,45.25,46.0,35.05,216900
2000-04-11,46.0,48.25,45.56,47.94,36.52,148400
2000-04-12,47.88,49.62,47.88,48.44,36.91,328300
2000-04-13,48.5,48.88,48.38,48.44,36.91,102300
2000-04-14,48.25,48.44,46.44,47.0,35.81,149200
2000-04-17,47.06,48.12,46.31,47.44,36.14,203300
2000-04-18,47.44,50.75,46.62,50.06,38.14,307000
2000-04-19,50.06,54.19,50.0,54.0,41.14,272700
2000-04-20,53.69,55.0,51.62,53.0,40.38,262700
2000-04-24,53.31,53.31,52.06,52.62,40.1,230500
2000-04-25,52.69,55.25,52.06,54.25,41.33,256300
2000-04-26,54.5,54.75,52.5,52.69,40.14,161200
2000-04-27,52.94,52.94,51.69,52.12,39.71,104400
2000-04-28,52.38,53.38,52.38,53.0,40.38,132100
2000-05-01,53.0,54.88,53.0,54.06,41.19,164600
2000-05-02,52.88,53.5,51.12,52.56,40.05,214600
2000-05-03,52.31,52.31,50.88,51.62,39.33,97000
2000-05-04,51.75,52.75,51.38,52.38,39.91,106800
2000-05-05,52.62,52.94,51.69,52.5,40.0,175500
2000-05-08,52.75,53.44,52.38,53.06,40.43,116900
2000-05-09,53.06,53.81,53.06,53.81,41.0,91800
2000-05-10,53.56,54.0,52.94,53.25,40.57,239800
2000-05-11,53.5,54.31,53.38,53.75,40.95,137200
2000-05-12,53.75,54.94,53.19,53.44,40.72,125800
2000-05-15,53.31,54.44,52.94,53.44,40.72,150200
2000-05-16,53.69,54.44,53.62,53.81,41.0,121100
2000-05-17,53.81,53.81,52.06,53.69,40.91,154200
2000-05-18,53.38,53.5,51.25,52.06,39.67,123500
2000-05-19,52.19,52.19,50.12,50.81,38.71,122400
2000-05-22,51.25,53.06,51.25,52.25,39.81,112200
2000-05-23,52.0,52.0,50.94,51.5,39.24,126000
2000-05-24,51.38,51.44,50.25,51.38,39.14,120200
2000-05-25,52.75,52.88,50.62,51.12,38.95,138100
2000-05-26,51.25,51.25,48.38,49.12,37.43,116800
2000-05-30,49.19,50.69,48.5,48.5,37.05,156900
2000-05-31,49.0,49.44,48.88,48.94,37.39,180700
2000-06-01,49.12,49.19,48.12,49.19,37.58,148400
2000-06-02,49.19,50.75,49.19,49.88,38.1,312400
2000-06-05,49.94,50.5,48.38,49.44,37.77,168200
2000-06-06,49.31,50.06,48.69,49.69,37.96,177600
2000-06-07,49.56,49.88,49.06,49.44,37.77,119800
2000-06-08,49.19,49.75,48.94,49.19,37.58,186400
2000-06-09,49.44,49.75,49.38,49.62,37.91,151500
2000-06-12,49.5,49.56,46.25,46.75,35.71,139700
2000-06-13,47.0,48.06,47.0,47.25,36.1,203000
2000-06-14,47.25,47.25,45.69,45.81,35.0,171500
2000-06-15,45.88,45.88,43.56,43.94,33.57,337900
2000-06-16,43.62,44.06,42.38,42.88,32.75,402700
2000-06-19,42.62,42.62,41.38,41.75,31.89,307800
2000-06-20,41.75,43.75,41.44,43.19,32.99,320900
2000-06-21,43.12,43.94,43.12,43.38,33.14,458300
2000-06-22,43.25,43.75,43.0,43.25,33.04,290400
