Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,67.88,68.12,66.94,67.19,32.17,2476400
2000-01-03,68.62,68.62,66.5,67.62,32.38,5978800
2000-01-04,67.0,67.81,64.75,65.25,31.25,7533100
2000-01-05,65.06,68.88,65.06,67.81,32.47,7598300
2000-01-06,67.81,69.19,67.69,68.38,32.74,4760500
2000-01-07,69.81,75.25,69.62,74.94,35.89,10373300
2000-01-10,74.75,74.81,72.12,72.75,34.84,5726800
2000-01-11,72.06,73.69,71.38,73.0,34.96,5023300
2000-01-12,73.62,75.19,73.44,74.44,35.65,4990400
2000-01-13,74.81,76.12,73.81,74.75,35.8,5353500
2000-01-14,75.25,75.94,72.69,74.12,35.5,5540200
2000-01-18,73.12,73.56,70.56,70.81,33.91,5299700
2000-01-19,71.75,72.69,71.25,71.5,34.24,4761600
2000-01-20,71.94,73.19,71.44,72.94,34.93,4986300
2000-01-21,74.5,74.5,71.56,72.44,34.69,7928900
2000-01-24,73.0,73.0,69.06,70.25,33.64,5189100
2000-01-25,71.12,72.0,70.62,70.88,33.94,5446100
2000-01-26,71.0,73.0,70.62,72.81,34.87,5357500
2000-01-27,73.12,75.44,73.0,74.12,35.5,7747200
2000-01-28,75.5,78.44,75.25,76.38,36.57,9823000
2000-01-31,75.69,79.0,74.56,78.62,37.65,8006300
2000-02-01,77.38,77.94,75.5,76.81,36.78,5026400
2000-02-02,77.31,78.38,75.94,76.88,36.81,4642700
2000-02-03,76.31,76.69,75.38,76.25,36.51,3874000
2000-02-04,76.88,76.88,74.94,75.06,35.95,4262100
2000-02-07,74.25,75.44,73.75,75.25,36.04,4170200
2000-02-08,75.5,75.88,75.06,75.44,36.13,3939200
2000-02-09,74.12,74.19,70.88,71.38,34.18,6927300
2000-02-10,70.0,70.25,68.0,69.0,33.04,7019500
2000-02-11,67.62,68.12,64.31,65.25,31.25,9213400
2000-02-14,65.5,66.44,64.0,66.06,31.64,8933100
2000-02-15,65.75,66.62,65.12,65.62,31.43,6377100
2000-02-16,65.5,67.19,65.25,65.5,31.37,5137400
2000-02-17,66.38,66.69,63.12,63.25,30.29,6936900
2000-02-18,63.44,64.38,61.56,62.0,29.69,6617100
2000-02-22,62.5,65.5,61.81,65.5,31.37,9199400
2000-02-23,66.0,66.0,63.12,63.12,30.23,7728500
2000-02-24,63.31,63.31,60.69,62.0,29.69,9066800
2000-02-25,61.06,61.5,59.19,60.19,28.82,7701300
2000-02-28,60.19,61.94,60.0,61.56,29.48,8488200
2000-02-29,62.44,63.12,61.38,61.56,29.48,7866200
2000-03-01,61.5,61.75,59.75,60.0,28.87,6955700
2000-03-02,60.06,60.75,59.25,59.25,28.51,5884600
2000-03-03,60.06,60.12,57.06,57.5,27.67,10216500
2000-03-06,57.44,57.75,56.25,56.5,27.18,8686200
2000-03-07,56.0,56.0,52.0,53.94,25.95,12923800
2000-03-08,53.94,57.44,53.94,56.81,27.33,11994000
2000-03-09,58.5,61.62,57.69,61.12,29.41,12280200
2000-03-10,61.75,61.88,59.0,59.56,28.66,8313900
2000-03-13,56.38,57.69,56.12,57.0,27.43,8876900
2000-03-14,55.88,56.75,55.38,56.5,27.18,7141300
2000-03-15,56.25,60.0,56.06,59.81,28.78,9185600
2000-03-16,60.44,65.69,60.19,65.0,31.27,15120800
2000-03-17,64.94,65.0,62.69,62.75,30.19,8515400
2000-03-20,61.62,62.19,60.31,61.62,29.65,6118700
2000-03-21,61.62,64.0,61.56,63.94,30.76,5143400
2000-03-22,63.06,64.94,63.0,64.44,31.0,5274200
2000-03-23,63.56,64.75,62.56,62.88,30.25,4828100
2000-03-24,62.88,63.0,60.38,61.75,29.71,6695600
2000-03-27,60.88,61.56,59.88,61.12,29.41,5578500
2000-03-28,59.75,62.5,59.75,61.56,29.62,7592000
2000-03-29,62.94,65.0,62.5,64.0,30.79,7047200
2000-03-30,64.0,65.94,63.81,64.06,30.82,6303600
2000-03-31,63.81,64.94,62.12,62.12,29.89,5662600
2000-04-03,62.38,67.0,62.38,66.75,32.12,7647200
2000-04-04,68.31,69.75,65.25,67.69,32.57,12027800
2000-04-05,67.94,68.5,66.94,68.25,32.84,6247600
2000-04-06,67.0,67.06,64.62,65.56,31.54,6228000
2000-04-07,65.38,66.69,65.0,65.5,31.51,3322400
2000-04-10,65.06,68.25,65.06,66.38,31.94,4710800
2000-04-11,66.44,68.0,66.38,67.31,32.39,5705900
2000-04-12,67.56,67.75,64.88,64.88,31.21,5840100
2000-04-13,65.38,67.0,65.12,65.81,31.67,4871700
2000-04-14,64.94,65.62,62.56,63.56,30.58,6155600
2000-04-17,63.75,64.75,61.88,64.44,31.0,6261100
2000-04-18,64.25,66.38,64.0,66.25,31.88,4600700
2000-04-19,66.0,69.75,65.56,69.0,33.2,8176700
2000-04-20,69.0,70.25,68.94,69.75,33.56,6542000
2000-04-24,69.88,72.19,69.75,71.94,34.61,7415800
2000-04-25,71.94,72.81,69.88,72.5,34.88,6689100
2000-04-26,72.0,72.19,70.25,71.94,34.61,4619400
2000-04-27,71.25,72.62,70.81,71.5,34.4,5645300
2000-04-28,69.62,70.31,67.56,69.5,33.44,8069000
2000-05-01,69.5,69.56,67.56,67.56,32.51,5159000
2000-05-02,67.06,70.06,66.94,69.25,33.32,4490200
2000-05-03,69.0,69.88,68.0,68.31,32.87,4003800
2000-05-04,68.56,68.62,67.0,67.19,32.33,3406500
2000-05-05,66.88,69.94,66.75,69.25,33.32,3657300
2000-05-08,69.94,70.5,69.0,69.88,33.62,4279300
2000-05-09,70.0,70.06,68.69,68.94,33.17,3683400
2000-05-10,68.69,68.75,66.75,68.0,32.72,4246100
2000-05-11,68.25,68.69,67.06,68.25,32.84,4024700
2000-05-12,68.31,68.94,67.31,68.12,32.78,3040900
2000-05-15,68.25,69.94,67.5,69.62,33.5,3196300
2000-05-16,69.62,71.5,69.0,71.0,34.16,5115600
2000-05-17,70.5,71.38,69.62,69.81,33.59,3357300
2000-05-18,69.75,70.69,69.75,69.94,33.65,2850500
2000-05-19,69.19,72.94,69.19,72.44,34.85,7055400
