Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.46,7.51,7.36,7.36,4.53,2996800
2000-01-03,7.44,7.49,7.2,7.23,4.45,4841200
2000-01-04,7.08,7.14,6.9,6.95,4.28,4847200
2000-01-05,7.06,7.27,7.01,7.14,4.39,9528900
2000-01-06,7.36,8.05,7.33,7.9,4.86,8595800
2000-01-07,7.46,8.2,7.46,8.13,5.0,8239300
2000-01-10,7.87,7.98,7.64,7.72,4.75,6339900
2000-01-11,7.66,7.88,7.66,7.81,4.8,4509600
2000-01-12,7.74,7.83,7.53,7.74,4.76,4478100
2000-01-13,7.66,7.85,7.66,7.75,4.77,3421900
2000-01-14,7.81,7.81,7.61,7.75,4.77,5511400
2000-01-18,7.83,7.92,7.74,7.88,4.85,4965200
2000-01-19,7.85,8.0,7.83,7.96,4.89,3985500
2000-01-20,7.92,7.94,7.61,7.68,4.72,6054600
2000-01-21,7.83,8.16,7.83,7.94,4.88,5331400
2000-01-24,7.75,7.87,7.55,7.57,4.65,8331900
2000-01-25,7.59,7.7,7.2,7.4,4.55,5558400
2000-01-26,7.16,7.66,7.16,7.46,4.59,8023100
2000-01-27,7.68,7.68,7.23,7.27,4.47,4621200
2000-01-28,7.36,7.46,7.23,7.34,4.52,4898900
2000-01-31,7.27,7.68,7.2,7.66,4.71,5180800
2000-02-01,7.59,7.59,7.34,7.36,4.53,1668000
2000-02-02,7.44,7.72,7.4,7.62,4.69,4311100
2000-02-03,7.55,7.55,7.36,7.47,4.6,3947600
2000-02-04,7.83,7.83,7.16,7.31,4.49,6032800
2000-02-07,7.21,7.51,7.14,7.46,4.59,5583200
2000-02-08,7.53,7.61,7.27,7.29,4.48,1634100
2000-02-09,7.21,7.27,6.92,6.97,4.29,3774300
2000-02-10,6.99,7.29,6.97,7.14,4.39,2837200
2000-02-11,7.14,7.16,6.73,6.86,4.22,3240200
2000-02-14,6.86,7.01,6.79,6.97,4.33,4503600
2000-02-15,7.03,7.21,7.03,7.14,4.43,3679700
2000-02-16,7.16,7.38,7.14,7.29,4.52,3693800
2000-02-17,7.36,7.42,7.05,7.25,4.5,1962100
2000-02-18,7.1,7.2,6.75,6.93,4.3,2315100
2000-02-22,7.01,7.1,6.77,6.86,4.26,3241900
2000-02-23,6.58,6.71,6.51,6.54,4.06,4776800
2000-02-24,6.51,6.56,6.34,6.43,3.99,5824900
2000-02-25,6.56,6.56,6.17,6.34,3.93,6611200
2000-02-28,6.28,6.51,6.26,6.36,3.95,4665800
2000-02-29,6.39,6.51,6.32,6.45,4.0,5210000
2000-03-01,6.52,6.71,6.34,6.65,4.13,6313800
2000-03-02,6.54,7.16,6.54,7.03,4.36,7253600
2000-03-03,7.21,7.21,6.75,6.92,4.29,3461100
2000-03-06,6.93,7.01,6.8,6.9,4.28,2652400
2000-03-07,7.16,7.47,6.97,7.38,4.58,4950800
2000-03-08,7.34,7.74,7.31,7.33,4.55,9734700
2000-03-09,7.16,7.47,7.14,7.4,4.59,4527700
2000-03-10,7.42,7.79,7.31,7.46,4.63,5997600
2000-03-13,7.31,7.72,7.31,7.46,4.63,5181500
2000-03-14,7.44,7.57,7.21,7.36,4.57,4467000
2000-03-15,7.29,7.75,7.08,7.59,4.71,8573000
2000-03-16,7.42,7.77,7.34,7.74,4.8,5519100
2000-03-17,7.38,7.64,7.23,7.25,4.5,7174500
2000-03-20,7.33,7.33,7.16,7.2,4.47,3382300
2000-03-21,7.2,7.42,7.18,7.31,4.54,5141600
2000-03-22,7.14,7.31,7.08,7.14,4.43,4861300
2000-03-23,7.12,7.12,6.79,6.79,4.21,15102700
2000-03-24,6.79,7.01,6.71,6.79,4.21,11454800
2000-03-27,6.75,6.95,6.65,6.93,4.3,5477600
2000-03-28,6.84,7.05,6.64,6.82,4.23,6656100
2000-03-29,6.75,7.18,6.75,7.12,4.42,7336100
2000-03-30,7.31,7.7,7.23,7.53,4.67,11062800
2000-03-31,7.61,7.85,7.53,7.77,4.82,9825300
2000-04-03,7.79,7.85,7.59,7.7,4.78,4258500
2000-04-04,7.62,7.87,7.46,7.53,4.67,5890600
2000-04-05,7.57,7.66,7.1,7.25,4.5,3404800
2000-04-06,7.33,7.51,7.25,7.36,4.57,2653800
2000-04-07,7.29,7.47,7.21,7.33,4.55,4375100
2000-04-10,7.25,7.25,7.08,7.12,4.42,3727700
2000-04-11,7.12,7.33,7.12,7.23,4.49,4530000
2000-04-12,7.23,7.85,7.2,7.62,4.73,7647600
