Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,36.1,36.25,35.61,35.61,30.57,1201400
2010-01-04,36.22,36.92,36.22,36.61,31.43,2227600
2010-01-05,36.72,37.69,36.42,37.56,32.24,3523000
2010-01-06,37.58,38.2,37.42,37.92,32.55,2030200
2010-01-07,37.72,37.82,36.91,37.4,32.11,2110000
2010-01-08,37.15,37.66,36.65,37.63,32.31,2303000
2010-01-11,38.04,38.42,37.33,37.81,32.45,3183000
2010-01-12,37.67,38.71,37.49,38.03,32.65,5095000
2010-01-13,38.11,38.54,37.37,38.38,32.94,2535200
2010-01-14,38.16,38.88,38.12,38.81,33.32,2509400
2010-01-15,38.88,39.24,38.22,38.85,33.35,4321400
2010-01-19,38.81,39.6,38.46,39.52,33.92,2286400
2010-01-20,39.12,39.12,38.35,38.81,33.31,4429600
2010-01-21,38.89,39.37,38.03,38.65,33.17,4138000
2010-01-22,38.48,39.27,38.04,38.16,32.76,6085400
2010-01-25,38.46,39.46,38.46,39.1,33.56,5578600
2010-01-26,38.65,39.16,38.06,38.26,32.84,6243800
2010-01-27,38.38,38.53,36.92,37.5,32.19,4122400
2010-01-28,37.9,38.26,36.76,37.28,32.0,3463800
2010-01-29,37.58,38.19,36.78,36.97,31.74,3964000
2010-02-01,37.32,37.91,37.18,37.91,32.54,3304000
2010-02-02,37.94,38.66,37.4,38.58,33.11,3562400
2010-02-03,38.38,38.64,38.06,38.35,32.92,1988800
2010-02-04,37.91,37.91,36.26,36.35,31.35,2666600
2010-02-05,36.26,36.62,35.41,36.53,31.5,4289800
2010-02-08,36.62,36.85,36.0,36.3,31.31,3016800
2010-02-09,36.82,37.82,36.72,37.22,32.1,2513800
2010-02-10,36.9,37.01,36.31,36.64,31.6,3984800
2010-02-11,36.64,37.53,36.51,37.5,32.34,2465600
2010-02-12,37.01,37.29,36.63,37.19,32.07,2791600
2010-02-16,37.64,38.55,37.64,38.44,33.16,2581800
2010-02-17,38.63,38.71,37.9,38.22,32.96,3671800
2010-02-18,37.12,37.98,37.1,37.67,32.48,5394200
2010-02-19,37.48,37.89,37.19,37.38,32.24,3370200
2010-02-22,37.37,37.42,36.16,36.24,31.26,2947800
2010-02-23,35.99,36.27,35.35,35.47,30.59,3274400
2010-02-24,35.08,36.1,34.98,35.49,30.61,4089400
2010-02-25,34.92,35.74,34.63,35.63,30.73,2773000
2010-02-26,35.76,36.44,35.49,36.32,31.32,3674600
2010-03-01,36.66,36.89,36.47,36.67,31.63,3414600
2010-03-02,36.81,37.22,36.36,36.53,31.51,4368000
2010-03-03,36.69,36.93,36.21,36.4,31.4,2969200
2010-03-04,36.49,36.78,35.75,36.11,31.14,2376200
2010-03-05,36.39,36.84,36.31,36.62,31.58,2346200
2010-03-08,36.74,36.8,36.37,36.49,31.47,1761800
2010-03-09,36.35,36.8,36.26,36.62,31.59,2711000
2010-03-10,36.69,36.88,36.46,36.78,31.72,3528800
2010-03-11,36.62,36.85,36.49,36.74,31.68,2604200
2010-03-12,36.98,37.08,36.56,37.01,31.92,2353200
2010-03-15,36.88,36.94,36.19,36.61,31.57,3209000
2010-03-16,36.84,37.05,36.53,37.03,31.94,2294400
2010-03-17,37.22,38.31,37.22,38.08,32.84,4759600
2010-03-18,37.92,38.21,37.12,37.19,32.08,3942000
2010-03-19,36.6,37.49,36.24,36.6,31.56,5020800
2010-03-22,36.17,36.22,35.75,36.14,31.17,3979800
2010-03-23,36.13,36.29,35.64,35.86,30.93,5287200
2010-03-24,35.71,36.19,35.4,36.03,31.07,4594000
2010-03-25,36.35,36.35,35.06,35.09,30.26,3809600
2010-03-26,35.11,35.21,34.19,34.6,29.84,6041800
2010-03-29,34.9,35.67,34.74,35.65,30.74,2974200
2010-03-30,35.4,35.97,35.12,35.82,30.89,3601400
2010-03-31,35.87,36.8,35.84,36.5,31.48,5128200
2010-04-01,36.94,37.72,36.88,37.64,32.46,4262400
2010-04-05,37.78,38.94,37.65,38.49,33.2,4925000
2010-04-06,38.28,38.41,37.84,37.95,32.73,4764800
2010-04-07,37.78,38.33,37.5,37.94,32.72,4607400
2010-04-08,37.65,38.13,37.22,38.06,32.83,2222200
2010-04-09,38.29,38.59,38.1,38.44,33.15,2613200
2010-04-12,38.31,38.62,38.05,38.26,33.0,3036800
2010-04-13,38.24,38.47,37.74,38.3,33.03,2327600
2010-04-14,38.58,39.12,38.25,39.08,33.71,3097000
2010-04-15,39.27,39.29,38.88,39.15,33.77,2158600
2010-04-16,38.82,39.12,38.28,38.65,33.33,3876800
2010-04-19,38.26,38.74,38.08,38.66,33.34,2128600
2010-04-20,38.97,39.55,38.97,39.33,33.92,2482600
2010-04-21,39.27,39.44,38.97,39.2,33.81,2357800
2010-04-22,38.77,39.89,38.68,39.67,34.21,3389600
2010-04-23,39.61,40.33,39.38,40.33,34.78,4177200
2010-04-26,40.28,40.75,40.06,40.37,34.81,3422000
2010-04-27,40.04,40.35,39.03,39.11,33.73,3369400
2010-04-28,39.52,39.73,39.04,39.46,34.03,4017200
2010-04-29,39.24,39.98,37.78,39.12,33.74,5952200
2010-04-30,39.17,39.34,37.77,38.2,32.95,5531400
2010-05-03,38.23,39.23,38.12,38.94,33.58,3070800
2010-05-04,38.37,38.65,37.81,38.44,33.16,3484800
2010-05-05,37.9,38.03,37.21,37.47,32.31,4262400
2010-05-06,37.15,37.54,34.79,36.17,31.35,5505200
2010-05-07,36.0,36.51,34.93,35.4,30.68,4812400
2010-05-10,37.21,37.22,35.97,36.53,31.66,5078200
2010-05-11,36.03,36.33,34.15,34.28,29.7,11133400
2010-05-12,34.46,35.15,33.85,35.06,30.39,9565800
2010-05-13,34.92,35.29,34.36,34.46,29.86,4268400
2010-05-14,34.21,34.33,32.87,33.53,29.05,5183800
2010-05-17,33.74,33.98,32.49,32.97,28.57,4845600
2010-05-18,33.49,33.72,32.55,32.65,28.29,4545800
2010-05-19,32.35,32.55,31.24,32.04,27.77,5222800
2010-05-20,31.0,31.09,30.1,30.18,26.15,7161200
2010-05-21,29.78,30.58,29.2,30.56,26.48,8627000
2010-05-24,30.58,30.58,29.79,29.81,25.83,3147000
2010-05-25,29.06,29.36,28.55,29.32,25.41,9683600
2010-05-26,29.7,30.5,29.7,30.12,26.11,6816800
2010-05-27,30.91,31.55,30.67,30.84,26.73,6869400
2010-05-28,30.89,31.01,29.57,29.75,25.78,6778400
2010-06-01,29.52,29.52,28.11,28.11,24.37,8729800
2010-06-02,28.41,30.08,28.25,30.08,26.06,6884200
2010-06-03,31.04,31.83,30.6,31.7,27.48,10507000
2010-06-04,31.16,32.06,30.15,30.3,26.26,7037600
2010-06-07,30.69,30.87,29.97,30.08,26.07,4218400
2010-06-08,30.1,30.49,29.7,30.44,26.38,6028600
2010-06-09,30.77,31.28,30.27,30.53,26.46,6085400
2010-06-10,31.23,32.0,31.21,31.95,27.69,4109000
2010-06-11,31.64,32.0,31.36,31.99,27.72,3380600
2010-06-14,32.42,32.62,31.63,31.84,27.59,3752000
2010-06-15,32.35,33.28,32.15,33.22,28.79,3971600
2010-06-16,32.95,33.33,32.43,33.1,28.69,4055000
2010-06-17,33.03,33.13,32.72,33.05,28.64,2832600
2010-06-18,33.03,33.1,32.51,32.99,28.59,3063800
2010-06-21,33.38,33.69,32.4,32.65,28.29,3152000
2010-06-22,32.62,32.65,31.39,31.53,27.32,3650600
2010-06-23,31.49,31.61,31.07,31.2,27.04,3564200
2010-06-24,31.06,31.43,30.8,30.98,26.84,3876800
2010-06-25,31.09,31.78,30.68,31.45,27.26,5288800
2010-06-28,31.53,31.6,30.83,30.9,26.77,3247000
2010-06-29,30.23,30.51,29.97,30.14,26.12,3759600
2010-06-30,30.15,30.65,29.95,30.17,26.14,6236800
2010-07-01,30.1,30.92,29.61,30.6,26.52,5504400
2010-07-02,30.72,31.24,30.56,30.94,26.81,4172400
2010-07-06,31.53,31.94,31.09,31.43,27.24,4610000
2010-07-07,31.37,32.78,31.37,32.78,28.4,4586000
2010-07-08,33.14,33.39,32.38,33.21,28.78,4000200
2010-07-09,33.25,33.28,32.47,32.85,28.47,2779000
2010-07-12,32.76,33.18,32.68,33.15,28.73,2608000
2010-07-13,33.85,33.89,33.37,33.45,28.99,2806200
2010-07-14,33.22,33.75,32.85,33.33,28.88,3927400
2010-07-15,33.37,33.78,32.97,33.69,29.19,2305200
2010-07-16,33.35,33.38,32.63,32.81,28.43,3927800
2010-07-19,32.95,33.17,32.58,33.01,28.6,2361400
2010-07-20,32.6,33.85,32.6,33.78,29.27,2086600
2010-07-21,33.9,33.91,32.83,33.03,28.63,3817200
2010-07-22,33.76,34.1,33.48,33.89,29.37,3433400
2010-07-23,33.72,33.83,33.01,33.69,29.19,2939200
2010-07-26,33.69,34.22,33.69,34.09,29.54,1987200
2010-07-27,34.21,34.41,33.44,33.73,29.23,2941600
2010-07-28,33.72,34.17,33.57,33.79,29.28,3318800
2010-07-29,34.6,34.92,33.68,34.08,29.53,3538400
2010-07-30,33.78,34.32,33.28,33.53,29.06,4540800
2010-08-02,34.06,34.56,33.69,34.47,29.87,2787800
2010-08-03,34.49,34.99,34.35,34.51,29.9,4595800
2010-08-04,34.47,34.74,34.13,34.44,29.85,2787800
2010-08-05,34.06,34.87,33.94,34.8,30.32,2816800
2010-08-06,34.37,34.81,33.99,34.5,30.06,3013600
2010-08-09,34.74,34.88,34.31,34.8,30.32,2536200
2010-08-10,34.42,34.62,34.08,34.5,30.06,3184000
2010-08-11,33.87,34.1,33.29,33.51,29.19,3163200
2010-08-12,32.96,33.51,32.9,33.24,28.96,1968000
2010-08-13,33.03,33.76,32.98,33.58,29.25,2470600
2010-08-16,33.42,33.67,33.05,33.37,29.07,3390000
2010-08-17,33.74,35.06,33.6,34.8,30.32,4343800
2010-08-18,34.71,34.76,34.08,34.46,30.02,2845000
2010-08-19,34.29,34.32,33.78,33.99,29.62,2406800
2010-08-20,33.71,33.96,33.3,33.55,29.23,2085400
2010-08-23,33.67,34.11,33.67,33.69,29.35,1910800
2010-08-24,32.99,33.17,32.63,32.74,28.53,2536200
2010-08-25,32.58,32.67,31.9,32.52,28.33,2439000
2010-08-26,32.78,32.78,32.01,32.27,28.11,5677000
2010-08-27,32.51,33.68,31.94,33.62,29.29,3212200
2010-08-30,34.31,35.32,34.16,34.28,29.86,6538200
2010-08-31,34.19,35.42,33.79,34.89,30.4,6326200
2010-09-01,35.65,35.81,35.25,35.59,31.01,4937400
2010-09-02,35.62,36.38,35.4,36.33,31.65,3606800
2010-09-03,36.33,37.25,36.33,37.19,32.4,3284600
2010-09-07,37.03,37.17,36.43,36.54,31.83,4231000
2010-09-08,36.66,36.97,36.47,36.6,31.88,2176000
2010-09-09,37.24,37.35,36.69,37.12,32.33,3621800
2010-09-10,37.43,37.75,37.19,37.59,32.75,2385200
2010-09-13,37.82,38.54,37.76,38.44,33.49,3252800
2010-09-14,38.33,38.81,38.22,38.54,33.58,3430800
2010-09-15,38.24,38.56,37.99,38.5,33.54,2962200
2010-09-16,38.4,38.42,37.62,37.8,32.93,4345200
2010-09-17,37.53,37.67,36.88,37.03,32.26,5997200
2010-09-20,36.99,37.63,36.86,37.51,32.68,2418600
2010-09-21,37.57,37.72,37.17,37.51,32.67,2549000
2010-09-22,37.61,37.99,37.06,37.13,32.35,2362800
2010-09-23,36.69,37.12,36.37,36.83,32.09,2197200
2010-09-24,37.31,37.9,37.19,37.72,32.87,2065800
2010-09-27,37.77,37.9,37.49,37.49,32.66,1405600
2010-09-28,37.76,37.76,36.82,37.6,32.76,1511200
2010-09-29,37.51,37.93,37.28,37.76,32.9,2070200
2010-09-30,38.02,38.28,36.96,37.54,32.71,2382400
2010-10-01,37.98,38.08,37.53,37.88,33.0,2664200
2010-10-04,37.9,38.29,37.63,37.87,32.99,2757400
2010-10-05,38.33,38.71,38.14,38.6,33.63,3325200
2010-10-06,38.44,38.72,38.29,38.37,33.43,2659800
2010-10-07,38.62,38.74,38.05,38.23,33.31,1917600
2010-10-08,38.33,38.91,37.76,38.76,33.77,2548200
2010-10-11,38.74,39.19,38.58,38.77,33.78,2026400
2010-10-12,38.58,38.63,38.03,38.42,33.48,2508400
2010-10-13,38.72,39.14,38.63,38.97,33.95,3404200
2010-10-14,38.94,39.23,38.37,38.72,33.74,2214800
2010-10-15,38.94,39.35,38.63,39.0,33.98,4259600
2010-10-18,39.08,39.53,38.76,39.31,34.25,4332200
2010-10-19,38.7,38.94,38.18,38.44,33.49,3418800
