Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,24.75,24.75,24.25,24.5,19.23,298600.0
2000-01-03,24.0,24.88,23.75,24.06,18.88,906900.0
2000-01-04,23.25,23.62,22.19,22.25,17.46,1783800.0
2000-01-05,22.5,23.19,22.5,22.5,17.66,1180300.0
2000-01-06,22.06,22.38,21.94,22.25,17.46,1688400.0
2000-01-07,22.5,22.69,21.25,21.44,16.82,1528800.0
2000-01-10,21.5,21.69,21.31,21.38,16.77,1222900.0
2000-01-11,21.62,22.62,21.5,22.62,17.76,1595500.0
2000-01-12,22.19,22.31,21.81,22.12,17.36,2195200.0
2000-01-13,22.12,22.12,21.25,21.38,16.77,3962600.0
2000-01-14,21.38,21.44,20.5,20.81,16.33,3470900.0
2000-01-18,21.06,22.12,20.94,22.12,17.36,3087200.0
2000-01-19,22.12,22.19,21.56,21.88,17.17,1759200.0
2000-01-20,21.19,21.25,20.69,21.06,16.53,1913300.0
2000-01-21,20.94,21.38,20.81,21.19,16.63,1359300.0
2000-01-24,20.25,20.69,20.12,20.5,16.09,1240000.0
2000-01-25,20.5,20.5,19.12,19.38,15.21,1482500.0
2000-01-26,19.94,19.94,19.44,19.62,15.4,1015800.0
2000-01-27,20.12,21.44,19.75,21.44,16.82,1753900.0
2000-01-28,21.44,21.69,19.75,20.06,15.74,1453500.0
2000-01-31,20.25,20.5,20.06,20.38,15.99,914500.0
2000-02-01,20.12,20.12,19.62,19.88,15.6,925900.0
2000-02-02,20.38,21.12,20.31,20.88,16.38,1665000.0
2000-02-03,20.81,21.38,20.31,21.25,16.68,1779500.0
2000-02-04,22.44,24.62,22.25,24.0,18.83,5190800.0
2000-02-07,25.44,25.44,22.62,22.75,17.85,4931900.0
2000-02-08,22.62,22.62,22.0,22.0,17.27,1513600.0
2000-02-09,23.44,24.38,23.19,23.88,18.74,2560300.0
2000-02-10,24.19,25.12,23.38,24.62,19.33,2603400.0
2000-02-11,24.19,24.5,23.62,23.94,18.79,1541200.0
2000-02-14,23.88,23.88,23.0,23.19,18.2,1458800.0
2000-02-15,22.81,24.19,22.19,24.0,18.83,1736300.0
2000-02-16,24.44,24.69,23.19,24.25,19.03,1374600.0
2000-02-17,24.38,24.5,23.0,23.06,18.1,1133600.0
2000-02-18,23.62,24.69,23.44,24.5,19.23,1470000.0
2000-02-22,24.25,25.94,23.88,25.06,19.67,2265500.0
2000-02-23,24.5,24.62,23.25,23.25,18.25,1700800.0
2000-02-24,23.38,23.56,22.88,23.19,18.2,1593000.0
2000-02-25,22.5,22.56,22.06,22.31,17.51,1001700.0
2000-02-28,22.44,23.06,22.06,22.12,17.36,1258900.0
2000-02-29,22.38,22.69,21.88,22.12,17.36,980900.0
2000-03-01,22.06,22.62,22.06,22.62,17.76,681700.0
2000-03-02,22.0,22.31,21.19,21.62,16.97,1231400.0
2000-03-03,21.56,22.19,21.44,21.56,16.95,765000.0
2000-03-06,21.56,22.25,21.5,22.0,17.29,464200.0
2000-03-07,22.38,24.88,22.38,24.44,19.2,2578900.0
2000-03-08,23.75,24.69,23.19,23.31,18.32,1810700.0
2000-03-09,23.5,24.19,23.44,24.0,18.86,1111200.0
2000-03-10,23.5,23.81,23.06,23.25,18.27,1048900.0
2000-03-13,23.62,24.31,23.5,23.69,18.62,899800.0
2000-03-14,24.0,24.31,23.5,24.31,19.11,907300.0
2000-03-15,24.25,24.44,23.62,23.88,18.76,649800.0
2000-03-16,23.75,23.75,22.5,22.75,17.88,1426500.0
2000-03-17,22.88,23.31,22.31,22.81,17.93,1405100.0
2000-03-20,22.94,23.31,22.75,23.0,18.07,1118300.0
2000-03-21,23.0,24.31,22.88,24.12,18.96,1724600.0
2000-03-22,23.38,23.62,23.25,23.31,18.32,1305400.0
2000-03-23,23.0,23.12,22.62,23.0,18.07,1091500.0
2000-03-24,23.0,23.81,23.0,23.38,18.37,936600.0
2000-03-27,23.06,23.12,22.5,22.69,17.83,1200900.0
2000-03-28,22.81,22.88,22.56,22.62,17.78,1082200.0
2000-03-29,22.62,23.44,22.06,22.31,17.53,1840700.0
2000-03-30,22.31,22.81,22.31,22.38,17.58,915300.0
2000-03-31,22.31,23.06,22.31,22.44,17.63,1074300.0
2000-04-03,22.38,22.75,22.12,22.44,17.63,1063500.0
2000-04-04,22.25,24.31,22.0,23.5,18.47,2355700.0
2000-04-05,23.5,23.75,22.88,23.62,18.57,1095200.0
2000-04-06,23.38,23.44,22.81,23.06,18.12,549100.0
2000-04-07,23.06,23.5,22.75,23.19,18.22,715200.0
2000-04-10,23.5,23.56,23.0,23.06,18.12,976600.0
2000-04-11,23.25,23.69,23.19,23.38,18.37,932600.0
2000-04-12,23.0,23.56,22.38,22.44,17.63,1779600.0
2000-04-13,22.5,22.62,21.25,21.31,16.75,2369000.0
2000-04-14,22.19,22.94,22.12,22.31,17.53,2650500.0
2000-04-17,22.69,23.5,22.25,23.38,18.37,2094700.0
2000-04-18,23.56,23.56,22.5,23.5,18.47,1382200.0
2000-04-19,23.19,24.12,23.12,24.06,18.91,1135000.0
2000-04-20,24.0,24.69,23.75,23.81,18.71,1061100.0
2000-04-24,24.06,24.44,23.94,24.06,18.91,785200.0
2000-04-25,24.0,24.0,22.75,23.19,18.22,1199800.0
2000-04-26,22.88,23.88,22.81,23.62,18.57,822000.0
2000-04-27,24.5,24.5,23.31,24.0,18.86,1667100.0
2000-04-28,23.0,23.44,22.94,23.44,18.42,1087000.0
2000-05-01,23.31,23.44,22.88,23.44,18.42,1073700.0
2000-05-02,23.75,27.0,23.75,26.38,20.73,3672600.0
2000-05-03,25.25,27.12,25.0,26.25,20.63,3493600.0
2000-05-04,26.5,28.38,26.31,27.75,21.81,3529600.0
2000-05-05,27.38,27.5,25.44,26.44,20.78,2215500.0
2000-05-08,26.06,26.75,25.69,26.69,20.97,1191100.0
2000-05-09,26.31,27.5,26.06,26.88,21.12,1749600.0
2000-05-10,27.06,27.75,26.31,26.69,20.97,1516000.0
2000-05-11,26.19,26.19,25.12,26.0,20.43,1151400.0
2000-05-12,26.0,26.38,24.69,25.12,19.74,1693500.0
2000-05-15,25.12,26.12,24.81,25.31,19.89,1499800.0
2000-05-16,25.25,25.88,25.0,25.31,19.89,1072300.0
2000-05-17,25.0,25.12,24.06,24.06,18.91,801300.0
2000-05-18,24.19,24.69,24.0,24.06,18.91,988400.0
2000-05-19,24.31,25.44,24.25,24.69,19.4,1315500.0
2000-05-22,24.81,26.38,24.62,24.88,19.55,2112800.0
2000-05-23,24.75,25.69,24.56,25.44,19.99,1332100.0
2000-05-24,25.25,25.88,24.69,24.88,19.55,1396000.0
2000-05-25,25.0,25.25,24.38,24.62,19.35,885700.0
2000-05-26,24.38,25.12,24.12,24.38,19.16,902800.0
2000-05-30,24.44,24.75,24.06,24.06,18.91,935000.0
2000-05-31,24.19,24.31,23.0,23.06,18.12,1577800.0
2000-06-01,23.19,23.38,22.94,23.0,18.07,909600.0
2000-06-02,23.62,24.44,23.5,23.62,18.57,2025200.0
2000-06-05,24.25,25.94,23.5,25.5,20.07,2527100.0
2000-06-06,26.25,26.5,25.19,25.5,20.07,2213700.0
2000-06-07,24.81,25.06,24.12,24.25,19.08,1582900.0
2000-06-08,23.88,24.94,23.88,24.44,19.23,796800.0
2000-06-09,24.69,24.81,23.75,23.81,18.74,644100.0
2000-06-12,23.88,24.94,23.88,24.75,19.47,1114900.0
2000-06-13,25.75,25.81,24.06,24.25,19.08,1741700.0
