Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.19,6.22,6.16,6.2,4.88,1802400
2000-01-03,6.16,6.2,5.97,6.02,4.73,8014400
2000-01-04,5.88,5.91,5.67,5.69,4.48,9810400
2000-01-05,5.72,6.05,5.72,6.02,4.73,6542400
2000-01-06,5.98,5.98,5.82,5.98,4.71,4891200
2000-01-07,5.96,6.0,5.88,5.98,4.71,3993600
2000-01-10,6.02,6.12,6.0,6.09,4.79,3946400
2000-01-11,6.17,6.53,6.16,6.39,5.03,10976000
2000-01-12,6.36,6.38,6.14,6.17,4.86,10050400
2000-01-13,6.13,6.3,6.05,6.25,4.92,5144800
2000-01-14,6.33,6.48,6.3,6.41,5.05,7680800
2000-01-18,6.34,6.45,6.26,6.33,4.98,8356000
2000-01-19,6.47,6.69,6.43,6.6,5.2,10299200
2000-01-20,6.66,6.67,6.41,6.45,5.07,5103200
2000-01-21,6.45,6.45,6.31,6.34,4.99,10265600
2000-01-24,6.2,6.28,6.16,6.21,4.89,5733600
2000-01-25,6.2,6.27,6.06,6.11,4.81,3823200
2000-01-26,5.77,6.22,5.77,6.19,4.87,12886400
2000-01-27,6.0,6.08,5.8,5.91,4.65,6304000
2000-01-28,5.88,5.88,5.75,5.86,4.61,3556000
2000-01-31,5.75,5.77,5.68,5.69,4.48,4627200
2000-02-01,5.68,5.89,5.66,5.84,4.59,5971200
2000-02-02,5.83,6.06,5.77,5.93,4.67,5572800
2000-02-03,5.91,5.98,5.82,5.98,4.71,3973600
2000-02-04,5.98,5.98,5.83,5.84,4.59,12485600
2000-02-07,5.83,5.83,5.59,5.66,4.45,6455200
2000-02-08,5.62,5.62,4.52,4.62,3.64,65707200
2000-02-09,4.56,4.56,4.05,4.22,3.32,62571200
2000-02-10,4.17,4.35,4.11,4.22,3.32,25032800
2000-02-11,4.27,4.31,4.14,4.25,3.34,12644800
2000-02-14,4.19,4.26,4.02,4.04,3.18,17859200
2000-02-15,4.01,4.02,3.78,3.8,2.99,30056000
2000-02-16,3.8,3.84,3.66,3.69,2.9,22678400
2000-02-17,3.66,3.73,3.6,3.62,2.85,14977600
2000-02-18,3.61,3.64,3.42,3.5,2.75,26087200
2000-02-22,3.58,3.59,3.38,3.38,2.66,12847200
2000-02-23,3.53,3.56,3.49,3.51,2.76,12624800
2000-02-24,3.5,3.51,3.33,3.38,2.66,16156800
2000-02-25,3.38,3.38,3.31,3.32,2.61,14830400
2000-02-28,3.37,3.53,3.35,3.48,2.74,16385600
2000-02-29,3.48,3.64,3.48,3.55,2.8,12575200
2000-03-01,3.55,3.59,3.49,3.52,2.77,9884800
2000-03-02,3.55,3.74,3.52,3.68,2.9,11260800
2000-03-03,3.76,3.78,3.64,3.67,2.89,6912800
2000-03-06,3.69,3.7,3.52,3.56,2.8,7684800
2000-03-07,3.59,3.6,3.46,3.48,2.74,9532000
2000-03-08,3.41,3.45,3.38,3.41,2.68,10000000
2000-03-09,3.39,3.41,3.23,3.34,2.63,14059200
2000-03-10,3.37,3.43,3.35,3.36,2.64,12566400
2000-03-13,3.39,3.66,3.31,3.59,2.83,20965600
2000-03-14,3.62,3.77,3.53,3.61,2.84,18244000
2000-03-15,3.58,4.19,3.57,4.12,3.25,25912800
2000-03-16,4.12,4.75,3.92,4.47,3.52,17427200
2000-03-17,4.33,4.52,4.02,4.25,3.35,30021600
2000-03-20,4.04,4.17,4.04,4.12,3.25,14386400
2000-03-21,4.14,4.18,4.03,4.14,3.26,13809600
2000-03-22,4.28,4.31,4.18,4.22,3.33,11780000
2000-03-23,4.2,4.33,4.16,4.25,3.35,12538400
2000-03-24,4.25,4.31,4.21,4.23,3.34,7305600
2000-03-27,4.5,4.53,4.38,4.49,3.54,16704800
2000-03-28,4.52,4.6,4.47,4.6,3.63,9060800
2000-03-29,4.6,4.91,4.6,4.88,3.84,17080800
2000-03-30,4.88,4.89,4.71,4.84,3.81,13088800
2000-03-31,4.84,5.0,4.8,4.95,3.91,15036800
2000-04-03,5.12,5.12,5.0,5.0,3.94,14220800
2000-04-04,5.0,5.02,4.55,4.87,3.84,12149600
2000-04-05,4.94,5.06,4.86,4.9,3.86,5654400
2000-04-06,4.91,5.22,4.91,5.2,4.1,11058400
2000-04-07,5.31,5.37,5.23,5.37,4.23,12285600
