Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,42.59,42.75,41.0,41.53,36.57,1174800
2000-01-03,44.94,45.06,40.0,42.5,37.42,5426000
2000-01-04,41.19,42.44,37.0,37.12,32.69,4511400
2000-01-05,40.38,42.25,35.0,39.19,34.5,6633800
2000-01-06,38.5,38.91,35.0,35.03,30.84,5589600
2000-01-07,34.5,42.5,33.88,42.5,37.42,8510400
2000-01-10,44.28,45.91,43.25,44.31,39.02,6348600
2000-01-11,45.5,46.81,40.88,41.25,36.32,4730800
2000-01-12,41.0,44.38,39.31,43.56,38.35,4356800
2000-01-13,44.0,45.0,41.62,42.86,37.74,5144000
2000-01-14,44.0,47.62,43.5,46.84,41.24,6007600
2000-01-18,48.94,60.0,48.5,59.06,52.0,7576600
2000-01-19,56.81,58.5,53.0,54.25,47.76,5907600
2000-01-20,57.31,57.62,55.62,57.5,50.63,4236600
2000-01-21,57.88,60.75,55.0,58.56,51.56,4913400
2000-01-24,59.94,59.97,50.31,51.0,44.9,6404800
2000-01-25,51.88,55.5,49.5,53.59,47.19,5941600
2000-01-26,54.12,57.56,53.31,54.19,47.71,5902600
2000-01-27,55.31,55.75,49.56,51.44,45.29,6209400
2000-01-28,50.66,53.5,49.0,49.59,43.67,3665000
2000-01-31,50.44,52.5,45.31,50.19,44.19,5795600
2000-02-01,52.06,54.31,50.16,53.91,47.46,3727000
2000-02-02,54.56,57.62,53.0,56.56,49.8,4979600
2000-02-03,57.5,57.5,53.0,57.31,50.46,4748000
2000-02-04,58.06,66.94,57.75,63.97,56.32,7945400
2000-02-07,65.69,65.91,60.5,62.69,55.19,5134800
2000-02-08,64.03,66.25,61.56,66.0,58.11,5969400
2000-02-09,66.81,67.12,63.0,64.34,56.65,3716200
2000-02-10,65.03,69.94,62.94,69.62,61.3,3887400
2000-02-11,72.53,79.56,71.25,77.47,68.21,5743800
2000-02-14,79.94,80.12,71.56,74.16,65.29,7121800
2000-02-15,74.88,76.5,70.75,75.78,66.72,4891200
2000-02-16,80.75,88.16,78.53,87.72,77.23,10379800
2000-02-17,89.25,89.97,83.03,87.19,76.76,7400400
2000-02-18,86.0,87.12,83.5,83.62,73.63,3796000
2000-02-22,84.97,85.71,81.56,84.31,74.23,3910000
2000-02-23,83.19,93.91,82.41,89.41,78.72,5906200
2000-02-24,90.81,100.94,88.12,100.0,88.05,5962600
2000-02-25,101.25,103.97,95.25,96.47,84.94,4330600
2000-02-28,96.5,98.16,90.75,92.0,81.0,5980800
2000-02-29,92.44,96.06,90.91,94.38,83.09,4518400
2000-03-01,94.62,98.77,93.38,95.03,83.67,4177400
2000-03-02,96.25,98.41,94.0,94.62,83.31,3044600
2000-03-03,97.12,102.0,93.5,99.97,88.02,4160000
2000-03-06,102.75,111.0,101.0,106.03,93.36,4818000
2000-03-07,111.41,115.0,106.0,106.31,93.6,5798400
2000-03-08,109.97,111.5,105.94,109.16,96.11,4147000
2000-03-09,110.0,120.5,109.06,120.19,105.82,5275400
2000-03-10,123.5,124.0,114.44,118.44,104.28,4549400
2000-03-13,112.94,117.88,110.44,114.06,100.43,3536000
2000-03-14,116.0,116.0,96.5,98.53,86.75,8537000
2000-03-15,98.0,101.62,81.75,86.53,76.19,16457000
2000-03-16,90.62,97.25,81.0,91.28,80.37,12812200
2000-03-17,93.09,101.0,93.06,100.38,88.38,8471800
2000-03-20,103.75,104.0,87.81,91.53,80.59,8276800
2000-03-21,91.53,96.0,82.5,92.45,81.39,7693200
2000-03-22,95.56,103.25,92.25,103.06,90.74,6244600
2000-03-23,102.88,108.25,96.38,105.38,92.78,4752500
2000-03-24,109.0,110.25,95.0,100.0,88.05,5609900
2000-03-27,103.94,104.44,96.25,97.25,85.62,4162600
2000-03-28,96.94,101.0,94.5,95.56,84.14,2830200
2000-03-29,95.0,97.75,87.62,91.81,80.84,5372800
2000-03-30,84.06,92.0,70.62,79.12,69.67,9562300
2000-03-31,84.08,86.0,66.0,82.75,72.86,10610900
2000-04-03,78.12,83.0,66.62,67.88,59.76,6697300
2000-04-04,70.19,74.0,45.12,67.0,58.99,13378500
2000-04-05,60.5,76.0,60.0,69.56,61.25,7914100
2000-04-06,74.5,77.5,71.06,73.0,64.27,5876000
2000-04-07,77.12,80.25,75.0,79.94,70.38,4390800
2000-04-10,81.0,81.94,65.0,67.62,59.54,7576600
2000-04-11,63.38,68.25,60.25,63.62,56.02,7673800
2000-04-12,61.62,65.5,56.5,56.69,49.91,6222500
2000-04-13,59.25,64.0,53.88,56.94,50.13,7676200
2000-04-14,51.62,58.62,46.12,50.38,44.35,8492900
2000-04-17,41.25,54.0,41.12,51.94,45.73,10422600
2000-04-18,54.38,60.5,53.31,60.25,53.05,6306200
2000-04-19,65.12,65.5,60.0,60.56,53.32,6143900
2000-04-20,61.23,63.88,55.0,56.88,50.08,3545700
2000-04-24,51.5,55.5,43.55,50.62,44.57,6043900
2000-04-25,57.06,69.0,56.0,68.75,60.53,8666900
2000-04-26,67.75,68.5,61.0,61.12,53.82,5431700
2000-04-27,56.0,68.5,54.5,67.56,59.49,6571700
2000-04-28,70.25,74.69,68.98,73.94,65.1,5356700
2000-05-01,76.5,77.0,70.03,71.0,62.51,5946500
2000-05-02,68.25,72.0,64.88,65.25,57.45,4917600
2000-05-03,62.25,68.0,61.5,66.75,58.77,5227100
2000-05-04,67.88,71.5,64.62,67.88,59.76,2905000
2000-05-05,65.0,71.69,64.38,69.88,61.52,3104000
2000-05-08,65.69,68.19,62.75,63.19,55.63,3195200
2000-05-09,65.12,67.0,61.5,63.44,55.85,4420400
2000-05-10,64.0,66.31,57.75,58.0,51.07,5999700
2000-05-11,61.48,62.62,55.5,57.94,51.01,5518200
2000-05-12,60.0,62.5,57.25,58.19,51.23,5602800
2000-05-15,58.89,66.5,58.75,66.12,58.22,4590300
2000-05-16,69.75,73.75,66.5,72.75,64.05,7304200
2000-05-17,69.0,72.62,68.38,68.75,60.53,6022500
2000-05-18,70.12,71.5,66.72,69.0,60.75,5123500
2000-05-19,65.88,71.0,65.0,65.12,57.34,6746200
2000-05-22,63.88,65.5,56.0,65.06,57.28,6609300
2000-05-23,64.0,67.0,58.0,58.0,51.07,3829800
2000-05-24,58.06,66.0,48.75,65.06,57.28,10265700
2000-05-25,62.56,69.5,58.0,61.38,54.04,7562600
2000-05-26,61.25,63.0,56.06,58.31,51.34,4520200
2000-05-30,60.31,67.25,59.5,66.81,58.83,5705600
2000-05-31,65.25,70.31,63.12,64.56,56.84,4728200
2000-06-01,67.38,70.0,67.38,69.69,61.36,5295700
2000-06-02,73.0,76.75,71.0,74.44,65.54,7426000
2000-06-05,71.38,78.44,71.38,76.61,67.45,4582400
2000-06-06,77.75,79.38,73.75,73.88,65.04,3397100
2000-06-07,73.81,78.38,72.19,78.12,68.79,3398100
2000-06-08,79.75,85.69,79.5,85.31,75.11,8386000
2000-06-09,85.88,90.69,84.25,85.12,74.95,6142600
2000-06-12,86.56,86.56,78.0,78.19,68.84,4123800
2000-06-13,77.75,86.25,76.81,86.06,75.77,5238000
2000-06-14,88.12,88.88,75.44,75.62,66.58,9785800
2000-06-15,78.38,82.0,75.69,79.19,69.72,7379800
2000-06-16,82.62,82.69,79.12,79.94,70.38,5663800
2000-06-19,80.5,86.0,78.38,85.94,75.66,5195700
2000-06-20,87.88,88.5,84.94,86.69,76.32,4287400
2000-06-21,84.75,89.0,84.5,87.56,77.1,3790500
2000-06-22,87.75,88.44,82.0,84.0,73.96,3163800
2000-06-23,83.5,84.5,76.0,76.94,67.74,4596700
2000-06-26,81.0,83.0,77.88,82.06,72.25,4333300
2000-06-27,84.69,86.25,82.5,82.81,72.91,6265500
2000-06-28,83.5,83.88,81.0,82.56,72.69,2613000
2000-06-29,80.94,81.56,77.0,77.81,68.51,4390600
2000-06-30,78.75,81.19,77.5,80.5,70.88,4308900
2000-07-03,80.06,83.19,80.0,82.81,72.91,1529400
2000-07-05,82.25,82.88,77.5,78.06,68.73,2562000
2000-07-06,78.0,78.25,72.5,78.06,68.73,4275600
2000-07-07,79.5,84.5,77.62,81.56,71.81,3763000
2000-07-10,81.38,82.94,79.5,81.25,71.54,2597200
2000-07-11,80.5,84.88,80.25,83.5,73.52,4063600
2000-07-12,84.5,90.12,84.5,90.0,79.24,7756000
2000-07-13,92.19,97.88,92.0,94.56,83.26,8866100
2000-07-14,97.12,97.5,94.0,96.12,84.63,3432600
2000-07-17,98.12,103.5,96.44,102.0,89.81,5273100
2000-07-18,100.25,101.69,98.5,99.94,87.99,4209000
2000-07-19,99.06,104.75,98.5,100.44,88.43,5331300
2000-07-20,101.44,113.06,101.44,112.56,99.11,7206600
2000-07-21,107.38,112.0,105.75,109.38,96.3,5029300
2000-07-24,111.25,111.75,101.12,102.81,90.52,4120400
2000-07-25,103.75,108.5,100.62,106.19,93.49,3996800
2000-07-26,106.56,109.31,100.06,101.94,89.75,4975700
2000-07-27,101.31,101.38,91.12,95.25,83.86,6218100
2000-07-28,95.75,97.38,84.94,85.0,74.84,7062800
2000-07-31,86.06,89.69,76.5,86.19,75.88,12629100
2000-08-01,85.06,86.5,82.0,82.62,72.75,4662700
2000-08-02,81.06,83.0,75.25,76.94,67.74,8862100
2000-08-03,72.12,80.12,69.69,78.44,69.06,9680500
2000-08-04,83.5,86.5,81.75,84.56,74.45,7077400
2000-08-07,85.75,90.25,84.06,89.75,79.02,4981900
2000-08-08,91.62,94.5,87.75,91.69,80.73,6858200
2000-08-09,94.88,94.88,90.0,90.56,79.74,3744100
2000-08-10,89.0,91.5,84.75,85.69,75.44,3657400
2000-08-11,84.25,89.23,82.06,88.69,78.09,4489800
2000-08-14,93.12,93.19,88.12,90.75,79.9,7106600
2000-08-15,83.97,87.0,83.97,84.94,74.78,12820100
2000-08-16,84.94,89.75,84.81,88.31,77.76,6686900
2000-08-17,87.06,97.12,85.31,94.5,83.2,8639800
2000-08-18,95.73,96.19,90.12,93.94,82.71,4368100
2000-08-21,95.0,98.75,94.33,95.38,83.97,3603500
2000-08-22,96.88,97.94,93.62,94.38,83.09,2727200
2000-08-23,94.94,100.62,93.25,100.0,88.05,4913600
2000-08-24,100.86,102.06,98.31,101.69,89.53,3718400
2000-08-25,102.0,104.44,98.75,100.81,88.76,2923200
2000-08-28,102.75,105.12,100.06,103.88,91.46,3462200
2000-08-29,105.56,110.38,104.5,109.25,96.19,6315000
2000-08-30,109.88,112.38,108.25,111.44,98.12,3992500
2000-08-31,113.5,119.44,112.12,117.0,103.01,5809800
2000-09-01,119.88,119.88,112.75,115.5,101.69,4133100
2000-09-05,117.5,117.56,112.25,112.94,99.44,3592500
2000-09-06,111.39,111.75,101.5,101.62,89.48,6341800
2000-09-07,105.12,117.5,104.88,115.75,101.91,7735100
2000-09-08,115.88,119.5,110.25,113.56,99.99,6970000
2000-09-11,113.0,118.75,108.75,110.56,97.35,5468600
2000-09-12,114.0,115.25,108.19,109.19,96.13,4486900
2000-09-13,105.94,113.81,105.56,112.0,98.61,6207200
2000-09-14,114.31,118.25,113.69,115.69,101.86,5381300
2000-09-15,118.5,118.88,111.56,118.06,103.95,7188700
2000-09-18,119.62,129.0,119.56,125.38,110.39,12403500
2000-09-19,125.0,130.5,122.0,129.88,114.35,8009400
2000-09-20,129.38,143.19,127.56,141.12,124.25,10406300
2000-09-21,137.88,139.69,134.75,136.5,120.18,7402200
2000-09-22,128.25,147.5,127.62,147.38,129.76,8933000
2000-09-25,143.06,148.25,130.19,130.44,114.84,12375600
2000-09-26,132.5,137.75,125.69,127.94,112.64,10859700
2000-09-27,131.5,134.19,126.31,128.12,112.81,6619400
2000-09-28,127.5,138.0,125.25,135.86,119.62,6670300
2000-09-29,137.0,138.0,125.38,127.38,112.15,5381800
2000-10-02,129.94,131.12,118.12,122.19,107.58,7277300
2000-10-03,126.19,131.12,118.94,120.31,105.93,8817500
2000-10-04,117.25,120.62,112.12,118.8,104.6,10239900
2000-10-05,117.0,124.5,116.38,118.94,104.72,6168200
2000-10-06,119.62,123.5,112.75,118.06,103.95,5210400
2000-10-09,117.25,123.0,110.5,120.0,105.65,6663400
2000-10-10,118.81,124.5,114.0,116.12,102.24,6454800
2000-10-11,111.38,124.36,111.31,121.69,107.14,8715200
2000-10-12,124.44,125.0,113.5,113.81,100.21,7082900
2000-10-13,113.38,122.44,111.12,121.44,106.92,6213000
2000-10-16,122.0,137.44,121.0,133.56,117.6,8683000
2000-10-17,137.5,140.12,130.5,136.0,119.74,6854800
2000-10-18,128.12,136.31,126.0,133.5,117.54,8772400
2000-10-19,138.0,146.19,133.5,145.38,128.0,7901900
2000-10-20,143.94,152.75,142.38,148.62,130.86,6125600
2000-10-23,141.86,143.38,134.0,140.38,123.59,8622700
2000-10-24,141.31,144.75,130.5,133.69,117.71,6885300
2000-10-25,129.88,131.94,118.5,122.25,107.64,8209400
2000-10-26,120.38,123.0,102.38,116.81,102.85,16511000
2000-10-27,121.38,127.5,114.62,123.0,108.3,6889100
2000-10-30,119.81,122.38,104.88,106.19,93.49,10939700
2000-10-31,107.25,120.31,107.25,119.0,104.77,7523800
2000-11-01,116.25,116.44,107.62,109.81,96.69,9979700
2000-11-02,114.38,114.75,104.06,105.88,93.22,11863900
2000-11-03,109.88,110.0,103.75,108.38,95.42,8511700
2000-11-06,109.56,116.61,108.25,110.62,97.4,7278900
2000-11-07,110.31,121.75,110.0,121.0,106.54,8695900
2000-11-08,121.94,123.19,106.88,107.06,94.26,8283100
2000-11-09,102.94,104.12,90.0,97.19,85.57,16846000
2000-11-10,92.06,96.5,88.75,90.25,79.46,12555800
2000-11-13,81.62,90.48,78.5,84.5,74.4,14477400
2000-11-14,93.0,98.0,88.75,96.25,84.74,10183300
2000-11-15,77.31,82.38,73.12,76.12,67.02,32848700
2000-11-16,75.38,80.12,72.5,72.81,64.11,12140400
