Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,54.25,54.38,53.0,53.0,36.62,82800
2000-01-03,52.56,52.75,49.5,50.47,34.87,710100
2000-01-04,49.62,49.62,46.75,47.19,32.61,1276900
2000-01-05,47.5,49.19,46.81,48.25,33.34,929200
2000-01-06,48.19,49.62,47.81,49.25,34.03,515900
2000-01-07,49.14,49.88,48.5,49.88,34.46,612500
2000-01-10,49.94,50.0,48.19,48.62,33.6,528000
2000-01-11,48.38,48.44,46.88,47.75,33.0,873100
2000-01-12,47.75,50.19,47.62,49.94,34.51,787200
2000-01-13,52.0,55.12,51.12,54.81,37.88,2193600
2000-01-14,55.5,55.5,53.88,54.88,37.92,995100
2000-01-18,54.44,55.62,52.75,55.56,38.39,1015400
2000-01-19,55.69,59.94,55.62,57.19,39.52,2081500
2000-01-20,57.19,57.25,53.75,53.94,37.27,467800
2000-01-21,55.0,56.62,53.56,55.06,38.05,903600
2000-01-24,55.0,55.38,53.12,53.44,36.93,481800
2000-01-25,53.94,55.31,53.12,54.75,37.83,537700
2000-01-26,54.88,57.25,54.75,57.0,39.39,979800
2000-01-27,57.06,57.81,54.88,55.62,38.44,1014600
2000-01-28,55.38,55.38,53.19,54.0,37.31,788500
2000-01-31,53.88,60.56,53.38,60.38,41.72,2127600
2000-02-01,59.75,62.0,58.12,60.62,41.89,2151200
2000-02-02,61.25,62.38,58.12,58.91,40.7,1931300
2000-02-03,59.81,60.0,57.06,57.06,39.43,1848800
2000-02-04,57.59,59.12,57.25,58.19,40.21,953700
2000-02-07,58.0,59.31,57.19,59.25,40.94,447200
2000-02-08,59.44,60.62,58.88,59.41,41.05,770300
2000-02-09,59.38,59.75,57.12,57.25,39.56,590100
2000-02-10,57.25,58.12,57.06,57.31,39.6,1246300
2000-02-11,57.12,58.88,55.69,55.84,38.59,1047200
2000-02-14,56.25,56.75,54.06,55.12,38.09,660800
2000-02-15,55.06,59.5,54.88,58.62,40.51,956400
2000-02-16,58.38,58.88,56.38,57.5,39.73,902100
2000-02-17,58.0,59.12,56.38,58.88,40.68,1179900
2000-02-18,58.75,59.25,57.75,58.56,40.47,2051200
2000-02-22,58.38,58.5,55.44,56.88,39.3,956700
2000-02-23,56.62,57.88,55.56,57.56,39.78,1294600
2000-02-24,57.38,57.38,55.38,56.44,39.0,924600
2000-02-25,56.5,56.56,55.5,55.69,38.48,1051800
2000-02-28,55.75,57.75,55.62,57.75,39.9,449200
2000-02-29,57.69,57.75,54.62,56.5,39.04,1126100
2000-03-01,56.75,56.75,55.62,56.38,38.95,884300
2000-03-02,56.38,57.19,55.81,56.44,39.0,584000
2000-03-03,57.0,58.0,56.25,57.0,39.39,639600
2000-03-06,57.0,58.5,56.44,56.5,39.04,896300
2000-03-07,56.75,57.12,56.12,56.19,38.83,840700
2000-03-08,56.12,56.12,53.06,53.88,37.32,2636800
2000-03-09,53.75,54.0,52.44,52.94,36.67,1656700
2000-03-10,53.19,53.19,52.19,52.31,36.23,962700
