Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.86,3.92,3.84,3.91,3.61,3183600.0
2000-01-03,3.94,3.97,3.68,3.9,3.6,7522800.0
2000-01-04,3.83,3.84,3.6,3.8,3.5,7512000.0
2000-01-05,3.69,3.75,3.62,3.67,3.39,4708800.0
2000-01-06,3.67,3.67,3.29,3.43,3.17,3012000.0
2000-01-07,3.42,3.53,3.36,3.49,3.22,1779600.0
2000-01-10,3.5,3.75,3.44,3.6,3.32,5996400.0
2000-01-11,3.58,3.62,3.46,3.46,3.19,3703200.0
2000-01-12,3.46,3.46,3.32,3.37,3.11,3088800.0
2000-01-13,3.36,3.54,3.32,3.51,3.24,3304800.0
2000-01-14,3.56,3.81,3.55,3.66,3.38,15114000.0
2000-01-18,3.71,3.83,3.54,3.82,3.52,6541200.0
2000-01-19,3.83,3.83,3.75,3.78,3.49,4117200.0
2000-01-20,3.81,4.02,3.74,3.77,3.48,4489200.0
2000-01-21,3.76,3.78,3.64,3.73,3.44,13606800.0
2000-01-24,3.85,3.85,3.54,3.56,3.29,6423600.0
2000-01-25,3.58,3.61,3.42,3.53,3.26,5928000.0
2000-01-26,3.53,3.62,3.32,3.39,3.12,5811600.0
2000-01-27,3.41,3.41,3.08,3.21,2.96,11455200.0
2000-01-28,3.17,3.19,2.99,3.11,2.87,4861200.0
2000-01-31,3.13,3.2,2.92,3.09,2.85,4560000.0
2000-02-01,3.09,3.19,2.98,3.16,2.92,2324400.0
2000-02-02,3.18,3.31,3.16,3.25,3.0,3726000.0
2000-02-03,3.35,3.42,3.28,3.3,3.05,2706000.0
2000-02-04,3.41,3.41,3.31,3.38,3.12,3092400.0
2000-02-07,3.4,3.4,3.17,3.17,2.93,5437200.0
2000-02-08,3.25,3.44,3.17,3.32,3.07,11720400.0
2000-02-09,3.45,3.51,3.4,3.41,3.14,14726400.0
2000-02-10,3.61,4.17,3.61,4.1,3.79,24252000.0
2000-02-11,4.31,4.31,3.86,4.17,3.84,10594800.0
