Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.22,10.34,10.19,10.31,2.29,101800
2000-01-03,10.44,10.44,10.19,10.38,2.3,98800
2000-01-04,10.28,10.41,10.09,10.25,2.27,119800
2000-01-05,10.19,10.31,10.09,10.19,2.26,96400
2000-01-06,10.25,10.31,10.12,10.31,2.29,64600
2000-01-07,10.38,10.5,10.19,10.5,2.33,137600
2000-01-10,10.5,10.72,10.5,10.69,2.37,116000
2000-01-11,10.66,10.88,10.66,10.72,2.38,145000
2000-01-12,10.78,10.94,10.69,10.78,2.39,99800
2000-01-13,10.84,10.84,10.62,10.78,2.39,71200
2000-01-14,10.78,11.0,10.75,10.84,2.4,114600
2000-01-18,10.84,11.0,10.75,11.0,2.44,82400
2000-01-19,10.88,10.97,10.78,10.91,2.42,119000
2000-01-20,10.94,10.94,10.81,10.88,2.41,66400
2000-01-21,10.81,10.97,10.75,10.84,2.4,96800
2000-01-24,10.91,11.0,10.84,10.88,2.41,93000
2000-01-25,10.88,10.97,10.88,10.97,2.43,65400
2000-01-26,11.0,11.0,10.66,10.75,2.38,85600
2000-01-27,10.69,10.94,10.69,10.94,2.42,78600
2000-01-28,10.78,10.88,10.78,10.84,2.44,72200
2000-01-31,10.81,10.81,10.62,10.62,2.39,94400
2000-02-01,10.62,10.81,10.59,10.81,2.44,51200
2000-02-02,10.75,10.81,10.69,10.78,2.43,51600
2000-02-03,10.59,10.97,10.59,10.81,2.44,118800
2000-02-04,10.88,10.88,10.75,10.78,2.43,66800
2000-02-07,10.75,10.81,10.69,10.75,2.42,63400
2000-02-08,10.88,10.88,10.62,10.69,2.41,71200
2000-02-09,10.75,10.81,10.69,10.75,2.42,71200
2000-02-10,10.69,10.75,10.56,10.66,2.4,138800
2000-02-11,10.62,10.69,10.53,10.66,2.4,101400
2000-02-14,10.78,10.78,10.5,10.53,2.37,117200
2000-02-15,10.59,10.66,10.5,10.62,2.39,65200
2000-02-16,10.53,10.72,10.53,10.53,2.37,102800
2000-02-17,10.56,10.75,10.5,10.75,2.42,86000
2000-02-18,10.69,10.75,10.5,10.69,2.41,86600
2000-02-22,10.5,10.62,10.44,10.62,2.39,153600
2000-02-23,10.69,10.69,10.5,10.59,2.39,42200
2000-02-24,10.56,10.62,10.47,10.56,2.38,53000
2000-02-25,10.53,10.66,10.47,10.53,2.37,67800
2000-02-28,10.41,10.47,10.31,10.41,2.39,77600
2000-02-29,10.47,10.47,10.31,10.41,2.39,74200
2000-03-01,10.34,10.5,10.31,10.38,2.38,67800
2000-03-02,10.31,10.44,10.28,10.44,2.39,61800
2000-03-03,10.38,10.47,10.38,10.38,2.38,75000
2000-03-06,10.44,10.62,10.31,10.56,2.42,96000
2000-03-07,10.5,10.5,10.28,10.31,2.36,90600
2000-03-08,10.38,10.47,10.12,10.47,2.4,119800
2000-03-09,10.41,10.41,10.25,10.31,2.36,83800
2000-03-10,10.34,10.47,10.31,10.34,2.37,57200
2000-03-13,10.34,10.34,10.19,10.25,2.35,57400
2000-03-14,10.34,10.34,10.12,10.12,2.32,91600
2000-03-15,10.09,10.19,10.06,10.09,2.31,103600
2000-03-16,10.09,10.47,10.03,10.44,2.39,114200
2000-03-17,10.31,10.62,10.31,10.62,2.44,79800
2000-03-20,10.62,10.62,10.44,10.5,2.41,74000
2000-03-21,10.5,10.5,10.31,10.41,2.39,105400
2000-03-22,10.38,10.47,10.31,10.38,2.38,57000
2000-03-23,10.31,10.5,10.25,10.44,2.39,91200
2000-03-24,10.44,10.47,10.31,10.31,2.36,75800
2000-03-27,10.28,10.53,10.28,10.41,2.39,100600
2000-03-28,10.53,10.53,10.31,10.31,2.36,99400
2000-03-29,10.44,10.44,10.34,10.34,2.37,89800
2000-03-30,10.38,10.38,10.12,10.12,2.36,105800
2000-03-31,10.25,10.25,9.62,9.62,2.25,417200
2000-04-03,9.75,10.0,9.69,9.94,2.32,223400
2000-04-04,9.94,10.0,9.78,10.0,2.33,129600
2000-04-05,9.94,10.22,9.88,10.09,2.36,123800
2000-04-06,10.09,10.22,10.06,10.12,2.36,107200
2000-04-07,10.19,10.25,10.09,10.22,2.38,56800
