Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,27.84,28.34,27.7,28.02,24.61,10714800
2000-01-03,31.16,31.3,27.91,29.53,25.94,98114800
2000-01-04,28.88,29.66,26.25,26.92,23.65,116824800
2000-01-05,25.41,26.59,24.0,25.5,22.4,166054000
2000-01-06,25.04,26.25,23.67,24.0,21.08,109880000
2000-01-07,23.75,25.88,23.39,25.84,22.7,91755600
2000-01-10,27.0,29.0,26.38,28.94,25.42,91518000
2000-01-11,28.16,28.69,27.38,28.09,24.68,86585200
2000-01-12,28.06,28.06,25.92,26.41,23.2,83443600
2000-01-13,27.12,27.47,25.88,26.27,23.07,55779200
2000-01-14,27.25,27.84,26.19,26.7,23.46,57078000
2000-01-18,26.97,28.62,26.41,27.81,24.43,66780000
2000-01-19,28.06,29.12,27.0,28.56,25.09,49198400
2000-01-20,29.5,30.12,29.06,29.62,26.02,54526800
2000-01-21,30.75,30.75,29.5,29.84,26.22,50891000
2000-01-24,30.12,30.19,27.0,27.09,23.8,50022400
2000-01-25,27.53,28.75,27.44,28.22,24.79,53059200
2000-01-26,28.38,29.47,27.5,27.53,24.19,47569200
2000-01-27,27.91,28.34,25.0,25.91,22.76,61054000
2000-01-28,25.75,25.97,23.31,23.69,20.81,86394000
2000-01-31,23.97,25.06,23.53,24.98,21.94,68148000
2000-02-01,25.62,27.16,25.0,27.0,23.72,57105600
2000-02-02,27.47,28.0,27.0,27.16,23.86,63933000
2000-02-03,27.69,28.5,27.12,28.34,24.9,55533200
2000-02-04,28.81,29.12,28.41,28.91,25.39,40916000
2000-02-07,29.66,30.0,29.44,29.97,26.33,44691200
2000-02-08,30.38,30.72,29.5,29.78,26.16,55718000
2000-02-09,30.03,30.66,29.41,29.97,26.33,52471600
2000-02-10,30.0,31.31,29.0,31.16,27.37,45288600
2000-02-11,31.25,32.38,29.38,29.84,26.22,55774000
2000-02-14,30.44,31.12,29.31,31.09,27.32,37599800
2000-02-15,30.81,31.59,29.56,30.69,26.96,47971400
2000-02-16,30.5,31.28,30.06,30.62,26.9,33489200
2000-02-17,30.88,31.38,30.0,30.81,27.07,40392600
2000-02-18,30.84,31.0,29.19,29.28,25.72,63888400
2000-02-22,29.56,30.72,28.16,29.66,26.05,75546200
2000-02-23,30.09,31.63,29.81,31.53,27.7,69664400
2000-02-24,31.59,32.53,30.12,30.97,27.21,70963200
2000-02-25,30.94,35.5,30.94,35.31,31.02,103186600
2000-02-28,35.62,38.25,34.12,34.31,30.14,122316600
2000-02-29,36.69,37.22,35.56,37.12,32.61,55586400
2000-03-01,36.88,37.25,35.38,35.75,31.41,44934400
2000-03-02,36.75,36.78,33.94,34.25,30.09,52311000
2000-03-03,35.56,37.56,35.09,37.5,32.94,47974400
2000-03-06,37.41,38.47,36.19,37.88,33.27,45520600
2000-03-07,38.31,40.0,37.19,37.47,32.92,53982200
2000-03-08,38.69,41.78,37.5,41.56,36.51,62781200
2000-03-09,42.16,42.5,40.06,42.0,36.9,56476400
2000-03-10,42.0,42.03,40.12,40.81,35.85,44699800
2000-03-13,39.25,41.81,38.4,39.38,34.59,65803200
2000-03-14,40.94,41.88,38.25,38.5,33.82,72364000
2000-03-15,42.0,42.5,38.5,39.31,34.54,144810400
2000-03-16,40.34,41.28,38.34,40.97,35.99,95532400
2000-03-17,40.88,41.0,39.75,39.91,35.06,66055200
2000-03-20,40.25,40.31,38.78,39.06,34.32,47183600
2000-03-21,38.94,40.44,38.0,40.34,35.44,52621400
2000-03-22,40.5,42.19,39.44,42.03,36.92,53197600
2000-03-23,41.56,44.0,41.28,43.44,38.16,50803800
2000-03-24,43.41,44.84,43.22,43.5,38.21,52821600
2000-03-27,44.53,44.66,43.47,44.22,38.85,32597200
2000-03-28,43.81,45.0,42.75,43.28,38.02,36039200
2000-03-29,43.03,43.06,41.03,41.25,36.24,51966200
2000-03-30,39.25,42.25,39.0,39.22,34.45,70986000
2000-03-31,40.09,40.78,38.0,39.03,34.29,79842000
2000-04-03,39.31,40.31,37.5,38.44,33.77,71598000
2000-04-04,39.06,39.06,32.54,37.97,33.35,123633800
2000-04-05,36.62,40.5,36.27,39.12,34.37,73736800
2000-04-06,40.31,41.72,40.06,41.09,36.1,62408200
2000-04-07,41.84,43.62,41.5,43.56,38.27,46764600
2000-04-10,43.75,43.81,41.12,41.25,36.24,56241200
2000-04-11,40.09,40.81,38.41,38.69,33.99,70983800
2000-04-12,38.97,40.0,36.47,36.56,32.12,67133000
2000-04-13,37.44,38.75,35.88,35.97,31.6,63206800
2000-04-14,34.96,35.64,30.12,31.25,27.45,109951400
2000-04-17,30.25,37.44,30.09,37.41,32.86,115304800
2000-04-18,37.78,39.53,36.88,39.47,34.67,78738800
2000-04-19,39.31,39.78,37.12,37.28,32.75,46184200
2000-04-20,36.91,37.75,34.94,35.41,31.1,50397800
2000-04-24,33.69,36.34,33.5,36.22,31.82,59725600
2000-04-25,37.44,38.19,36.31,37.78,33.19,61764200
2000-04-26,38.06,38.91,35.53,36.09,31.71,47788800
2000-04-27,35.03,38.78,34.97,38.66,33.96,52101000
2000-04-28,39.25,40.0,39.06,39.97,35.11,41696600
2000-05-01,39.94,40.94,39.38,39.84,35.0,37093400
2000-05-02,39.47,39.75,38.69,38.91,34.18,35341000
2000-05-03,38.44,38.56,36.06,37.91,33.3,49603200
2000-05-04,37.66,38.47,36.5,37.12,32.61,39899800
2000-05-05,37.0,38.5,36.88,38.41,33.74,35289600
2000-05-08,37.66,38.0,36.03,36.16,31.76,36528400
2000-05-09,36.84,37.12,35.62,36.0,31.63,43535200
2000-05-10,35.47,36.56,33.75,33.81,29.7,71169800
2000-05-11,34.47,36.19,34.0,36.19,31.79,46590200
2000-05-12,36.66,38.22,36.53,37.09,32.59,39038200
2000-05-15,37.22,38.5,35.31,38.5,33.82,41971800
2000-05-16,38.81,39.88,38.53,39.59,34.78,38261400
2000-05-17,38.88,39.94,38.12,39.09,34.34,33993600
2000-05-18,39.16,39.38,36.22,36.53,32.09,46444600
2000-05-19,36.0,37.0,34.75,35.03,30.77,52228800
2000-05-22,35.03,35.12,31.38,33.91,29.79,91156000
2000-05-23,33.5,34.25,31.19,31.31,27.51,58574000
2000-05-24,30.88,32.25,29.06,32.12,28.22,85195200
2000-05-25,32.75,35.41,32.5,33.22,29.18,80958000
2000-05-26,33.41,34.75,32.53,33.5,29.43,28903800
2000-05-30,34.44,37.09,34.28,37.09,32.59,38933000
2000-05-31,36.62,38.22,35.88,35.94,31.57,50939800
2000-06-01,36.97,38.94,36.75,38.94,34.21,53401000
2000-06-02,40.25,40.75,39.25,40.09,35.22,57964800
2000-06-05,39.62,41.0,39.5,40.47,35.55,38507200
