Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.15,10.39,10.09,10.36,4.63,561000
2000-01-03,10.27,10.39,9.94,9.97,4.46,1161200
2000-01-04,9.79,10.06,9.73,9.76,4.36,1576200
2000-01-05,9.76,9.91,9.67,9.82,4.39,1172000
2000-01-06,9.73,10.27,9.7,10.09,4.51,3336600
2000-01-07,10.33,10.78,10.21,10.39,4.65,3325600
2000-01-10,10.39,10.39,9.97,10.06,4.5,2256800
2000-01-11,10.06,10.51,10.03,10.45,4.67,2191600
2000-01-12,10.51,10.54,10.36,10.39,4.65,2112200
2000-01-13,10.39,10.78,10.36,10.72,4.79,2998400
2000-01-14,10.72,10.75,10.33,10.54,4.71,1925000
2000-01-18,10.3,10.6,10.18,10.54,4.71,2645000
2000-01-19,10.54,10.78,10.45,10.69,4.78,3027900
2000-01-20,10.84,10.84,10.48,10.6,4.74,1646900
2000-01-21,10.6,10.66,10.3,10.39,4.65,3216400
2000-01-24,10.54,10.54,9.88,10.0,4.47,2719200
2000-01-25,10.42,10.42,9.46,9.49,4.24,4284400
2000-01-26,9.58,9.85,9.52,9.73,4.35,2695500
2000-01-27,9.85,9.85,9.55,9.64,4.31,2270300
2000-01-28,9.46,9.76,9.46,9.58,4.28,2209600
2000-01-31,9.67,9.67,9.22,9.52,4.26,2261600
2000-02-01,9.49,9.58,9.28,9.49,4.24,1600700
2000-02-02,9.49,9.64,9.34,9.4,4.2,2528100
2000-02-03,9.34,9.46,9.25,9.34,4.18,1728000
2000-02-04,9.43,9.49,9.31,9.34,4.18,1906300
2000-02-07,9.25,9.37,9.22,9.31,4.16,1672000
2000-02-08,9.25,9.37,9.16,9.25,4.14,1481500
2000-02-09,9.34,9.34,9.04,9.1,4.07,4365600
2000-02-10,9.1,9.34,9.07,9.07,4.06,2309800
2000-02-11,9.1,9.19,8.8,8.86,3.96,4588600
2000-02-14,8.86,8.89,8.02,8.26,3.7,9843800
2000-02-15,8.23,8.62,8.11,8.59,3.84,12174200
2000-02-16,8.59,8.74,8.44,8.68,3.88,3632400
2000-02-17,8.65,8.74,8.38,8.44,3.78,1589200
2000-02-18,8.44,8.47,8.17,8.26,3.7,2491200
2000-02-22,8.26,8.38,8.2,8.26,3.7,1939800
2000-02-23,8.26,8.26,7.96,8.05,3.6,2346700
2000-02-24,8.08,8.08,7.84,7.87,3.52,2173000
2000-02-25,7.87,7.87,7.54,7.54,3.37,3410700
