Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,16.69,16.81,16.66,16.7,10.84,2294600
2010-01-04,16.8,17.0,16.69,16.75,10.88,2932200
2010-01-05,16.75,16.88,16.56,16.85,10.94,3563000
2010-01-06,16.81,16.89,16.68,16.84,10.94,2061700
2010-01-07,16.83,17.07,16.67,16.92,10.99,3082200
2010-01-08,16.85,17.0,16.8,17.0,11.04,2442900
2010-01-11,17.03,17.08,16.79,16.83,10.93,1720700
2010-01-12,16.81,16.96,16.51,16.54,10.74,3802700
2010-01-13,16.67,16.8,16.55,16.71,10.85,3226800
2010-01-14,16.67,16.92,16.61,16.86,10.95,2227400
2010-01-15,16.93,16.97,16.53,16.62,10.79,3112500
2010-01-19,16.68,16.8,16.58,16.65,10.81,2966600
2010-01-20,16.56,16.69,16.5,16.63,10.8,2782500
2010-01-21,16.59,16.74,16.39,16.58,10.77,4496600
2010-01-22,16.5,16.86,16.0,16.15,10.49,7107200
2010-01-25,16.46,16.49,16.01,16.27,10.57,4747400
2010-01-26,16.09,16.26,15.89,15.91,10.33,3323300
2010-01-27,15.92,16.09,15.76,15.97,10.37,5643600
2010-01-28,15.87,16.0,15.6,15.64,10.25,5196700
2010-01-29,15.58,16.35,15.53,16.17,10.6,9942600
2010-02-01,16.12,16.17,15.68,15.76,10.33,5793700
2010-02-02,15.76,15.86,15.54,15.66,10.27,5081500
2010-02-03,15.57,15.75,15.44,15.51,10.17,3329200
2010-02-04,15.59,15.59,15.17,15.19,9.96,3955800
2010-02-05,15.18,15.42,15.07,15.35,10.06,4943000
2010-02-08,15.18,15.51,15.15,15.24,9.99,3667500
2010-02-09,15.37,15.61,15.31,15.51,10.17,3613100
2010-02-10,15.5,15.58,15.38,15.5,10.16,3356900
2010-02-11,15.42,15.62,15.37,15.58,10.22,2333800
2010-02-12,15.45,15.61,15.38,15.59,10.22,3533600
2010-02-16,15.59,15.83,15.59,15.83,10.38,3432100
2010-02-17,15.82,15.89,15.7,15.83,10.38,2901400
2010-02-18,15.87,15.94,15.55,15.57,10.21,10637300
2010-02-19,15.68,15.94,15.6,15.8,10.36,4894300
2010-02-22,15.76,15.81,15.64,15.68,10.28,4316400
2010-02-23,15.73,15.83,15.49,15.5,10.16,4717400
2010-02-24,15.63,15.73,15.44,15.73,10.31,4256100
2010-02-25,15.52,15.68,15.45,15.66,10.27,2704800
2010-02-26,15.75,15.77,15.53,15.75,10.33,4748400
2010-03-01,15.73,15.76,15.54,15.71,10.3,3337800
2010-03-02,15.78,15.78,15.55,15.61,10.24,3123000
2010-03-03,15.65,15.68,15.33,15.44,10.12,3285500
2010-03-04,15.42,15.52,15.29,15.36,10.07,1968400
2010-03-05,15.45,15.72,15.23,15.6,10.23,5172700
2010-03-08,15.46,15.66,15.46,15.64,10.25,3018400
2010-03-09,15.54,15.65,15.49,15.61,10.24,5402300
2010-03-10,15.56,15.65,15.48,15.58,10.22,3984500
2010-03-11,15.5,15.74,15.5,15.73,10.31,5809400
2010-03-12,15.87,15.87,15.55,15.58,10.22,4237300
2010-03-15,15.76,15.76,15.41,15.54,10.19,5080000
2010-03-16,15.57,15.63,15.5,15.56,10.2,3279500
2010-03-17,15.64,15.68,15.53,15.61,10.24,4111400
2010-03-18,15.57,15.59,15.5,15.55,10.2,3043800
2010-03-19,15.86,15.99,15.59,15.79,10.35,10916900
2010-03-22,15.79,15.85,15.6,15.76,10.33,5245700
2010-03-23,15.8,15.83,15.63,15.71,10.3,3728700
2010-03-24,15.73,15.75,15.51,15.54,10.19,5453700
