Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.5,17.53,17.38,17.41,5.2,442600
2000-01-03,17.5,17.5,17.03,17.03,5.09,5351200
2000-01-04,17.06,17.31,17.03,17.16,5.13,2082200
2000-01-05,17.16,17.62,17.16,17.59,5.26,1492800
2000-01-06,17.59,17.81,17.56,17.66,5.28,1009000
2000-01-07,17.66,17.69,17.53,17.53,5.24,1071800
2000-01-10,17.59,17.69,17.47,17.5,5.23,1348200
2000-01-11,17.5,17.78,17.5,17.72,5.3,1622800
2000-01-12,17.72,17.97,17.72,17.75,5.3,1102800
2000-01-13,17.72,17.91,17.62,17.66,5.28,4397000
2000-01-14,17.53,17.59,17.34,17.38,5.19,1273800
2000-01-18,17.25,17.28,17.06,17.09,5.11,858400
2000-01-19,17.22,17.62,17.22,17.41,5.2,1135800
2000-01-20,17.38,17.53,17.25,17.44,5.21,1242400
2000-01-21,17.5,17.81,17.38,17.78,5.31,847600
2000-01-24,17.81,18.0,17.56,17.62,5.27,1162600
2000-01-25,17.66,17.66,16.94,17.34,5.18,1869200
2000-01-26,17.06,17.25,16.97,17.25,5.16,1537800
2000-01-27,17.19,17.38,16.97,17.3,5.17,1004800
2000-01-28,17.06,17.19,16.69,16.75,5.01,1273000
2000-01-31,16.75,17.19,16.72,17.19,5.14,829200
2000-02-01,17.22,17.28,16.94,17.22,5.15,732000
2000-02-02,17.16,17.22,16.91,16.97,5.07,622800
2000-02-03,16.94,17.38,16.94,17.22,5.15,1224000
2000-02-04,17.19,17.22,16.66,16.84,5.03,1105800
2000-02-07,16.62,16.84,16.59,16.75,5.01,911200
2000-02-08,16.72,16.94,16.66,16.75,5.01,524600
2000-02-09,16.62,16.81,16.47,16.56,4.95,1096200
2000-02-10,16.56,16.62,16.22,16.34,4.88,529000
2000-02-11,16.28,16.44,16.16,16.28,4.87,508000
2000-02-14,16.31,16.66,16.25,16.31,4.88,1059600
2000-02-15,16.25,16.34,16.03,16.12,4.82,648400
2000-02-16,16.09,16.16,16.0,16.03,4.79,503200
2000-02-17,16.22,16.22,15.72,15.81,4.73,665800
2000-02-18,15.56,15.69,15.31,15.34,4.59,1420800
2000-02-22,15.28,15.5,15.25,15.28,4.57,1152800
2000-02-23,15.16,15.16,14.94,14.97,4.47,1553600
2000-02-24,14.94,14.94,14.22,14.53,4.34,2501800
2000-02-25,14.53,14.56,14.16,14.25,4.26,766400
2000-02-28,14.25,14.5,14.25,14.47,4.32,1527200
2000-02-29,14.47,14.56,14.44,14.5,4.33,1906400
2000-03-01,14.47,14.5,14.19,14.28,4.27,1016400
2000-03-02,14.25,14.53,14.22,14.41,4.31,874800
2000-03-03,14.44,14.56,14.34,14.47,4.32,1685200
2000-03-06,14.31,14.34,13.38,13.53,4.04,1585600
2000-03-07,13.53,13.81,13.5,13.62,4.07,1056200
2000-03-08,13.22,13.59,13.16,13.38,4.16,2406600
2000-03-09,13.25,13.31,13.03,13.19,4.1,937200
2000-03-10,13.19,13.22,13.06,13.06,4.06,841600
2000-03-13,13.0,13.16,12.88,12.94,4.03,788800
2000-03-14,12.94,13.09,12.84,12.97,4.04,861200
2000-03-15,12.91,13.84,12.91,13.75,4.28,1681400
2000-03-16,13.81,14.91,13.78,14.81,4.61,1833200
2000-03-17,14.5,14.75,14.28,14.34,4.46,1996600
2000-03-20,14.44,14.66,14.25,14.28,4.44,1028000
2000-03-21,14.41,14.44,14.12,14.25,4.43,888800
2000-03-22,14.12,14.19,13.75,13.81,4.3,837400
2000-03-23,13.69,14.41,13.69,14.22,4.42,986000
2000-03-24,14.0,14.12,13.94,13.97,4.35,974000
2000-03-27,13.97,14.22,13.97,14.03,4.37,487800
2000-03-28,14.06,14.75,14.03,14.06,4.38,1455400
2000-03-29,14.12,14.75,14.12,14.72,4.58,1607200
2000-03-30,14.72,14.97,14.72,14.88,4.63,1374600
2000-03-31,14.78,15.06,14.56,14.81,4.61,1361800
2000-04-03,14.84,14.94,14.75,14.84,4.62,1007600
2000-04-04,14.81,15.38,14.62,15.03,4.68,1697200
2000-04-05,15.03,15.56,15.03,15.06,4.69,1034200
2000-04-06,15.09,15.22,14.81,15.0,4.67,770800
