Date,Open,High,Low,Close,Adj Close,Volume
2001-10-23,20.5,21.39,20.4,21.0,14.12,32584000
2001-10-24,21.1,22.2,21.0,22.15,14.89,5847500
2001-10-25,22.0,22.15,21.65,21.95,14.75,2038800
2001-10-26,21.95,22.0,21.4,21.5,14.45,3339100
2001-10-29,22.0,22.0,21.0,21.2,14.25,1758700
2001-10-30,21.4,22.25,21.0,22.04,14.81,2225300
2001-10-31,22.4,23.99,21.95,22.5,15.12,5101800
2001-11-01,22.63,22.63,21.7,21.95,14.75,2747400
2001-11-02,22.1,22.25,21.95,22.18,14.91,1183800
2001-11-05,22.1,22.2,21.75,22.0,14.79,1144000
2001-11-06,21.92,22.7,21.85,22.6,15.19,695100
2001-11-07,22.65,22.65,21.65,21.85,14.69,1002900
2001-11-08,21.95,22.0,21.59,21.82,14.67,1642800
2001-11-09,21.5,21.77,21.5,21.6,14.52,1601000
2001-11-12,21.61,22.0,21.31,21.98,14.77,1101400
2001-11-13,22.0,22.0,21.75,21.85,14.69,687300
2001-11-14,22.1,22.1,21.4,21.75,14.62,1964000
2001-11-15,21.65,21.99,21.6,21.93,14.74,867300
2001-11-16,22.0,22.88,21.98,22.25,14.96,1851600
2001-11-19,22.0,22.74,22.0,22.33,15.01,1231800
2001-11-20,22.25,22.75,22.25,22.72,15.27,1182300
2001-11-21,22.8,22.9,22.65,22.87,15.37,1016400
2001-11-23,22.88,22.88,22.2,22.38,15.04,328800
2001-11-26,22.1,22.48,21.98,22.33,15.01,2417500
2001-11-27,22.25,22.6,22.25,22.4,15.06,1536000
2001-11-28,22.93,22.93,22.48,22.8,15.32,871900
2001-11-29,22.8,22.95,22.5,22.88,15.38,523100
2001-11-30,22.9,23.0,22.7,22.95,15.43,2255100
2001-12-03,22.98,23.2,22.25,22.95,15.43,1037600
2001-12-04,22.95,22.99,22.65,22.95,15.43,578700
2001-12-05,23.03,23.3,22.95,23.2,15.59,1370400
2001-12-06,23.2,23.81,23.12,23.45,15.76,509400
2001-12-07,23.3,23.78,23.2,23.45,15.76,1175600
2001-12-10,23.44,23.44,23.2,23.35,15.69,1396900
2001-12-11,23.35,23.85,23.35,23.49,15.79,1376300
2001-12-12,23.65,23.95,23.5,23.65,15.9,1933800
2001-12-13,23.75,23.85,23.35,23.48,15.78,1813400
2001-12-14,23.4,24.35,23.4,24.08,16.19,2133900
2001-12-17,24.28,24.75,23.52,23.69,15.92,1285500
2001-12-18,23.9,24.09,23.5,23.69,15.92,1949800
2001-12-19,23.88,24.12,23.0,23.51,15.8,3143500
2001-12-20,23.51,23.7,23.0,23.58,15.85,3660000
2001-12-21,23.1,23.56,23.08,23.37,15.71,2871400
2001-12-24,23.4,23.49,23.3,23.4,15.73,1578200
2001-12-26,23.5,23.7,23.25,23.3,15.66,2152100
2001-12-27,23.45,23.9,23.2,23.55,15.83,1772400
2001-12-28,23.6,24.05,23.4,23.52,15.81,1977900
2001-12-31,23.6,24.05,23.55,24.0,16.13,1596000
2002-01-02,24.05,24.2,23.43,23.83,16.02,2708100
2002-01-03,23.81,23.95,23.55,23.75,15.96,1501300
2002-01-04,23.8,24.26,23.75,23.95,16.1,2971800
2002-01-07,24.0,24.1,23.4,23.85,16.03,2623000
2002-01-08,23.75,24.15,23.52,24.08,16.19,2397100
2002-01-09,24.08,24.15,23.72,23.9,16.06,2569100
2002-01-10,24.3,24.3,24.0,24.2,16.27,2023900
2002-01-11,24.2,24.3,23.75,24.0,16.13,1845800
2002-01-14,24.05,24.15,23.8,23.98,16.12,1516500
2002-01-15,23.85,24.06,23.65,23.8,16.0,1548300
2002-01-16,23.95,23.95,23.54,23.7,15.93,1409800
2002-01-17,23.78,24.18,23.77,24.18,16.25,2317000
2002-01-18,24.3,24.4,23.94,24.2,16.27,1503600
2002-01-22,24.5,24.65,24.23,24.48,16.45,2034700
2002-01-23,24.5,24.58,23.75,23.8,16.0,2306700
2002-01-24,24.1,24.25,23.93,24.15,16.23,2413800
2002-01-25,24.25,26.0,24.07,25.64,17.23,2492400
2002-01-28,25.44,26.2,25.05,26.0,17.48,1486900
2002-01-29,25.9,27.05,25.7,25.97,17.46,2980800
2002-01-30,25.95,26.15,25.0,25.5,17.14,1981800
2002-01-31,25.58,25.58,25.0,25.45,17.11,2352100
2002-02-01,25.15,25.2,24.4,24.4,16.4,4133400
2002-02-04,24.3,24.54,22.2,23.75,15.96,3861300
2002-02-05,23.5,23.6,22.9,23.25,15.63,3665100
2002-02-06,24.0,24.47,23.77,23.92,16.08,2942300
2002-02-07,23.92,24.4,23.85,24.0,16.13,1683200
2002-02-08,24.1,24.79,24.02,24.79,16.66,1214000
2002-02-11,24.85,25.06,24.22,24.36,16.37,2064500
2002-02-12,24.5,24.84,24.4,24.8,16.67,1156500
2002-02-13,24.9,25.3,24.6,24.75,16.64,1899000
2002-02-14,24.75,24.75,23.95,24.36,16.37,3033900
2002-02-15,24.5,24.5,23.7,24.05,16.17,1902200
2002-02-19,23.99,24.0,23.3,23.58,15.85,2002100
2002-02-20,23.72,23.78,23.38,23.55,15.83,943100
2002-02-21,23.65,23.9,23.05,23.2,15.59,1624200
2002-02-22,23.4,23.4,22.0,22.5,15.12,2532900
2002-02-25,22.9,23.24,22.9,23.19,15.59,2515300
2002-02-26,23.4,23.95,23.12,23.7,15.93,1166900
2002-02-27,23.8,24.47,23.75,24.44,16.43,1842500
2002-02-28,24.75,24.98,24.0,24.36,16.37,1467600
2002-03-01,24.3,24.8,24.15,24.8,16.67,1293700
2002-03-04,24.8,26.0,24.5,25.27,16.99,1993100
2002-03-05,25.23,25.51,25.02,25.05,16.84,2963400
2002-03-06,25.2,25.32,24.55,25.0,16.8,995300
2002-03-07,25.0,25.48,24.55,25.2,16.94,1714400
2002-03-08,25.15,25.5,25.0,25.05,16.84,1085900
2002-03-11,25.05,25.24,24.77,24.95,16.77,1338800
2002-03-12,25.08,25.2,24.88,25.0,16.8,615600
2002-03-13,25.0,25.14,24.8,25.02,16.82,965100
2002-03-14,25.0,25.48,25.0,25.42,17.09,1636200
2002-03-15,25.4,25.75,25.3,25.5,17.14,504400
2002-03-18,26.5,26.6,25.3,25.5,17.14,2792000
2002-03-19,25.7,25.9,25.4,25.52,17.15,3362800
2002-03-20,25.55,25.97,25.43,25.8,17.34,1655700
2002-03-21,25.85,25.88,25.55,25.78,17.33,1683100
2002-03-22,25.85,25.85,25.64,25.8,17.34,1944400
2002-03-25,25.8,25.8,25.05,25.45,17.11,2036100
2002-03-26,25.44,25.58,25.25,25.5,17.14,1944000
2002-03-27,25.58,25.67,25.5,25.67,17.25,1618200
2002-03-28,25.75,25.84,25.2,25.3,17.01,2301100
