Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.2,6.23,6.09,6.09,3.79,1470000.0
2000-01-03,6.05,6.08,5.89,5.89,3.66,4741200.0
2000-01-04,5.89,5.89,5.57,5.68,3.53,7713600.0
2000-01-05,5.66,5.83,5.59,5.81,3.61,5454000.0
2000-01-06,5.78,5.88,5.75,5.79,3.6,3638400.0
2000-01-07,5.83,5.9,5.79,5.89,3.66,4105200.0
2000-01-10,5.88,5.89,5.77,5.78,3.59,1917600.0
2000-01-11,5.78,5.81,5.73,5.76,3.58,2103600.0
2000-01-12,5.76,5.83,5.75,5.79,3.6,2419200.0
2000-01-13,5.79,5.96,5.77,5.95,3.7,1876800.0
2000-01-14,5.95,5.95,5.81,5.85,3.63,2889600.0
2000-01-18,5.81,5.83,5.77,5.8,3.61,1951200.0
2000-01-19,5.79,5.83,5.69,5.73,3.56,2683200.0
2000-01-20,5.72,5.74,5.53,5.54,3.44,2652000.0
2000-01-21,5.69,5.7,5.44,5.46,3.39,3535200.0
2000-01-24,5.45,5.56,5.42,5.49,3.41,19816800.0
2000-01-25,5.52,5.52,5.33,5.33,3.31,11198400.0
2000-01-26,5.04,5.43,4.97,5.32,3.31,14461200.0
2000-01-27,5.34,5.47,5.32,5.39,3.35,9237600.0
2000-01-28,5.38,5.38,5.1,5.18,3.22,4725600.0
2000-01-31,5.18,5.19,5.07,5.19,3.22,2851200.0
2000-02-01,5.18,5.18,5.03,5.17,3.21,4153200.0
2000-02-02,5.08,5.17,5.05,5.09,3.16,3580800.0
2000-02-03,5.09,5.09,4.98,5.02,3.12,3156000.0
2000-02-04,5.02,5.13,4.96,5.02,3.12,4255200.0
2000-02-07,5.1,5.1,5.01,5.02,3.12,5518800.0
2000-02-08,4.92,5.02,4.92,4.96,3.08,5648400.0
2000-02-09,4.98,4.99,4.75,4.78,2.97,5962800.0
2000-02-10,4.76,4.79,4.64,4.65,2.89,3300000.0
2000-02-11,4.66,4.66,4.47,4.5,2.8,6866400.0
2000-02-14,4.5,4.5,4.31,4.34,2.7,4455600.0
2000-02-15,4.43,4.68,4.42,4.66,2.9,13818000.0
2000-02-16,4.73,4.77,4.55,4.74,2.95,5648400.0
2000-02-17,4.74,4.83,4.74,4.81,2.99,4906800.0
2000-02-18,4.79,4.81,4.56,4.66,2.9,4041600.0
2000-02-22,4.69,4.74,4.63,4.74,2.95,4443600.0
2000-02-23,4.72,4.76,4.66,4.75,2.95,3500400.0
2000-02-24,4.73,4.73,4.57,4.62,2.87,4477200.0
2000-02-25,4.62,4.67,4.54,4.55,2.83,4540800.0
2000-02-28,4.56,4.81,4.56,4.73,2.94,4214400.0
2000-02-29,4.9,4.97,4.86,4.96,3.08,6756000.0
2000-03-01,4.96,4.96,4.74,4.92,3.05,6758400.0
2000-03-02,4.86,4.88,4.61,4.66,2.89,10429200.0
2000-03-03,4.67,4.67,4.56,4.6,2.86,6093600.0
2000-03-06,4.6,4.6,4.42,4.43,2.75,8588400.0
2000-03-07,4.41,4.49,4.32,4.36,2.71,8590800.0
2000-03-08,4.35,4.35,4.1,4.24,2.64,8647200.0
2000-03-09,4.25,4.25,4.16,4.18,2.6,6560400.0
2000-03-10,4.18,4.2,4.11,4.15,2.58,5686800.0
2000-03-13,3.75,4.32,3.75,4.1,2.55,10048800.0
2000-03-14,4.1,4.48,4.09,4.35,2.71,7387200.0
2000-03-15,4.35,4.83,4.35,4.81,2.99,9010800.0
2000-03-16,4.82,5.33,4.8,5.31,3.3,9216000.0
2000-03-17,5.31,5.36,5.16,5.23,3.26,7846800.0
2000-03-20,5.24,5.26,4.96,5.01,3.12,5259600.0
2000-03-21,5.02,5.53,5.02,5.51,3.42,9146400.0
2000-03-22,5.79,5.88,5.32,5.5,3.42,13424400.0
2000-03-23,5.41,5.74,5.35,5.74,3.57,9283200.0
2000-03-24,5.72,5.92,5.64,5.77,3.59,6386400.0
2000-03-27,5.75,5.75,5.47,5.6,3.48,3916800.0
2000-03-28,5.56,5.86,5.53,5.81,3.61,6697200.0
2000-03-29,5.81,6.12,5.81,6.07,3.78,10038000.0
2000-03-30,6.08,7.15,6.08,6.51,4.05,23793600.0
2000-03-31,6.54,6.54,6.3,6.34,3.94,9597600.0
2000-04-03,6.34,6.59,6.21,6.52,4.06,8550000.0
2000-04-04,6.54,6.73,6.23,6.56,4.08,7314000.0
2000-04-05,6.57,6.6,6.4,6.45,4.01,3886800.0
2000-04-06,6.47,6.49,6.35,6.41,3.99,4780800.0
2000-04-07,6.43,6.53,6.31,6.31,3.93,5738400.0
2000-04-10,6.25,6.39,6.13,6.29,3.91,6147600.0
2000-04-11,6.3,6.36,6.22,6.34,3.95,3429600.0
2000-04-12,6.34,6.56,6.34,6.45,4.01,4269600.0
2000-04-13,6.45,6.45,6.33,6.38,3.97,2378400.0
2000-04-14,6.27,6.27,5.83,5.85,3.64,8137200.0
2000-04-17,5.75,5.83,5.73,5.78,3.6,5700000.0
2000-04-18,5.79,6.17,5.72,6.02,3.74,5850000.0
2000-04-19,5.88,5.88,5.21,5.26,3.27,36076800.0
2000-04-20,5.24,5.42,5.0,5.14,3.19,19060800.0
2000-04-24,5.16,5.39,5.08,5.38,3.35,8235600.0
2000-04-25,5.39,5.92,5.34,5.83,3.63,6864000.0
2000-04-26,5.81,5.84,5.4,5.5,3.42,7042800.0
2000-04-27,5.52,5.52,5.26,5.31,3.3,4107600.0
2000-04-28,5.33,5.55,5.19,5.45,3.39,4963200.0
2000-05-01,5.43,5.61,5.43,5.55,3.45,4394400.0
2000-05-02,5.5,5.51,5.34,5.43,3.38,3687600.0
2000-05-03,5.41,5.45,5.34,5.45,3.39,6237600.0
2000-05-04,5.44,5.6,5.4,5.59,3.48,3067200.0
2000-05-05,5.47,5.63,5.45,5.61,3.49,4548000.0
2000-05-08,5.58,5.72,5.56,5.66,3.52,3468000.0
2000-05-09,5.79,5.79,5.66,5.7,3.54,3908400.0
2000-05-10,5.7,5.76,5.61,5.67,3.53,2118000.0
2000-05-11,5.7,5.97,5.7,5.9,3.67,3136800.0
2000-05-12,5.9,6.1,5.9,6.09,3.79,4742400.0
2000-05-15,6.55,6.87,6.53,6.83,4.25,18696000.0
2000-05-16,6.91,7.32,6.89,7.2,4.48,24030000.0
2000-05-17,7.02,7.03,6.81,6.86,4.27,10666800.0
2000-05-18,6.86,7.1,6.72,6.98,4.35,8161200.0
2000-05-19,7.01,7.1,6.83,6.9,4.29,4742400.0
2000-05-22,6.92,7.34,6.89,7.34,4.57,7575600.0
2000-05-23,7.25,7.84,7.18,7.79,4.84,12770400.0
2000-05-24,7.87,8.33,7.79,8.24,5.13,15290400.0
2000-05-25,8.0,8.04,7.56,7.64,4.75,11043600.0
2000-05-26,7.64,7.83,7.58,7.71,4.8,5140800.0
2000-05-30,7.81,7.92,7.69,7.78,4.84,5665200.0
2000-05-31,7.57,7.83,7.57,7.82,4.87,4129200.0
2000-06-01,7.8,8.15,7.67,8.14,5.06,5689200.0
2000-06-02,7.97,8.0,7.59,7.76,4.83,9448800.0
2000-06-05,7.66,7.66,7.28,7.32,4.55,8041200.0
2000-06-06,7.34,7.34,7.09,7.12,4.43,6291600.0
2000-06-07,7.11,7.41,7.08,7.27,4.53,9849600.0
2000-06-08,7.3,7.3,6.94,6.99,4.35,3820800.0
2000-06-09,7.01,7.04,6.8,6.89,4.29,2846400.0
2000-06-12,6.89,7.25,6.89,7.21,4.49,5476800.0
2000-06-13,7.17,7.31,7.04,7.3,4.55,3666000.0
2000-06-14,7.31,7.33,7.03,7.1,4.42,3747600.0
2000-06-15,7.14,7.17,6.75,6.89,4.29,5962800.0
2000-06-16,6.89,6.89,6.68,6.85,4.26,4737600.0
2000-06-19,6.21,7.15,6.17,6.96,4.33,28207200.0
2000-06-20,6.85,7.03,6.51,6.53,4.07,12484800.0
2000-06-21,6.53,6.8,6.48,6.65,4.14,9534000.0
2000-06-22,6.67,6.67,6.44,6.65,4.14,4543200.0
2000-06-23,6.61,6.72,6.44,6.49,4.04,3906000.0
2000-06-26,6.49,6.56,6.38,6.38,3.97,3882000.0
2000-06-27,6.43,6.63,6.43,6.52,4.06,3633600.0
2000-06-28,6.56,6.69,6.5,6.52,4.06,2320800.0
2000-06-29,6.48,6.48,6.32,6.33,3.94,3579600.0
2000-06-30,6.29,6.32,6.12,6.17,3.84,3591600.0
2000-07-03,6.15,6.32,6.14,6.31,3.93,1544400.0
2000-07-05,6.32,6.56,6.29,6.51,4.05,3156000.0
2000-07-06,6.53,6.56,6.47,6.51,4.05,3184800.0
2000-07-07,6.52,6.63,6.51,6.6,4.11,1057200.0
2000-07-10,6.6,6.65,6.45,6.45,4.02,2202000.0
2000-07-11,6.44,6.44,6.32,6.37,3.97,2931600.0
2000-07-12,6.39,6.56,6.38,6.46,4.02,4237200.0
2000-07-13,6.43,6.45,6.42,6.42,3.99,2188800.0
2000-07-14,6.43,6.58,6.43,6.55,4.08,2295600.0
2000-07-17,6.53,6.54,6.24,6.34,3.95,2586000.0
2000-07-18,6.32,6.48,6.22,6.44,4.01,3915600.0
2000-07-19,6.44,6.52,6.39,6.48,4.03,2421600.0
2000-07-20,6.44,6.64,6.44,6.5,4.05,3878400.0
2000-07-21,6.25,6.29,5.19,5.25,3.27,36952800.0
2000-07-24,5.25,5.49,5.2,5.36,3.34,13428000.0
2000-07-25,5.31,5.32,5.19,5.26,3.28,9718800.0
2000-07-26,5.3,5.66,5.3,5.58,3.48,8844000.0
2000-07-27,5.66,6.04,5.66,5.99,3.73,6210000.0
2000-07-28,5.95,5.95,5.78,5.84,3.64,3400800.0
2000-07-31,5.83,6.0,5.58,5.6,3.49,4652400.0
2000-08-01,5.56,5.71,5.48,5.6,3.49,4628400.0
2000-08-02,5.68,5.72,5.64,5.68,3.53,2503200.0
2000-08-03,5.62,5.9,5.62,5.87,3.65,4312800.0
2000-08-04,5.95,6.22,5.95,6.1,3.8,4596000.0
2000-08-07,6.12,6.12,5.95,6.01,3.74,2536800.0
2000-08-08,6.03,6.08,6.03,6.08,3.78,2343600.0
2000-08-09,6.08,6.08,5.83,5.92,3.69,3412800.0
2000-08-10,5.92,6.0,5.89,5.91,3.68,1372800.0
2000-08-11,5.94,6.21,5.92,6.16,3.83,3066000.0
2000-08-14,6.31,6.54,6.19,6.44,4.01,5550000.0
2000-08-15,6.35,6.4,6.22,6.22,3.87,4717200.0
2000-08-16,6.24,6.3,5.99,6.17,3.84,3622800.0
2000-08-17,6.17,6.24,6.0,6.13,3.82,3464400.0
2000-08-18,6.12,6.13,5.96,6.03,3.75,2908800.0
2000-08-21,6.05,6.29,6.05,6.24,3.88,2582400.0
2000-08-22,6.24,6.24,6.18,6.23,3.88,1626000.0
2000-08-23,6.23,6.33,6.21,6.23,3.88,2067600.0
2000-08-24,6.24,6.24,6.14,6.21,3.87,1434000.0
2000-08-25,6.22,6.28,6.11,6.15,3.83,1425600.0
2000-08-28,6.14,6.22,6.1,6.18,3.85,2515200.0
2000-08-29,6.19,6.21,6.13,6.19,3.85,2080800.0
2000-08-30,6.17,6.38,6.17,6.31,3.93,6416400.0
2000-08-31,6.33,6.39,6.23,6.32,3.93,4286400.0
2000-09-01,6.33,6.33,6.19,6.22,3.87,2262000.0
2000-09-05,6.19,6.34,6.16,6.25,3.89,3822000.0
2000-09-06,6.23,6.24,6.11,6.12,3.82,5833200.0
2000-09-07,6.12,6.13,5.86,6.08,3.79,4768800.0
2000-09-08,6.1,6.28,6.07,6.25,3.89,5530800.0
2000-09-11,6.24,6.37,6.24,6.33,3.95,3861600.0
2000-09-12,6.38,6.4,6.3,6.32,3.94,2755200.0
2000-09-13,6.25,6.46,6.2,6.23,3.88,3879600.0
2000-09-14,6.23,6.37,6.13,6.33,3.94,3243600.0
2000-09-15,6.33,6.45,6.32,6.37,3.97,6520800.0
2000-09-18,6.33,6.34,6.02,6.05,3.77,3006000.0
2000-09-19,6.03,6.24,6.02,6.22,3.88,1777200.0
2000-09-20,6.21,6.21,6.04,6.1,3.8,3506400.0
2000-09-21,6.11,6.18,6.05,6.17,3.85,2328000.0
2000-09-22,6.19,6.45,6.18,6.44,4.01,2788800.0
2000-09-25,6.44,6.54,6.22,6.49,4.04,3780000.0
2000-09-26,6.5,6.83,6.5,6.64,4.14,5414400.0
2000-09-27,6.65,6.71,6.63,6.69,4.17,4758000.0
2000-09-28,6.72,6.91,6.68,6.89,4.29,5304000.0
2000-09-29,6.88,7.11,6.82,6.82,4.25,5128800.0
2000-10-02,6.84,7.15,6.63,7.15,4.45,6876000.0
2000-10-03,7.08,7.09,6.86,7.04,4.39,6656400.0
2000-10-04,7.04,7.11,7.0,7.09,4.42,3585600.0
2000-10-05,7.12,7.24,7.12,7.2,4.49,3709200.0
2000-10-06,7.18,7.22,6.94,7.0,4.36,2355600.0
2000-10-09,6.92,6.94,6.69,6.78,4.23,3314400.0
2000-10-10,6.82,6.83,6.6,6.63,4.13,4178400.0
2000-10-11,6.61,6.67,6.49,6.58,4.1,6462000.0
2000-10-12,6.38,6.38,5.8,5.96,3.71,12654000.0
2000-10-13,5.96,6.17,5.96,6.17,3.84,7431600.0
2000-10-16,6.17,6.22,6.05,6.22,3.88,3252000.0
2000-10-17,6.2,6.28,6.04,6.04,3.76,3260400.0
2000-10-18,6.0,6.3,5.88,5.92,3.69,5728800.0
2000-10-19,7.25,7.25,6.67,7.16,4.46,42860400.0
2000-10-20,7.08,7.61,6.97,7.32,4.56,16022400.0
2000-10-23,7.29,7.59,7.23,7.26,4.52,8985600.0
2000-10-24,7.27,7.7,7.27,7.59,4.73,11955600.0
2000-10-25,7.54,7.89,7.53,7.71,4.81,8824800.0
2000-10-26,7.69,7.92,7.38,7.46,4.65,9880800.0
2000-10-27,7.47,7.58,7.4,7.5,4.67,5766000.0
2000-10-30,7.56,8.07,7.54,8.03,5.0,7286400.0
2000-10-31,8.06,8.27,7.71,8.19,5.1,10009200.0
2000-11-01,7.96,8.02,7.79,7.92,4.94,10951200.0
2000-11-02,7.92,7.98,7.85,7.85,4.89,6208800.0
2000-11-03,7.83,7.85,7.64,7.68,4.79,3871200.0
2000-11-06,7.64,7.92,7.59,7.8,4.86,3871200.0
2000-11-07,7.79,7.88,7.71,7.76,4.83,8450400.0
2000-11-08,7.76,7.88,7.66,7.78,4.85,3825600.0
