Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.48,5.62,5.48,5.62,4.88,224000
2000-01-03,5.62,5.62,5.03,5.28,4.58,923600
2000-01-04,5.22,5.22,5.0,5.03,4.37,196400
2000-01-05,5.03,5.06,4.89,4.94,4.28,1044800
2000-01-06,4.95,4.95,4.86,4.91,4.26,469200
2000-01-07,4.88,5.03,4.88,4.98,4.32,509600
2000-01-10,4.95,5.02,4.89,4.89,4.24,1116400
2000-01-11,4.94,4.97,4.62,4.69,4.07,1533200
2000-01-12,4.75,4.75,4.47,4.53,3.93,1540400
2000-01-13,4.55,4.75,4.55,4.75,4.12,1454800
2000-01-14,4.81,4.84,4.61,4.72,4.09,692800
2000-01-18,4.69,4.7,4.64,4.67,4.05,354400
2000-01-19,4.7,4.7,4.45,4.48,3.89,973600
2000-01-20,4.5,4.61,4.33,4.53,3.93,1896800
2000-01-21,4.81,4.84,4.53,4.59,3.99,1245200
2000-01-24,4.62,4.7,4.42,4.47,3.88,1358800
2000-01-25,4.53,4.53,4.19,4.25,3.69,1631600
2000-01-26,4.3,4.42,4.28,4.36,3.78,2785600
2000-01-27,4.38,4.5,4.34,4.48,3.89,1858800
2000-01-28,4.52,4.56,4.44,4.44,3.85,1246400
2000-01-31,4.48,4.48,4.33,4.36,3.78,1228000
2000-02-01,4.41,4.44,4.28,4.3,3.73,798800
2000-02-02,4.36,4.36,4.23,4.25,3.69,1172400
2000-02-03,4.31,4.36,4.25,4.31,3.74,999600
2000-02-04,4.33,4.39,4.27,4.31,3.74,4247200
2000-02-07,4.31,4.33,4.11,4.14,3.59,1506400
2000-02-08,4.25,4.52,4.23,4.45,3.86,1397600
2000-02-09,4.44,4.47,4.38,4.42,3.84,860400
2000-02-10,4.42,4.48,4.33,4.36,3.78,937200
2000-02-11,4.36,4.48,4.34,4.41,3.82,785200
2000-02-14,4.42,4.45,4.38,4.39,3.81,664800
2000-02-15,4.36,4.78,4.36,4.62,4.01,1352400
2000-02-16,4.62,4.62,4.39,4.42,3.84,676000
2000-02-17,4.47,4.56,4.39,4.42,3.84,1258400
2000-02-18,4.41,4.44,4.22,4.44,3.85,796000
2000-02-22,4.41,4.5,4.31,4.33,3.76,324400
2000-02-23,4.41,4.41,4.25,4.27,3.7,383600
2000-02-24,4.31,4.38,4.14,4.2,3.65,634800
2000-02-25,4.19,4.23,4.03,4.05,3.51,810800
2000-02-28,4.0,4.11,4.0,4.09,3.55,594400
2000-02-29,4.14,4.3,4.08,4.2,3.65,741200
2000-03-01,4.2,4.33,4.14,4.27,3.7,714400
2000-03-02,4.27,4.28,4.0,4.16,3.61,1325600
2000-03-03,4.2,4.25,4.05,4.12,3.58,523600
2000-03-06,4.12,4.17,4.03,4.05,3.51,433600
2000-03-07,4.08,4.09,3.91,3.98,3.46,606000
2000-03-08,3.94,4.0,3.84,3.92,3.4,416800
2000-03-09,3.88,4.06,3.81,4.05,3.51,943600
2000-03-10,4.0,4.05,3.95,3.97,3.44,1440000
2000-03-13,4.02,4.06,3.95,4.05,3.51,1011600
2000-03-14,4.02,4.08,3.89,3.94,3.42,613600
2000-03-15,3.94,4.36,3.94,4.28,3.72,1652400
2000-03-16,4.28,4.83,4.28,4.81,4.19,2527600
2000-03-17,4.5,4.84,4.5,4.7,4.09,1604800
2000-03-20,4.72,4.88,4.69,4.83,4.2,944000
2000-03-21,4.8,4.83,4.77,4.81,4.19,624000
2000-03-22,4.8,4.8,4.69,4.75,4.13,1052400
2000-03-23,4.72,5.03,4.67,4.88,4.24,1113600
2000-03-24,4.89,4.98,4.75,4.86,4.23,1296400
2000-03-27,4.86,4.97,4.77,4.83,4.2,350400
2000-03-28,4.78,4.83,4.67,4.73,4.12,610000
2000-03-29,4.81,5.0,4.75,4.95,4.31,842800
2000-03-30,4.97,5.23,4.97,5.11,4.44,1167200
2000-03-31,5.17,5.27,5.08,5.22,4.54,1401200
2000-04-03,5.19,5.33,5.19,5.22,4.54,702400
2000-04-04,5.23,5.31,5.05,5.11,4.44,867200
2000-04-05,5.11,5.38,5.11,5.36,4.66,1392000
2000-04-06,5.38,5.45,5.34,5.36,4.66,932800
2000-04-07,5.31,5.45,5.31,5.38,4.68,716800
2000-04-10,5.31,5.42,5.27,5.31,4.62,431200
2000-04-11,5.31,5.52,5.31,5.38,4.68,927200
2000-04-12,5.39,5.75,5.34,5.66,4.92,775200
2000-04-13,5.62,5.81,5.58,5.7,4.96,1052800
2000-04-14,5.66,5.72,5.31,5.34,4.65,2032400
2000-04-17,5.25,5.5,5.22,5.44,4.73,916800
2000-04-18,5.36,5.44,5.25,5.39,4.69,1213200
2000-04-19,5.41,5.47,5.31,5.42,4.72,652400
2000-04-20,5.36,5.55,5.34,5.52,4.8,1218000
2000-04-24,5.47,5.56,5.41,5.45,4.74,630000
2000-04-25,5.45,5.61,5.34,5.5,4.78,1477600
2000-04-26,5.44,5.62,5.19,5.58,4.85,993600
2000-04-27,5.52,5.59,5.42,5.45,4.74,740400
2000-04-28,5.41,5.41,5.28,5.38,4.68,1361200
2000-05-01,5.31,5.56,5.31,5.42,4.72,510000
2000-05-02,5.39,5.58,5.39,5.48,4.77,453200
2000-05-03,5.45,5.5,5.31,5.41,4.7,480000
2000-05-04,5.39,5.56,5.39,5.47,4.76,871200
2000-05-05,5.44,5.59,5.42,5.5,4.78,442000
2000-05-08,5.5,5.5,5.31,5.34,4.65,716000
2000-05-09,5.41,5.53,5.38,5.5,4.78,350800
2000-05-10,5.5,5.5,5.34,5.36,4.66,519600
2000-05-11,5.36,5.72,5.36,5.64,4.91,1023600
2000-05-12,5.62,5.72,5.62,5.67,4.93,350000
2000-05-15,5.67,5.67,5.48,5.58,4.85,400400
2000-05-16,5.53,5.78,5.5,5.73,4.99,446400
2000-05-17,5.67,5.69,5.38,5.47,4.76,626800
2000-05-18,5.45,5.5,5.39,5.41,4.7,585200
2000-05-19,5.33,5.44,5.33,5.34,4.65,333600
2000-05-22,5.38,5.45,5.31,5.36,4.66,647600
2000-05-23,5.41,5.47,5.36,5.38,4.68,384400
2000-05-24,5.38,5.5,5.38,5.42,4.72,282800
2000-05-25,5.38,5.53,5.38,5.39,4.69,324400
2000-05-26,5.45,5.52,5.41,5.5,4.78,299200
2000-05-30,5.47,5.53,5.44,5.45,4.74,274800
2000-05-31,5.41,5.56,5.38,5.55,4.82,632000
2000-06-01,5.5,5.52,5.42,5.44,4.73,628800
2000-06-02,5.5,5.86,5.47,5.84,5.08,748800
2000-06-05,5.62,5.69,5.53,5.62,4.89,470400
2000-06-06,5.56,5.77,5.56,5.75,5.0,463200
2000-06-07,5.72,5.72,5.48,5.55,4.82,278000
2000-06-08,5.5,5.64,5.5,5.61,4.88,333200
2000-06-09,5.62,5.67,5.59,5.67,4.93,134400
2000-06-12,5.73,5.73,5.56,5.62,4.89,334400
2000-06-13,5.47,5.67,5.44,5.64,4.91,780000
2000-06-14,5.61,5.66,5.56,5.61,4.89,384800
2000-06-15,5.59,5.69,5.59,5.62,4.9,425600
2000-06-16,5.53,5.65,5.52,5.64,4.92,855200
2000-06-19,5.5,5.56,5.31,5.53,4.82,815200
2000-06-20,5.52,5.52,5.41,5.44,4.74,632800
2000-06-21,5.45,5.45,5.36,5.38,4.68,927600
2000-06-22,5.36,5.38,5.3,5.34,4.66,402400
2000-06-23,5.38,5.38,5.25,5.3,4.62,241600
2000-06-26,5.3,5.34,5.27,5.3,4.62,306400
2000-06-27,5.33,5.47,5.31,5.42,4.72,276000
2000-06-28,5.36,5.45,5.33,5.36,4.67,706800
2000-06-29,5.33,5.5,5.33,5.44,4.74,1347600
2000-06-30,5.5,5.52,5.33,5.4,4.71,760400
2000-07-03,5.41,5.48,5.33,5.47,4.77,256800
2000-07-05,5.44,5.61,5.44,5.59,4.87,314800
2000-07-06,5.55,5.62,5.5,5.59,4.87,354400
2000-07-07,5.61,5.61,5.5,5.58,4.86,372000
2000-07-10,5.55,5.55,5.44,5.48,4.78,490000
2000-07-11,5.48,5.52,5.42,5.52,4.81,679200
2000-07-12,5.47,5.53,5.42,5.52,4.81,435200
2000-07-13,5.48,5.48,5.41,5.44,4.74,450400
2000-07-14,5.44,5.48,5.39,5.44,4.74,896800
2000-07-17,5.38,5.45,5.34,5.45,4.75,362800
2000-07-18,5.42,5.44,5.31,5.38,4.68,292000
2000-07-19,5.47,5.48,5.33,5.39,4.7,302000
2000-07-20,5.45,5.52,5.42,5.52,4.81,316000
2000-07-21,5.45,5.48,5.33,5.34,4.66,344400
2000-07-24,5.38,5.42,5.22,5.23,4.56,248800
2000-07-25,5.41,5.58,5.41,5.47,4.77,638000
2000-07-26,5.47,5.66,5.45,5.52,4.81,700400
2000-07-27,5.53,5.66,5.5,5.62,4.9,602000
2000-07-28,5.5,5.64,5.44,5.47,4.77,624000
2000-07-31,5.5,5.78,5.5,5.73,5.0,1074800
2000-08-01,5.59,5.89,5.59,5.83,5.08,607600
2000-08-02,5.83,6.06,5.81,5.83,5.08,818000
2000-08-03,5.89,6.25,5.89,6.16,5.36,916000
2000-08-04,6.17,6.31,6.08,6.28,5.47,545200
2000-08-07,6.3,7.05,6.3,7.05,6.14,2231600
2000-08-08,7.05,7.38,6.97,7.3,6.36,2475600
2000-08-09,7.31,7.5,7.22,7.23,6.3,3145200
2000-08-10,7.23,7.23,6.94,6.95,6.06,766800
2000-08-11,7.02,7.3,7.02,7.25,6.32,927200
2000-08-14,7.62,7.73,7.52,7.66,6.67,997600
2000-08-15,7.59,7.61,7.3,7.39,6.44,1112000
2000-08-16,7.33,7.36,7.19,7.22,6.29,1018400
2000-08-17,7.22,7.28,7.09,7.23,6.3,696400
2000-08-18,7.17,7.23,7.09,7.19,6.26,900800
2000-08-21,7.25,7.56,7.25,7.41,6.45,742800
2000-08-22,7.39,7.44,7.33,7.44,6.48,508800
2000-08-23,7.44,7.44,7.22,7.28,6.34,698000
2000-08-24,7.22,7.34,7.22,7.23,6.3,644400
2000-08-25,7.17,7.22,7.09,7.17,6.25,509200
2000-08-28,7.12,7.27,7.11,7.16,6.24,292800
2000-08-29,7.12,7.62,7.12,7.52,6.55,1486400
2000-08-30,7.55,7.88,7.52,7.84,6.83,2930400
2000-08-31,7.86,8.42,7.86,8.24,7.18,1340400
2000-09-01,8.38,8.38,8.17,8.23,7.18,1180800
2000-09-05,8.12,8.5,8.11,8.45,7.37,1615600
2000-09-06,8.5,8.55,8.38,8.38,7.3,855600
2000-09-07,8.41,8.52,8.38,8.5,7.41,849600
2000-09-08,8.52,8.52,8.25,8.28,7.22,764400
