Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,12.0,12.19,12.0,12.0,7.04,11192000
2000-01-31,12.0,12.06,12.0,12.06,7.08,1880900
2000-02-01,12.0,12.06,12.0,12.0,7.04,367100
2000-02-02,12.0,12.06,12.0,12.06,7.08,697400
2000-02-03,12.0,12.06,12.0,12.0,7.04,579800
2000-02-04,12.0,12.06,11.25,11.38,6.68,1681900
2000-02-07,11.12,11.12,10.5,10.81,6.35,927200
2000-02-08,10.75,10.88,9.75,9.88,5.8,795400
2000-02-09,9.88,10.25,9.75,10.12,5.94,1710100
2000-02-10,10.5,11.25,10.44,10.62,6.24,571500
2000-02-11,10.75,10.94,10.0,10.06,5.91,1062000
2000-02-14,10.19,10.31,9.75,9.81,5.76,289000
2000-02-15,10.0,10.62,9.94,10.44,6.13,541400
2000-02-16,10.56,10.62,10.25,10.56,6.2,360700
2000-02-17,10.88,10.88,10.25,10.38,6.09,291600
2000-02-18,10.5,10.75,10.31,10.5,6.16,330700
2000-02-22,10.25,10.62,9.88,10.31,6.05,314500
2000-02-23,9.94,10.31,9.81,10.12,5.94,494300
2000-02-24,10.12,10.31,9.88,9.94,5.83,919900
2000-02-25,10.31,10.62,10.0,10.44,6.13,1095500
2000-02-28,10.25,10.31,10.0,10.12,5.94,366800
2000-02-29,10.12,11.25,10.0,10.88,6.38,1652500
2000-03-01,10.88,11.25,10.88,11.0,6.46,266700
2000-03-02,10.88,11.94,10.81,11.5,6.75,890300
2000-03-03,11.5,11.5,10.88,10.94,6.42,160300
2000-03-06,10.5,10.81,10.38,10.75,6.31,242800
2000-03-07,10.62,10.75,10.06,10.25,6.02,393500
2000-03-08,10.19,10.5,9.88,10.38,6.09,424200
2000-03-09,10.31,10.81,10.25,10.5,6.16,310100
2000-03-10,10.5,10.5,10.0,10.25,6.02,168900
2000-03-13,10.0,10.12,9.56,9.75,5.72,1767400
2000-03-14,9.75,10.12,9.75,9.88,5.8,660500
2000-03-15,9.88,9.88,9.25,9.62,5.65,1231100
2000-03-16,9.81,10.25,9.5,9.75,5.72,404100
2000-03-17,9.75,9.94,9.25,9.56,5.61,814800
2000-03-20,9.69,9.88,9.5,9.62,5.65,473200
2000-03-21,9.56,9.81,9.5,9.62,5.65,176200
2000-03-22,9.62,9.75,9.5,9.56,5.61,430300
2000-03-23,9.5,9.81,9.5,9.69,5.69,477400
2000-03-24,9.56,9.88,9.56,9.75,5.72,236700
2000-03-27,9.75,10.0,9.75,9.88,5.8,67600
2000-03-28,9.88,10.0,9.75,9.81,5.76,157900
2000-03-29,9.81,9.94,9.81,9.81,5.76,253000
2000-03-30,9.81,10.12,9.81,9.81,5.76,235200
2000-03-31,9.81,10.5,9.75,10.5,6.16,627300
2000-04-03,10.38,10.38,10.06,10.31,6.05,108400
2000-04-04,10.38,10.38,10.0,10.06,5.91,411000
2000-04-05,9.94,10.38,9.88,10.25,6.02,196100
2000-04-06,10.25,11.12,10.12,10.81,6.35,296700
2000-04-07,10.5,10.62,10.25,10.5,6.16,262800
2000-04-10,10.5,10.75,10.25,10.31,6.05,139400
2000-04-11,10.25,10.62,10.25,10.56,6.2,315000
2000-04-12,10.56,11.0,10.56,10.81,6.35,392000
2000-04-13,10.69,10.81,10.62,10.62,6.24,243200
2000-04-14,10.5,10.62,10.0,10.12,5.94,269900
2000-04-17,10.0,10.38,10.0,10.38,6.09,321300
2000-04-18,10.38,10.81,10.25,10.62,6.24,862200
2000-04-19,10.5,11.25,10.5,10.94,6.42,531900
2000-04-20,10.94,11.0,10.62,10.62,6.24,193500
2000-04-24,10.75,11.38,10.75,10.88,6.38,355700
2000-04-25,11.06,11.56,11.0,11.25,6.6,621900
2000-04-26,11.25,11.38,11.0,11.0,6.46,391800
2000-04-27,11.0,11.25,10.81,10.81,6.35,246300
2000-04-28,11.12,11.88,11.0,11.88,6.97,284100
2000-05-01,11.75,11.94,11.38,11.62,6.82,138900
2000-05-02,11.88,11.88,11.56,11.75,6.9,159200
2000-05-03,11.62,11.69,11.5,11.56,6.79,105600
2000-05-04,11.56,11.75,11.5,11.75,6.9,180500
2000-05-05,11.62,12.0,11.56,11.94,7.01,240000
2000-05-08,11.88,12.0,11.75,11.88,6.97,117900
2000-05-09,11.75,11.88,11.62,11.81,6.93,87000
2000-05-10,11.75,12.06,11.56,12.0,7.04,383700
2000-05-11,11.88,12.06,11.75,12.0,7.04,404400
2000-05-12,12.0,12.12,11.94,12.0,7.04,171600
2000-05-15,12.0,12.75,12.0,12.62,7.41,227300
2000-05-16,12.5,12.62,12.12,12.38,7.27,251500
2000-05-17,12.31,12.44,12.25,12.38,7.27,195300
2000-05-18,12.25,12.31,11.94,12.0,7.04,94500
2000-05-19,12.0,12.25,12.0,12.12,7.12,334900
2000-05-22,12.06,12.19,11.81,11.81,6.93,522400
2000-05-23,11.75,11.88,11.38,11.62,6.82,258000
2000-05-24,11.5,11.56,11.25,11.38,6.68,209300
2000-05-25,11.25,11.5,11.25,11.44,6.71,526000
2000-05-26,11.44,11.88,11.38,11.88,6.97,159000
2000-05-30,11.5,11.69,11.25,11.69,6.86,217400
2000-05-31,11.56,11.75,11.5,11.5,6.75,204900
2000-06-01,11.38,11.75,11.0,11.25,6.6,359100
2000-06-02,11.25,11.38,11.0,11.06,6.49,183500
2000-06-05,11.06,11.38,11.0,11.12,6.53,102800
2000-06-06,11.12,11.31,11.12,11.31,6.64,353700
2000-06-07,11.31,11.38,11.0,11.25,6.6,303500
2000-06-08,11.19,11.25,11.06,11.06,6.49,279300
2000-06-09,11.06,11.38,11.0,11.25,6.6,136600
2000-06-12,11.12,11.38,11.0,11.38,6.68,215100
2000-06-13,11.38,11.5,11.12,11.5,6.75,128400
2000-06-14,11.5,11.69,11.31,11.56,6.79,137200
2000-06-15,11.56,11.81,11.12,11.25,6.6,140000
2000-06-16,11.12,11.12,10.69,10.69,6.27,417700
2000-06-19,10.75,11.12,10.62,11.0,6.46,178200
2000-06-20,10.81,10.88,10.12,10.5,6.16,183500
2000-06-21,10.25,11.0,10.25,11.0,6.46,122900
2000-06-22,10.88,11.0,10.25,10.69,6.27,205200
2000-06-23,10.44,10.62,10.31,10.5,6.16,69700
2000-06-26,10.38,10.69,10.25,10.62,6.24,307100
2000-06-27,10.5,11.0,10.5,11.0,6.46,203500
2000-06-28,10.88,11.88,10.81,11.62,6.82,199200
2000-06-29,11.62,12.38,11.38,12.12,7.12,292900
2000-06-30,12.25,12.5,10.12,10.12,5.94,1202100
2000-07-03,10.88,11.38,10.88,11.31,6.64,174800
2000-07-05,11.38,11.38,11.0,11.25,6.6,161500
2000-07-06,11.12,11.25,10.88,11.25,6.6,58700
2000-07-07,11.12,11.25,10.88,11.12,6.53,82700
2000-07-10,11.12,11.31,11.0,11.0,6.46,103000
2000-07-11,11.0,11.31,10.88,11.25,6.6,206700
2000-07-12,11.25,11.5,11.25,11.5,6.75,54300
2000-07-13,11.44,11.88,11.44,11.69,6.86,146800
2000-07-14,11.62,11.94,11.56,11.88,6.97,173100
2000-07-17,11.81,12.0,11.75,11.94,7.01,148600
2000-07-18,11.88,12.0,11.81,12.0,7.04,123100
2000-07-19,11.88,11.88,11.25,11.5,6.75,143900
2000-07-20,11.75,11.75,11.56,11.62,6.82,80600
2000-07-21,11.62,11.88,11.62,11.62,6.82,118300
2000-07-24,11.5,11.5,11.0,11.12,6.53,259700
2000-07-25,11.0,11.19,10.88,10.88,6.38,32300
2000-07-26,10.88,10.94,10.75,10.81,6.35,38800
2000-07-27,10.75,11.0,10.75,10.88,6.38,195300
2000-07-28,10.81,10.94,10.75,10.75,6.31,97900
2000-07-31,10.81,11.38,10.81,11.38,6.68,55200
2000-08-01,11.25,11.25,10.81,10.94,6.42,57000
2000-08-02,10.88,11.0,10.62,11.0,6.46,105500
2000-08-03,11.0,11.06,10.62,10.75,6.31,99200
2000-08-04,10.69,10.94,10.62,10.94,6.42,40500
2000-08-07,10.88,11.25,10.75,11.12,6.53,40400
2000-08-08,11.06,11.19,10.69,10.69,6.27,52700
2000-08-09,10.69,11.75,10.62,11.62,6.82,151500
2000-08-10,11.5,11.5,11.0,11.0,6.46,68300
2000-08-11,10.88,11.5,10.88,11.5,6.75,53900
2000-08-14,11.38,11.75,11.06,11.44,6.71,92700
2000-08-15,11.5,11.5,11.12,11.31,6.64,59000
2000-08-16,11.44,11.75,11.25,11.62,6.82,87800
2000-08-17,11.5,11.69,11.5,11.56,6.79,160800
2000-08-18,11.44,11.44,11.0,11.25,6.6,69500
2000-08-21,11.12,11.12,10.75,10.75,6.31,337400
2000-08-22,10.88,11.75,10.88,11.62,6.82,78100
2000-08-23,11.5,11.5,11.25,11.31,6.64,74200
2000-08-24,11.31,11.38,11.19,11.25,6.6,104800
2000-08-25,11.38,11.75,11.31,11.75,6.9,270800
2000-08-28,12.0,12.0,11.62,11.88,6.97,178400
2000-08-29,11.81,11.88,11.75,11.75,6.9,95800
2000-08-30,11.75,11.75,11.69,11.69,6.86,106500
2000-08-31,11.69,11.75,11.62,11.69,6.86,131800
2000-09-01,11.88,12.06,11.75,12.06,7.08,141300
2000-09-05,12.12,13.19,12.06,12.75,7.49,535000
2000-09-06,12.62,12.81,12.44,12.75,7.49,120600
2000-09-07,12.75,12.88,12.5,12.56,7.38,90400
2000-09-08,12.5,12.94,12.38,12.5,7.34,284900
2000-09-11,12.5,12.5,12.25,12.38,7.27,202700
2000-09-12,12.38,12.44,12.25,12.31,7.23,36300
2000-09-13,12.25,12.69,12.25,12.69,7.45,77900
2000-09-14,12.69,12.75,12.31,12.5,7.34,184000
2000-09-15,12.38,12.38,12.0,12.12,7.12,380000
2000-09-18,12.06,12.25,12.0,12.06,7.08,68900
