Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,20.77,20.83,20.59,20.59,19.14,433100
2010-01-04,20.76,20.81,20.28,20.64,19.19,1880200
2010-01-05,20.66,21.06,20.49,20.89,19.42,1568200
2010-01-06,20.82,21.41,20.8,21.3,19.8,1245300
2010-01-07,21.8,22.0,21.2,21.24,19.75,2581900
2010-01-08,21.32,21.51,21.21,21.43,19.92,2273200
2010-01-11,21.56,21.66,21.4,21.46,19.95,2347600
2010-01-12,21.4,21.44,21.04,21.16,19.67,2656900
2010-01-13,21.27,21.44,21.04,21.41,19.9,1352600
2010-01-14,21.34,21.67,21.32,21.65,20.13,1147700
2010-01-15,21.72,21.89,21.28,21.41,19.9,1239100
2010-01-19,21.41,21.75,21.01,21.44,19.93,2235000
2010-01-20,21.38,21.38,20.92,21.16,19.74,1301600
2010-01-21,21.14,21.18,20.41,20.48,19.1,1668900
2010-01-22,20.53,21.17,20.37,20.37,19.0,2016100
2010-01-25,20.48,20.7,20.4,20.52,19.14,796300
2010-01-26,20.49,20.77,20.22,20.57,19.19,879200
2010-01-27,20.49,20.6,20.2,20.39,19.02,1135200
2010-01-28,20.42,20.55,20.06,20.07,18.72,1114100
2010-01-29,20.14,20.49,20.03,20.14,18.79,1939600
2010-02-01,20.3,20.35,19.98,20.19,18.83,1740800
2010-02-02,20.23,20.89,20.13,20.82,19.42,1358000
2010-02-03,20.84,21.18,20.64,20.68,19.29,1190200
2010-02-04,20.45,20.49,19.73,19.82,18.49,1678300
2010-02-05,21.5,22.06,20.12,20.52,19.14,6012000
2010-02-08,20.46,21.29,20.43,20.95,19.54,2804000
2010-02-09,21.19,21.19,20.82,20.89,19.48,2224300
2010-02-10,20.9,21.0,20.6,20.7,19.31,1458100
2010-02-11,20.67,20.91,20.53,20.87,19.47,1542700
2010-02-12,20.71,21.02,20.5,21.0,19.59,1706800
2010-02-16,21.1,21.6,20.9,21.59,20.14,1879200
2010-02-17,21.73,21.78,21.55,21.59,20.14,1321900
2010-02-18,21.6,21.98,21.59,21.92,20.45,1537800
2010-02-19,21.87,22.06,21.66,21.79,20.32,985600
2010-02-22,21.85,22.73,21.78,22.38,20.87,4185600
2010-02-23,22.38,22.5,22.15,22.32,20.82,1983700
2010-02-24,22.48,22.5,22.23,22.35,20.85,1331500
2010-02-25,22.1,22.43,21.9,22.41,20.9,1302800
2010-02-26,22.49,22.49,22.03,22.21,20.72,945300
2010-03-01,22.38,23.54,22.26,23.26,21.7,3154400
2010-03-02,23.24,23.69,23.24,23.43,21.85,1398800
2010-03-03,23.44,23.54,23.2,23.34,21.77,866800
2010-03-04,23.33,23.45,22.95,23.12,21.56,775700
2010-03-05,23.19,23.79,23.16,23.79,22.19,1550400
2010-03-08,23.68,23.82,23.48,23.68,22.09,1490800
2010-03-09,23.52,23.71,23.44,23.52,21.94,1059700
