Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.0,20.0,19.75,19.94,8.93,25900
2000-01-03,19.94,19.94,19.75,19.81,8.87,36200
2000-01-04,19.94,19.94,19.0,19.5,8.73,148500
2000-01-05,19.0,19.25,18.81,19.25,8.62,178700
2000-01-06,19.38,19.81,19.38,19.62,8.79,452800
2000-01-07,19.75,20.0,19.75,20.0,8.96,290700
2000-01-10,20.0,20.19,19.94,20.12,9.01,158200
2000-01-11,20.12,20.31,20.0,20.19,9.04,146000
2000-01-12,20.25,20.25,20.0,20.0,8.96,120000
2000-01-13,20.0,20.19,19.94,19.94,8.93,85400
2000-01-14,20.0,20.0,19.75,19.75,8.84,80500
2000-01-18,19.88,20.69,19.75,20.06,8.98,548000
2000-01-19,20.12,20.31,20.06,20.19,9.04,77100
2000-01-20,20.25,20.31,20.12,20.31,9.1,271000
2000-01-21,20.38,20.5,20.31,20.44,9.15,95000
2000-01-24,20.5,20.5,20.38,20.38,9.12,34600
2000-01-25,20.38,20.56,20.38,20.44,9.15,100400
2000-01-26,20.5,20.56,20.44,20.5,9.18,151100
2000-01-27,20.5,20.62,20.5,20.56,9.21,59100
2000-01-28,20.62,20.62,20.44,20.5,9.18,118700
2000-01-31,20.5,20.5,20.44,20.44,9.15,94800
2000-02-01,20.5,20.62,20.44,20.56,9.21,366600
2000-02-02,20.62,20.62,20.5,20.5,9.18,238200
2000-02-03,20.56,20.62,20.5,20.56,9.21,380400
2000-02-04,20.56,20.56,20.44,20.5,9.18,101300
2000-02-07,20.38,20.62,20.38,20.56,9.21,230300
2000-02-08,20.5,20.56,20.38,20.44,9.15,88000
2000-02-09,20.38,20.69,20.25,20.44,9.15,143500
2000-02-10,20.44,20.56,20.38,20.44,9.15,93300
2000-02-11,20.5,20.69,20.06,20.06,8.98,43200
2000-02-14,20.06,20.38,20.0,20.31,9.1,153200
2000-02-15,20.56,20.62,20.38,20.62,9.24,144800
2000-02-16,20.62,20.69,20.5,20.62,9.24,117900
2000-02-17,20.5,20.56,20.44,20.56,9.21,102100
2000-02-18,20.56,20.56,20.31,20.5,9.18,79300
2000-02-22,20.25,20.56,20.25,20.56,9.21,195500
2000-02-23,20.62,20.62,20.44,20.5,9.18,103200
2000-02-24,20.5,20.5,20.19,20.44,9.15,235900
2000-02-25,20.25,20.25,20.12,20.25,9.07,43400
2000-02-28,20.12,20.25,20.0,20.12,9.01,135400
2000-02-29,20.19,20.25,20.0,20.19,9.04,172000
2000-03-01,20.25,20.25,20.06,20.19,9.04,169500
2000-03-02,20.25,20.25,20.06,20.12,9.01,73300
2000-03-03,20.19,20.19,20.06,20.06,8.98,103400
2000-03-06,20.0,20.19,19.94,20.19,9.04,106600
2000-03-07,20.06,20.19,20.06,20.19,9.04,170700
2000-03-08,20.12,20.31,20.12,20.25,9.07,263200
2000-03-09,20.38,20.38,20.06,20.19,9.04,184000
2000-03-10,20.25,20.25,20.0,20.19,9.04,201000
2000-03-13,20.12,20.25,20.06,20.19,9.04,681900
2000-03-14,20.25,20.38,20.19,20.38,9.12,156800
2000-03-15,20.44,20.75,20.38,20.75,9.29,372100
2000-03-16,20.75,20.94,20.75,20.94,9.38,337100
2000-03-17,20.94,21.06,20.88,20.94,9.38,333000
2000-03-20,21.0,21.12,20.94,21.0,9.4,73400
2000-03-21,20.88,21.06,20.88,21.0,9.4,119400
2000-03-22,21.06,21.38,21.0,21.38,9.57,215100
2000-03-23,21.31,21.5,21.31,21.5,9.63,512700
2000-03-24,21.5,21.5,21.31,21.38,9.57,58700
2000-03-27,21.38,21.44,21.19,21.31,9.54,66100
2000-03-28,21.31,21.44,21.0,21.12,9.46,30100
2000-03-29,21.12,21.25,21.0,21.19,9.49,42800
2000-03-30,21.25,21.25,21.12,21.19,9.49,50400
2000-03-31,21.06,21.5,21.0,21.5,9.63,232900
2000-04-03,21.12,21.25,21.0,21.25,9.68,135700
2000-04-04,21.44,21.44,21.25,21.44,9.77,188500
2000-04-05,21.38,21.5,21.38,21.38,9.74,145000
2000-04-06,21.38,21.44,21.19,21.31,9.71,148500
2000-04-07,21.31,21.38,21.25,21.31,9.71,214300
2000-04-10,21.31,21.38,21.25,21.38,9.74,270000
2000-04-11,21.38,21.62,21.19,21.5,9.8,370300
2000-04-12,21.5,21.75,21.38,21.62,9.85,192300
2000-04-13,21.69,21.75,21.5,21.75,9.91,357300
2000-04-14,21.56,21.62,21.31,21.62,9.85,123100
2000-04-17,21.56,21.62,21.5,21.56,9.83,139000
2000-04-18,21.62,21.75,21.56,21.75,9.91,238500
2000-04-19,21.75,22.0,21.75,22.0,10.02,253500
2000-04-20,21.75,21.94,21.75,21.88,9.97,177400
2000-04-24,21.94,22.0,21.81,22.0,10.02,123200
2000-04-25,21.94,22.0,21.88,22.0,10.02,116300
2000-04-26,22.0,22.06,21.94,22.06,10.05,270900
2000-04-27,22.06,22.12,21.62,22.0,10.02,172400
2000-04-28,22.0,22.12,21.94,22.06,10.05,230300
2000-05-01,22.06,22.62,22.06,22.56,10.28,300700
2000-05-02,22.62,23.12,22.56,22.88,10.42,659500
2000-05-03,22.88,23.0,22.81,22.88,10.42,162600
2000-05-04,22.88,23.06,22.75,22.81,10.4,407500
2000-05-05,23.0,23.06,22.81,22.88,10.42,79400
2000-05-08,22.88,22.88,22.69,22.75,10.37,39300
2000-05-09,22.75,23.0,22.75,23.0,10.48,337300
2000-05-10,23.0,23.0,22.81,22.81,10.4,153200
2000-05-11,22.94,22.94,22.69,22.75,10.37,199700
2000-05-12,22.75,22.94,22.5,22.88,10.42,209600
2000-05-15,22.94,23.0,22.81,22.94,10.45,220800
2000-05-16,22.94,23.0,22.88,22.94,10.45,60900
2000-05-17,22.88,22.88,22.62,22.69,10.34,62000
2000-05-18,22.62,22.69,22.5,22.5,10.25,58400
2000-05-19,22.5,22.5,22.0,22.25,10.14,485500
2000-05-22,22.31,22.44,22.0,22.25,10.14,271400
2000-05-23,22.25,22.56,22.0,22.5,10.25,308700
2000-05-24,22.38,22.56,22.38,22.44,10.22,245400
2000-05-25,22.31,22.5,22.19,22.44,10.22,39100
2000-05-26,22.5,22.56,22.44,22.56,10.28,16300
2000-05-30,22.56,22.56,22.44,22.5,10.25,46300
2000-05-31,22.5,22.56,22.44,22.5,10.25,43800
2000-06-01,22.56,22.56,22.38,22.44,10.22,83400
2000-06-02,22.44,22.5,22.38,22.44,10.22,78200
2000-06-05,22.56,22.56,22.38,22.44,10.22,81100
2000-06-06,22.44,22.56,22.44,22.56,10.28,142600
2000-06-07,22.62,22.88,22.62,22.69,10.34,127600
2000-06-08,22.75,22.88,22.75,22.88,10.42,124100
2000-06-09,22.81,22.88,22.81,22.81,10.4,107900
2000-06-12,22.88,22.94,22.75,22.88,10.42,159700
