Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.34,12.97,12.34,12.93,8.72,361200
2000-01-03,12.93,12.93,11.67,12.15,8.19,546400
2000-01-04,12.21,12.21,11.71,11.96,8.07,260800
2000-01-05,11.96,12.26,11.79,12.15,8.19,318300
2000-01-06,12.07,12.13,11.86,12.09,8.15,762000
2000-01-07,12.17,12.68,12.07,12.57,8.48,505900
2000-01-10,12.8,12.8,12.17,12.21,8.24,442800
2000-01-11,12.28,12.34,12.07,12.09,8.15,355200
2000-01-12,12.15,12.38,11.98,12.09,8.15,279000
2000-01-13,12.09,12.15,11.94,12.05,8.12,405900
2000-01-14,12.09,12.15,11.75,11.9,8.02,492200
2000-01-18,11.86,11.92,11.63,11.71,7.9,367700
2000-01-19,11.73,11.84,11.65,11.71,7.9,241800
2000-01-20,11.71,11.84,11.4,11.5,7.75,282600
2000-01-21,11.67,11.71,11.44,11.61,7.83,272700
2000-01-24,11.52,11.58,10.93,11.08,7.47,709900
2000-01-25,11.25,11.25,10.49,10.72,7.23,1067300
2000-01-26,10.79,10.91,10.6,10.68,7.24,430900
2000-01-27,10.77,11.29,10.7,11.04,7.48,984800
2000-01-28,11.04,11.12,10.79,11.0,7.45,387100
2000-01-31,11.08,11.5,10.83,11.25,7.62,978500
2000-02-01,11.33,11.5,11.17,11.31,7.67,510100
2000-02-02,11.5,11.92,11.5,11.52,7.81,1090200
2000-02-03,11.46,11.71,11.35,11.56,7.84,877300
2000-02-04,11.54,11.71,11.54,11.61,7.86,403800
2000-02-07,11.79,12.55,11.67,12.32,8.35,1153600
2000-02-08,12.4,12.76,11.96,12.09,8.19,784400
2000-02-09,12.09,12.21,11.84,12.11,8.21,589600
2000-02-10,12.07,12.09,11.86,12.05,8.16,617600
2000-02-11,12.17,12.17,11.54,11.54,7.82,229600
2000-02-14,11.67,12.07,11.63,12.05,8.16,560400
2000-02-15,11.96,12.17,11.73,11.96,8.11,885900
2000-02-16,11.98,12.32,11.98,12.13,8.22,578300
2000-02-17,12.17,12.24,11.92,11.92,8.08,356700
2000-02-18,11.88,12.17,11.86,12.07,8.18,414800
2000-02-22,12.57,12.63,12.19,12.3,8.33,581600
2000-02-23,12.26,12.34,12.0,12.34,8.36,387400
2000-02-24,12.28,12.28,11.44,11.63,7.88,645600
2000-02-25,11.63,11.73,11.38,11.56,7.84,385300
2000-02-28,11.52,11.56,11.33,11.48,7.78,430900
2000-02-29,11.67,12.0,11.44,11.54,7.82,749500
2000-03-01,11.65,12.05,11.63,12.0,8.13,526500
2000-03-02,12.0,12.0,11.73,11.79,7.99,492800
2000-03-03,11.82,12.28,11.77,12.17,8.25,316500
2000-03-06,12.09,12.11,11.75,12.11,8.21,530600
2000-03-07,12.09,12.42,12.0,12.42,8.42,330500
2000-03-08,12.26,12.26,12.0,12.17,8.25,475800
2000-03-09,12.09,12.68,11.92,12.47,8.45,463000
2000-03-10,12.63,12.7,12.3,12.49,8.46,287600
2000-03-13,12.55,12.55,12.0,12.09,8.19,490400
2000-03-14,12.11,12.34,11.58,11.75,7.96,636900
2000-03-15,11.67,12.26,11.63,12.26,8.31,747700
2000-03-16,12.51,13.39,12.47,13.24,8.97,1003800
2000-03-17,12.76,13.1,12.72,12.74,8.63,457700
2000-03-20,12.55,12.7,12.42,12.47,8.45,447800
2000-03-21,12.49,12.66,12.34,12.38,8.39,597900
2000-03-22,12.42,12.76,12.4,12.59,8.53,482100
2000-03-23,12.42,12.59,12.3,12.53,8.49,295100
2000-03-24,12.36,12.55,12.3,12.53,8.49,918700
2000-03-27,12.59,12.59,11.98,12.34,8.36,306100
2000-03-28,12.26,12.28,11.96,11.96,8.11,564300
2000-03-29,11.98,12.19,11.75,11.86,8.04,504400
2000-03-30,11.82,12.38,11.82,12.36,8.38,1261100
2000-03-31,12.42,12.66,12.36,12.45,8.43,745000
2000-04-03,12.36,13.26,12.28,13.26,8.99,871900
2000-04-04,13.26,13.75,12.93,13.2,8.95,1176900
2000-04-05,13.22,13.43,12.84,12.84,8.7,399900
2000-04-06,12.93,13.05,12.61,12.68,8.59,848400
2000-04-07,12.61,13.18,12.51,12.95,8.77,813200
2000-04-10,12.99,13.22,12.93,12.99,8.8,413600
2000-04-11,13.16,13.56,13.01,13.33,9.03,575600
2000-04-12,13.33,13.43,12.93,13.03,8.83,316200
2000-04-13,13.14,13.43,12.8,12.89,8.73,372500
2000-04-14,12.84,12.93,11.92,12.07,8.18,441300
2000-04-17,12.15,12.76,12.07,12.72,8.62,575300
2000-04-18,12.72,13.33,12.55,12.97,8.79,795400
2000-04-19,12.91,13.08,12.57,12.76,8.65,411800
2000-04-20,12.82,12.82,12.47,12.78,8.66,599100
2000-04-24,12.8,12.93,12.51,12.53,8.49,630700
2000-04-25,12.72,12.97,12.61,12.89,8.73,670300
2000-04-26,12.84,13.26,12.72,12.72,8.65,416300
2000-04-27,12.68,13.1,12.51,12.78,8.7,389800
2000-04-28,12.74,12.99,12.74,12.84,8.74,258700
2000-05-01,13.05,13.47,12.93,13.14,8.94,1086300
2000-05-02,13.14,13.73,13.01,13.52,9.2,533000
2000-05-03,13.39,13.66,13.14,13.18,8.97,469900
2000-05-04,13.26,13.35,13.18,13.35,9.08,849000
2000-05-05,13.35,13.49,13.28,13.39,9.11,325400
2000-05-08,13.43,13.52,13.28,13.47,9.17,466300
2000-05-09,13.52,13.58,13.35,13.39,9.11,637500
2000-05-10,13.41,13.77,13.37,13.52,9.2,568500
2000-05-11,13.77,14.4,13.77,14.36,9.77,1138700
2000-05-12,14.38,14.67,14.29,14.65,9.97,605100
