Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.86,8.25,7.75,8.0,7.12,2856000
2000-01-03,8.5,8.5,8.06,8.12,7.24,442500
2000-01-04,8.09,8.19,7.7,8.06,7.18,2393500
2000-01-05,8.09,8.12,8.0,8.06,7.18,319600
2000-01-06,8.06,8.12,8.0,8.12,7.24,1003300
2000-01-07,8.06,8.44,8.06,8.34,7.43,192200
2000-01-10,8.5,8.56,8.12,8.5,7.57,1484800
2000-01-11,8.38,8.56,8.25,8.25,7.35,216500
2000-01-12,8.38,8.5,8.25,8.48,7.56,57000
2000-01-13,8.5,8.69,8.38,8.56,7.62,200400
2000-01-14,8.5,8.62,8.12,8.19,7.29,274800
2000-01-18,8.34,8.56,8.12,8.12,7.24,206900
2000-01-19,8.12,8.5,8.12,8.44,7.51,174800
2000-01-20,8.38,8.62,8.31,8.56,7.62,3940800
2000-01-21,8.66,8.75,8.5,8.62,7.68,311800
2000-01-24,8.62,8.69,8.31,8.38,7.46,386600
2000-01-25,8.5,8.5,8.31,8.47,7.54,232200
2000-01-26,8.5,8.75,8.38,8.62,7.68,168200
2000-01-27,8.72,9.12,8.69,8.88,7.9,256500
2000-01-28,8.81,8.94,8.5,8.56,7.62,239700
2000-01-31,8.81,8.88,8.56,8.59,7.65,170600
2000-02-01,8.69,8.75,8.5,8.69,7.74,141900
2000-02-02,8.88,9.06,8.5,9.03,8.04,223100
2000-02-03,9.03,9.12,8.62,8.75,7.79,125100
2000-02-04,8.94,9.06,8.5,8.66,7.71,119300
2000-02-07,8.84,9.12,8.81,9.06,8.07,140000
2000-02-08,8.94,9.06,8.75,9.03,8.04,179100
2000-02-09,9.0,9.44,8.88,8.88,7.9,356200
2000-02-10,8.88,8.94,8.88,8.88,7.9,152400
2000-02-11,9.0,9.0,8.44,8.44,7.51,1448800
2000-02-14,8.5,8.5,7.56,7.88,7.01,360700
2000-02-15,7.94,8.62,7.88,8.38,7.46,308800
2000-02-16,8.25,8.5,8.25,8.47,7.54,939400
2000-02-17,8.38,8.44,8.12,8.12,7.24,358600
2000-02-18,8.12,8.44,8.12,8.19,7.29,329800
2000-02-22,8.06,8.25,7.94,8.12,7.24,398900
2000-02-23,8.0,8.0,7.5,7.56,6.73,280000
2000-02-24,7.59,7.62,7.5,7.59,6.76,222800
2000-02-25,7.59,7.75,7.5,7.56,6.73,278000
2000-02-28,7.56,7.59,7.41,7.45,6.64,188800
2000-02-29,7.44,7.5,7.28,7.34,6.54,353800
2000-03-01,7.34,7.5,7.34,7.47,6.65,304300
