Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.56,9.0,8.56,8.94,8.57,201200
2000-01-03,8.56,8.62,8.25,8.44,8.09,149600
2000-01-04,8.38,8.56,8.12,8.56,8.21,140100
2000-01-05,8.62,8.75,8.12,8.31,7.97,199900
2000-01-06,8.31,8.75,8.31,8.5,8.15,216200
2000-01-07,8.56,8.81,8.5,8.75,8.39,164900
2000-01-10,8.62,8.62,8.38,8.5,8.15,107300
2000-01-11,8.38,8.69,8.31,8.62,8.27,80900
2000-01-12,8.62,8.69,8.19,8.19,7.85,186600
2000-01-13,8.44,8.44,8.31,8.44,8.09,153100
2000-01-14,8.38,8.81,8.31,8.69,8.33,391900
2000-01-18,8.94,9.31,8.69,9.31,8.93,449100
2000-01-19,9.38,9.62,8.75,9.12,8.75,490600
2000-01-20,9.0,9.0,8.69,9.0,8.63,279300
2000-01-21,9.0,9.44,9.0,9.44,9.05,449000
2000-01-24,9.44,10.19,9.44,9.5,9.11,390900
2000-01-25,9.62,9.88,9.38,9.75,9.35,208800
2000-01-26,10.12,10.19,9.81,9.81,9.41,331700
2000-01-27,9.81,9.88,8.81,8.81,8.45,215000
2000-01-28,8.88,9.12,8.62,8.62,8.27,190000
2000-01-31,8.62,8.81,8.56,8.56,8.21,164200
2000-02-01,8.62,8.94,8.44,8.94,8.57,134100
2000-02-02,9.0,9.5,9.0,9.31,8.93,232100
2000-02-03,9.44,9.44,8.75,9.0,8.63,137100
2000-02-04,9.12,9.25,8.56,8.88,8.51,99400
2000-02-07,8.94,8.94,8.31,8.69,8.33,133900
2000-02-08,8.69,8.69,8.31,8.38,8.03,189200
2000-02-09,8.38,8.38,8.12,8.12,7.79,108500
2000-02-10,8.06,8.38,7.94,8.31,7.97,155800
2000-02-11,8.31,8.31,8.0,8.12,7.79,154300
2000-02-14,8.0,8.06,7.75,7.88,7.55,206900
2000-02-15,8.0,8.12,7.75,8.06,7.73,665400
2000-02-16,8.0,8.0,7.69,7.75,7.43,617200
2000-02-17,7.81,7.94,7.5,7.69,7.37,211200
2000-02-18,7.75,7.81,6.75,6.88,6.59,630400
2000-02-22,7.12,7.69,7.06,7.44,7.13,411400
2000-02-23,7.62,7.88,7.25,7.69,7.37,468400
2000-02-24,7.56,7.75,7.44,7.75,7.43,273800
2000-02-25,7.69,7.94,7.38,7.44,7.13,210700
2000-02-28,7.25,7.75,7.19,7.69,7.37,146600
2000-02-29,7.62,8.38,7.5,8.31,7.97,363300
2000-03-01,8.19,9.0,7.88,8.44,8.09,387800
2000-03-02,8.31,8.81,8.25,8.75,8.39,385300
2000-03-03,8.69,8.75,8.19,8.19,7.85,217400
2000-03-06,8.31,8.5,8.19,8.38,8.03,200300
2000-03-07,8.31,9.56,8.31,9.06,8.69,551500
2000-03-08,9.0,9.12,8.69,9.12,8.75,383800
2000-03-09,9.12,9.5,8.88,9.44,9.05,337800
2000-03-10,9.44,9.69,8.94,8.94,8.57,184000
2000-03-13,9.19,9.19,8.44,8.44,8.09,111500
2000-03-14,8.56,9.12,8.56,8.75,8.39,205100
2000-03-15,8.75,8.94,8.31,8.56,8.21,296100
2000-03-16,8.75,9.25,8.56,9.25,8.87,218400
2000-03-17,8.62,9.25,8.62,9.0,8.63,384900
2000-03-20,9.12,9.12,8.56,8.81,8.45,190400
2000-03-21,8.81,9.12,8.69,9.0,8.63,232400
2000-03-22,9.0,9.25,9.0,9.25,8.87,230500
2000-03-23,9.25,9.44,9.0,9.12,8.75,124100
2000-03-24,9.06,9.69,9.06,9.38,8.99,174500
2000-03-27,9.25,9.38,9.06,9.25,8.87,80900
2000-03-28,9.25,9.38,8.88,9.0,8.63,196300
2000-03-29,9.06,9.31,9.0,9.19,8.81,175400
2000-03-30,9.31,10.31,9.31,10.0,9.59,362000
