Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,47.5,49.62,47.38,49.31,35.21,122300.0
2000-01-03,49.06,49.19,45.38,46.38,33.11,592200.0
2000-01-04,46.38,46.38,44.81,44.81,32.0,330200.0
2000-01-05,45.06,47.62,44.5,47.56,33.96,525300.0
2000-01-06,47.31,49.12,46.94,48.5,34.63,511100.0
2000-01-07,48.25,49.5,48.0,49.25,35.16,421900.0
2000-01-10,49.5,52.44,49.25,51.94,37.08,528500.0
2000-01-11,54.5,54.5,51.31,52.12,37.22,516000.0
2000-01-12,52.25,52.88,51.88,52.31,37.35,265900.0
2000-01-13,52.56,53.69,51.75,53.62,38.29,208400.0
2000-01-14,53.88,56.38,53.25,55.69,39.76,876500.0
2000-01-18,55.0,55.44,54.75,55.19,39.4,579200.0
2000-01-19,54.5,55.75,54.5,55.44,39.58,281100.0
2000-01-20,55.38,55.88,54.56,54.75,39.09,268300.0
2000-01-21,55.0,55.12,53.12,53.75,38.38,528300.0
2000-01-24,54.12,54.12,51.38,52.25,37.31,571900.0
2000-01-25,51.5,53.31,50.75,52.44,37.44,1942200.0
2000-01-26,52.69,55.19,52.25,55.0,39.27,1744500.0
2000-01-27,55.0,55.0,53.69,53.75,38.38,772500.0
2000-01-28,54.0,54.0,50.75,51.38,36.68,930400.0
2000-01-31,50.94,50.94,46.0,49.44,35.3,1349300.0
2000-02-01,49.5,49.5,47.0,47.38,33.83,829200.0
2000-02-02,47.5,48.44,46.75,46.94,33.51,656100.0
2000-02-03,47.19,48.5,47.19,48.19,34.41,379200.0
2000-02-04,48.25,48.62,47.38,47.69,34.05,167900.0
2000-02-07,47.69,47.69,44.38,44.69,31.91,553200.0
2000-02-08,45.19,45.62,43.75,45.0,32.13,949300.0
2000-02-09,45.12,45.94,44.88,45.0,32.13,479800.0
2000-02-10,45.12,45.56,44.5,45.0,32.13,262000.0
2000-02-11,45.12,45.12,41.5,41.75,29.81,680500.0
2000-02-14,41.88,41.88,35.56,36.5,26.06,2773600.0
2000-02-15,37.0,37.75,35.62,37.44,26.73,3512600.0
2000-02-16,37.75,39.0,36.88,37.25,26.6,1290000.0
2000-02-17,37.62,39.12,37.5,37.69,26.91,808600.0
2000-02-18,37.94,37.94,36.31,36.5,26.06,407000.0
2000-02-22,37.0,37.62,36.56,37.06,26.46,350600.0
2000-02-23,37.12,37.38,36.56,36.69,26.19,267000.0
2000-02-24,36.25,36.25,34.06,34.5,24.63,303400.0
2000-02-25,34.94,35.31,33.19,33.94,24.23,683200.0
2000-02-28,34.0,34.38,33.12,33.94,24.31,1376400.0
2000-02-29,35.38,36.62,34.69,35.38,25.34,2141500.0
2000-03-01,34.75,34.75,28.62,29.38,21.04,4187500.0
2000-03-02,28.75,28.94,26.12,28.38,20.33,3086100.0
2000-03-03,28.88,29.88,27.69,29.0,20.77,3509500.0
2000-03-06,29.25,29.88,28.62,29.0,20.77,1504300.0
2000-03-07,28.75,28.88,27.5,27.75,19.88,690200.0
2000-03-08,27.5,27.5,26.5,26.8,19.19,812500.0
2000-03-09,27.5,27.94,27.0,27.5,19.7,686500.0
2000-03-10,27.75,27.75,26.69,26.88,19.25,251700.0
2000-03-13,26.62,26.75,26.06,26.12,18.71,398300.0
2000-03-14,26.75,26.88,25.75,26.0,18.62,742800.0
2000-03-15,26.0,27.0,25.31,27.0,19.34,2120300.0
2000-03-16,28.0,33.0,27.94,31.5,22.56,2289300.0
2000-03-17,31.5,31.5,26.0,28.69,20.55,1509700.0
2000-03-20,28.75,30.19,27.88,28.38,20.33,764600.0
2000-03-21,28.69,30.0,28.38,30.0,21.49,555900.0
2000-03-22,29.19,30.19,29.19,29.88,21.4,496500.0
2000-03-23,30.0,30.94,30.0,30.56,21.89,907700.0
2000-03-24,30.75,31.19,30.75,30.75,22.03,754400.0
2000-03-27,31.19,31.19,30.06,30.94,22.16,557000.0
2000-03-28,30.12,31.12,30.12,30.75,22.03,465200.0
2000-03-29,30.62,30.62,29.75,30.0,21.49,322200.0
2000-03-30,30.0,30.19,29.06,29.5,21.13,325200.0
2000-03-31,29.75,29.75,28.0,28.0,20.06,599800.0
2000-04-03,28.19,28.31,26.38,26.5,18.98,691200.0
2000-04-04,27.12,27.38,25.56,26.44,18.94,657800.0
2000-04-05,26.44,26.56,25.56,26.0,18.62,836800.0
2000-04-06,26.5,26.62,25.88,26.06,18.67,801600.0
2000-04-07,26.31,26.56,25.88,26.06,18.67,1130600.0
2000-04-10,26.06,26.38,25.38,25.88,18.53,1019200.0
2000-04-11,26.0,26.0,24.88,25.0,17.91,477000.0
2000-04-12,25.12,25.31,24.56,24.75,17.73,346000.0
2000-04-13,25.0,25.5,24.75,25.06,17.95,495200.0
2000-04-14,23.62,24.31,22.94,23.0,16.48,466700.0
2000-04-17,23.44,24.0,23.0,23.75,17.01,335900.0
2000-04-18,23.5,23.75,22.5,23.75,17.01,1006100.0
2000-04-19,24.5,24.69,23.88,24.5,17.55,302700.0
2000-04-20,24.25,25.19,24.25,24.5,17.55,647900.0
2000-04-24,24.62,24.62,22.5,22.56,16.16,1161800.0
2000-04-25,22.62,22.75,21.31,21.94,15.71,1724600.0
2000-04-26,21.94,22.06,21.12,21.44,15.36,1044300.0
2000-04-27,21.38,21.44,19.81,21.0,15.04,1473100.0
2000-04-28,21.12,21.56,20.75,20.81,14.91,901700.0
2000-05-01,21.5,21.62,20.5,21.0,15.04,1033400.0
2000-05-02,20.88,21.75,20.81,21.44,15.36,999400.0
2000-05-03,22.0,24.0,22.0,22.94,16.43,1667200.0
2000-05-04,23.38,24.44,23.38,23.94,17.15,840500.0
2000-05-05,23.12,23.56,22.44,23.06,16.52,328200.0
2000-05-08,23.06,23.19,22.69,23.0,16.48,275100.0
2000-05-09,23.25,23.69,22.06,22.69,16.25,599800.0
2000-05-10,22.75,22.88,22.19,22.44,16.07,211700.0
2000-05-11,22.69,22.75,22.38,22.5,16.12,271700.0
2000-05-12,22.25,23.19,22.25,23.0,16.48,596600.0
2000-05-15,23.25,23.75,23.0,23.5,16.83,362800.0
2000-05-16,24.25,24.94,23.88,24.38,17.46,457000.0
2000-05-17,24.31,24.31,23.44,23.75,17.01,227700.0
2000-05-18,23.25,25.19,23.25,24.38,17.46,885100.0
2000-05-19,24.25,24.69,23.94,24.0,17.19,597100.0
2000-05-22,24.12,24.12,23.12,23.25,16.65,207000.0
2000-05-23,23.38,23.5,22.81,22.88,16.39,168100.0
2000-05-24,22.88,23.06,22.12,22.88,16.39,679800.0
2000-05-25,22.94,23.25,22.69,22.88,16.39,424200.0
2000-05-26,23.06,23.5,23.0,23.25,16.65,369300.0
2000-05-30,23.88,25.0,23.5,24.75,17.73,1025300.0
2000-05-31,24.38,25.0,24.06,24.62,17.64,492400.0
2000-06-01,24.88,24.88,23.12,23.62,16.92,536400.0
2000-06-02,24.31,24.5,23.62,24.19,17.33,606900.0
2000-06-05,23.62,24.12,23.38,23.5,16.91,272000.0
2000-06-06,23.62,24.12,22.62,22.88,16.46,403700.0
2000-06-07,23.12,23.12,22.25,22.94,16.51,409500.0
2000-06-08,23.38,23.62,22.94,22.94,16.51,245400.0
2000-06-09,23.12,23.12,22.44,22.75,16.37,344000.0
2000-06-12,22.69,22.75,21.81,22.12,15.92,418000.0
2000-06-13,22.38,22.38,20.62,21.0,15.11,1127200.0
2000-06-14,21.38,21.69,20.5,21.0,15.11,803000.0
2000-06-15,21.31,21.56,21.06,21.38,15.38,392000.0
2000-06-16,21.44,21.62,20.94,21.06,15.16,425400.0
2000-06-19,20.81,21.19,20.62,21.06,15.16,517600.0
2000-06-20,19.75,20.69,18.44,18.56,13.36,2218500.0
2000-06-21,18.25,19.06,16.12,17.94,12.91,3186600.0
2000-06-22,18.38,18.38,17.56,17.69,12.73,1551600.0
2000-06-23,17.69,18.0,17.12,17.25,12.41,933900.0
2000-06-26,17.31,17.88,17.25,17.62,12.68,798000.0
2000-06-27,18.25,18.88,18.06,18.88,13.58,1583100.0
2000-06-28,19.0,19.12,18.5,18.88,13.58,1374700.0
2000-06-29,18.56,19.25,18.56,18.88,13.58,533100.0
2000-06-30,19.0,19.19,18.06,18.5,13.31,1044500.0
2000-07-03,18.62,19.06,18.62,19.06,13.72,160300.0
2000-07-05,19.38,19.81,19.38,19.5,14.03,336300.0
2000-07-06,19.81,20.25,19.5,20.12,14.48,266000.0
2000-07-07,20.38,20.44,20.0,20.25,14.57,435000.0
2000-07-10,20.06,20.12,19.75,19.94,14.35,241400.0
2000-07-11,19.75,19.94,19.5,19.81,14.26,248600.0
2000-07-12,20.0,20.69,19.81,20.5,14.75,558800.0
2000-07-13,20.62,20.75,19.25,19.94,14.35,714900.0
2000-07-14,19.75,20.0,19.5,19.88,14.3,364000.0
2000-07-17,19.75,19.75,19.19,19.31,13.9,187600.0
2000-07-18,19.19,19.44,19.12,19.25,13.85,252300.0
2000-07-19,19.19,19.19,18.81,19.12,13.76,235900.0
2000-07-20,19.19,19.25,18.56,19.25,13.85,213100.0
2000-07-21,19.12,19.5,19.0,19.44,13.99,404000.0
2000-07-24,19.5,19.69,19.06,19.12,13.76,429900.0
2000-07-25,19.75,20.0,19.56,19.94,14.35,630200.0
2000-07-26,19.94,20.31,19.62,20.06,14.44,744000.0
2000-07-27,19.94,20.12,19.62,20.12,14.48,151500.0
2000-07-28,20.0,20.0,19.62,19.62,14.12,891600.0
2000-07-31,19.81,20.0,19.69,19.88,14.3,299100.0
2000-08-01,19.81,20.06,19.75,20.0,14.39,255600.0
2000-08-02,19.75,20.0,19.5,19.62,14.12,172700.0
2000-08-03,19.31,19.62,19.19,19.56,14.08,170700.0
2000-08-04,19.69,20.25,19.56,20.25,14.57,378000.0
2000-08-07,20.25,20.38,19.94,20.06,14.44,598000.0
2000-08-08,20.19,21.25,20.12,21.19,15.25,579500.0
2000-08-09,21.94,22.44,21.75,22.38,16.1,780900.0
2000-08-10,22.81,24.12,22.81,24.0,17.27,960800.0
2000-08-11,24.25,25.25,24.25,25.06,18.03,762000.0
2000-08-14,25.31,25.94,24.62,25.56,18.39,897300.0
2000-08-15,25.5,25.5,24.75,25.25,18.17,472900.0
2000-08-16,25.25,25.38,24.5,24.81,17.85,350400.0
2000-08-17,24.81,24.81,24.31,24.31,17.49,454600.0
2000-08-18,24.62,24.81,24.19,24.56,17.67,519100.0
2000-08-21,24.12,25.31,23.62,25.19,18.12,460700.0
2000-08-22,25.06,25.5,24.88,25.19,18.12,322800.0
2000-08-23,25.19,25.19,24.62,24.88,17.9,225200.0
2000-08-24,24.75,24.88,23.81,24.0,17.27,450700.0
2000-08-25,24.0,24.0,23.06,23.31,16.78,649900.0
2000-08-28,23.31,23.44,23.0,23.44,16.87,279900.0
2000-08-29,23.25,23.31,23.0,23.31,16.78,193200.0
2000-08-30,22.94,23.0,22.0,22.19,15.97,887200.0
2000-08-31,21.94,22.88,21.62,22.88,16.46,670700.0
2000-09-01,22.81,23.06,22.81,22.94,16.51,181700.0
2000-09-05,22.56,22.94,22.12,22.75,16.37,296300.0
2000-09-06,22.69,23.88,22.69,23.44,16.87,276000.0
2000-09-07,23.44,23.44,22.31,22.56,16.24,202300.0
2000-09-08,22.81,22.81,22.31,22.69,16.33,164200.0
2000-09-11,22.44,23.19,22.25,22.62,16.28,244300.0
2000-09-12,22.62,22.75,22.5,22.56,16.24,93200.0
2000-09-13,22.44,22.62,22.31,22.5,16.19,85500.0
2000-09-14,22.38,23.25,22.38,22.75,16.47,296800.0
2000-09-15,23.0,24.94,22.88,24.5,17.73,1380000.0
2000-09-18,24.0,24.25,23.19,23.94,17.33,830300.0
2000-09-19,23.88,23.88,22.75,23.0,16.65,462100.0
2000-09-20,22.94,22.94,22.38,22.75,16.47,278100.0
2000-09-21,22.75,25.5,22.75,25.19,18.23,1492100.0
2000-09-22,24.5,25.75,24.12,25.0,18.09,809300.0
2000-09-25,25.25,25.47,24.3,24.4,17.66,353500.0
2000-09-26,24.4,24.63,24.1,24.12,17.46,186400.0
2000-09-27,24.13,24.49,24.02,24.15,17.48,228200.0
2000-09-28,24.05,25.65,24.0,25.16,18.21,438400.0
2000-09-29,24.95,25.75,24.81,25.74,18.63,388600.0
2000-10-02,25.73,25.73,25.1,25.24,18.27,130600.0
2000-10-03,25.1,25.75,24.95,25.74,18.63,223800.0
2000-10-04,25.54,25.6,25.18,25.5,18.46,259700.0
2000-10-05,25.5,26.3,25.48,25.75,18.64,277900.0
2000-10-06,26.15,26.89,26.0,26.27,19.01,283900.0
2000-10-09,26.11,26.13,25.51,26.06,18.86,212700.0
2000-10-10,26.06,26.06,25.06,25.31,18.32,318400.0
2000-10-11,24.85,24.85,23.94,24.79,17.94,608000.0
2000-10-12,24.25,24.26,22.3,23.35,16.9,985500.0
2000-10-13,23.1,23.76,22.87,23.51,17.02,386500.0
2000-10-16,21.75,22.42,21.4,22.07,15.97,932700.0
2000-10-17,22.6,22.75,20.55,21.35,15.45,1407300.0
2000-10-18,21.5,21.95,20.75,21.9,15.85,911600.0
2000-10-19,22.5,22.98,21.92,22.0,15.92,907800.0
2000-10-20,22.01,22.01,21.05,21.15,15.31,713900.0
2000-10-23,21.3,21.38,21.0,21.15,15.31,446500.0
2000-10-24,21.2,21.75,20.9,21.0,15.2,1436800.0
2000-10-25,20.9,20.96,20.45,20.46,14.81,438000.0
2000-10-26,20.46,20.7,19.82,20.26,14.66,810000.0
2000-10-27,20.35,20.55,20.0,20.05,14.51,740700.0
2000-10-30,20.2,20.65,20.18,20.6,14.91,531600.0
2000-10-31,21.25,22.5,21.21,22.5,16.28,1487100.0
2000-11-01,22.2,22.2,21.31,21.48,15.55,476300.0
2000-11-02,21.7,22.3,21.62,22.2,16.07,297800.0
2000-11-03,22.25,22.4,21.85,22.0,15.92,462500.0
2000-11-06,22.05,22.2,21.9,21.99,15.92,389600.0
2000-11-07,22.0,22.25,22.0,22.2,16.07,195600.0
2000-11-08,22.2,22.5,22.05,22.06,15.97,384200.0
2000-11-09,22.06,22.06,20.9,21.51,15.57,894900.0
2000-11-10,21.3,21.3,20.31,20.49,14.83,781100.0
