Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.0,20.0,19.88,20.0,7.87,9400
2000-01-03,19.88,19.94,19.69,19.94,7.84,28300
2000-01-04,19.88,20.0,19.69,20.0,7.87,34700
2000-01-05,20.0,20.0,19.75,19.88,7.82,229100
2000-01-06,19.81,20.0,19.75,20.0,7.87,32000
2000-01-07,20.0,20.69,19.94,20.69,8.14,67600
2000-01-10,20.75,20.94,20.5,20.75,8.16,194800
2000-01-11,20.69,20.75,20.5,20.75,8.16,38700
2000-01-12,20.75,20.88,20.44,20.5,8.06,79100
2000-01-13,20.44,20.5,20.25,20.31,7.99,138200
2000-01-14,20.44,20.5,20.06,20.19,7.94,59500
2000-01-18,20.25,20.38,19.31,20.25,7.96,65400
2000-01-19,20.12,20.5,20.06,20.5,8.06,57000
2000-01-20,20.56,20.62,20.44,20.5,8.06,23100
2000-01-21,20.31,20.5,20.25,20.31,7.99,27600
2000-01-24,20.38,20.38,19.88,19.88,7.82,34100
2000-01-25,19.88,20.06,19.88,19.88,7.82,19400
2000-01-26,19.88,20.12,19.88,20.06,7.89,29100
2000-01-27,20.19,20.19,19.94,19.94,7.84,30200
2000-01-28,19.94,20.0,19.12,19.12,7.52,35300
2000-01-31,19.25,19.69,19.25,19.56,7.69,48100
2000-02-01,19.56,19.62,19.5,19.62,7.72,63600
2000-02-02,19.62,19.81,19.56,19.69,7.74,70900
2000-02-03,19.81,19.88,19.81,19.88,7.82,67500
2000-02-04,19.88,19.94,19.81,19.88,7.82,73600
2000-02-07,18.75,19.88,18.75,19.81,7.79,115100
2000-02-08,19.88,20.06,19.81,20.0,7.87,49900
2000-02-09,19.5,19.56,19.5,19.56,7.88,37000
2000-02-10,19.5,19.5,19.19,19.25,7.76,39400
2000-02-11,19.25,19.62,18.94,19.06,7.68,56200
2000-02-14,19.0,19.0,18.38,18.44,7.43,57000
2000-02-15,18.31,18.75,18.31,18.75,7.56,41100
2000-02-16,18.75,19.12,18.75,19.12,7.71,47000
2000-02-17,19.0,19.0,18.75,18.94,7.63,73300
2000-02-18,18.94,18.94,18.81,18.88,7.61,12500
2000-02-22,19.38,19.38,18.88,18.88,7.61,32900
2000-02-23,18.94,18.94,18.81,18.88,7.61,9100
2000-02-24,18.81,19.06,18.81,19.0,7.66,11700
2000-02-25,18.81,18.94,18.75,18.88,7.61,20000
2000-02-28,18.94,19.25,18.81,19.19,7.73,29800
2000-02-29,19.25,19.25,18.5,18.91,7.62,148100
2000-03-01,18.94,19.0,18.75,18.88,7.61,58100
2000-03-02,18.88,19.12,18.88,19.12,7.71,15300
2000-03-03,19.12,19.25,19.12,19.25,7.76,11600
2000-03-06,19.12,19.19,19.06,19.19,7.73,7300
2000-03-07,19.19,19.19,19.12,19.12,7.71,7500
2000-03-08,19.19,19.44,19.19,19.31,7.78,46800
2000-03-09,19.44,19.75,19.44,19.75,7.96,38000
2000-03-10,19.75,19.75,19.62,19.69,7.93,16300
2000-03-13,19.44,19.56,19.31,19.31,7.78,145900
2000-03-14,19.31,19.31,19.0,19.06,7.68,56500
2000-03-15,19.06,19.06,18.81,19.0,7.66,49200
2000-03-16,18.88,19.69,18.88,19.69,7.93,47600
2000-03-17,19.44,19.5,19.38,19.5,7.86,14600
2000-03-20,19.5,19.5,19.25,19.44,7.83,84600
2000-03-21,19.44,19.94,19.31,19.94,8.03,18900
2000-03-22,20.0,20.25,19.94,20.12,8.11,72900
2000-03-23,20.0,20.12,19.75,19.75,7.96,127100
2000-03-24,19.88,19.88,19.5,19.5,7.86,150400
2000-03-27,19.56,19.69,19.5,19.62,7.91,37100
2000-03-28,19.62,19.62,19.56,19.56,7.88,38100
2000-03-29,19.69,19.69,19.31,19.38,7.81,31100
2000-03-30,19.25,19.44,19.25,19.38,7.81,31900
2000-03-31,19.38,19.94,19.31,19.75,7.96,52500
2000-04-03,19.81,19.81,19.25,19.31,7.78,21200
2000-04-04,19.31,20.06,19.31,20.0,8.06,47900
2000-04-05,19.94,19.94,19.69,19.94,8.03,39000
2000-04-06,19.88,20.25,19.88,20.19,8.13,83700
2000-04-07,20.25,20.38,20.0,20.31,8.19,53100
2000-04-10,20.56,20.56,20.12,20.38,8.21,62000
2000-04-11,20.38,20.88,20.38,20.62,8.31,29000
