Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,14.56,14.62,14.28,14.28,10.97,128400
2000-01-03,14.41,14.41,13.78,13.97,10.73,474400
2000-01-04,14.0,14.0,13.16,13.22,10.15,285400
2000-01-05,13.0,13.0,12.69,12.97,9.96,608200
2000-01-06,12.97,12.97,12.34,12.97,9.96,962400
2000-01-07,13.12,13.22,12.81,13.22,10.15,696200
2000-01-10,13.22,13.59,13.22,13.31,10.22,1859000
2000-01-11,13.19,13.31,12.94,13.16,10.1,1087400
2000-01-12,13.16,13.16,12.84,13.12,10.08,325200
2000-01-13,13.0,13.16,13.0,13.09,10.06,634800
2000-01-14,13.09,13.31,12.75,12.84,9.86,1092400
2000-01-18,12.72,12.78,12.53,12.69,9.74,657400
2000-01-19,12.69,13.06,12.5,12.97,9.96,1380800
2000-01-20,12.94,12.94,12.47,12.75,9.79,842600
2000-01-21,13.0,13.0,12.53,12.78,9.82,768400
2000-01-24,12.69,13.5,12.69,13.44,10.32,1606200
2000-01-25,13.69,14.12,13.06,14.0,10.75,1077600
2000-01-26,18.5,20.06,17.53,19.03,14.61,6552000
2000-01-27,19.0,20.62,18.94,20.28,15.57,3556400
2000-01-28,20.12,20.19,19.72,20.0,15.36,1904400
2000-01-31,19.78,20.19,19.31,19.31,14.83,1696800
2000-02-01,19.38,20.0,19.0,20.0,15.36,2197000
2000-02-02,19.97,19.97,19.53,19.62,15.07,944800
2000-02-03,19.69,20.5,19.69,20.19,15.5,2066200
2000-02-04,20.31,20.31,19.84,19.97,15.33,540200
2000-02-07,20.0,20.62,19.84,20.56,15.79,899200
2000-02-08,21.25,22.0,21.06,21.59,16.58,836000
2000-02-09,21.5,23.78,21.5,22.88,17.57,1692600
2000-02-10,22.88,23.0,22.19,22.41,17.21,629200
2000-02-11,22.53,22.72,21.62,22.0,16.89,808800
2000-02-14,22.0,22.22,21.62,21.66,16.63,673400
2000-02-15,21.62,22.28,21.62,21.91,16.82,790200
2000-02-16,21.84,22.19,21.56,22.06,16.94,468200
2000-02-17,22.0,22.16,21.69,21.81,16.75,698600
2000-02-18,21.81,21.81,20.94,21.22,16.29,408000
2000-02-22,21.25,21.25,19.5,20.25,15.55,761600
2000-02-23,20.25,20.88,20.12,20.41,15.67,591800
2000-02-24,20.34,20.94,20.31,20.75,15.93,1799400
2000-02-25,20.75,21.22,20.75,20.75,15.93,820200
2000-02-28,20.0,20.25,19.19,20.25,15.55,545200
2000-02-29,20.5,21.12,20.28,21.12,16.22,964200
2000-03-01,21.12,21.91,21.0,21.88,16.8,410200
2000-03-02,22.12,22.31,21.12,21.31,16.37,416200
2000-03-03,21.34,21.5,20.16,20.75,15.93,788000
2000-03-06,20.75,20.75,20.53,20.69,15.89,420400
2000-03-07,20.72,20.72,20.09,20.47,15.72,602000
2000-03-08,20.12,20.12,19.16,19.34,14.85,369200
2000-03-09,19.34,19.91,19.31,19.91,15.29,583400
2000-03-10,19.91,20.19,19.91,20.03,15.38,535800
2000-03-13,19.97,19.97,19.06,19.28,14.81,575200
2000-03-14,19.28,19.84,19.25,19.69,15.12,394200
2000-03-15,19.69,20.47,19.5,20.47,15.72,648200
2000-03-16,20.5,20.5,20.25,20.34,15.62,1256600
2000-03-17,19.75,20.25,19.75,20.19,15.5,807000
2000-03-20,20.06,20.06,19.44,19.47,14.95,367400
2000-03-21,19.5,19.84,18.81,19.03,14.61,685200
2000-03-22,19.09,19.78,19.0,19.44,14.93,427600
2000-03-23,19.41,19.78,19.12,19.66,15.09,288200
2000-03-24,19.59,19.97,18.88,19.22,14.76,369400
2000-03-27,19.34,19.81,19.16,19.78,15.19,503200
2000-03-28,19.72,19.97,19.66,19.75,15.17,329600
2000-03-29,19.75,20.81,19.75,20.41,15.67,2873000
2000-03-30,20.41,22.0,20.41,21.91,16.82,1216800
2000-03-31,22.5,24.0,22.28,23.71,18.21,2173600
2000-04-03,23.0,23.62,23.0,23.59,18.12,1184400
2000-04-04,23.62,24.31,22.81,23.31,17.9,1987400
2000-04-05,23.25,23.78,23.0,23.69,18.19,842200
2000-04-06,23.59,24.41,23.59,24.12,18.53,879200
2000-04-07,24.12,25.47,24.12,24.75,19.01,1170200
2000-04-10,24.75,25.31,24.72,25.06,19.25,970600
2000-04-11,25.0,25.44,24.78,25.0,19.2,1287800
2000-04-12,24.94,25.12,24.75,24.91,19.13,1089600
2000-04-13,24.91,24.91,24.09,24.34,18.69,1157200
2000-04-14,23.91,24.19,23.38,23.41,17.97,547400
2000-04-17,23.44,24.69,23.12,24.53,18.84,1312600
2000-04-18,24.47,24.84,24.22,24.44,18.77,877600
2000-04-19,27.5,29.34,26.94,28.66,22.01,4334600
2000-04-20,28.25,29.97,27.56,28.72,22.05,1602800
2000-04-24,28.34,28.34,27.56,27.62,21.21,1716400
2000-04-25,28.25,29.44,28.09,29.19,22.41,869200
2000-04-26,28.94,29.66,28.56,28.75,22.08,766800
2000-04-27,28.62,30.34,28.38,29.41,22.58,952400
2000-04-28,29.34,30.69,29.34,30.56,23.47,668000
2000-05-01,30.94,32.5,30.75,31.44,24.14,1351200
2000-05-02,31.5,31.88,30.19,30.19,23.18,947200
2000-05-03,28.5,29.38,27.5,29.03,22.29,1748000
2000-05-04,29.31,30.75,29.06,30.5,23.42,1263200
2000-05-05,30.44,31.0,30.34,30.78,23.64,724200
2000-05-08,30.88,31.72,30.78,30.91,23.73,652200
2000-05-09,31.0,31.28,29.97,30.75,23.61,768000
2000-05-10,30.69,30.75,29.56,29.97,23.01,322200
2000-05-11,29.5,30.44,29.38,30.31,23.28,399400
2000-05-12,30.31,31.81,30.31,30.97,23.78,642800
2000-05-15,30.97,30.97,29.88,30.88,23.71,334200
2000-05-16,31.25,31.59,30.88,31.44,24.14,800200
2000-05-17,31.31,31.31,30.34,30.38,23.33,575200
2000-05-18,30.88,30.88,29.88,30.03,23.06,407800
2000-05-19,30.06,30.06,29.38,29.53,22.68,518400
2000-05-22,29.62,29.62,28.56,28.88,22.17,379000
2000-05-23,28.97,30.22,28.84,30.19,23.18,682600
2000-05-24,30.06,30.09,29.03,29.19,22.41,721200
2000-05-25,29.31,30.31,29.31,29.72,22.82,550600
2000-05-26,29.78,29.81,29.0,29.06,22.32,222000
2000-05-30,29.56,30.19,29.38,30.0,23.04,886800
2000-05-31,30.12,30.78,29.69,29.69,22.8,453600
2000-06-01,29.75,30.88,29.75,30.81,23.66,600000
2000-06-02,31.62,32.0,31.25,31.5,24.19,490800
2000-06-05,30.75,31.88,30.75,31.84,24.45,966200
2000-06-06,32.44,32.5,31.5,31.5,24.19,539000
2000-06-07,31.22,31.22,30.5,30.84,23.69,622600
2000-06-08,31.19,31.41,31.06,31.16,23.93,538800
2000-06-09,31.16,31.28,30.69,30.72,23.59,286000
2000-06-12,30.47,30.59,29.38,29.94,22.99,385800
2000-06-13,30.19,30.19,29.0,29.94,22.99,369700
