Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.19,17.19,16.94,17.06,14.48,84700
2000-01-03,17.31,17.88,17.31,17.44,14.8,217000
2000-01-04,17.19,17.25,16.62,16.75,14.21,92700
2000-01-05,16.69,17.12,16.5,17.06,14.48,237600
2000-01-06,17.06,17.12,17.0,17.06,14.48,238100
2000-01-07,17.06,17.5,16.81,17.5,14.85,368400
2000-01-10,18.31,18.44,17.62,18.25,15.49,241100
2000-01-11,18.12,18.19,17.44,17.62,14.96,196500
2000-01-12,17.0,17.5,16.62,16.75,14.21,135600
2000-01-13,16.0,16.44,15.31,16.44,13.95,909000
2000-01-14,16.62,16.81,16.25,16.31,13.84,266300
2000-01-18,16.12,16.12,15.88,16.0,13.58,137200
2000-01-19,15.75,16.25,15.75,16.25,13.79,165200
2000-01-20,16.38,16.44,15.75,15.75,13.37,301600
2000-01-21,15.88,15.88,15.5,15.5,13.15,285000
2000-01-24,15.62,15.75,14.94,15.06,12.78,268600
2000-01-25,14.94,15.12,14.56,14.75,12.52,80200
2000-01-26,14.81,15.5,14.75,15.12,12.84,211200
2000-01-27,15.25,15.69,15.12,15.5,13.15,170200
2000-01-28,15.88,16.12,15.38,15.38,13.05,283000
2000-01-31,15.25,15.5,14.75,14.88,12.62,131800
2000-02-01,14.81,15.19,14.25,14.62,12.41,237500
2000-02-02,15.12,15.12,14.44,14.56,12.36,389800
2000-02-03,14.62,14.75,14.31,14.38,12.2,377500
2000-02-04,14.44,14.75,14.12,14.12,11.99,298300
2000-02-07,14.88,16.44,14.75,16.25,13.79,723000
2000-02-08,16.75,17.44,16.38,16.44,13.95,612000
2000-02-09,16.44,16.44,15.38,16.0,13.58,255300
2000-02-10,16.0,16.0,15.0,15.06,12.78,263400
2000-02-11,15.06,15.38,14.44,15.12,12.84,398800
2000-02-14,15.5,15.75,15.44,15.5,13.15,240100
2000-02-15,15.62,15.69,15.5,15.56,13.21,285500
2000-02-16,15.56,15.62,15.44,15.56,13.21,178300
2000-02-17,15.5,15.5,15.0,15.19,12.89,206000
2000-02-18,15.06,15.38,15.0,15.0,12.73,133600
2000-02-22,15.0,15.06,14.5,14.94,12.68,118800
2000-02-23,14.94,14.94,14.5,14.88,12.62,101000
2000-02-24,14.81,15.0,14.62,14.69,12.46,74000
2000-02-25,15.0,15.06,14.81,14.88,12.62,149400
2000-02-28,14.75,15.69,14.75,15.69,13.31,173200
2000-02-29,15.62,16.75,15.62,16.75,14.21,336500
2000-03-01,16.56,17.06,16.44,17.0,14.43,249600
2000-03-02,17.5,17.5,17.0,17.25,14.64,308200
2000-03-03,16.88,16.94,16.31,16.44,13.95,211500
2000-03-06,16.38,16.44,15.81,15.94,13.53,156700
2000-03-07,16.12,16.62,15.81,15.88,13.47,297500
2000-03-08,15.69,15.75,15.5,15.56,13.21,114800
2000-03-09,15.56,15.81,15.25,15.81,13.42,223500
2000-03-10,15.62,15.94,15.56,15.62,13.26,118500
2000-03-13,15.56,15.88,15.44,15.56,13.21,120100
2000-03-14,15.5,16.25,15.5,15.94,13.53,103700
2000-03-15,15.69,16.62,15.69,16.62,14.11,232600
2000-03-16,16.69,17.5,16.5,17.31,14.69,241000
2000-03-17,17.5,18.62,17.38,18.12,15.38,428500
2000-03-20,18.06,18.44,17.75,17.75,15.06,352100
2000-03-21,17.81,17.94,17.56,17.81,15.12,128000
2000-03-22,17.75,17.81,17.62,17.75,15.06,73100
2000-03-23,17.75,17.75,17.44,17.62,14.96,165300
2000-03-24,17.75,17.88,17.56,17.62,14.96,168100
2000-03-27,17.5,17.62,17.31,17.5,14.85,68600
2000-03-28,17.62,18.81,17.5,18.44,15.65,454400
2000-03-29,18.56,20.06,18.56,20.06,17.03,422900
2000-03-30,20.0,20.75,20.0,20.25,17.19,328600
2000-03-31,20.12,20.5,18.62,18.69,15.86,194700
2000-04-03,18.75,20.5,18.62,20.31,17.24,182700
2000-04-04,20.31,20.31,18.25,19.38,16.44,158400
2000-04-05,19.19,19.19,17.5,17.94,15.22,240400
2000-04-06,17.94,18.0,17.81,17.94,15.22,53400
2000-04-07,17.69,17.69,16.88,17.0,14.43,470100
2000-04-10,17.0,17.12,16.75,16.94,14.37,120500
2000-04-11,17.0,17.19,16.81,16.88,14.32,132100
2000-04-12,17.0,17.12,16.69,16.69,14.16,106300
2000-04-13,16.69,17.06,16.69,16.94,14.37,124700
2000-04-14,16.5,16.56,15.62,16.0,13.58,266800
2000-04-17,15.75,15.75,15.44,15.69,13.31,128400
2000-04-18,15.69,16.94,15.69,16.5,14.0,163400
2000-04-19,16.31,16.31,15.88,15.88,13.47,221300
2000-04-20,15.81,16.19,15.62,16.06,13.63,244400
2000-04-24,16.0,16.25,15.88,16.25,13.79,90400
2000-04-25,16.38,16.38,16.0,16.31,13.84,58200
2000-04-26,16.38,16.38,15.75,15.94,13.53,130100
2000-04-27,15.94,16.19,15.81,15.94,13.53,19500
2000-04-28,15.69,16.31,15.56,16.25,13.79,112100
2000-05-01,16.25,17.06,16.12,17.0,14.43,191000
2000-05-02,16.81,17.0,16.69,16.81,14.27,110100
2000-05-03,16.5,17.0,16.12,16.56,14.06,170200
2000-05-04,16.44,16.5,16.25,16.5,14.0,62500
2000-05-05,16.75,16.75,16.31,16.38,13.9,144500
2000-05-08,16.38,16.38,15.62,16.0,13.58,61800
2000-05-09,16.19,16.56,16.19,16.56,14.06,86900
2000-05-10,16.44,16.56,16.25,16.25,13.79,56500
2000-05-11,16.44,16.56,16.19,16.44,13.95,40100
2000-05-12,16.31,16.38,16.12,16.31,13.84,23700
2000-05-15,16.19,16.5,16.0,16.19,13.74,69200
2000-05-16,15.94,16.94,15.75,16.81,14.27,71600
2000-05-17,16.62,16.81,16.5,16.56,14.06,72200
2000-05-18,16.44,16.44,16.0,16.19,13.74,73200
2000-05-19,16.0,16.06,15.94,16.0,13.58,41500
2000-05-22,16.19,16.19,15.69,15.94,13.53,89100
2000-05-23,15.69,16.0,15.56,15.75,13.37,110300
2000-05-24,15.38,15.38,14.0,14.56,12.36,331800
2000-05-25,12.75,14.19,12.75,13.5,11.46,451300
2000-05-26,13.5,13.56,13.19,13.38,11.35,178300
2000-05-30,13.25,13.69,13.12,13.25,11.24,150200
2000-05-31,13.25,14.38,13.25,14.0,11.88,228400
2000-06-01,13.94,14.5,13.88,14.31,12.15,116700
2000-06-02,14.44,14.75,14.44,14.44,12.25,132200
2000-06-05,14.31,14.38,14.12,14.31,12.15,92300
2000-06-06,14.31,14.31,14.06,14.06,11.93,71800
2000-06-07,14.06,14.12,13.88,14.0,11.88,100100
2000-06-08,14.0,14.12,13.38,13.69,11.62,270800
2000-06-09,13.56,13.94,13.56,13.94,11.83,103700
2000-06-12,13.88,14.25,13.88,14.12,11.99,91500
2000-06-13,13.88,14.12,13.81,14.0,11.88,81500
2000-06-14,13.94,14.19,13.88,14.12,11.99,43500
2000-06-15,14.25,14.25,14.12,14.25,12.09,108100
2000-06-16,14.38,14.5,14.06,14.06,11.93,60100
2000-06-19,14.06,14.19,14.0,14.0,11.88,76500
2000-06-20,14.0,14.25,13.75,13.75,11.67,90900
2000-06-21,13.88,14.12,13.88,13.94,11.83,131800
2000-06-22,13.94,14.12,13.88,14.0,11.88,262600
2000-06-23,14.0,14.44,14.0,14.44,12.25,156700
2000-06-26,14.62,15.19,14.31,15.06,12.78,133000
2000-06-27,14.81,15.5,14.81,15.31,12.99,104500
2000-06-28,15.31,15.56,15.31,15.56,13.21,123000
2000-06-29,15.44,16.0,15.38,16.0,13.58,171500
2000-06-30,16.0,16.38,14.25,14.25,12.09,521400
2000-07-03,14.56,15.56,14.56,15.56,13.21,150600
2000-07-05,15.38,15.75,15.38,15.69,13.31,80700
2000-07-06,15.62,16.31,15.38,16.25,13.79,132400
2000-07-07,16.38,16.44,16.06,16.44,13.95,63500
2000-07-10,16.31,17.0,16.25,16.81,14.27,96900
2000-07-11,16.56,17.12,16.56,16.75,14.21,53100
2000-07-12,16.62,17.0,16.56,17.0,14.43,97100
2000-07-13,16.94,17.25,16.94,17.12,14.53,81400
2000-07-14,17.38,17.38,17.12,17.19,14.59,78100
2000-07-17,17.12,17.12,16.69,17.06,14.48,139800
2000-07-18,17.0,17.0,16.69,16.75,14.21,73500
2000-07-19,16.62,17.25,16.38,17.25,14.64,81000
2000-07-20,17.0,17.0,16.69,16.94,14.37,62600
2000-07-21,17.0,17.0,16.5,16.56,14.06,37000
2000-07-24,16.31,17.0,16.31,16.81,14.27,75100
2000-07-25,16.81,17.38,16.81,17.38,14.75,171600
2000-07-26,17.38,17.38,16.75,17.0,14.43,137700
2000-07-27,16.88,17.25,16.88,17.19,14.59,53000
2000-07-28,17.0,17.0,16.06,16.25,13.79,50900
2000-07-31,16.06,16.25,16.06,16.19,13.74,127000
2000-08-01,16.31,16.5,16.12,16.25,13.79,40800
2000-08-02,16.25,16.88,16.25,16.75,14.21,31700
2000-08-03,16.56,16.56,16.19,16.44,13.95,36300
2000-08-04,16.31,17.12,16.31,17.12,14.53,32400
2000-08-07,17.0,17.19,17.0,17.19,14.59,58300
2000-08-08,17.0,19.0,17.0,18.81,15.97,276200
2000-08-09,19.0,19.0,17.56,18.0,15.28,202600
2000-08-10,18.0,19.38,17.69,19.38,16.44,277300
2000-08-11,19.38,19.94,18.81,19.94,16.92,345700
2000-08-14,19.88,20.25,19.81,19.88,16.87,182100
2000-08-15,19.62,19.94,19.44,19.81,16.81,283500
2000-08-16,19.62,19.75,19.06,19.12,16.23,53200
2000-08-17,19.0,19.88,18.69,19.88,16.87,65300
2000-08-18,19.75,19.75,18.88,19.06,16.18,72400
2000-08-21,19.12,19.88,19.12,19.75,16.76,58200
2000-08-22,19.69,19.69,19.19,19.25,16.34,29600
2000-08-23,19.0,19.25,18.56,18.69,15.86,70000
2000-08-24,18.88,19.5,18.75,19.38,16.44,89200
2000-08-25,19.38,19.94,19.19,19.56,16.6,37600
2000-08-28,19.56,19.56,18.75,19.12,16.23,35900
2000-08-29,18.62,19.31,18.62,19.25,16.34,82500
2000-08-30,19.0,19.56,19.0,19.56,16.6,49300
2000-08-31,19.38,19.44,19.12,19.38,16.44,44700
2000-09-01,19.19,19.44,18.88,19.38,16.44,57300
2000-09-05,19.44,19.5,18.94,19.0,16.12,44800
2000-09-06,18.88,18.88,18.62,18.81,15.97,41700
2000-09-07,19.0,19.19,18.75,19.19,16.28,49800
2000-09-08,19.06,19.69,18.88,19.19,16.28,50300
2000-09-11,19.0,19.31,18.94,19.25,16.34,212800
2000-09-12,19.12,19.19,18.62,19.0,16.12,65500
2000-09-13,19.12,19.12,18.81,19.0,16.12,46300
2000-09-14,19.25,19.62,19.19,19.38,16.44,207500
2000-09-15,19.12,19.31,19.0,19.0,16.12,209400
2000-09-18,18.75,18.75,18.12,18.12,15.38,96600
2000-09-19,18.12,18.12,17.5,17.81,15.12,55600
2000-09-20,17.69,18.06,17.69,17.88,15.17,61700
2000-09-21,17.62,17.94,17.56,17.75,15.06,27100
2000-09-22,17.69,17.69,17.25,17.5,14.85,16700
2000-09-25,17.25,17.25,16.81,16.88,14.32,50000
2000-09-26,16.81,16.81,16.38,16.56,14.06,54500
2000-09-27,16.62,16.69,16.12,16.12,13.68,88700
2000-09-28,16.12,16.5,16.06,16.5,14.0,70600
2000-09-29,16.44,16.44,16.12,16.12,13.68,77000
2000-10-02,16.25,16.62,16.25,16.5,14.0,100500
2000-10-03,16.5,16.5,16.25,16.25,13.79,65100
2000-10-04,16.25,16.25,15.88,16.12,13.68,73600
2000-10-05,16.38,19.5,16.38,19.0,16.12,320400
2000-10-06,18.62,18.94,18.25,18.25,15.49,255200
2000-10-09,18.44,19.0,18.44,18.88,16.02,58600
2000-10-10,19.12,19.62,19.0,19.12,16.23,125600
2000-10-11,19.0,19.38,18.75,18.88,16.02,173700
2000-10-12,18.75,18.75,18.0,18.06,15.33,131300
2000-10-13,18.0,18.44,17.94,18.12,15.38,172600
2000-10-16,18.19,19.0,18.19,18.81,15.97,102200
2000-10-17,18.62,18.69,18.5,18.69,15.86,72000
2000-10-18,18.5,19.0,18.12,19.0,16.12,110700
2000-10-19,19.12,19.44,19.12,19.44,16.5,91200
2000-10-20,19.44,19.44,19.0,19.19,16.28,40200
2000-10-23,19.0,19.06,18.69,18.81,15.97,43500
2000-10-24,18.94,19.0,18.81,18.94,16.07,36900
2000-10-25,19.0,19.0,18.75,18.81,15.97,64500
2000-10-26,18.94,18.94,18.44,18.69,15.86,71600
2000-10-27,18.75,19.38,18.62,19.19,16.28,112800
2000-10-30,19.0,19.38,19.0,19.25,16.34,75100
2000-10-31,19.38,20.0,19.31,19.62,16.65,129100
2000-11-01,19.62,21.62,19.62,21.06,17.87,258300
2000-11-02,21.12,23.19,21.12,23.19,19.68,336300
2000-11-03,22.94,22.94,21.56,22.5,19.09,114200
2000-11-06,22.5,22.75,22.31,22.62,19.2,68600
2000-11-07,22.69,23.0,22.5,22.56,19.15,60100
2000-11-08,22.31,22.94,22.0,22.81,19.36,143500
2000-11-09,22.69,22.75,21.75,22.19,18.83,107800
2000-11-10,21.94,21.94,21.06,21.25,18.03,97400
2000-11-13,21.38,21.38,20.88,21.0,17.82,82100
2000-11-14,21.19,22.25,21.19,21.69,18.4,238900
2000-11-15,21.69,21.69,21.0,21.19,17.98,123500
2000-11-16,21.19,21.69,20.94,21.62,18.35,183300
2000-11-17,21.75,21.81,21.44,21.69,18.4,93700
2000-11-20,21.62,22.19,21.5,21.94,18.62,85700
2000-11-21,21.56,22.0,21.5,21.56,18.3,44900
2000-11-22,21.44,21.44,21.0,21.19,17.98,38600
2000-11-24,21.25,22.38,21.25,22.38,18.99,30000
2000-11-27,22.38,23.25,22.38,23.0,19.52,177400
2000-11-28,23.0,23.06,22.56,22.88,19.41,139400
2000-11-29,22.75,22.75,21.44,21.62,18.35,76400
2000-11-30,21.69,21.69,20.12,20.94,17.77,115600
2000-12-01,20.94,22.06,20.94,21.62,18.35,185800
2000-12-04,21.88,22.06,21.62,21.94,18.62,164200
2000-12-05,22.0,22.12,21.56,21.62,18.35,128300
2000-12-06,21.69,21.88,21.19,21.25,18.03,61200
2000-12-07,21.12,21.19,21.0,21.0,17.82,40300
2000-12-08,21.12,21.75,21.0,21.75,18.46,138700
2000-12-11,21.94,22.0,21.38,21.56,18.3,118900
2000-12-12,21.5,21.62,21.31,21.44,18.19,108300
2000-12-13,21.62,21.62,21.31,21.38,18.14,218700
2000-12-14,21.38,21.5,21.31,21.44,18.19,130700
2000-12-15,21.31,21.62,21.31,21.44,18.19,204400
2000-12-18,21.56,23.0,21.44,23.0,19.52,338500
2000-12-19,23.0,23.06,22.0,22.06,18.72,129200
2000-12-20,22.0,22.0,21.12,21.19,17.98,242600
2000-12-21,21.25,21.5,21.19,21.5,18.25,178100
