Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.0,5.28,5.0,5.22,4.59,362400
2000-01-03,5.28,5.28,5.06,5.11,4.49,770400
2000-01-04,5.06,5.12,5.05,5.09,4.47,620800
2000-01-05,5.08,5.11,4.99,5.09,4.47,845600
2000-01-06,5.09,5.12,5.06,5.09,4.48,265600
2000-01-07,5.11,5.15,5.09,5.11,4.49,1012800
2000-01-10,5.14,5.17,5.06,5.17,4.55,973600
2000-01-11,5.28,5.38,5.17,5.2,4.58,300800
2000-01-12,5.22,5.22,5.06,5.11,4.49,419200
2000-01-13,5.11,5.44,5.11,5.42,4.77,1065600
2000-01-14,5.38,5.5,5.3,5.3,4.67,999200
2000-01-18,5.38,5.61,5.38,5.61,4.93,903200
2000-01-19,5.62,5.74,5.62,5.73,5.04,996800
2000-01-20,5.83,6.05,5.8,6.05,5.32,563200
2000-01-21,6.12,6.89,6.12,6.81,5.99,1504000
2000-01-24,6.81,7.12,6.78,6.86,6.03,1003200
2000-01-25,6.88,6.88,6.17,6.24,5.49,2020000
2000-01-26,6.26,6.26,5.83,5.98,5.26,1252000
2000-01-27,5.98,5.98,5.5,5.59,4.92,848800
2000-01-28,5.59,5.8,5.41,5.5,4.84,2183200
2000-01-31,5.5,5.5,5.27,5.38,4.73,964800
2000-02-01,5.34,5.56,5.31,5.55,4.88,1068800
2000-02-02,5.54,5.7,5.31,5.34,4.7,312000
2000-02-03,6.23,6.5,6.0,6.38,5.61,2494400
2000-02-04,6.5,6.97,6.48,6.82,6.0,2258400
2000-02-07,6.83,7.47,6.83,6.94,6.1,1303200
2000-02-08,6.94,7.09,6.72,7.0,6.16,1018400
2000-02-09,7.12,7.47,7.12,7.32,6.44,1652000
2000-02-10,7.32,7.62,7.32,7.62,6.71,823200
2000-02-11,7.62,7.62,7.09,7.19,6.32,446400
2000-02-14,7.19,7.25,7.19,7.21,6.34,395200
2000-02-15,7.23,7.23,7.07,7.08,6.23,536000
2000-02-16,7.11,7.14,7.0,7.07,6.22,235200
2000-02-17,7.14,7.17,7.06,7.11,6.25,860000
2000-02-18,7.11,7.2,7.09,7.16,6.29,677600
2000-02-22,7.23,7.45,7.14,7.42,6.53,747200
2000-02-23,7.39,7.5,7.27,7.46,6.56,1535200
2000-02-24,7.55,8.75,7.55,8.58,7.55,1708800
2000-02-25,8.62,9.12,8.3,8.52,7.49,2537600
2000-02-28,8.97,9.27,8.84,9.25,8.14,1039200
2000-02-29,9.59,9.59,9.23,9.33,8.2,2193600
2000-03-01,9.62,9.91,9.5,9.88,8.69,1716000
2000-03-02,10.02,10.05,9.66,9.81,8.63,1100000
2000-03-03,9.72,9.84,9.69,9.7,8.53,696800
2000-03-06,9.7,9.87,9.62,9.87,8.68,707200
2000-03-07,9.88,9.94,9.56,9.65,8.49,768000
2000-03-08,9.52,9.64,9.13,9.64,8.48,1144000
2000-03-09,9.75,9.92,9.75,9.88,8.69,623200
2000-03-10,9.88,9.88,9.38,9.41,8.27,586400
2000-03-13,9.28,9.36,9.02,9.09,8.0,644000
2000-03-14,8.86,8.86,7.25,7.5,6.6,2542400
2000-03-15,7.5,8.44,7.47,8.31,7.31,1606400
2000-03-16,8.5,9.19,8.5,9.19,8.08,720000
2000-03-17,9.09,9.16,9.0,9.12,8.03,553600
2000-03-20,9.06,9.13,9.04,9.09,8.0,345600
2000-03-21,9.06,9.23,8.97,9.23,8.12,534400
