Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,48.12,48.62,47.75,47.88,11.59,91400
2000-01-03,48.38,49.75,47.69,49.38,11.96,416200
2000-01-04,49.44,50.5,47.44,47.56,11.52,422900
2000-01-05,48.94,49.38,47.75,47.81,11.58,247500
2000-01-06,47.0,47.31,46.31,46.88,11.35,397300
2000-01-07,48.0,49.0,47.0,48.31,11.7,286100
2000-01-10,48.88,49.69,48.31,48.31,11.7,306700
2000-01-11,47.56,48.19,46.75,47.38,11.47,302700
2000-01-12,47.19,48.0,46.75,47.75,11.56,281800
2000-01-13,47.12,49.19,46.62,48.94,11.85,497400
2000-01-14,48.69,48.69,47.31,48.19,11.67,325700
2000-01-18,50.0,50.81,49.38,50.75,12.29,795200
2000-01-19,52.0,54.0,51.5,51.94,12.58,1444400
2000-01-20,52.5,52.62,48.62,49.0,11.87,588000
2000-01-21,50.94,51.0,49.38,49.62,12.02,597800
2000-01-24,49.12,49.5,46.75,46.88,11.35,660700
2000-01-25,48.0,49.44,47.75,48.0,11.62,1033200
2000-01-26,48.38,48.88,47.88,48.25,11.68,645300
2000-01-27,48.25,49.75,48.25,48.75,11.81,567900
2000-01-28,49.0,49.94,48.5,48.5,11.74,703900
2000-01-31,48.5,49.69,47.56,49.44,11.97,571300
2000-02-01,49.44,49.75,48.12,49.44,11.97,338500
2000-02-02,49.31,49.88,48.38,48.5,11.74,387800
2000-02-03,49.0,49.0,48.06,48.5,11.74,540900
2000-02-04,48.69,49.0,47.5,47.69,11.55,739800
2000-02-07,47.69,47.88,46.12,46.31,11.21,408400
2000-02-08,47.0,47.38,45.62,46.0,11.14,501300
2000-02-09,45.94,45.94,43.69,44.06,10.67,594500
2000-02-10,44.38,45.25,44.38,45.19,11.01,581100
2000-02-11,45.19,45.25,43.75,44.38,10.81,388700
2000-02-14,44.0,44.44,43.25,43.75,10.66,270100
2000-02-15,43.62,46.0,43.38,45.81,11.16,439500
2000-02-16,45.56,46.69,45.44,46.56,11.34,346600
2000-02-17,46.06,47.25,45.81,47.06,11.46,370300
2000-02-18,48.38,48.94,48.0,48.56,11.83,604700
2000-02-22,48.19,51.25,48.19,51.12,12.45,682700
2000-02-23,50.88,50.88,49.0,49.25,12.0,988900
2000-02-24,49.0,49.19,46.69,47.62,11.6,577800
2000-02-25,48.12,48.38,46.0,46.38,11.3,614900
2000-02-28,46.38,46.44,44.12,45.0,10.96,403500
2000-02-29,44.75,46.75,44.44,45.25,11.02,468200
2000-03-01,45.25,45.5,44.38,45.0,10.96,667000
2000-03-02,44.88,46.5,44.38,45.62,11.11,1529400
2000-03-03,45.75,47.19,45.19,46.81,11.4,282200
2000-03-06,45.88,46.88,44.81,45.56,11.1,540400
2000-03-07,45.06,45.06,36.81,40.0,9.74,1434500
2000-03-08,40.0,40.5,38.88,39.06,9.51,961800
2000-03-09,39.0,39.5,38.62,39.44,9.61,562400
2000-03-10,39.38,40.19,39.0,39.25,9.56,503600
2000-03-13,38.5,39.12,37.81,38.5,9.38,516700
2000-03-14,38.5,38.94,37.62,38.38,9.35,1218600
2000-03-15,38.0,41.38,38.0,40.38,9.83,508400
2000-03-16,40.12,43.0,40.0,42.75,10.41,499400
2000-03-17,41.5,41.94,40.56,40.56,9.88,564100
2000-03-20,40.94,42.44,40.75,41.56,10.12,235300
2000-03-21,41.06,42.88,40.19,42.06,10.25,487100
2000-03-22,41.56,41.56,39.69,39.94,9.73,320900
2000-03-23,39.88,41.62,39.12,41.25,10.05,415000
2000-03-24,40.5,42.12,40.5,41.44,10.09,238200
2000-03-27,41.56,42.62,41.38,41.44,10.09,322500
2000-03-28,40.44,41.62,40.38,40.81,9.94,325700
2000-03-29,40.56,40.88,39.06,39.25,9.56,522200
2000-03-30,39.25,40.0,38.62,39.81,9.7,406800
2000-03-31,39.69,43.56,39.62,41.81,10.18,630200
2000-04-03,42.44,42.94,40.81,41.44,10.09,417400
2000-04-04,40.44,42.5,40.25,41.88,10.2,679200
2000-04-05,42.19,43.12,41.19,42.5,10.35,384700
2000-04-06,42.75,44.69,42.5,43.31,10.55,512300
2000-04-07,43.06,44.19,42.69,43.75,10.66,448100
2000-04-10,43.5,44.12,42.88,43.5,10.6,419700
2000-04-11,44.5,44.94,43.94,44.62,10.87,335600
2000-04-12,44.56,45.94,43.69,43.75,10.66,942400
2000-04-13,43.94,46.75,43.5,43.56,10.61,1164300
2000-04-14,43.44,43.44,41.0,41.06,10.0,417900
2000-04-17,40.5,40.81,38.0,39.19,9.54,813700
2000-04-18,38.12,38.94,38.06,38.56,9.39,643100
2000-04-19,38.31,38.94,37.94,38.25,9.32,1259600
2000-04-20,38.88,40.0,38.31,39.5,9.62,847500
2000-04-24,39.75,40.62,39.12,39.12,9.53,648400
2000-04-25,39.25,40.19,39.25,39.56,9.64,650800
2000-04-26,39.81,40.06,38.94,38.94,9.48,749100
2000-04-27,38.25,40.0,38.0,39.56,9.64,984800
2000-04-28,39.31,40.06,39.25,39.38,9.59,584000
2000-05-01,39.38,39.94,37.88,38.75,9.44,1672900
