Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.25,26.56,26.19,26.56,16.21,668800
2000-01-03,26.62,26.75,25.75,26.12,15.95,887000
2000-01-04,26.12,26.62,25.94,25.94,15.83,877700
2000-01-05,25.62,26.31,25.5,26.25,16.02,970500
2000-01-06,26.25,26.56,25.88,26.38,16.1,1218100
2000-01-07,26.62,28.38,26.5,27.94,17.05,1549500
2000-01-10,28.31,28.5,27.56,27.62,16.86,794200
2000-01-11,27.56,27.88,27.19,27.56,16.82,790700
2000-01-12,27.56,27.62,26.31,26.5,16.18,1326800
2000-01-13,26.56,26.69,26.0,26.19,15.99,1042500
2000-01-14,25.94,26.06,25.19,25.38,15.49,1100800
2000-01-18,23.0,23.0,18.81,19.0,11.6,8621000
2000-01-19,19.0,19.75,18.88,19.69,12.02,8641600
2000-01-20,19.94,20.19,18.44,18.75,11.45,6643600
2000-01-21,19.0,19.62,18.62,19.62,11.98,5781400
2000-01-24,19.94,20.12,18.19,18.31,11.18,4579600
2000-01-25,19.5,20.25,18.75,20.0,12.21,3517200
2000-01-26,20.5,21.94,20.31,21.5,13.12,3084700
2000-01-27,22.0,23.38,21.94,23.06,14.08,3148500
2000-01-28,23.12,24.56,22.75,24.06,14.69,1733500
2000-01-31,24.12,24.12,22.19,22.81,13.92,2113800
2000-02-01,22.75,22.75,21.44,21.94,13.39,1889700
2000-02-02,21.94,22.56,21.5,22.5,13.73,862600
2000-02-03,22.38,22.44,21.44,22.19,13.54,1382600
2000-02-04,22.19,22.19,21.62,22.0,13.43,1460700
2000-02-07,22.75,22.75,21.25,21.62,13.2,1188000
2000-02-08,21.75,22.31,21.25,21.56,13.16,1830900
2000-02-09,21.5,22.0,21.12,21.25,12.97,2175900
2000-02-10,21.31,21.5,20.94,20.94,12.78,994400
2000-02-11,20.94,21.0,20.75,20.88,12.74,589100
2000-02-14,20.94,21.0,20.31,20.38,12.44,1008600
2000-02-15,20.5,20.75,20.25,20.25,12.36,1528400
