Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.5,28.22,26.5,28.06,18.39,3818200
2000-01-03,27.81,27.84,26.81,27.47,18.0,7239800
2000-01-04,26.97,27.78,26.88,27.09,17.75,7963000
2000-01-05,27.03,27.5,26.75,27.03,17.71,4826200
2000-01-06,27.19,29.03,27.03,28.88,18.92,8005000
2000-01-07,29.22,30.03,29.06,29.41,19.27,7368600
2000-01-10,29.38,29.78,28.94,29.69,19.45,5301600
2000-01-11,29.78,30.44,29.22,30.28,19.84,5525600
2000-01-12,30.03,30.53,29.53,29.59,19.39,4767600
2000-01-13,29.69,30.75,29.69,30.44,19.95,4431000
2000-01-14,30.59,31.19,30.12,30.75,20.15,4340400
2000-01-18,31.0,33.38,30.88,33.06,21.67,10215200
2000-01-19,33.0,33.25,32.53,32.94,21.58,6894200
2000-01-20,32.41,32.62,31.62,32.28,21.15,5076800
2000-01-21,32.47,33.81,32.44,33.0,21.62,8978600
2000-01-24,33.12,33.47,32.0,32.16,21.07,5464400
2000-01-25,31.66,32.38,31.25,31.75,20.81,6135600
2000-01-26,32.12,32.5,30.78,31.44,20.6,6799600
2000-01-27,31.31,32.25,30.66,31.25,20.48,8198000
2000-01-28,31.06,31.62,29.88,30.0,19.66,6604200
2000-01-31,30.19,30.78,29.88,30.53,20.01,4803200
2000-02-01,30.97,32.03,30.88,31.97,20.95,3888400
2000-02-02,32.25,32.56,30.62,30.75,20.15,6333000
2000-02-03,31.0,31.12,30.38,30.66,20.09,4744400
2000-02-04,30.38,30.66,29.38,29.75,19.49,6238600
2000-02-07,29.56,30.75,29.56,30.34,19.88,4456000
2000-02-08,30.56,30.84,29.38,29.75,19.49,3218600
2000-02-09,29.75,30.16,28.47,28.53,18.7,5931400
2000-02-10,29.0,29.81,28.75,29.53,19.35,7112800
2000-02-11,29.75,30.09,29.16,29.22,19.15,5045000
2000-02-14,29.22,30.25,28.75,30.25,19.82,4750600
2000-02-15,30.75,32.62,30.66,32.5,21.3,10922200
2000-02-16,32.91,33.19,32.53,33.0,21.62,11507000
2000-02-17,32.75,33.84,32.38,33.44,21.91,10306800
2000-02-18,33.59,33.88,32.94,33.25,21.79,5774400
2000-02-22,32.94,33.38,32.12,32.66,21.52,5059000
2000-02-23,32.25,32.56,31.88,32.25,21.25,4034800
