Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,14.39,14.47,14.32,14.36,5.05,883200
2000-01-03,14.09,14.24,13.9,13.9,4.89,3706300
2000-01-04,13.82,14.13,13.82,14.05,4.94,2302300
2000-01-05,14.13,14.89,14.13,14.78,5.2,3067600
2000-01-06,14.93,15.08,14.78,14.81,5.21,2570600
2000-01-07,15.01,15.16,14.93,15.08,5.3,2744300
2000-01-10,15.01,15.16,14.89,14.97,5.26,1778100
2000-01-11,14.89,15.01,14.81,14.85,5.22,1359300
2000-01-12,14.81,15.23,14.81,15.12,5.32,2019800
2000-01-13,15.08,15.12,14.85,14.93,5.25,2112100
2000-01-14,14.89,14.97,14.62,14.74,5.18,1676000
2000-01-18,14.47,14.55,14.28,14.28,5.02,1491800
2000-01-19,14.24,14.74,14.24,14.62,5.14,1401200
2000-01-20,14.43,14.62,14.36,14.55,5.12,1964300
2000-01-21,14.74,15.12,14.62,14.97,5.26,2524700
2000-01-24,15.04,15.43,15.04,15.35,5.4,2533800
2000-01-25,15.31,15.5,15.12,15.5,5.45,3512600
2000-01-26,15.5,15.65,15.43,15.58,5.48,2411300
2000-01-27,15.58,15.81,15.58,15.62,5.49,1922900
2000-01-28,15.62,15.73,15.35,15.46,5.44,3141400
2000-01-31,15.46,15.73,15.43,15.69,5.52,2079800
2000-02-01,15.65,15.81,15.5,15.5,5.45,2268700
2000-02-02,15.43,15.54,15.35,15.39,5.41,3479700
2000-02-03,15.04,15.46,15.04,15.2,5.54,3331900
2000-02-04,15.35,15.35,14.85,14.85,5.42,2711000
2000-02-07,14.78,14.93,14.78,14.85,5.42,1264600
2000-02-08,14.81,15.23,14.81,14.93,5.44,1238100
2000-02-09,14.89,15.04,14.78,14.81,5.4,2417900
2000-02-10,14.81,15.08,14.81,14.97,5.46,2449800
2000-02-11,15.01,15.01,14.81,14.89,5.43,2425200
2000-02-14,14.89,15.08,14.81,14.89,5.43,1210600
2000-02-15,14.89,14.97,14.78,14.85,5.42,2031500
2000-02-16,14.85,14.85,14.55,14.59,5.32,4646000
2000-02-17,14.59,14.62,14.28,14.36,5.24,5012700
2000-02-18,14.28,14.39,14.01,14.09,5.14,2217700
2000-02-22,14.13,14.32,14.09,14.09,5.14,3036800
2000-02-23,14.05,14.17,13.9,13.9,5.07,3116000
2000-02-24,13.86,13.97,13.44,13.48,4.92,3596900
2000-02-25,13.48,13.71,13.29,13.29,4.85,3526100
2000-02-28,13.33,13.94,13.21,13.86,5.05,2455300
2000-02-29,13.82,13.82,13.4,13.55,4.94,2303400
2000-03-01,13.4,13.48,13.17,13.4,4.89,3444000
2000-03-02,13.4,13.59,13.29,13.48,4.92,3120900
2000-03-03,13.67,13.67,13.44,13.48,4.92,2521600
2000-03-06,13.36,13.36,12.83,12.94,4.72,3024300
2000-03-07,12.98,13.06,12.83,13.02,4.75,3958500
2000-03-08,12.83,13.13,12.83,12.91,4.71,3221600
2000-03-09,12.87,12.94,12.68,12.87,4.69,3707600
2000-03-10,12.87,12.98,12.75,12.91,4.71,3002200
2000-03-13,12.87,13.02,12.71,13.02,4.75,2263500
2000-03-14,12.75,12.79,12.45,12.56,4.58,2583700
2000-03-15,12.6,13.4,12.6,13.33,4.86,3210500
2000-03-16,13.44,14.24,13.29,13.9,5.07,4046600
2000-03-17,13.9,13.9,13.33,13.4,4.89,3396600
2000-03-20,13.25,13.59,13.25,13.29,4.85,2163800
2000-03-21,13.25,13.44,12.98,13.02,4.75,1908100
2000-03-22,13.1,13.13,12.56,12.79,4.66,2105500
2000-03-23,12.79,13.21,12.75,13.1,4.78,1500400
2000-03-24,12.98,13.36,12.98,13.36,4.87,2148900
2000-03-27,13.4,13.78,13.36,13.48,4.92,1932500
2000-03-28,13.33,13.55,13.13,13.33,4.86,3507400
2000-03-29,13.36,13.63,13.21,13.29,4.85,1994200
2000-03-30,13.21,13.36,13.1,13.25,4.83,2365800
2000-03-31,13.25,13.33,13.06,13.29,4.85,2003400
2000-04-03,13.25,13.82,13.25,13.82,5.04,2929200
2000-04-04,13.82,14.36,13.82,14.13,5.15,4506700
2000-04-05,14.05,14.66,14.05,14.13,5.15,3739400
2000-04-06,14.13,14.17,13.67,13.71,5.0,2784500
2000-04-07,13.67,13.82,13.52,13.59,4.96,2948700
2000-04-10,13.55,14.24,13.52,14.24,5.19,2532900
2000-04-11,14.36,14.59,14.13,14.36,5.24,3290200
2000-04-12,14.59,15.08,14.36,14.74,5.38,2510500
2000-04-13,14.74,15.23,14.59,15.16,5.53,2677100
2000-04-14,15.12,15.43,14.43,14.97,5.46,3165100
2000-04-17,14.51,14.97,14.05,14.97,5.46,2730300
2000-04-18,15.88,15.88,15.23,15.56,5.67,5479900
2000-04-19,15.27,15.27,14.78,15.2,5.54,1925300
2000-04-20,15.16,15.62,15.16,15.62,5.7,2959400
2000-04-24,15.58,15.88,15.54,15.85,5.78,2093100
2000-04-25,16.04,16.34,15.81,16.3,5.95,1964400
2000-04-26,16.19,17.03,16.19,16.8,6.13,4149400
2000-04-27,16.53,16.61,15.62,15.88,5.99,5137100
2000-04-28,15.65,15.65,15.23,15.23,5.74,2456200
2000-05-01,15.31,15.35,14.62,14.81,5.59,3456700
2000-05-02,14.97,15.2,14.74,14.93,5.63,3010400
2000-05-03,14.85,15.08,14.7,15.01,5.66,2366900
2000-05-04,14.93,15.5,14.47,15.2,5.73,2376100
2000-05-05,15.16,15.2,14.78,14.97,5.64,1638200
2000-05-08,14.81,15.65,14.81,15.23,5.74,2143200
2000-05-09,15.2,15.39,14.97,15.27,5.76,1582700
2000-05-10,15.12,15.62,15.12,15.46,5.83,1866700
2000-05-11,15.43,15.88,15.43,15.81,5.96,2079200
2000-05-12,16.11,16.11,15.27,15.31,5.77,2018900
2000-05-15,15.43,15.73,15.31,15.62,5.89,1328300
2000-05-16,15.39,15.54,15.08,15.43,5.82,1624600
2000-05-17,15.04,15.16,14.78,14.97,5.64,1826600
2000-05-18,14.93,15.5,14.93,15.39,5.8,1648500
2000-05-19,15.2,15.81,15.04,15.62,5.89,2232200
2000-05-22,15.81,16.0,15.77,15.85,5.97,2430500
2000-05-23,16.0,16.0,15.58,15.69,5.92,2332700
2000-05-24,15.69,16.19,15.69,16.15,6.09,5181800
2000-05-25,16.15,16.15,15.73,16.0,6.03,1894000
2000-05-26,15.92,16.34,15.92,16.11,6.08,2021600
2000-05-30,16.15,16.19,15.69,15.73,5.93,1646700
2000-05-31,15.85,16.04,15.73,15.85,5.97,1657800
2000-06-01,15.85,15.88,15.62,15.77,5.95,2607300
2000-06-02,15.77,15.77,15.27,15.31,5.77,2468800
2000-06-05,15.43,15.43,14.81,14.81,5.59,1959800
2000-06-06,15.04,15.46,15.04,15.2,5.73,3568500
2000-06-07,15.35,15.43,15.23,15.27,5.76,1289500
2000-06-08,15.27,15.31,14.97,15.23,5.74,1616400
2000-06-09,15.16,15.43,15.16,15.27,5.76,3097500
2000-06-12,15.39,15.5,15.27,15.37,5.79,3153800
2000-06-13,15.43,15.77,15.39,15.69,5.92,3262800
2000-06-14,15.58,15.65,15.46,15.62,5.89,2599100
2000-06-15,15.23,15.81,15.23,15.62,5.89,4685200
2000-06-16,15.77,15.88,15.23,15.31,5.77,5869800
2000-06-19,15.46,15.5,15.01,15.12,5.7,2568800
2000-06-20,15.01,15.35,14.89,15.27,5.76,2652100
2000-06-21,15.2,15.58,15.2,15.2,5.73,4217300
2000-06-22,15.2,15.23,15.01,15.2,5.73,2612700
2000-06-23,15.2,15.27,15.08,15.2,5.73,1760600
2000-06-26,15.2,15.35,14.97,15.27,5.76,1658300
2000-06-27,15.31,15.35,14.78,14.78,5.57,2453100
2000-06-28,14.78,15.12,14.43,15.01,5.66,3762800
2000-06-29,14.81,15.12,14.66,14.66,5.53,2357100
2000-06-30,14.78,15.12,14.09,14.24,5.37,3976500
2000-07-03,14.39,14.7,14.3,14.55,5.49,1197400
2000-07-05,14.66,14.89,14.51,14.55,5.49,1992100
2000-07-06,14.59,14.78,14.47,14.62,5.51,2283300
2000-07-07,14.62,14.97,14.62,14.81,5.59,1303800
2000-07-10,14.89,15.27,14.89,15.08,5.69,1575200
2000-07-11,15.01,15.16,14.81,15.16,5.72,1350700
2000-07-12,15.2,15.2,14.81,14.89,5.61,1858800
2000-07-13,14.89,14.97,14.74,14.93,5.63,1906300
2000-07-14,14.97,15.04,14.62,14.74,5.56,2007600
2000-07-17,14.7,14.81,14.66,14.74,5.56,1724300
2000-07-18,14.81,15.27,14.81,14.85,5.6,2624800
2000-07-19,14.97,15.43,14.97,15.35,5.79,2740800
2000-07-20,15.35,15.43,15.23,15.35,5.79,1904400
2000-07-21,15.39,15.5,15.35,15.39,5.8,2008300
2000-07-24,15.31,15.31,15.2,15.27,5.76,1593000
2000-07-25,15.23,15.5,15.16,15.23,5.74,1061000
2000-07-26,14.97,15.23,14.74,14.89,5.61,2065600
2000-07-27,15.04,15.2,15.01,15.08,5.69,1984200
2000-07-28,14.97,15.39,14.97,15.16,5.72,3144500
2000-07-31,15.23,15.39,14.89,14.93,5.63,3207200
2000-08-01,14.93,15.35,14.93,15.31,5.77,2799300
2000-08-02,15.31,16.0,15.27,15.96,6.02,3994200
2000-08-03,15.96,16.3,15.96,16.16,6.31,6285800
2000-08-04,16.19,16.19,15.85,16.19,6.32,5211600
2000-08-07,16.19,16.8,16.11,16.77,6.55,3797100
2000-08-08,16.69,17.07,16.53,17.03,6.65,3912000
2000-08-09,16.88,17.03,16.53,16.64,6.5,4426500
2000-08-10,16.65,16.69,16.49,16.58,6.47,1351400
2000-08-11,16.53,16.91,16.53,16.61,6.49,2929400
2000-08-14,16.65,16.88,16.42,16.8,6.56,1913500
2000-08-15,16.61,16.99,16.57,16.84,6.58,2218800
2000-08-16,16.72,16.99,16.57,16.69,6.52,2059700
2000-08-17,16.8,16.8,16.53,16.69,6.52,1598600
2000-08-18,16.65,16.76,16.57,16.72,6.53,1491400
2000-08-21,16.76,16.76,16.57,16.76,6.55,1517900
2000-08-22,16.76,16.8,16.61,16.69,6.52,957400
2000-08-23,16.61,17.14,16.53,17.07,6.66,3220000
2000-08-24,17.07,17.14,17.03,17.11,6.68,3466000
2000-08-25,16.88,17.45,16.88,17.33,6.77,3351700
2000-08-28,17.14,17.72,17.14,17.64,6.89,2960500
2000-08-29,17.45,17.68,17.41,17.41,6.8,1761300
2000-08-30,17.45,18.17,17.45,17.95,7.01,4728900
2000-08-31,17.91,18.37,17.91,18.3,7.15,4632800
2000-09-01,18.25,18.4,18.21,18.3,7.15,2608100
2000-09-05,18.29,18.71,18.29,18.71,7.31,2627400
2000-09-06,18.75,19.17,18.71,19.05,7.44,3126800
2000-09-07,19.01,19.51,18.94,19.4,7.57,4622600
2000-09-08,19.32,20.24,19.28,20.1,7.85,6873300
2000-09-11,20.01,20.54,19.97,20.21,7.89,5176200
2000-09-12,20.16,20.43,19.93,20.39,7.96,7236800
2000-09-13,20.54,21.38,20.54,20.81,8.13,8311100
2000-09-14,20.73,20.73,20.05,20.08,7.84,4766000
2000-09-15,20.01,20.5,19.97,20.09,7.85,6010100
2000-09-18,20.16,20.39,19.93,20.23,7.9,3151500
2000-09-19,20.16,20.24,19.17,19.28,7.53,4427700
2000-09-20,19.17,19.24,18.52,18.71,7.31,3852500
2000-09-21,18.71,19.09,18.14,18.29,7.14,3568900
2000-09-22,18.71,19.07,18.37,18.37,7.17,3280200
2000-09-25,18.98,19.09,18.4,19.01,7.43,3727200
2000-09-26,19.24,19.78,19.21,19.7,7.69,7071500
2000-09-27,19.7,19.85,19.17,19.56,7.64,5690900
2000-09-28,19.55,19.82,19.47,19.59,7.65,3316400
2000-09-29,19.59,19.93,19.59,19.83,7.74,2953100
2000-10-02,19.74,19.74,19.24,19.59,7.65,3021600
2000-10-03,19.43,19.82,18.82,18.86,7.37,3648000
2000-10-04,18.9,19.13,17.83,17.98,7.02,5633600
2000-10-05,18.06,18.44,17.64,17.72,6.92,2816900
2000-10-06,17.75,18.33,17.75,17.83,6.96,1699100
2000-10-09,17.87,18.33,17.87,18.33,7.16,3667200
2000-10-10,18.4,18.9,18.17,18.29,7.14,2124700
2000-10-11,18.44,18.67,18.06,18.44,7.2,3838500
2000-10-12,18.44,18.48,17.83,18.25,7.13,2903700
2000-10-13,18.33,18.67,18.14,18.4,7.19,3130600
2000-10-16,18.17,18.79,18.14,18.25,7.13,3334700
2000-10-17,18.25,18.4,18.14,18.29,7.14,2370100
2000-10-18,18.4,18.56,18.06,18.25,7.13,4142700
2000-10-19,18.21,18.29,17.91,18.02,7.04,2994700
2000-10-20,17.95,18.17,17.79,18.06,7.05,2033700
2000-10-23,18.21,18.56,17.95,18.29,7.14,1953800
2000-10-24,18.21,18.48,18.02,18.02,7.04,2296600
2000-10-25,18.17,18.21,17.41,17.45,6.81,3329800
2000-10-26,17.45,17.53,17.03,17.3,6.75,2195900
2000-10-27,17.26,17.72,16.8,17.64,6.89,2957700
2000-10-30,17.68,18.21,17.68,18.17,7.1,1671700
2000-10-31,18.17,18.17,17.68,17.95,7.01,2062300
2000-11-01,18.1,18.52,17.95,18.37,7.17,3291200
2000-11-02,18.33,18.33,17.75,17.75,7.15,3225800
2000-11-03,17.75,18.02,17.49,17.83,7.18,2427400
2000-11-06,17.83,18.1,17.6,17.64,7.1,1388900
2000-11-07,17.6,17.64,17.3,17.53,7.06,1091900
2000-11-08,17.53,17.64,17.33,17.49,7.04,1791400
2000-11-09,17.56,17.68,17.45,17.53,7.06,1596300
2000-11-10,17.53,17.91,17.53,17.64,7.1,1762600
