Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.34,30.84,30.34,30.81,20.78,261600
2000-01-03,30.5,30.53,28.75,29.22,19.71,778600
2000-01-04,28.97,29.06,27.88,27.88,18.8,1267800
2000-01-05,27.81,28.22,27.19,27.5,18.55,2723000
2000-01-06,27.69,27.72,26.75,26.75,18.04,1864000
2000-01-07,26.81,27.59,26.72,27.0,18.21,3660000
2000-01-10,27.44,29.41,27.28,28.88,19.47,1735200
2000-01-11,29.5,29.5,28.75,29.03,19.58,1713400
2000-01-12,29.0,29.59,28.75,29.25,19.73,1228800
2000-01-13,29.38,30.84,29.31,30.59,20.63,1551400
2000-01-14,30.47,30.75,28.94,29.38,19.81,1548000
2000-01-18,28.75,28.97,28.25,28.41,19.16,978400
2000-01-19,28.62,29.12,28.5,28.84,19.45,903800
2000-01-20,28.97,29.31,28.5,28.75,19.39,705200
2000-01-21,28.75,29.22,28.31,29.12,19.64,802400
2000-01-24,29.0,29.0,27.59,28.09,18.95,720600
2000-01-25,28.34,28.56,27.47,27.62,18.63,1083200
2000-01-26,28.38,29.88,28.06,29.47,19.87,1824200
2000-01-27,29.06,30.09,28.88,29.81,20.11,1752400
2000-01-28,29.31,29.84,29.0,29.12,19.64,1287800
2000-01-31,28.94,29.0,28.03,28.03,18.9,892000
2000-02-01,28.34,28.66,27.94,28.03,18.9,944000
2000-02-02,28.38,29.0,28.38,28.81,19.43,882000
2000-02-03,28.81,29.69,28.72,29.44,19.85,1086400
2000-02-04,29.47,29.66,28.59,28.75,19.39,843000
2000-02-07,28.31,28.78,28.09,28.09,18.95,809200
2000-02-08,28.22,28.75,28.0,28.06,18.93,1893400
2000-02-09,28.06,28.06,26.75,27.56,18.59,1887200
2000-02-10,27.5,28.0,27.19,27.75,18.71,1110800
2000-02-11,28.06,28.06,27.31,27.56,18.59,1109800
2000-02-14,27.5,27.91,27.34,27.5,18.55,1030200
2000-02-15,27.0,27.16,26.22,26.62,17.96,1461400
2000-02-16,26.38,26.53,25.97,26.25,17.7,1393800
2000-02-17,26.25,26.72,25.5,25.81,17.41,825800
2000-02-18,25.69,25.91,24.53,25.09,16.92,1981600
2000-02-22,24.97,25.41,24.16,25.09,16.92,1054800
2000-02-23,24.81,24.94,23.91,24.53,16.62,1710200
2000-02-24,24.0,24.09,22.5,23.25,15.75,2428400
2000-02-25,23.88,23.88,22.75,23.22,15.73,2064000
2000-02-28,23.22,23.44,22.66,23.25,15.75,1574400
2000-02-29,24.5,25.56,23.84,25.44,17.24,2914000
2000-03-01,25.31,26.06,24.94,25.06,16.98,1258800
2000-03-02,25.06,25.28,24.56,25.16,17.05,734000
2000-03-03,25.03,25.47,24.56,25.06,16.98,632000
2000-03-06,24.75,24.78,24.25,24.66,16.71,991600
2000-03-07,24.53,25.22,24.38,24.5,16.6,1039000
2000-03-08,24.62,24.62,23.69,23.94,16.22,631800
2000-03-09,23.91,25.25,23.81,24.91,16.88,913400
2000-03-10,24.78,25.19,24.16,24.5,16.6,1050400
2000-03-13,23.88,24.0,22.5,22.88,15.5,1296800
2000-03-14,22.97,23.5,22.75,23.25,15.75,991800
2000-03-15,22.94,23.75,22.34,23.19,15.71,1259200
