Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.38,17.44,17.12,17.38,8.83,352300
2000-01-03,17.25,17.56,16.88,17.31,8.79,512400
2000-01-04,17.25,17.75,17.25,17.5,8.89,731100
2000-01-05,17.75,18.19,17.69,17.88,9.08,1481700
2000-01-06,18.0,18.5,17.75,18.38,9.33,427300
2000-01-07,18.44,18.5,17.88,18.0,9.14,460000
2000-01-10,18.12,18.19,17.75,17.81,9.05,427700
2000-01-11,17.06,17.06,16.25,16.88,8.57,1899000
2000-01-12,16.81,17.62,16.75,17.62,8.95,864200
2000-01-13,17.44,17.69,17.19,17.5,8.89,437400
2000-01-14,17.38,17.44,16.88,17.44,8.86,726000
2000-01-18,17.31,17.44,17.06,17.31,8.79,699000
2000-01-19,17.38,17.38,17.0,17.25,8.76,2051500
2000-01-20,17.06,17.19,17.06,17.19,8.73,545900
2000-01-21,17.19,17.44,17.0,17.44,8.86,824500
2000-01-24,17.19,17.38,17.12,17.19,8.73,559400
2000-01-25,17.12,17.44,16.94,17.25,8.76,570200
2000-01-26,18.81,19.12,18.0,18.62,9.46,4601100
2000-01-27,18.5,18.5,18.06,18.31,9.3,1234600
2000-01-28,18.25,18.31,17.94,18.12,9.21,899100
2000-01-31,18.12,18.69,18.06,18.56,9.43,636700
2000-02-01,18.44,18.69,18.44,18.69,9.49,484400
2000-02-02,18.56,19.0,18.56,18.75,9.52,657700
2000-02-03,18.88,19.25,18.81,19.0,9.65,838600
2000-02-04,19.0,19.06,18.88,19.0,9.65,956100
2000-02-07,19.0,19.19,18.94,19.06,9.68,967300
2000-02-08,19.0,19.12,19.0,19.06,9.68,886200
2000-02-09,19.06,19.19,18.75,18.75,9.52,840600
2000-02-10,18.88,19.0,18.62,18.75,9.52,1013500
2000-02-11,18.75,18.88,18.62,18.81,9.56,536000
2000-02-14,18.81,19.0,18.75,18.81,9.56,2229700
2000-02-15,18.81,18.94,18.75,18.88,9.59,684900
2000-02-16,18.81,19.0,18.81,18.94,9.62,1193600
2000-02-17,18.94,19.06,18.75,18.75,9.52,1382500
2000-02-18,18.75,18.94,18.62,18.73,9.52,1003600
2000-02-22,18.62,18.75,18.5,18.56,9.43,1211300
2000-02-23,18.5,18.56,18.38,18.38,9.33,1479500
2000-02-24,18.38,18.5,18.12,18.25,9.27,2563500
2000-02-25,18.19,18.75,18.12,18.75,9.52,2577900
2000-02-28,18.69,18.69,17.75,18.12,9.21,2517600
2000-02-29,18.0,18.06,17.81,18.0,9.14,853100
2000-03-01,18.0,18.0,17.56,18.0,9.14,779500
2000-03-02,17.88,17.88,17.31,17.56,8.92,482400
2000-03-03,17.62,17.75,17.5,17.62,8.95,853900
2000-03-06,17.62,17.69,17.06,17.38,8.83,483200
2000-03-07,17.25,17.44,17.12,17.25,8.76,748700
2000-03-08,17.0,17.31,16.94,17.0,8.64,824800
2000-03-09,17.06,17.25,17.0,17.06,8.67,755300
2000-03-10,17.38,17.69,17.25,17.44,8.86,991200
2000-03-13,17.25,17.5,17.19,17.25,8.76,559900
2000-03-14,17.06,17.25,16.88,17.0,8.64,917200
2000-03-15,17.0,17.81,17.0,17.81,9.05,3784100
2000-03-16,17.56,18.5,17.56,18.44,9.5,1589400
2000-03-17,18.25,18.31,17.56,17.62,9.08,1188000
2000-03-20,17.81,17.94,17.19,17.38,8.95,637200
2000-03-21,17.44,17.44,17.0,17.38,8.95,504200
2000-03-22,17.19,17.25,16.81,17.0,8.76,505900
