Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.75,29.0,28.25,28.66,26.72,45600
2000-01-03,29.06,31.5,28.84,31.41,29.28,512000
2000-01-04,30.81,30.88,28.59,29.56,27.56,292600
2000-01-05,29.59,30.44,28.56,30.33,28.28,411800
2000-01-06,29.12,30.41,26.31,27.38,25.52,385400
2000-01-07,27.19,30.47,26.25,30.19,28.15,536000
2000-01-10,30.0,30.22,27.75,28.55,26.62,339800
2000-01-11,28.38,30.62,28.19,28.53,26.6,611400
2000-01-12,30.44,32.56,30.31,32.37,30.18,1927200
2000-01-13,32.41,34.69,32.41,34.5,32.17,1653400
2000-01-14,35.5,38.75,35.0,38.0,35.43,1820200
2000-01-18,36.72,39.56,36.72,39.56,36.89,697200
2000-01-19,39.03,44.31,38.59,44.11,41.13,1000000
2000-01-20,44.31,46.5,42.41,45.25,42.19,545400
2000-01-21,45.91,47.47,44.69,45.97,42.86,666200
2000-01-24,45.84,50.06,41.88,44.39,41.39,549600
2000-01-25,44.25,46.56,43.0,45.5,42.42,845400
2000-01-26,45.88,46.12,41.88,43.31,40.38,440800
2000-01-27,43.16,46.19,43.0,43.5,40.56,907000
2000-01-28,43.53,45.62,42.97,43.75,40.79,293200
2000-01-31,43.97,43.97,40.34,41.88,39.04,257800
2000-02-01,41.75,44.44,40.47,44.0,41.02,266400
2000-02-02,44.81,49.94,44.31,48.66,45.37,726400
2000-02-03,48.56,52.06,48.56,51.84,48.34,551400
2000-02-04,51.94,55.5,51.94,53.47,49.85,397400
2000-02-07,53.5,56.66,53.38,55.83,52.05,1080400
2000-02-08,56.64,57.16,50.0,50.19,46.79,476400
2000-02-09,52.5,52.5,49.69,50.09,46.71,340000
2000-02-10,50.97,59.5,50.31,58.88,54.89,481200
2000-02-11,61.75,62.25,56.0,57.91,53.99,739800
2000-02-14,65.69,70.75,64.5,68.94,64.28,1346000
2000-02-15,70.5,70.5,65.25,67.73,63.15,464400
2000-02-16,70.69,71.5,68.31,69.44,64.74,429600
2000-02-17,69.41,70.97,68.55,70.23,65.48,629000
2000-02-18,70.59,71.06,64.0,64.88,60.49,520200
2000-02-22,64.5,68.25,61.75,68.05,63.44,578800
2000-02-23,68.62,74.0,68.5,72.11,67.23,326800
2000-02-24,72.97,74.06,71.69,73.38,68.41,265600
2000-02-25,72.5,75.0,71.75,74.73,69.68,315600
2000-02-28,75.38,75.38,68.0,74.42,69.39,418000
2000-02-29,74.97,78.25,71.97,72.59,67.68,286000
2000-03-01,73.16,78.0,72.5,72.97,68.03,496000
2000-03-02,73.56,73.56,65.5,65.96,61.5,369600
2000-03-03,69.5,72.94,69.5,71.69,66.84,558600
2000-03-06,70.5,73.31,66.5,66.56,62.06,355000
2000-03-07,68.81,72.75,68.0,68.06,63.46,276800
2000-03-08,68.31,71.5,65.44,71.0,66.2,259000
2000-03-09,70.88,72.88,67.0,71.94,67.07,284600
2000-03-10,71.12,73.38,67.0,68.0,63.4,170000
2000-03-13,66.5,69.0,65.47,65.75,61.3,314600
2000-03-14,66.5,70.53,63.5,63.5,59.21,312600
2000-03-15,71.56,72.03,59.27,62.75,58.51,853000
2000-03-16,63.12,64.31,57.0,59.28,55.27,744600
2000-03-17,59.25,61.5,56.12,58.08,54.15,381400
2000-03-20,57.5,57.78,47.5,48.81,45.51,644600
2000-03-21,51.0,60.5,49.53,59.92,55.87,687000
2000-03-22,62.5,66.0,60.62,65.0,60.6,771600
2000-03-23,66.19,66.38,57.75,59.16,55.16,514600
2000-03-24,59.5,68.0,59.5,61.62,57.46,683800
2000-03-27,66.0,66.0,59.44,60.78,56.67,258000
2000-03-28,60.5,62.31,57.72,57.72,53.82,360800
2000-03-29,57.62,61.25,54.06,55.72,51.95,344600
2000-03-30,55.0,55.0,48.0,52.0,48.48,498200
2000-03-31,54.0,55.75,47.5,47.5,44.29,664000
2000-04-03,49.44,49.5,46.19,46.19,43.06,527400
2000-04-04,47.0,48.5,35.03,48.03,44.78,1539800
2000-04-05,43.88,55.72,43.12,50.5,47.08,790400
2000-04-06,55.5,56.25,51.53,53.5,49.88,292200
2000-04-07,54.69,56.34,53.5,55.72,51.95,361200
2000-04-10,57.0,57.66,51.0,51.91,48.4,417000
2000-04-11,47.0,51.12,42.5,47.53,44.32,805800
2000-04-12,46.92,47.94,43.0,44.0,41.02,529800
2000-04-13,45.31,45.81,40.56,40.59,37.85,589600
2000-04-14,38.25,38.5,34.5,35.0,32.63,715000
2000-04-17,34.38,44.0,33.75,44.0,41.02,609800
2000-04-18,44.5,51.25,40.0,50.43,47.02,811400
2000-04-19,50.03,53.22,47.88,53.0,49.42,867000
2000-04-20,53.44,55.0,49.0,49.5,46.15,572500
2000-04-24,43.25,49.0,42.0,43.94,40.97,310500
2000-04-25,47.12,53.0,46.0,50.5,47.08,320900
2000-04-26,53.12,55.0,44.5,44.69,41.67,451200
2000-04-27,41.5,52.0,40.25,51.94,48.43,338200
2000-04-28,52.69,54.19,50.38,52.0,48.48,312000
2000-05-01,51.06,56.0,51.06,52.56,49.01,212900
2000-05-02,51.5,57.0,50.5,51.25,47.78,338700
2000-05-03,54.94,55.5,47.12,50.25,46.85,406700
2000-05-04,50.12,52.25,47.56,51.38,47.9,234800
2000-05-05,51.88,57.5,50.0,57.44,53.55,516900
2000-05-08,54.69,57.88,53.88,54.06,50.41,395300
2000-05-09,54.25,54.31,46.0,47.75,44.52,411000
