Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.52,17.52,17.39,17.41,14.74,231200
2000-01-03,17.38,17.38,16.78,17.09,14.48,1078000
2000-01-04,17.03,17.06,16.83,16.91,14.32,1140800
2000-01-05,16.91,17.5,16.84,17.42,14.76,1239200
2000-01-06,17.38,17.94,17.25,17.8,15.08,1438400
2000-01-07,17.78,19.62,17.78,19.44,16.47,3115200
2000-01-10,19.44,20.33,19.12,19.22,16.28,2225600
2000-01-11,19.12,20.0,18.94,19.41,16.44,722000
2000-01-12,19.41,19.41,18.88,19.0,16.1,815600
2000-01-13,19.0,19.05,18.84,18.98,16.08,914400
2000-01-14,19.11,19.38,18.94,19.3,16.35,895200
2000-01-18,19.23,20.19,19.0,19.66,16.65,1206400
2000-01-19,19.67,20.0,19.66,19.91,16.86,706400
2000-01-20,19.88,20.0,19.5,19.62,16.62,1147600
2000-01-21,19.61,19.66,19.42,19.59,16.6,666800
2000-01-24,19.59,20.06,19.52,19.66,16.65,2412400
2000-01-25,19.66,19.75,19.12,19.25,16.31,1373200
2000-01-26,19.23,19.23,19.0,19.17,16.24,947200
2000-01-27,19.12,19.12,18.98,19.09,16.17,588400
2000-01-28,18.38,18.38,15.2,15.75,13.34,8204000
2000-01-31,15.84,16.06,14.58,15.81,13.39,6034800
2000-02-01,15.77,16.36,15.52,16.12,13.66,2480800
2000-02-02,16.75,16.75,15.98,16.31,13.82,2565200
2000-02-03,16.25,16.44,15.75,16.2,13.73,1836000
2000-02-04,16.25,16.8,16.25,16.45,13.94,1458000
2000-02-07,16.44,16.66,15.8,16.66,14.11,1584000
2000-02-08,17.12,17.41,17.0,17.19,14.56,1635200
2000-02-09,17.12,17.47,17.12,17.42,14.76,1752400
2000-02-10,17.42,17.44,16.38,16.55,14.02,1172400
2000-02-11,16.55,16.61,15.88,15.88,13.45,808800
2000-02-14,15.94,16.5,15.94,16.22,13.74,1806800
2000-02-15,16.5,16.8,16.19,16.64,14.1,1340000
2000-02-16,16.61,16.81,16.56,16.72,14.16,938800
2000-02-17,16.75,17.0,16.54,16.88,14.29,695200
2000-02-18,16.88,16.88,15.69,15.8,13.38,1100400
2000-02-22,15.8,15.8,15.09,15.17,12.85,1404400
2000-02-23,15.2,15.25,14.47,14.73,12.48,2214400
2000-02-24,14.75,15.25,14.69,15.08,12.77,4165200
2000-02-25,15.06,15.23,14.97,15.08,12.77,832800
2000-02-28,14.75,14.94,14.41,14.5,12.28,2124000
2000-02-29,14.62,14.88,14.62,14.62,12.39,2036000
2000-03-01,14.25,14.56,13.5,13.75,11.65,3260800
2000-03-02,13.8,14.47,13.77,14.45,12.24,2776400
2000-03-03,14.45,14.72,14.19,14.52,12.3,2239200
2000-03-06,14.56,14.8,14.09,14.09,11.94,2316400
2000-03-07,14.09,14.09,12.97,13.16,11.14,3150000
2000-03-08,13.31,13.42,12.22,12.75,10.8,4481200
2000-03-09,13.19,13.84,13.06,13.52,11.45,1847200
2000-03-10,13.38,13.48,13.28,13.33,11.29,950400
2000-03-13,13.31,13.56,12.91,13.47,11.41,1436800
2000-03-14,13.69,13.88,13.52,13.75,11.65,1570400
2000-03-15,13.78,14.98,13.78,14.75,12.49,2820000
2000-03-16,14.94,16.09,14.91,16.09,13.63,3111200
2000-03-17,16.16,16.19,15.34,15.52,13.14,2123600
2000-03-20,15.81,15.97,15.61,15.84,13.42,1209200
2000-03-21,15.84,16.47,15.84,16.36,13.86,1410800
2000-03-22,16.31,16.8,16.14,16.69,14.14,1147600
2000-03-23,16.62,16.62,16.28,16.47,13.95,816400
2000-03-24,16.41,16.75,16.36,16.45,13.94,622400
2000-03-27,16.55,16.58,16.25,16.36,13.86,890800
2000-03-28,16.42,16.92,16.39,16.75,14.19,897200
2000-03-29,16.53,16.86,16.2,16.22,13.74,996000
2000-03-30,16.28,16.59,16.03,16.47,13.95,1152400
2000-03-31,16.5,17.62,16.48,17.44,14.77,2032000
2000-04-03,17.12,17.5,16.86,17.5,14.82,962400
2000-04-04,17.44,17.44,16.56,17.25,14.61,940800
2000-04-05,17.25,17.39,17.03,17.17,14.55,472800
2000-04-06,17.23,17.28,16.62,17.03,14.43,878000
2000-04-07,17.03,17.03,16.7,16.97,14.37,573600
2000-04-10,16.95,17.0,16.81,17.0,14.4,661600
2000-04-11,17.06,17.48,16.64,16.81,14.24,840000
2000-04-12,16.81,17.28,16.69,16.92,14.33,884800
2000-04-13,16.92,17.66,16.92,17.48,14.81,1273600
2000-04-14,17.19,17.19,16.06,16.2,13.73,1077600
2000-04-17,15.88,16.34,15.56,16.34,13.84,1405600
2000-04-18,16.41,17.12,16.11,17.05,14.44,2143600
2000-04-19,17.88,18.53,17.78,18.48,15.66,3110000
2000-04-20,18.44,18.75,18.34,18.64,15.79,1456800
2000-04-24,18.61,18.61,18.0,18.03,15.27,2032800
2000-04-25,18.25,18.48,18.02,18.28,15.49,1238000
2000-04-26,18.25,18.27,17.98,18.05,15.29,1206000
2000-04-27,17.98,18.19,17.75,17.95,15.21,932000
2000-04-28,17.95,18.34,17.92,17.98,15.23,620000
2000-05-01,17.92,18.3,17.75,18.05,15.29,898800
2000-05-02,18.0,18.61,17.8,18.25,15.46,1116800
2000-05-03,18.19,18.31,17.7,17.7,15.0,832400
2000-05-04,17.75,17.91,17.62,17.75,15.04,995600
2000-05-05,18.0,18.19,17.89,18.0,15.25,815200
2000-05-08,18.03,18.12,17.97,18.0,15.25,1269200
2000-05-09,18.06,18.16,17.75,17.98,15.23,1200000
2000-05-10,17.92,18.69,17.66,18.62,15.78,2149600
2000-05-11,18.62,18.75,18.23,18.31,15.51,1711200
2000-05-12,18.38,18.47,18.11,18.22,15.43,802800
2000-05-15,18.5,18.81,17.91,18.78,15.91,675600
2000-05-16,18.78,19.06,18.5,18.69,15.83,573400
2000-05-17,18.56,18.56,18.03,18.03,15.27,359200
2000-05-18,18.38,18.44,17.97,18.16,15.38,429600
2000-05-19,17.75,18.12,17.44,17.75,15.04,618400
2000-05-22,17.66,17.94,17.28,17.59,14.9,535600
2000-05-23,17.59,17.91,17.22,17.25,14.61,596800
2000-05-24,17.12,18.62,17.12,18.56,15.72,1152000
2000-05-25,18.62,19.16,18.62,18.97,16.07,1534000
2000-05-26,19.0,19.22,18.88,18.91,16.02,770400
2000-05-30,18.69,19.78,18.69,19.12,16.2,1098200
2000-05-31,19.0,19.38,18.84,18.91,16.02,1098000
2000-06-01,18.94,19.19,18.72,18.84,15.96,1821800
2000-06-02,19.0,19.06,18.06,18.28,15.49,1334000
2000-06-05,18.75,19.5,18.72,18.84,15.96,704800
2000-06-06,18.62,18.69,18.47,18.5,15.67,518600
2000-06-07,18.44,18.47,17.78,18.12,15.35,848000
2000-06-08,18.5,18.5,17.94,18.25,15.46,334000
2000-06-09,18.12,18.62,18.12,18.38,15.57,261000
2000-06-12,18.34,18.44,17.84,18.16,15.38,346800
2000-06-13,18.0,18.84,18.0,18.75,15.88,437000
2000-06-14,18.75,20.03,18.75,20.03,16.97,1355600
2000-06-15,20.06,20.84,19.88,20.84,17.66,1806600
2000-06-16,20.84,21.34,20.25,21.34,18.08,1882600
2000-06-19,21.34,21.34,20.81,21.12,17.9,939400
2000-06-20,21.12,22.19,21.12,21.91,18.56,1641800
2000-06-21,21.81,21.84,20.88,20.94,17.74,1507600
2000-06-22,20.97,21.0,20.16,20.59,17.45,618200
2000-06-23,20.69,20.69,19.62,19.81,16.78,679200
2000-06-26,19.81,20.47,19.44,20.12,17.05,602800
2000-06-27,20.0,20.41,19.69,20.16,17.07,744600
2000-06-28,20.16,21.19,20.09,20.97,17.76,744200
2000-06-29,20.81,22.5,20.69,22.0,18.64,1646800
2000-06-30,21.75,22.12,21.56,21.88,18.53,1987600
2000-07-03,21.88,22.12,21.72,22.02,18.65,818400
2000-07-05,22.03,22.34,22.0,22.2,18.81,644200
2000-07-06,22.22,23.72,22.03,23.53,19.93,1334600
2000-07-07,25.0,25.0,23.72,23.8,20.16,2418800
2000-07-10,23.97,24.22,23.62,23.92,20.26,1400800
2000-07-11,23.88,24.09,23.66,23.92,20.26,844400
2000-07-12,23.62,23.81,22.62,22.72,19.25,982400
2000-07-13,22.72,22.72,21.88,22.44,19.01,1394200
2000-07-14,22.5,22.56,22.22,22.5,19.06,409200
2000-07-17,22.5,22.88,22.38,22.59,19.14,544200
2000-07-18,22.47,22.84,22.38,22.75,19.27,481600
2000-07-19,22.44,22.62,21.62,22.31,18.9,935400
2000-07-20,22.28,22.5,22.0,22.0,18.64,1200200
2000-07-21,21.94,23.41,21.75,23.31,19.75,874800
