Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,28.29,28.43,28.02,28.03,16.42,16071000
2010-01-04,28.41,28.61,28.28,28.58,16.74,29136600
2010-01-05,28.7,28.73,28.35,28.44,16.66,35234500
2010-01-06,27.95,28.03,27.55,27.61,16.42,37894600
2010-01-07,27.58,27.69,27.12,27.3,16.23,33600300
2010-01-08,27.29,27.39,26.88,27.1,16.11,27633400
2010-01-11,27.18,27.22,26.85,26.97,16.04,25791200
2010-01-12,26.85,27.11,26.78,26.96,16.03,26307800
2010-01-13,27.0,27.1,26.53,26.64,15.84,42590900
2010-01-14,26.64,26.85,26.08,26.19,15.57,42246100
2010-01-15,26.25,26.27,25.65,25.79,15.34,64018300
2010-01-19,25.92,26.25,25.8,26.2,15.58,33961700
2010-01-20,26.03,26.03,25.7,25.83,15.36,39087000
2010-01-21,25.92,25.98,25.4,25.67,15.26,40074900
2010-01-22,25.52,25.83,25.36,25.39,15.1,38379700
2010-01-25,25.73,25.9,25.32,25.58,15.21,29901500
2010-01-26,25.4,25.51,25.06,25.33,15.06,34168600
2010-01-27,25.21,26.12,25.1,25.62,15.23,58991800
2010-01-28,25.7,26.15,25.29,25.54,15.19,52058900
2010-01-29,25.61,25.75,25.35,25.36,15.08,38921000
2010-02-01,25.67,25.71,25.28,25.38,15.09,36774400
2010-02-02,25.37,25.84,25.27,25.69,15.28,31119800
2010-02-03,25.63,25.81,25.4,25.58,15.21,22954100
2010-02-04,25.43,25.49,25.03,25.03,14.88,32334600
2010-02-05,25.12,25.31,24.96,25.24,15.01,50883200
2010-02-08,25.19,25.27,24.96,24.98,14.85,27173100
2010-02-09,25.18,25.42,25.05,25.26,15.02,34939200
2010-02-10,25.23,25.25,25.01,25.12,14.94,26649500
2010-02-11,25.05,25.38,24.83,25.19,14.98,27447000
2010-02-12,25.03,25.15,24.86,25.07,14.91,34113100
2010-02-16,25.3,25.49,25.13,25.32,15.06,25903700
2010-02-17,25.41,25.52,25.2,25.4,15.1,19506300
2010-02-18,25.4,25.53,25.16,25.24,15.01,27028500
2010-02-19,25.2,25.4,25.02,25.1,14.93,34699600
2010-02-22,25.13,25.16,24.97,25.02,14.88,31106800
2010-02-23,25.0,25.03,24.83,24.83,14.76,28515800
2010-02-24,24.88,24.95,24.8,24.91,14.81,28970800
2010-02-25,24.76,24.86,24.61,24.77,14.73,29583200
2010-02-26,24.86,24.91,24.71,24.81,14.75,29183900
2010-03-01,24.91,25.07,24.83,25.0,14.87,24906000
2010-03-02,25.0,25.06,24.71,24.88,14.79,33402000
2010-03-03,25.03,25.03,24.81,24.89,14.8,20695100
2010-03-04,24.9,25.0,24.8,24.96,14.84,28731200
2010-03-05,25.03,25.05,24.82,24.99,14.86,27959100
2010-03-08,25.05,25.36,24.9,25.28,15.03,24682700
2010-03-09,25.34,25.73,25.3,25.56,15.2,43463200
2010-03-10,25.61,25.72,25.37,25.52,15.17,23535700
2010-03-11,25.42,25.6,25.3,25.6,15.22,21760600
2010-03-12,25.69,25.73,25.41,25.62,15.23,17818100
2010-03-15,25.68,25.8,25.56,25.78,15.33,20320300
2010-03-16,25.86,25.99,25.71,25.85,15.37,17620400
2010-03-17,25.95,25.99,25.85,25.9,15.4,18104200
2010-03-18,25.96,26.09,25.9,26.06,15.5,17009600
2010-03-19,26.24,26.31,25.99,26.24,15.6,35866700
2010-03-22,26.19,26.54,26.08,26.4,15.7,24538400
2010-03-23,26.48,26.57,26.33,26.55,15.79,18136300
2010-03-24,26.42,26.5,26.12,26.26,15.61,20422000
2010-03-25,26.43,26.44,26.11,26.15,15.55,24093000
2010-03-26,26.17,26.5,26.11,26.24,15.6,18059800
2010-03-29,26.35,26.57,26.3,26.51,15.76,20319800
2010-03-30,26.23,26.33,25.84,25.95,15.43,52251000
2010-03-31,25.9,26.04,25.75,25.84,15.37,36706500
2010-04-01,26.05,26.21,25.91,26.11,15.53,20557700
2010-04-05,26.3,26.36,26.13,26.31,15.64,23973200
2010-04-06,26.27,26.36,26.15,26.31,15.64,21369600
2010-04-07,26.0,26.03,25.48,25.65,15.5,31369800
2010-04-08,25.61,26.06,25.6,26.02,15.72,36555700
2010-04-09,26.11,26.51,26.06,26.44,15.98,39742000
2010-04-12,26.57,26.67,26.34,26.38,15.94,22939700
2010-04-13,26.32,26.43,26.02,26.2,15.83,38015700
2010-04-14,26.17,26.24,26.02,26.24,15.86,27712000
2010-04-15,26.16,26.3,26.04,26.24,15.86,27991400
2010-04-16,26.2,26.35,25.91,25.93,15.67,31981500
2010-04-19,26.09,26.45,25.95,26.38,15.94,33300300
2010-04-20,26.42,26.74,26.36,26.66,16.11,34479700
2010-04-21,26.74,26.75,26.14,26.34,15.92,44749800
2010-04-22,26.09,26.31,25.79,26.27,15.87,32944900
2010-04-23,26.17,26.29,25.99,26.25,15.86,28020900
2010-04-26,26.23,26.42,26.21,26.27,15.87,17780000
2010-04-27,26.2,26.31,25.88,25.95,15.68,33871100
2010-04-28,26.0,26.1,25.63,25.91,15.66,34156700
2010-04-29,26.08,26.3,25.94,26.14,15.8,25633000
2010-04-30,26.21,26.5,26.05,26.06,15.75,33741000
2010-05-03,26.24,26.43,26.07,26.28,15.88,27076400
2010-05-04,26.32,26.43,25.75,25.9,15.65,31360000
2010-05-05,25.9,26.14,25.74,25.77,15.57,33486400
2010-05-06,25.71,25.74,24.04,25.14,15.19,67762600
2010-05-07,25.21,25.49,24.77,25.1,15.17,51364100
2010-05-10,25.77,26.02,25.4,25.67,15.51,40834900
2010-05-11,25.5,25.81,25.34,25.64,15.49,32370000
2010-05-12,25.73,25.89,25.56,25.82,15.6,29324900
2010-05-13,25.8,25.97,25.62,25.74,15.55,22942900
2010-05-14,25.73,25.78,25.18,25.4,15.35,37799000
2010-05-17,25.45,25.89,25.29,25.77,15.57,29926000
2010-05-18,25.86,25.9,25.31,25.59,15.46,37965200
2010-05-19,25.53,25.71,25.3,25.57,15.45,30793800
2010-05-20,25.28,25.3,24.86,24.96,15.08,41239300
2010-05-21,24.36,24.87,24.36,24.85,15.02,54268200
2010-05-24,24.71,24.75,24.3,24.43,14.76,30011000
2010-05-25,24.09,24.39,23.78,24.32,14.7,52236300
2010-05-26,24.31,24.42,24.02,24.13,14.58,37666100
2010-05-27,24.41,24.66,24.25,24.63,14.88,27557500
2010-05-28,24.6,24.73,24.29,24.3,14.68,30332100
2010-06-01,24.27,24.8,24.12,24.33,14.7,29740900
2010-06-02,24.44,24.79,24.39,24.78,14.97,25626800
2010-06-03,24.88,24.93,24.61,24.8,14.99,23550400
2010-06-04,24.52,24.54,24.03,24.17,14.61,36869800
2010-06-07,24.33,24.65,24.21,24.32,14.7,37372700
2010-06-08,24.41,25.03,24.35,24.97,15.09,41472800
2010-06-09,25.1,25.21,24.8,24.9,15.05,33181300
2010-06-10,25.2,25.52,25.18,25.44,15.37,33073200
2010-06-11,25.21,25.34,25.03,25.29,15.28,23740200
2010-06-14,25.37,25.55,25.15,25.17,15.21,24880400
2010-06-15,25.34,25.54,25.21,25.54,15.43,20988600
2010-06-16,25.45,25.53,25.32,25.52,15.42,19946600
2010-06-17,25.55,25.57,25.12,25.57,15.45,23737000
2010-06-18,25.62,25.66,25.23,25.43,15.37,40557800
2010-06-21,25.58,25.61,25.35,25.44,15.37,16788000
2010-06-22,25.43,25.6,25.29,25.36,15.32,25787100
2010-06-23,25.4,25.6,25.35,25.44,15.37,25835100
2010-06-24,25.35,25.52,25.0,25.05,15.14,27449600
2010-06-25,25.13,25.15,24.68,24.79,14.98,51771200
2010-06-28,24.88,25.18,24.85,24.95,15.08,21838100
2010-06-29,24.86,24.9,24.27,24.46,14.78,52848900
2010-06-30,24.35,24.44,24.11,24.19,14.62,37193800
2010-07-01,24.26,24.4,24.0,24.34,14.71,51182800
2010-07-02,24.42,24.43,24.1,24.29,14.68,23201000
2010-07-06,24.47,24.5,24.19,24.41,14.75,35997200
2010-07-07,24.01,24.4,23.88,24.33,14.96,31799800
2010-07-08,24.39,24.58,24.2,24.57,15.11,23429800
2010-07-09,24.6,24.88,24.55,24.83,15.27,19636200
2010-07-12,24.75,24.86,24.61,24.84,15.27,17332700
2010-07-13,24.93,25.18,24.91,24.95,15.34,26169600
2010-07-14,24.86,25.11,24.79,24.96,15.35,21052100
2010-07-15,24.99,25.05,24.75,25.0,15.37,37460800
2010-07-16,24.97,25.1,24.65,24.69,15.18,33275000
2010-07-19,24.81,24.96,24.75,24.88,15.3,18947500
2010-07-20,24.69,24.8,24.5,24.79,15.24,24054900
2010-07-21,24.89,25.17,24.73,24.92,15.32,28987100
2010-07-22,25.39,25.83,25.36,25.51,15.68,47961300
2010-07-23,25.84,25.92,25.45,25.54,15.7,32688000
2010-07-26,25.73,26.09,25.67,25.96,15.96,26246700
2010-07-27,26.02,26.41,26.02,26.15,16.08,26093700
2010-07-28,26.24,26.35,26.02,26.2,16.11,33573700
2010-07-29,26.34,26.4,25.91,26.02,16.0,32620400
2010-07-30,25.8,26.1,25.79,25.94,15.95,25601700
2010-08-02,26.5,26.69,26.34,26.59,16.35,35123700
2010-08-03,26.6,26.89,26.58,26.69,16.41,24421300
2010-08-04,26.62,26.75,26.39,26.64,16.38,26163600
2010-08-05,26.51,26.9,26.51,26.74,16.44,23511100
2010-08-06,26.53,26.65,26.23,26.54,16.32,26401300
2010-08-09,26.67,26.96,26.59,26.86,16.51,22439000
2010-08-10,26.71,27.08,26.66,27.01,16.61,26646100
2010-08-11,26.66,26.79,26.51,26.55,16.32,29114200
2010-08-12,26.46,26.95,26.4,26.66,16.39,30528000
2010-08-13,26.62,26.88,26.54,26.72,16.43,23741500
2010-08-16,26.63,26.71,26.48,26.65,16.39,19872000
2010-08-17,26.7,27.1,26.7,26.97,16.58,27517200
2010-08-18,26.95,27.39,26.85,27.28,16.77,29739100
2010-08-19,27.2,27.3,26.8,26.97,16.58,26642500
2010-08-20,26.8,26.88,26.33,26.45,16.26,35585200
2010-08-23,26.59,26.79,26.48,26.49,16.29,33930100
2010-08-24,26.28,26.85,26.2,26.72,16.43,34139000
2010-08-25,26.58,26.99,26.44,26.89,16.53,38078500
2010-08-26,26.97,27.0,26.64,26.7,16.42,25908100
2010-08-27,26.73,27.0,26.61,26.94,16.56,21234400
2010-08-30,26.85,26.93,26.63,26.63,16.37,15827400
2010-08-31,26.54,27.03,26.5,27.03,16.62,32853800
2010-09-01,27.24,27.49,27.1,27.35,16.82,28502000
2010-09-02,27.36,27.48,27.2,27.4,16.85,17358000
2010-09-03,27.31,27.49,27.06,27.44,16.87,23177900
