Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.06,26.25,26.06,26.25,15.84,63800
2000-01-03,26.25,26.31,25.28,25.34,15.3,199800
2000-01-04,25.22,25.62,25.0,25.03,15.11,173400
2000-01-05,25.03,26.47,25.03,26.22,15.82,464800
2000-01-06,26.09,26.88,25.91,25.91,15.63,200000
2000-01-07,25.78,26.81,25.78,26.47,15.97,222200
2000-01-10,26.34,26.34,25.28,25.44,15.35,312000
2000-01-11,25.38,25.41,24.88,25.09,15.14,238600
2000-01-12,25.12,25.38,25.06,25.34,15.3,314600
2000-01-13,25.62,26.44,25.62,26.34,15.9,322400
2000-01-14,26.22,26.25,25.59,25.59,15.45,276800
2000-01-18,25.47,25.47,24.66,24.81,14.97,327200
2000-01-19,24.94,25.72,24.94,25.12,15.16,204600
2000-01-20,25.09,25.22,24.75,24.91,15.03,144000
2000-01-21,25.06,25.06,24.19,24.38,14.71,244000
2000-01-24,24.41,24.66,23.56,23.75,14.33,245600
2000-01-25,23.88,24.19,23.56,23.56,14.22,183600
2000-01-26,23.56,23.59,22.88,23.28,14.05,340200
2000-01-27,23.25,23.59,23.19,23.53,14.2,205200
2000-01-28,23.53,23.75,23.44,23.44,14.14,294200
2000-01-31,23.41,24.31,23.34,24.25,14.64,214000
2000-02-01,24.16,24.38,24.06,24.31,14.67,192200
2000-02-02,24.38,24.56,24.25,24.25,14.64,239600
2000-02-03,24.25,25.06,24.25,24.66,14.88,477800
2000-02-04,24.59,24.59,23.5,23.75,14.33,411000
2000-02-07,23.75,25.0,23.75,24.62,14.86,382400
2000-02-08,24.62,24.84,23.28,23.41,14.13,187400
2000-02-09,23.94,24.28,23.75,23.84,14.39,320800
2000-02-10,23.97,24.62,23.66,24.56,14.82,501800
2000-02-11,24.56,24.72,24.25,24.59,14.84,303400
2000-02-14,25.0,25.56,24.69,24.84,14.99,380000
2000-02-15,24.84,25.28,24.38,25.25,15.24,360000
2000-02-16,25.19,25.22,24.28,24.31,14.67,339000
2000-02-17,24.38,24.75,23.69,23.69,14.3,215400
2000-02-18,23.69,23.75,23.0,23.09,13.94,311800
2000-02-22,23.09,23.09,22.41,22.97,13.86,384800
2000-02-23,23.16,23.19,22.44,22.75,13.73,259400
2000-02-24,22.62,22.62,21.0,21.22,12.81,477400
2000-02-25,21.12,21.38,20.72,20.97,12.75,446000
2000-02-28,21.16,21.81,21.0,21.53,13.1,239600
2000-02-29,21.75,22.31,21.75,21.94,13.34,408600
2000-03-01,22.09,22.34,21.69,21.75,13.23,231200
2000-03-02,21.66,21.69,21.03,21.19,12.89,268600
2000-03-03,21.19,21.25,20.75,21.16,12.87,458000
2000-03-06,21.16,21.16,20.97,21.0,12.77,319800
2000-03-07,20.94,20.94,19.34,19.41,11.8,716000
2000-03-08,19.28,19.69,18.69,19.62,11.94,734400
2000-03-09,19.62,19.91,19.19,19.91,12.11,263800
2000-03-10,19.91,19.94,19.78,19.94,12.13,526000
2000-03-13,19.69,20.12,19.31,19.56,11.9,211800
2000-03-14,19.5,19.72,19.25,19.66,11.96,123600
2000-03-15,19.56,21.16,19.56,20.88,12.7,392200
2000-03-16,20.94,22.31,20.94,21.62,13.15,663000
2000-03-17,22.62,23.0,22.12,22.19,13.5,526200
2000-03-20,22.12,22.12,21.62,21.81,13.27,274800
2000-03-21,22.28,22.34,21.91,21.97,13.36,255200
2000-03-22,21.94,21.94,21.31,21.47,13.06,169800
2000-03-23,21.47,22.5,21.12,22.31,13.57,373800
2000-03-24,22.31,22.31,21.12,21.41,13.02,173200
2000-03-27,21.41,21.88,21.22,21.75,13.23,354200
2000-03-28,21.78,22.47,21.78,21.94,13.34,250800
2000-03-29,21.94,22.5,21.94,22.44,13.65,250600
2000-03-30,22.47,24.56,22.25,24.16,14.69,418400
2000-03-31,24.34,24.69,23.91,24.0,14.6,464400
2000-04-03,23.78,24.75,23.72,24.62,14.98,352200
2000-04-04,24.56,25.12,23.75,24.06,14.64,368800
2000-04-05,24.38,24.62,23.75,24.31,14.79,226800
2000-04-06,24.34,25.0,24.28,25.0,15.21,255000
2000-04-07,25.25,25.38,24.69,24.84,15.11,250600
2000-04-10,25.06,25.09,24.69,24.81,15.09,227800
2000-04-11,24.81,25.5,24.81,25.34,15.42,149200
2000-04-12,25.34,25.62,25.25,25.31,15.4,312400
2000-04-13,25.34,25.78,25.03,25.19,15.32,198600
2000-04-14,25.0,25.0,23.72,23.72,14.43,240400
2000-04-17,23.72,24.5,23.72,24.5,14.9,413400
2000-04-18,24.5,24.94,24.19,24.72,15.03,332200
2000-04-19,24.84,24.84,24.31,24.44,14.86,195200
2000-04-20,24.31,25.19,24.09,25.0,15.21,411000
2000-04-24,25.09,27.25,25.09,26.75,16.27,844800
2000-04-25,26.78,27.62,26.78,27.31,16.61,585800
2000-04-26,27.28,27.5,26.69,26.88,16.35,464200
2000-04-27,26.56,27.0,25.88,25.91,15.76,523800
2000-04-28,25.91,25.91,24.94,25.5,15.51,438600
2000-05-01,25.75,26.25,25.69,25.91,15.76,251800
2000-05-02,26.0,26.62,25.38,25.5,15.51,557200
2000-05-03,25.38,26.88,25.34,26.72,16.25,454600
2000-05-04,26.69,27.75,26.5,27.53,16.75,405200
2000-05-05,27.44,27.53,26.53,26.62,16.19,289400
2000-05-08,26.72,27.97,26.66,27.84,16.94,419600
2000-05-09,27.75,27.75,27.19,27.62,16.8,445400
2000-05-10,27.62,28.19,27.5,27.78,16.9,516600
2000-05-11,27.78,28.81,27.69,28.69,17.45,367600
2000-05-12,28.59,28.59,27.47,27.84,16.94,241200
2000-05-15,27.75,28.25,27.25,28.19,17.14,240800
2000-05-16,28.25,28.47,28.0,28.25,17.18,389600
2000-05-17,27.88,28.38,27.75,28.34,17.24,316200
2000-05-18,28.25,28.25,27.88,28.12,17.11,314000
2000-05-19,28.12,28.38,27.88,27.94,16.99,227000
2000-05-22,28.0,29.31,28.0,28.97,17.62,592600
2000-05-23,28.88,29.41,28.78,29.31,17.83,460400
2000-05-24,29.44,31.09,29.44,31.03,18.87,845200
2000-05-25,30.28,30.28,29.12,29.97,18.23,552200
2000-05-26,29.91,30.06,29.09,29.31,17.94,311400
2000-05-30,29.62,29.72,28.62,29.03,17.77,350800
2000-05-31,29.16,29.25,28.12,28.12,17.21,303400
2000-06-01,28.25,29.34,28.22,29.09,17.81,486200
2000-06-02,29.12,29.44,27.75,27.78,17.0,404000
2000-06-05,27.75,28.06,27.38,28.0,17.14,309200
2000-06-06,28.62,29.66,28.5,29.62,18.13,693000
2000-06-07,31.0,31.38,30.56,30.69,18.78,823600
2000-06-08,30.69,30.94,29.88,30.81,18.86,299600
2000-06-09,31.0,31.44,30.31,30.53,18.69,270000
2000-06-12,30.53,30.78,29.59,29.78,18.23,371200
2000-06-13,30.06,31.88,30.06,31.78,19.45,548200
2000-06-14,31.81,32.34,31.19,32.34,19.8,590600
2000-06-15,32.34,33.09,32.34,33.0,20.2,290400
2000-06-16,32.94,33.12,32.53,32.77,20.05,401400
2000-06-19,32.38,33.25,32.19,32.69,20.01,509200
2000-06-20,31.0,31.5,29.62,30.22,18.49,930600
2000-06-21,28.5,30.94,28.5,30.72,18.8,1132600
2000-06-22,30.72,31.75,30.62,31.34,19.18,368800
2000-06-23,31.34,31.34,29.91,30.38,18.59,436400
2000-06-26,30.44,31.72,30.44,31.59,19.34,428000
2000-06-27,31.72,31.72,30.88,31.0,18.97,352800
2000-06-28,31.12,31.84,31.12,31.18,19.08,333000
2000-06-29,31.22,31.84,30.94,30.94,18.93,456000
2000-06-30,31.0,31.38,30.25,30.26,18.52,486200
2000-07-03,30.12,30.88,30.09,30.88,18.9,241200
2000-07-05,31.38,32.5,31.31,32.09,19.64,299200
2000-07-06,32.22,32.78,32.12,32.19,19.7,177600
2000-07-07,32.22,32.75,31.66,32.34,19.8,240200
2000-07-10,32.5,33.12,32.47,32.59,19.95,471800
2000-07-11,32.69,32.78,32.03,32.22,19.72,304400
2000-07-12,32.12,32.16,31.78,31.91,19.53,293800
2000-07-13,31.97,32.34,31.59,31.72,19.41,190400
2000-07-14,31.84,31.88,31.53,31.62,19.36,252200
2000-07-17,31.72,32.38,31.72,32.02,19.59,344800
2000-07-18,32.03,32.91,32.03,32.5,19.89,220000
2000-07-19,32.56,33.0,32.31,32.34,19.8,110000
2000-07-20,32.34,33.19,31.41,31.41,19.22,714800
2000-07-21,31.16,31.34,30.59,31.25,19.13,615400
2000-07-24,31.22,32.0,31.22,31.81,19.47,228600
2000-07-25,31.75,32.41,31.66,31.69,19.39,257600
2000-07-26,31.66,31.69,30.91,31.03,18.99,403600
2000-07-27,31.03,32.09,31.0,31.16,19.07,391800
2000-07-28,31.16,31.25,29.88,29.88,18.28,481000
2000-07-31,30.25,31.5,30.06,31.5,19.28,593800
2000-08-01,31.44,32.09,31.41,31.84,19.49,371000
2000-08-02,31.78,32.22,31.38,32.09,19.64,296800
2000-08-03,32.16,32.66,32.0,32.12,19.66,337000
2000-08-04,32.06,32.69,32.0,32.59,19.95,472400
2000-08-07,32.53,32.53,31.0,32.03,19.6,516800
2000-08-08,32.16,32.78,31.44,32.0,19.58,304600
2000-08-09,32.12,32.5,31.44,31.97,19.57,139000
2000-08-10,31.91,31.94,31.56,31.66,19.37,173000
2000-08-11,31.78,32.88,31.69,32.47,19.87,245000
2000-08-14,32.5,33.81,32.5,33.16,20.29,414000
2000-08-15,33.16,33.28,32.62,32.69,20.01,150000
2000-08-16,31.94,31.94,31.06,31.38,19.2,355000
2000-08-17,31.5,31.91,31.25,31.5,19.28,319000
2000-08-18,31.56,32.12,31.53,31.69,19.39,316000
2000-08-21,31.78,33.0,31.78,32.75,20.04,400800
2000-08-22,32.0,32.19,31.53,31.72,19.41,527000
2000-08-23,31.81,32.28,31.75,31.91,19.53,270400
2000-08-24,31.97,32.09,31.25,31.56,19.32,204400
2000-08-25,31.56,31.56,30.38,30.38,18.59,465800
2000-08-28,30.5,30.75,30.38,30.41,18.61,322000
2000-08-29,30.38,30.97,30.19,30.66,18.88,257800
2000-08-30,30.47,30.59,29.47,29.47,18.15,230000
2000-08-31,29.59,30.22,29.59,29.78,18.34,418600
2000-09-01,29.84,29.84,29.38,29.38,18.09,206000
2000-09-05,29.44,29.78,28.88,28.94,17.82,588800
2000-09-06,28.88,28.91,28.56,28.75,17.7,623400
2000-09-07,28.66,29.5,28.66,29.25,18.01,268400
2000-09-08,29.28,30.5,29.28,30.38,18.7,447800
2000-09-11,30.38,30.5,30.0,30.38,18.7,196800
2000-09-12,30.47,30.69,29.91,30.25,18.63,318400
2000-09-13,30.31,31.03,30.31,31.03,19.11,282400
2000-09-14,30.97,31.03,30.22,30.53,18.8,391000
2000-09-15,30.47,30.69,30.31,30.53,18.8,296800
2000-09-18,30.41,30.91,30.41,30.69,18.9,239200
2000-09-19,31.12,32.09,30.94,31.44,19.36,475600
2000-09-20,31.38,31.69,30.94,31.09,19.15,308200
2000-09-21,31.12,31.88,31.06,31.88,19.63,265400
2000-09-22,31.88,33.44,31.88,33.38,20.55,360800
