Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,15.0,15.19,15.0,15.0,12.43,264900
2000-01-03,15.0,15.19,14.69,15.0,12.43,432200
2000-01-04,14.88,14.94,14.31,14.44,11.96,568400
2000-01-05,14.75,14.75,14.31,14.56,12.06,490800
2000-01-06,14.38,14.56,14.31,14.56,12.06,561900
2000-01-07,14.44,14.75,14.31,14.75,12.22,266600
2000-01-10,14.56,14.75,14.5,14.62,12.12,470000
2000-01-11,14.5,14.94,14.5,14.75,12.22,277900
2000-01-12,14.75,14.81,14.0,14.38,11.91,432300
2000-01-13,14.25,14.94,14.25,14.88,12.32,477500
2000-01-14,14.94,14.94,14.56,14.62,12.12,274400
2000-01-18,14.75,14.75,14.31,14.44,11.96,520300
2000-01-19,14.31,14.56,14.19,14.25,11.81,660200
2000-01-20,14.31,14.62,14.31,14.5,12.01,556000
2000-01-21,14.5,14.75,14.38,14.44,11.96,1097200
2000-01-24,14.5,14.81,14.44,14.62,12.12,658900
2000-01-25,14.56,15.38,14.5,14.75,12.22,878400
2000-01-26,14.75,16.12,14.69,15.56,12.89,1525400
2000-01-27,16.25,17.0,16.19,16.5,13.67,1427900
2000-01-28,16.12,16.44,15.75,16.25,13.46,723000
2000-01-31,16.38,17.81,16.31,17.31,14.34,1685700
2000-02-01,17.75,17.75,17.06,17.69,14.65,1874500
2000-02-02,17.5,17.56,17.19,17.38,14.39,750500
2000-02-03,17.44,17.62,17.38,17.56,14.55,629100
2000-02-04,17.5,17.75,17.44,17.44,14.45,841400
2000-02-07,17.38,17.88,17.38,17.44,14.45,778700
2000-02-08,17.5,17.62,16.75,16.88,13.98,684200
2000-02-09,16.75,16.81,16.25,16.56,13.72,482700
2000-02-10,16.31,16.62,16.06,16.25,13.46,320800
2000-02-11,16.5,16.5,16.0,16.12,13.36,314100
2000-02-14,16.0,16.62,15.94,16.38,13.57,455700
2000-02-15,16.38,16.81,16.25,16.62,13.77,400600
2000-02-16,16.38,16.62,16.25,16.44,13.62,207400
2000-02-17,16.31,16.69,15.94,15.94,13.2,301600
2000-02-18,16.06,16.19,15.44,15.69,13.0,427300
2000-02-22,15.5,16.69,15.5,16.5,13.67,381100
2000-02-23,16.38,16.56,16.12,16.38,13.57,279900
2000-02-24,16.31,16.31,15.56,16.06,13.31,366700
2000-02-25,16.0,16.19,15.25,15.56,12.89,328400
2000-02-28,15.75,15.81,15.38,15.62,12.95,251900
2000-02-29,15.44,15.69,15.31,15.62,12.95,397900
2000-03-01,15.44,17.25,15.31,17.25,14.29,1992700
2000-03-02,17.5,20.75,17.44,20.12,16.67,3375200
2000-03-03,20.75,22.12,20.44,21.94,18.17,2213800
2000-03-06,21.94,22.12,21.31,21.56,17.86,1332600
2000-03-07,22.25,24.31,22.19,24.0,19.88,3750500
2000-03-08,24.88,26.88,24.56,26.25,21.75,4482700
2000-03-09,25.75,26.38,24.94,25.88,21.44,2179700
2000-03-10,25.75,26.38,25.38,25.81,21.39,1527200
2000-03-13,25.06,25.69,24.56,25.0,20.71,1948700
2000-03-14,24.75,24.75,22.69,22.94,19.0,1144000
2000-03-15,23.5,23.69,22.75,22.81,18.9,529500
2000-03-16,22.94,23.38,22.88,23.06,19.11,583100
2000-03-17,22.81,22.88,22.25,22.44,18.59,503600
2000-03-20,22.25,22.5,22.06,22.25,18.43,475800
2000-03-21,22.5,22.75,20.06,20.94,17.35,1960000
2000-03-22,20.75,21.25,20.69,20.94,17.35,478200
2000-03-23,20.94,22.12,20.81,21.94,18.17,973700
2000-03-24,21.81,22.0,21.75,21.88,18.12,651900
2000-03-27,21.75,22.56,21.06,21.31,17.66,340600
2000-03-28,21.0,21.69,20.38,20.62,17.09,429700
2000-03-29,20.56,20.94,19.19,19.69,16.31,926200
2000-03-30,19.75,19.75,19.31,19.62,16.26,767300
2000-03-31,19.62,20.44,19.62,20.38,16.88,526500
2000-04-03,20.12,20.62,20.0,20.0,16.57,523900
2000-04-04,20.06,20.31,18.5,19.5,16.16,878500
2000-04-05,19.12,19.81,19.0,19.81,16.41,319700
2000-04-06,19.81,20.5,19.81,20.12,16.67,649600
2000-04-07,20.5,21.44,20.38,21.44,17.76,653000
2000-04-10,21.38,21.44,20.88,21.06,17.45,1075800
2000-04-11,21.06,21.12,20.5,20.62,17.09,493500
2000-04-12,20.5,20.75,19.62,19.81,16.41,1039300
2000-04-13,19.88,20.12,19.69,19.69,16.31,290800
2000-04-14,19.5,19.56,18.0,18.5,15.33,938800
