Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.41,18.5,18.06,18.47,10.59,179200
2000-01-03,18.53,18.62,17.31,17.56,10.07,748800
2000-01-04,17.34,17.56,17.0,17.03,9.76,1076200
2000-01-05,16.88,17.47,16.59,17.0,9.75,1050400
2000-01-06,16.97,17.5,16.69,17.5,10.03,478200
2000-01-07,17.61,17.75,17.25,17.38,9.96,466200
2000-01-10,17.66,17.88,17.44,17.56,10.07,407600
2000-01-11,17.5,17.78,17.28,17.5,10.03,402400
2000-01-12,17.78,18.25,17.59,18.25,10.46,717200
2000-01-13,18.31,19.84,18.3,19.25,11.04,1763400
2000-01-14,19.38,19.56,19.19,19.53,11.2,1019200
2000-01-18,19.41,19.44,18.59,18.78,10.77,673600
2000-01-19,18.84,19.62,18.81,19.06,10.93,371800
2000-01-20,19.28,19.31,18.88,19.06,10.93,379800
2000-01-21,19.44,20.09,19.19,19.97,11.45,1067200
2000-01-24,20.06,20.94,19.62,19.75,11.32,1131000
2000-01-25,19.72,21.25,19.25,21.19,12.15,1019800
2000-01-26,21.19,21.31,19.81,21.0,12.04,984000
2000-01-27,20.94,21.44,19.59,19.62,11.25,1275600
2000-01-28,19.69,19.69,18.19,18.25,10.46,1215800
2000-01-31,18.12,19.44,17.94,19.44,11.14,851600
2000-02-01,19.31,19.66,18.69,19.56,11.22,807200
2000-02-02,19.56,19.88,19.0,19.81,11.36,1163000
2000-02-03,20.0,20.06,18.75,19.22,11.02,1115800
2000-02-04,19.38,19.38,18.41,18.56,10.64,577600
2000-02-07,19.41,19.41,18.28,18.34,10.52,576400
2000-02-08,18.59,18.62,18.25,18.34,10.52,549600
2000-02-09,18.34,18.75,17.81,17.97,10.3,597400
2000-02-10,18.0,18.44,17.75,17.84,10.23,464200
2000-02-11,17.81,18.0,17.5,17.55,10.06,425800
2000-02-14,17.67,17.72,16.59,16.84,9.66,1000000
2000-02-15,16.75,18.0,16.56,17.66,10.12,758600
2000-02-16,17.62,18.0,17.19,17.69,10.14,1428800
2000-02-17,17.69,17.78,16.47,16.66,9.55,753600
2000-02-18,16.56,16.75,16.19,16.22,9.3,669800
2000-02-22,16.62,16.66,16.12,16.31,9.35,464000
2000-02-23,16.22,16.69,16.12,16.16,9.26,689800
2000-02-24,16.25,17.69,16.09,17.69,10.14,1495400
2000-02-25,17.72,17.75,16.94,17.09,9.8,664200
2000-02-28,17.16,17.31,16.59,17.12,9.82,873000
2000-02-29,17.12,17.22,16.44,16.47,9.44,1204600
2000-03-01,16.66,16.91,16.44,16.66,9.55,791200
2000-03-02,16.75,17.28,16.47,17.16,9.84,1276600
2000-03-03,17.38,17.38,16.88,17.03,9.76,674600
