Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.0,1.02,0.94,1.0,0.87,292800
2000-01-03,1.0,1.02,0.99,0.99,0.86,131200
2000-01-04,0.98,1.01,0.96,0.97,0.84,67200
2000-01-05,1.0,1.0,0.98,0.98,0.85,129600
2000-01-06,0.98,0.98,0.96,0.96,0.83,188800
2000-01-07,0.96,0.98,0.94,0.98,0.85,116800
2000-01-10,0.94,0.98,0.94,0.94,0.81,19200
2000-01-11,0.98,1.0,0.95,0.95,0.82,86400
2000-01-12,0.97,1.0,0.97,1.0,0.87,60800
2000-01-13,1.0,1.02,0.98,0.98,0.85,156800
2000-01-14,0.99,1.02,0.99,1.02,0.88,340800
2000-01-18,1.01,1.02,1.0,1.0,0.87,156800
2000-01-19,1.0,1.0,0.95,0.96,0.83,241600
2000-01-20,0.95,1.01,0.95,0.98,0.85,300800
2000-01-21,0.98,0.98,0.95,0.95,0.83,275200
2000-01-24,0.95,0.98,0.93,0.93,0.8,326400
2000-01-25,0.98,0.98,0.91,0.91,0.79,2587200
2000-01-26,0.93,0.94,0.93,0.94,0.81,233600
2000-01-27,0.96,1.09,0.95,1.07,0.92,817600
2000-01-28,1.08,1.08,1.01,1.03,0.89,504000
2000-01-31,1.05,1.17,1.05,1.12,0.98,982400
2000-02-01,1.09,1.11,1.09,1.1,0.96,97600
2000-02-02,1.11,1.11,0.95,1.01,0.87,1073600
2000-02-03,1.0,1.02,0.97,0.99,0.86,572800
2000-02-04,1.02,1.02,1.0,1.02,0.88,388800
2000-02-07,1.02,1.07,0.99,1.07,0.93,126400
2000-02-08,1.05,1.1,1.02,1.07,0.93,75200
2000-02-09,1.1,1.1,1.05,1.07,0.93,147200
2000-02-10,1.13,1.14,1.09,1.09,0.95,454400
2000-02-11,1.09,1.16,1.08,1.11,0.96,331200
2000-02-14,1.12,1.12,1.03,1.05,0.91,220800
2000-02-15,1.04,1.08,1.04,1.04,0.9,1006400
2000-02-16,1.05,1.08,1.04,1.04,0.9,2041600
2000-02-17,1.03,1.06,1.02,1.05,0.91,662400
2000-02-18,1.02,1.09,1.02,1.03,0.89,793600
2000-02-22,1.02,1.04,1.02,1.03,0.89,201600
