Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.0,16.31,15.88,16.31,13.38,30500
2000-01-03,17.0,17.0,15.94,16.12,13.22,57700
2000-01-04,15.88,16.69,15.88,16.06,13.17,73400
2000-01-05,16.31,16.56,16.06,16.25,13.32,23500
2000-01-06,16.19,16.19,15.88,16.0,13.12,24700
2000-01-07,15.88,16.12,15.75,16.12,13.22,45200
2000-01-10,16.31,16.5,16.12,16.38,13.43,33000
2000-01-11,16.25,16.25,15.88,16.12,13.22,45100
2000-01-12,16.0,16.12,15.75,15.88,13.02,40100
2000-01-13,16.0,16.31,15.88,16.12,13.22,28800
2000-01-14,16.25,16.25,15.81,15.81,12.97,54400
2000-01-18,15.88,16.25,15.75,16.06,13.17,66500
2000-01-19,16.0,16.31,16.0,16.06,13.17,53800
2000-01-20,16.0,16.12,15.5,15.62,12.81,45500
2000-01-21,15.88,16.0,15.5,15.81,12.97,52100
2000-01-24,15.94,16.12,15.5,16.12,13.22,80200
2000-01-25,16.12,17.31,16.0,17.12,14.04,83500
2000-01-26,17.12,17.44,16.94,17.12,14.04,67900
2000-01-27,17.19,17.31,16.56,16.56,13.58,24900
2000-01-28,16.75,17.31,16.75,17.12,14.04,35900
2000-01-31,17.38,17.38,16.25,16.5,13.53,33300
2000-02-01,16.44,18.5,16.31,18.44,15.12,108500
2000-02-02,18.19,18.19,17.5,18.12,14.86,49800
2000-02-03,18.0,18.56,17.75,18.38,15.07,32200
2000-02-04,18.5,18.5,17.88,18.0,14.76,54400
2000-02-07,18.12,18.12,17.75,18.0,14.76,19100
2000-02-08,17.81,17.81,17.56,17.62,14.45,18200
2000-02-09,17.5,17.94,17.0,17.19,14.09,58100
2000-02-10,16.94,17.19,16.94,16.94,13.89,33600
2000-02-11,17.0,17.12,16.62,16.62,13.63,60500
2000-02-14,16.56,16.81,16.25,16.56,13.58,22300
2000-02-15,16.44,16.62,16.0,16.56,13.58,43900
2000-02-16,16.56,16.56,16.38,16.38,13.43,17900
2000-02-17,16.56,16.62,16.25,16.44,13.48,38700
2000-02-18,16.38,16.69,15.38,16.69,13.68,68200
2000-02-22,16.69,16.81,15.81,15.88,13.02,18500
2000-02-23,15.94,16.38,15.88,16.31,13.38,38200
2000-02-24,16.44,16.44,15.94,16.19,13.27,24900
2000-02-25,16.12,16.56,16.12,16.5,13.53,19300
2000-02-28,16.44,16.81,16.25,16.5,13.53,23200
2000-02-29,16.5,16.5,15.81,15.88,13.02,37600
2000-03-01,15.88,16.69,15.88,16.19,13.27,40600
2000-03-02,16.06,16.25,15.88,15.88,13.02,22000
2000-03-03,16.0,16.62,15.94,16.5,13.53,53000
2000-03-06,16.44,16.5,15.88,16.25,13.32,22400
2000-03-07,16.19,16.19,15.56,15.94,13.07,48300
2000-03-08,16.0,16.0,15.56,15.88,13.02,48800
2000-03-09,16.0,16.0,15.56,16.0,13.12,60700
2000-03-10,15.94,16.25,15.69,15.88,13.02,29800
2000-03-13,15.62,15.75,15.44,15.62,12.81,39000
2000-03-14,15.56,15.62,15.25,15.44,12.66,21600
2000-03-15,15.44,15.75,15.12,15.75,12.91,83900
2000-03-16,15.69,16.12,15.69,16.06,13.17,26600
2000-03-17,15.94,16.0,15.81,15.94,13.07,27800
2000-03-20,15.94,16.06,15.38,16.06,13.17,28800
2000-03-21,16.0,16.19,15.94,16.12,13.23,32800
2000-03-22,16.75,16.75,15.81,15.94,13.08,32700
2000-03-23,15.94,16.12,15.88,15.94,13.08,18300
2000-03-24,15.94,16.12,15.69,15.94,13.08,13500
2000-03-27,15.94,16.0,15.25,15.94,13.08,46800
